model,experiment,year,pr
ACCESS-CM2,historical,1960,75.57654865
ACCESS-CM2,historical,1961,143.26804684
ACCESS-CM2,historical,1962,159.81822973
ACCESS-CM2,historical,1963,210.00764829
ACCESS-CM2,historical,1964,129.33235036
ACCESS-CM2,historical,1965,136.30061247
ACCESS-CM2,historical,1966,115.18286120
ACCESS-CM2,historical,1967,74.56842466
ACCESS-CM2,historical,1968,108.22747796
ACCESS-CM2,historical,1969,156.19197269
ACCESS-CM2,historical,1970,99.78954684
ACCESS-CM2,historical,1971,203.90974497
ACCESS-CM2,historical,1972,65.02749135
ACCESS-CM2,historical,1973,134.06146664
ACCESS-CM2,historical,1974,132.23319359
ACCESS-CM2,historical,1975,120.30234681
ACCESS-CM2,historical,1976,102.92508925
ACCESS-CM2,historical,1977,109.19131382
ACCESS-CM2,historical,1978,152.99595118
ACCESS-CM2,historical,1979,47.95387983
ACCESS-CM2,historical,1980,204.48805261
ACCESS-CM2,historical,1981,96.26878040
ACCESS-CM2,historical,1982,135.21345803
ACCESS-CM2,historical,1983,144.89132443
ACCESS-CM2,historical,1984,85.25752320
ACCESS-CM2,historical,1985,76.88385196
ACCESS-CM2,historical,1986,105.14698862
ACCESS-CM2,historical,1987,240.54068029
ACCESS-CM2,historical,1988,163.71667288
ACCESS-CM2,historical,1989,112.10375592
ACCESS-CM2,historical,1990,77.67524518
ACCESS-CM2,historical,1991,92.71537896
ACCESS-CM2,historical,1992,103.51135939
ACCESS-CM2,historical,1993,103.23887240
ACCESS-CM2,historical,1994,135.07991680
ACCESS-CM2,historical,1995,59.26902599
ACCESS-CM2,historical,1996,122.75075101
ACCESS-CM2,historical,1997,177.39394143
ACCESS-CM2,historical,1998,156.83439768
ACCESS-CM2,historical,1999,181.29445614
ACCESS-CM2,historical,2000,120.69749424
ACCESS-CM2,historical,2001,110.05314258
ACCESS-CM2,historical,2002,105.63923549
ACCESS-CM2,historical,2003,91.39871695
ACCESS-CM2,historical,2004,96.90371155
ACCESS-CM2,historical,2005,78.83242198
ACCESS-CM2,historical,2006,80.63112258
ACCESS-CM2,historical,2007,113.94530018
ACCESS-CM2,historical,2008,117.53718198
ACCESS-CM2,historical,2009,87.00493309
ACCESS-CM2,historical,2010,179.49220818
ACCESS-CM2,historical,2011,101.66013066
ACCESS-CM2,historical,2012,47.93719488
ACCESS-CM2,historical,2013,60.06191140
ACCESS-CM2,historical,2014,172.30911010
ACCESS-CM2,ssp126,2015,106.29829311
ACCESS-CM2,ssp126,2016,78.14287634
ACCESS-CM2,ssp126,2017,79.15791972
ACCESS-CM2,ssp126,2018,145.86198587
ACCESS-CM2,ssp126,2019,166.23407364
ACCESS-CM2,ssp126,2020,121.84892094
ACCESS-CM2,ssp126,2021,110.46759825
ACCESS-CM2,ssp126,2022,153.47899023
ACCESS-CM2,ssp126,2023,191.83726610
ACCESS-CM2,ssp126,2024,329.98406289
ACCESS-CM2,ssp126,2025,174.24555625
ACCESS-CM2,ssp126,2026,107.60366709
ACCESS-CM2,ssp126,2027,223.27392768
ACCESS-CM2,ssp126,2028,193.92856131
ACCESS-CM2,ssp126,2029,120.25436105
ACCESS-CM2,ssp126,2030,68.60110782
ACCESS-CM2,ssp126,2031,85.57686152
ACCESS-CM2,ssp126,2032,255.71128834
ACCESS-CM2,ssp126,2033,141.46924587
ACCESS-CM2,ssp126,2034,118.00057150
ACCESS-CM2,ssp126,2035,159.29778916
ACCESS-CM2,ssp126,2036,105.68271976
ACCESS-CM2,ssp126,2037,81.17362504
ACCESS-CM2,ssp126,2038,58.67254129
ACCESS-CM2,ssp126,2039,153.80602688
ACCESS-CM2,ssp126,2040,85.89685337
ACCESS-CM2,ssp126,2041,100.47601357
ACCESS-CM2,ssp126,2042,53.68222137
ACCESS-CM2,ssp126,2043,137.66169625
ACCESS-CM2,ssp126,2044,153.22019041
ACCESS-CM2,ssp126,2045,141.81076822
ACCESS-CM2,ssp126,2046,86.36638220
ACCESS-CM2,ssp126,2047,147.34625235
ACCESS-CM2,ssp126,2048,126.46162843
ACCESS-CM2,ssp126,2049,193.78747154
ACCESS-CM2,ssp126,2050,301.62241918
ACCESS-CM2,ssp126,2051,134.08700699
ACCESS-CM2,ssp126,2052,175.30415575
ACCESS-CM2,ssp126,2053,143.09413931
ACCESS-CM2,ssp126,2054,150.31667679
ACCESS-CM2,ssp126,2055,255.61230247
ACCESS-CM2,ssp126,2056,156.44633556
ACCESS-CM2,ssp126,2057,126.00617438
ACCESS-CM2,ssp126,2058,240.70315760
ACCESS-CM2,ssp126,2059,207.13223525
ACCESS-CM2,ssp126,2060,126.55181248
ACCESS-CM2,ssp126,2061,154.69695897
ACCESS-CM2,ssp126,2062,95.15253267
ACCESS-CM2,ssp126,2063,161.21992670
ACCESS-CM2,ssp126,2064,246.83144570
ACCESS-CM2,ssp126,2065,66.14660912
ACCESS-CM2,ssp126,2066,70.17153919
ACCESS-CM2,ssp126,2067,106.12660223
ACCESS-CM2,ssp126,2068,123.12965941
ACCESS-CM2,ssp126,2069,81.18689244
ACCESS-CM2,ssp126,2070,170.59841445
ACCESS-CM2,ssp126,2071,133.53780731
ACCESS-CM2,ssp126,2072,72.68681083
ACCESS-CM2,ssp126,2073,178.06162867
ACCESS-CM2,ssp126,2074,131.62857710
ACCESS-CM2,ssp126,2075,98.77887107
ACCESS-CM2,ssp126,2076,146.60977387
ACCESS-CM2,ssp126,2077,160.78098704
ACCESS-CM2,ssp126,2078,158.30350910
ACCESS-CM2,ssp126,2079,207.04338055
ACCESS-CM2,ssp126,2080,234.06616790
ACCESS-CM2,ssp126,2081,175.32700491
ACCESS-CM2,ssp126,2082,134.62377142
ACCESS-CM2,ssp126,2083,94.08608389
ACCESS-CM2,ssp126,2084,81.95195544
ACCESS-CM2,ssp126,2085,55.15172170
ACCESS-CM2,ssp126,2086,178.89794379
ACCESS-CM2,ssp126,2087,155.35805129
ACCESS-CM2,ssp126,2088,136.06150257
ACCESS-CM2,ssp126,2089,147.55327760
ACCESS-CM2,ssp126,2090,181.71153993
ACCESS-CM2,ssp126,2091,71.09834210
ACCESS-CM2,ssp126,2092,114.43964636
ACCESS-CM2,ssp126,2093,87.78539428
ACCESS-CM2,ssp126,2094,260.00447871
ACCESS-CM2,ssp126,2095,85.07517147
ACCESS-CM2,ssp126,2096,168.29870889
ACCESS-CM2,ssp126,2097,189.42687655
ACCESS-CM2,ssp126,2098,88.36045178
ACCESS-CM2,ssp126,2099,214.96386949
ACCESS-CM2,ssp245,2015,174.12845816
ACCESS-CM2,ssp245,2016,154.83386599
ACCESS-CM2,ssp245,2017,61.85783260
ACCESS-CM2,ssp245,2018,191.21140968
ACCESS-CM2,ssp245,2019,91.55617729
ACCESS-CM2,ssp245,2020,116.47637075
ACCESS-CM2,ssp245,2021,59.10286813
ACCESS-CM2,ssp245,2022,121.48503811
ACCESS-CM2,ssp245,2023,80.75227017
ACCESS-CM2,ssp245,2024,101.29017848
ACCESS-CM2,ssp245,2025,104.80553440
ACCESS-CM2,ssp245,2026,50.30035487
ACCESS-CM2,ssp245,2027,95.47065554
ACCESS-CM2,ssp245,2028,115.68653589
ACCESS-CM2,ssp245,2029,102.37767663
ACCESS-CM2,ssp245,2030,100.81437601
ACCESS-CM2,ssp245,2031,160.69579421
ACCESS-CM2,ssp245,2032,143.07672929
ACCESS-CM2,ssp245,2033,107.62699170
ACCESS-CM2,ssp245,2034,114.30666410
ACCESS-CM2,ssp245,2035,114.65857510
ACCESS-CM2,ssp245,2036,72.36576150
ACCESS-CM2,ssp245,2037,166.73786126
ACCESS-CM2,ssp245,2038,87.35115307
ACCESS-CM2,ssp245,2039,117.48987153
ACCESS-CM2,ssp245,2040,159.92905244
ACCESS-CM2,ssp245,2041,155.70268844
ACCESS-CM2,ssp245,2042,83.15909182
ACCESS-CM2,ssp245,2043,135.90056570
ACCESS-CM2,ssp245,2044,212.95267884
ACCESS-CM2,ssp245,2045,159.10250540
ACCESS-CM2,ssp245,2046,102.95737416
ACCESS-CM2,ssp245,2047,55.88680964
ACCESS-CM2,ssp245,2048,139.49051241
ACCESS-CM2,ssp245,2049,115.67440146
ACCESS-CM2,ssp245,2050,70.60230751
ACCESS-CM2,ssp245,2051,126.93522427
ACCESS-CM2,ssp245,2052,126.67484962
ACCESS-CM2,ssp245,2053,90.12841293
ACCESS-CM2,ssp245,2054,94.87352066
ACCESS-CM2,ssp245,2055,184.09271688
ACCESS-CM2,ssp245,2056,76.95099128
ACCESS-CM2,ssp245,2057,64.21303443
ACCESS-CM2,ssp245,2058,140.98975360
ACCESS-CM2,ssp245,2059,149.66088873
ACCESS-CM2,ssp245,2060,250.25341408
ACCESS-CM2,ssp245,2061,94.44198027
ACCESS-CM2,ssp245,2062,117.63830879
ACCESS-CM2,ssp245,2063,140.29138922
ACCESS-CM2,ssp245,2064,189.91267041
ACCESS-CM2,ssp245,2065,97.73242312
ACCESS-CM2,ssp245,2066,214.62827945
ACCESS-CM2,ssp245,2067,205.29127169
ACCESS-CM2,ssp245,2068,153.99698794
ACCESS-CM2,ssp245,2069,41.59748685
ACCESS-CM2,ssp245,2070,145.87543078
ACCESS-CM2,ssp245,2071,165.66880891
ACCESS-CM2,ssp245,2072,58.65906947
ACCESS-CM2,ssp245,2073,106.50262590
ACCESS-CM2,ssp245,2074,123.22836375
ACCESS-CM2,ssp245,2075,151.74072134
ACCESS-CM2,ssp245,2076,162.28575927
