model,experiment,year,pr
ACCESS-CM2,historical,1960,118.70781989
ACCESS-CM2,historical,1961,118.79109444
ACCESS-CM2,historical,1962,62.07808489
ACCESS-CM2,historical,1963,129.02610960
ACCESS-CM2,historical,1964,204.40740753
ACCESS-CM2,historical,1965,168.94768501
ACCESS-CM2,historical,1966,58.83758424
ACCESS-CM2,historical,1967,114.59623776
ACCESS-CM2,historical,1968,198.80788314
ACCESS-CM2,historical,1969,144.57571882
ACCESS-CM2,historical,1970,108.37765725
ACCESS-CM2,historical,1971,218.65557787
ACCESS-CM2,historical,1972,110.17587513
ACCESS-CM2,historical,1973,127.95553520
ACCESS-CM2,historical,1974,129.82912350
ACCESS-CM2,historical,1975,214.41316991
ACCESS-CM2,historical,1976,141.28016991
ACCESS-CM2,historical,1977,149.35083926
ACCESS-CM2,historical,1978,171.60980835
ACCESS-CM2,historical,1979,152.17302949
ACCESS-CM2,historical,1980,181.59034400
ACCESS-CM2,historical,1981,84.46667294
ACCESS-CM2,historical,1982,180.76934320
ACCESS-CM2,historical,1983,75.69717936
ACCESS-CM2,historical,1984,220.27870098
ACCESS-CM2,historical,1985,159.67695390
ACCESS-CM2,historical,1986,115.54162777
ACCESS-CM2,historical,1987,164.97290009
ACCESS-CM2,historical,1988,154.78983686
ACCESS-CM2,historical,1989,136.60319878
ACCESS-CM2,historical,1990,165.11105092
ACCESS-CM2,historical,1991,152.82833719
ACCESS-CM2,historical,1992,104.50195758
ACCESS-CM2,historical,1993,116.49137180
ACCESS-CM2,historical,1994,211.54322181
ACCESS-CM2,historical,1995,187.09018053
ACCESS-CM2,historical,1996,132.55398546
ACCESS-CM2,historical,1997,79.53397696
ACCESS-CM2,historical,1998,173.78925351
ACCESS-CM2,historical,1999,141.38165876
ACCESS-CM2,historical,2000,102.14897509
ACCESS-CM2,historical,2001,196.68648146
ACCESS-CM2,historical,2002,228.67771249
ACCESS-CM2,historical,2003,115.29813734
ACCESS-CM2,historical,2004,64.82195730
ACCESS-CM2,historical,2005,146.25150729
ACCESS-CM2,historical,2006,178.70876242
ACCESS-CM2,historical,2007,137.48334972
ACCESS-CM2,historical,2008,138.57580941
ACCESS-CM2,historical,2009,103.20182346
ACCESS-CM2,historical,2010,129.32204965
ACCESS-CM2,historical,2011,192.38215052
ACCESS-CM2,historical,2012,154.28532307
ACCESS-CM2,historical,2013,62.35528740
ACCESS-CM2,historical,2014,158.38723677
ACCESS-CM2,ssp126,2015,193.44505250
ACCESS-CM2,ssp126,2016,131.08264746
ACCESS-CM2,ssp126,2017,146.07782752
ACCESS-CM2,ssp126,2018,146.47900530
ACCESS-CM2,ssp126,2019,147.13829026
ACCESS-CM2,ssp126,2020,117.58114600
ACCESS-CM2,ssp126,2021,173.04627052
ACCESS-CM2,ssp126,2022,96.28125486
ACCESS-CM2,ssp126,2023,84.85652529
ACCESS-CM2,ssp126,2024,64.05425542
ACCESS-CM2,ssp126,2025,153.56039121
ACCESS-CM2,ssp126,2026,138.02622020
ACCESS-CM2,ssp126,2027,107.07731234
ACCESS-CM2,ssp126,2028,128.90615190
ACCESS-CM2,ssp126,2029,186.86731265
ACCESS-CM2,ssp126,2030,179.13081543
ACCESS-CM2,ssp126,2031,198.29722380
ACCESS-CM2,ssp126,2032,147.57605846
ACCESS-CM2,ssp126,2033,121.47912866
ACCESS-CM2,ssp126,2034,140.98596188
ACCESS-CM2,ssp126,2035,29.24630922
ACCESS-CM2,ssp126,2036,179.53981501
ACCESS-CM2,ssp126,2037,250.25393589
ACCESS-CM2,ssp126,2038,183.32426194
ACCESS-CM2,ssp126,2039,173.12545829
ACCESS-CM2,ssp126,2040,87.01198754
ACCESS-CM2,ssp126,2041,121.68262954
ACCESS-CM2,ssp126,2042,98.96607003
ACCESS-CM2,ssp126,2043,94.60379195
ACCESS-CM2,ssp126,2044,162.04557916
ACCESS-CM2,ssp126,2045,112.45127433
ACCESS-CM2,ssp126,2046,99.77892542
ACCESS-CM2,ssp126,2047,136.27769875
ACCESS-CM2,ssp126,2048,111.85999910
ACCESS-CM2,ssp126,2049,118.85083827
ACCESS-CM2,ssp126,2050,135.43540335
ACCESS-CM2,ssp126,2051,184.71431515
ACCESS-CM2,ssp126,2052,176.43274518
ACCESS-CM2,ssp126,2053,226.80833822
ACCESS-CM2,ssp126,2054,87.59876233
ACCESS-CM2,ssp126,2055,184.15281884
ACCESS-CM2,ssp126,2056,98.78022884
ACCESS-CM2,ssp126,2057,97.88373791
ACCESS-CM2,ssp126,2058,219.20524589
ACCESS-CM2,ssp126,2059,86.68124863
ACCESS-CM2,ssp126,2060,181.01843913
ACCESS-CM2,ssp126,2061,181.39899378
ACCESS-CM2,ssp126,2062,247.30813213
ACCESS-CM2,ssp126,2063,70.48970992
ACCESS-CM2,ssp126,2064,73.53637187
ACCESS-CM2,ssp126,2065,76.36431242
ACCESS-CM2,ssp126,2066,206.35572515
ACCESS-CM2,ssp126,2067,100.65063477
ACCESS-CM2,ssp126,2068,109.79909106
ACCESS-CM2,ssp126,2069,122.12089723
ACCESS-CM2,ssp126,2070,147.50423711
ACCESS-CM2,ssp126,2071,193.32127256
ACCESS-CM2,ssp126,2072,172.60628124
ACCESS-CM2,ssp126,2073,265.19858259
ACCESS-CM2,ssp126,2074,190.46642589
ACCESS-CM2,ssp126,2075,132.33067351
ACCESS-CM2,ssp126,2076,169.37522809
ACCESS-CM2,ssp126,2077,151.52015281
ACCESS-CM2,ssp126,2078,77.57330623
ACCESS-CM2,ssp126,2079,134.75942940
ACCESS-CM2,ssp126,2080,166.65981865
ACCESS-CM2,ssp126,2081,124.85822220
ACCESS-CM2,ssp126,2082,76.82546689
ACCESS-CM2,ssp126,2083,106.77561651
ACCESS-CM2,ssp126,2084,121.89745331
ACCESS-CM2,ssp126,2085,167.63982042
ACCESS-CM2,ssp126,2086,147.88279719
ACCESS-CM2,ssp126,2087,147.64278860
ACCESS-CM2,ssp126,2088,153.64031022
ACCESS-CM2,ssp126,2089,142.22409840
ACCESS-CM2,ssp126,2090,55.30412978
ACCESS-CM2,ssp126,2091,170.36483022
ACCESS-CM2,ssp126,2092,163.89499304
ACCESS-CM2,ssp126,2093,130.08405342
ACCESS-CM2,ssp126,2094,222.13072200
ACCESS-CM2,ssp126,2095,98.46185288
ACCESS-CM2,ssp126,2096,153.06321457
ACCESS-CM2,ssp126,2097,174.63648570
ACCESS-CM2,ssp126,2098,163.74890540
ACCESS-CM2,ssp126,2099,148.69630895
ACCESS-CM2,ssp245,2015,43.56684263
ACCESS-CM2,ssp245,2016,149.80575786
ACCESS-CM2,ssp245,2017,123.22371411
ACCESS-CM2,ssp245,2018,191.19099160
ACCESS-CM2,ssp245,2019,182.41473843
ACCESS-CM2,ssp245,2020,191.79717692
ACCESS-CM2,ssp245,2021,183.43000835
ACCESS-CM2,ssp245,2022,202.08735038
ACCESS-CM2,ssp245,2023,113.96290955
ACCESS-CM2,ssp245,2024,118.01522113
ACCESS-CM2,ssp245,2025,71.09840926
ACCESS-CM2,ssp245,2026,79.21258051
ACCESS-CM2,ssp245,2027,195.72690561
ACCESS-CM2,ssp245,2028,113.30839938
ACCESS-CM2,ssp245,2029,240.88134545
ACCESS-CM2,ssp245,2030,195.19416028
ACCESS-CM2,ssp245,2031,103.08413013
ACCESS-CM2,ssp245,2032,107.98848129
ACCESS-CM2,ssp245,2033,127.18565099
ACCESS-CM2,ssp245,2034,113.29218379
ACCESS-CM2,ssp245,2035,135.05818626
ACCESS-CM2,ssp245,2036,61.50738736
ACCESS-CM2,ssp245,2037,131.13980388
ACCESS-CM2,ssp245,2038,135.18750581
ACCESS-CM2,ssp245,2039,195.48556818
ACCESS-CM2,ssp245,2040,101.79540472
ACCESS-CM2,ssp245,2041,77.58420282
ACCESS-CM2,ssp245,2042,91.10993589
ACCESS-CM2,ssp245,2043,225.71325172
ACCESS-CM2,ssp245,2044,159.78597032
ACCESS-CM2,ssp245,2045,195.11062643
ACCESS-CM2,ssp245,2046,135.70581534
ACCESS-CM2,ssp245,2047,116.47676606
ACCESS-CM2,ssp245,2048,184.19435238
ACCESS-CM2,ssp245,2049,68.35372367
ACCESS-CM2,ssp245,2050,108.10575391
ACCESS-CM2,ssp245,2051,129.58054741
ACCESS-CM2,ssp245,2052,110.02996324
ACCESS-CM2,ssp245,2053,156.61249105
ACCESS-CM2,ssp245,2054,115.13000691
ACCESS-CM2,ssp245,2055,296.15919562
ACCESS-CM2,ssp245,2056,123.68283028
ACCESS-CM2,ssp245,2057,166.24018160
ACCESS-CM2,ssp245,2058,245.56628504
ACCESS-CM2,ssp245,2059,57.50606870
ACCESS-CM2,ssp245,2060,174.50114492
ACCESS-CM2,ssp245,2061,199.49868963
ACCESS-CM2,ssp245,2062,165.68820184
ACCESS-CM2,ssp245,2063,186.68869062
ACCESS-CM2,ssp245,2064,145.06359593
ACCESS-CM2,ssp245,2065,180.07062775
