model,experiment,year,pr
ACCESS-CM2,historical,1960,125.55566535
ACCESS-CM2,historical,1961,86.24646021
ACCESS-CM2,historical,1962,141.53711368
ACCESS-CM2,historical,1963,193.09364515
ACCESS-CM2,historical,1964,186.11855138
ACCESS-CM2,historical,1965,151.00254493
ACCESS-CM2,historical,1966,97.11849114
ACCESS-CM2,historical,1967,141.56506376
ACCESS-CM2,historical,1968,123.54786490
ACCESS-CM2,historical,1969,97.18656755
ACCESS-CM2,historical,1970,115.98610657
ACCESS-CM2,historical,1971,131.96589234
ACCESS-CM2,historical,1972,139.77222144
ACCESS-CM2,historical,1973,95.59346822
ACCESS-CM2,historical,1974,76.19307532
ACCESS-CM2,historical,1975,91.17696191
ACCESS-CM2,historical,1976,56.55338383
ACCESS-CM2,historical,1977,51.16562441
ACCESS-CM2,historical,1978,149.65339850
ACCESS-CM2,historical,1979,102.52956308
ACCESS-CM2,historical,1980,109.30343954
ACCESS-CM2,historical,1981,76.88182911
ACCESS-CM2,historical,1982,100.49267499
ACCESS-CM2,historical,1983,74.74589555
ACCESS-CM2,historical,1984,62.81363838
ACCESS-CM2,historical,1985,91.67167125
ACCESS-CM2,historical,1986,76.47912258
ACCESS-CM2,historical,1987,123.30006649
ACCESS-CM2,historical,1988,189.02774817
ACCESS-CM2,historical,1989,82.84267043
ACCESS-CM2,historical,1990,193.61857824
ACCESS-CM2,historical,1991,72.41607825
ACCESS-CM2,historical,1992,119.66875298
ACCESS-CM2,historical,1993,88.67420990
ACCESS-CM2,historical,1994,166.45439737
ACCESS-CM2,historical,1995,79.71196010
ACCESS-CM2,historical,1996,182.93886252
ACCESS-CM2,historical,1997,97.97396639
ACCESS-CM2,historical,1998,124.37558395
ACCESS-CM2,historical,1999,73.29256840
ACCESS-CM2,historical,2000,102.40462304
ACCESS-CM2,historical,2001,161.86859556
ACCESS-CM2,historical,2002,101.38767054
ACCESS-CM2,historical,2003,115.92108797
ACCESS-CM2,historical,2004,79.12260267
