model,experiment,year,pr
ACCESS-CM2,historical,1960,173.73721724
ACCESS-CM2,historical,1961,102.55341272
ACCESS-CM2,historical,1962,173.80991616
ACCESS-CM2,historical,1963,231.12096274
ACCESS-CM2,historical,1964,210.83492734
ACCESS-CM2,historical,1965,221.20370333
ACCESS-CM2,historical,1966,111.85838581
ACCESS-CM2,historical,1967,172.02781030
ACCESS-CM2,historical,1968,153.79424625
ACCESS-CM2,historical,1969,148.01007648
ACCESS-CM2,historical,1970,155.33667474
ACCESS-CM2,historical,1971,173.46898287
ACCESS-CM2,historical,1972,180.91959162
ACCESS-CM2,historical,1973,142.78129428
ACCESS-CM2,historical,1974,126.18383964
ACCESS-CM2,historical,1975,195.58993712
ACCESS-CM2,historical,1976,112.83318644
ACCESS-CM2,historical,1977,111.01326484
ACCESS-CM2,historical,1978,168.02421135
ACCESS-CM2,historical,1979,117.58528640
ACCESS-CM2,historical,1980,144.86140750
ACCESS-CM2,historical,1981,86.99060840
ACCESS-CM2,historical,1982,143.20863651
ACCESS-CM2,historical,1983,86.89606802
ACCESS-CM2,historical,1984,137.77695225
ACCESS-CM2,historical,1985,152.12680448
ACCESS-CM2,historical,1986,112.59995100
ACCESS-CM2,historical,1987,134.36735166
ACCESS-CM2,historical,1988,240.73686306
ACCESS-CM2,historical,1989,117.39945869
ACCESS-CM2,historical,1990,209.36392937
ACCESS-CM2,historical,1991,106.42029704
ACCESS-CM2,historical,1992,181.03698307
ACCESS-CM2,historical,1993,153.56207742
ACCESS-CM2,historical,1994,173.58824938
ACCESS-CM2,historical,1995,142.54468496
ACCESS-CM2,historical,1996,206.44163993
ACCESS-CM2,historical,1997,149.81000313
ACCESS-CM2,historical,1998,160.43244226
ACCESS-CM2,historical,1999,123.57639417
ACCESS-CM2,historical,2000,149.92647743
ACCESS-CM2,historical,2001,152.45865194
ACCESS-CM2,historical,2002,213.06108268
ACCESS-CM2,historical,2003,164.34942054
ACCESS-CM2,historical,2004,116.67281634
ACCESS-CM2,historical,2005,191.15943487
ACCESS-CM2,historical,2006,186.79406208
ACCESS-CM2,historical,2007,171.39419612
ACCESS-CM2,historical,2008,154.45375455
ACCESS-CM2,historical,2009,202.97872019
ACCESS-CM2,historical,2010,163.16944911
ACCESS-CM2,historical,2011,164.46206887
ACCESS-CM2,historical,2012,170.36115381
ACCESS-CM2,historical,2013,118.53314382
ACCESS-CM2,historical,2014,89.04804221
ACCESS-CM2,ssp126,2015,130.96873174
ACCESS-CM2,ssp126,2016,153.06061678
ACCESS-CM2,ssp126,2017,135.32184475
ACCESS-CM2,ssp126,2018,195.60623667
ACCESS-CM2,ssp126,2019,195.89238073
ACCESS-CM2,ssp126,2020,177.32175979
ACCESS-CM2,ssp126,2021,207.54324297
ACCESS-CM2,ssp126,2022,143.84655170
ACCESS-CM2,ssp126,2023,195.19907595
ACCESS-CM2,ssp126,2024,153.80828686
ACCESS-CM2,ssp126,2025,168.57537861
ACCESS-CM2,ssp126,2026,149.11799450
ACCESS-CM2,ssp126,2027,164.99102408
ACCESS-CM2,ssp126,2028,229.44549626
ACCESS-CM2,ssp126,2029,168.79202574
ACCESS-CM2,ssp126,2030,197.99141241
ACCESS-CM2,ssp126,2031,195.79849470
ACCESS-CM2,ssp126,2032,224.31823200
ACCESS-CM2,ssp126,2033,206.03830988
ACCESS-CM2,ssp126,2034,266.67937060
ACCESS-CM2,ssp126,2035,112.96769373
ACCESS-CM2,ssp126,2036,235.22848557
ACCESS-CM2,ssp126,2037,149.84444406
ACCESS-CM2,ssp126,2038,218.13232440
ACCESS-CM2,ssp126,2039,191.69137112
ACCESS-CM2,ssp126,2040,165.12979804
ACCESS-CM2,ssp126,2041,163.69956043
ACCESS-CM2,ssp126,2042,234.70131719
ACCESS-CM2,ssp126,2043,166.96602358
ACCESS-CM2,ssp126,2044,192.28199783
ACCESS-CM2,ssp126,2045,196.75293030
ACCESS-CM2,ssp126,2046,107.82690817
ACCESS-CM2,ssp126,2047,160.61076238
ACCESS-CM2,ssp126,2048,164.09060854
ACCESS-CM2,ssp126,2049,142.76021593
ACCESS-CM2,ssp126,2050,177.18534200
ACCESS-CM2,ssp126,2051,188.68402850
ACCESS-CM2,ssp126,2052,164.06298108
ACCESS-CM2,ssp126,2053,222.26676516
ACCESS-CM2,ssp126,2054,131.11208696
ACCESS-CM2,ssp126,2055,201.18499486
ACCESS-CM2,ssp126,2056,172.48310448
ACCESS-CM2,ssp126,2057,174.57839909
ACCESS-CM2,ssp126,2058,206.75774169
ACCESS-CM2,ssp126,2059,119.71028192
ACCESS-CM2,ssp126,2060,247.88634683
ACCESS-CM2,ssp126,2061,226.96235734
ACCESS-CM2,ssp126,2062,147.91611937
ACCESS-CM2,ssp126,2063,175.44088243
ACCESS-CM2,ssp126,2064,181.82835222
ACCESS-CM2,ssp126,2065,189.68435103
ACCESS-CM2,ssp126,2066,170.21296078
ACCESS-CM2,ssp126,2067,164.69992997
ACCESS-CM2,ssp126,2068,140.65446843
ACCESS-CM2,ssp126,2069,192.08884967
ACCESS-CM2,ssp126,2070,146.60618222
ACCESS-CM2,ssp126,2071,159.98712866
ACCESS-CM2,ssp126,2072,273.31907336
ACCESS-CM2,ssp126,2073,177.11370048
ACCESS-CM2,ssp126,2074,212.82444083
ACCESS-CM2,ssp126,2075,261.45398727
ACCESS-CM2,ssp126,2076,196.51744778
ACCESS-CM2,ssp126,2077,162.42129161
ACCESS-CM2,ssp126,2078,88.31963079
ACCESS-CM2,ssp126,2079,133.51532562
ACCESS-CM2,ssp126,2080,215.37721078
ACCESS-CM2,ssp126,2081,152.69071249
ACCESS-CM2,ssp126,2082,108.29872632
ACCESS-CM2,ssp126,2083,236.30679004
ACCESS-CM2,ssp126,2084,103.17911765
ACCESS-CM2,ssp126,2085,236.67467811
ACCESS-CM2,ssp126,2086,155.45065214
ACCESS-CM2,ssp126,2087,116.77663630
ACCESS-CM2,ssp126,2088,176.25481741
ACCESS-CM2,ssp126,2089,207.23273274
ACCESS-CM2,ssp126,2090,154.45369845
ACCESS-CM2,ssp126,2091,176.08896582
ACCESS-CM2,ssp126,2092,177.22910923
ACCESS-CM2,ssp126,2093,183.74929875
ACCESS-CM2,ssp126,2094,158.24868559
ACCESS-CM2,ssp126,2095,217.28294428
ACCESS-CM2,ssp126,2096,216.49558118
ACCESS-CM2,ssp126,2097,263.57467253
ACCESS-CM2,ssp126,2098,120.09027792
ACCESS-CM2,ssp126,2099,134.75870774
ACCESS-CM2,ssp245,2015,104.20662001
ACCESS-CM2,ssp245,2016,183.37549647
ACCESS-CM2,ssp245,2017,107.13296902
ACCESS-CM2,ssp245,2018,216.13851668
ACCESS-CM2,ssp245,2019,178.01184398
ACCESS-CM2,ssp245,2020,186.00767629
ACCESS-CM2,ssp245,2021,190.25778158
ACCESS-CM2,ssp245,2022,220.17443669
ACCESS-CM2,ssp245,2023,194.99917971
ACCESS-CM2,ssp245,2024,195.05939322
ACCESS-CM2,ssp245,2025,89.52219741
ACCESS-CM2,ssp245,2026,125.70010223
ACCESS-CM2,ssp245,2027,109.17990535
ACCESS-CM2,ssp245,2028,247.45199754
ACCESS-CM2,ssp245,2029,208.35594580
ACCESS-CM2,ssp245,2030,138.21114064
ACCESS-CM2,ssp245,2031,182.06168348
ACCESS-CM2,ssp245,2032,212.59367020
ACCESS-CM2,ssp245,2033,168.00792940
ACCESS-CM2,ssp245,2034,166.40079031
ACCESS-CM2,ssp245,2035,169.74327057
ACCESS-CM2,ssp245,2036,153.64379517
ACCESS-CM2,ssp245,2037,200.46687491
ACCESS-CM2,ssp245,2038,179.70055483
ACCESS-CM2,ssp245,2039,196.25370181
ACCESS-CM2,ssp245,2040,204.88357093
ACCESS-CM2,ssp245,2041,193.53423409
ACCESS-CM2,ssp245,2042,192.63489210
ACCESS-CM2,ssp245,2043,182.85336040
ACCESS-CM2,ssp245,2044,197.68141559
ACCESS-CM2,ssp245,2045,250.30365773
ACCESS-CM2,ssp245,2046,179.21341714
ACCESS-CM2,ssp245,2047,163.94327548
ACCESS-CM2,ssp245,2048,175.01178076
ACCESS-CM2,ssp245,2049,146.33772358
ACCESS-CM2,ssp245,2050,122.12602773
ACCESS-CM2,ssp245,2051,166.28254180
ACCESS-CM2,ssp245,2052,201.39111975
ACCESS-CM2,ssp245,2053,176.50535882
ACCESS-CM2,ssp245,2054,191.27187847
ACCESS-CM2,ssp245,2055,334.02532730
ACCESS-CM2,ssp245,2056,207.16341608
ACCESS-CM2,ssp245,2057,169.01900891
ACCESS-CM2,ssp245,2058,245.53548219
ACCESS-CM2,ssp245,2059,97.43581321
ACCESS-CM2,ssp245,2060,210.15762383
ACCESS-CM2,ssp245,2061,179.39419024
ACCESS-CM2,ssp245,2062,226.81058944
ACCESS-CM2,ssp245,2063,220.66038257
ACCESS-CM2,ssp245,2064,150.52970581
ACCESS-CM2,ssp245,2065,246.16322704
ACCESS-CM2,ssp245,2066,189.44488133
ACCESS-CM2,ssp245,2067,126.00606222
ACCESS-CM2,ssp245,2068,179.49523467
ACCESS-CM2,ssp245,2069,214.41662173
ACCESS-CM2,ssp245,2070,123.21990413
ACCESS-CM2,ssp245,2071,200.83856907
ACCESS-CM2,ssp245,2072,214.59780317
ACCESS-CM2,ssp245,2073,179.30090555
ACCESS-CM2,ssp245,2074,128.36026001
ACCESS-CM2,ssp245,2075,212.42918282
ACCESS-CM2,ssp245,2076,121.10732585
ACCESS-CM2,ssp245,2077,172.30099619
ACCESS-CM2,ssp245,2078,159.42187776
ACCESS-CM2,ssp245,2079,189.24334864
ACCESS-CM2,ssp245,2080,139.67834413
