model,experiment,year,pr
ACCESS-CM2,historical,1960,221.70854291
ACCESS-CM2,historical,1961,88.26371034
ACCESS-CM2,historical,1962,247.37312799
ACCESS-CM2,historical,1963,334.21238431
ACCESS-CM2,historical,1964,329.30103459
ACCESS-CM2,historical,1965,253.29400084
ACCESS-CM2,historical,1966,116.47392835
ACCESS-CM2,historical,1967,241.09759257
ACCESS-CM2,historical,1968,266.54104673
ACCESS-CM2,historical,1969,156.78515137
ACCESS-CM2,historical,1970,152.94514607
ACCESS-CM2,historical,1971,204.91786252
ACCESS-CM2,historical,1972,270.09666944
ACCESS-CM2,historical,1973,171.52384404
ACCESS-CM2,historical,1974,157.08390917
ACCESS-CM2,historical,1975,286.63300339
ACCESS-CM2,historical,1976,95.00511403
ACCESS-CM2,historical,1977,133.83171401
ACCESS-CM2,historical,1978,225.01111429
ACCESS-CM2,historical,1979,71.45253354
ACCESS-CM2,historical,1980,170.13134060
ACCESS-CM2,historical,1981,81.00427098
ACCESS-CM2,historical,1982,142.83856310
ACCESS-CM2,historical,1983,120.95596492
ACCESS-CM2,historical,1984,217.16094887
ACCESS-CM2,historical,1985,136.42085666
ACCESS-CM2,historical,1986,119.97427757
ACCESS-CM2,historical,1987,191.59922065
ACCESS-CM2,historical,1988,367.11417431
ACCESS-CM2,historical,1989,145.59803756
ACCESS-CM2,historical,1990,295.97136243
ACCESS-CM2,historical,1991,141.43064398
ACCESS-CM2,historical,1992,232.39166963
ACCESS-CM2,historical,1993,188.69169493
ACCESS-CM2,historical,1994,242.93888252
ACCESS-CM2,historical,1995,186.28499276
ACCESS-CM2,historical,1996,264.89087630
ACCESS-CM2,historical,1997,188.13071023
ACCESS-CM2,historical,1998,206.07875783
ACCESS-CM2,historical,1999,252.77136015
ACCESS-CM2,historical,2000,224.47077053
ACCESS-CM2,historical,2001,183.41195811
ACCESS-CM2,historical,2002,291.24517786
ACCESS-CM2,historical,2003,273.67451512
ACCESS-CM2,historical,2004,135.61019052
ACCESS-CM2,historical,2005,266.08203566
ACCESS-CM2,historical,2006,254.92699680
ACCESS-CM2,historical,2007,208.06467150
ACCESS-CM2,historical,2008,185.97616516
ACCESS-CM2,historical,2009,332.97749849
ACCESS-CM2,historical,2010,225.37598342
ACCESS-CM2,historical,2011,235.94082220
ACCESS-CM2,historical,2012,244.50028037
ACCESS-CM2,historical,2013,246.99374886
ACCESS-CM2,historical,2014,84.69690747
ACCESS-CM2,ssp126,2015,92.01643631
ACCESS-CM2,ssp126,2016,164.60857081
ACCESS-CM2,ssp126,2017,119.18799202
ACCESS-CM2,ssp126,2018,280.65325556
ACCESS-CM2,ssp126,2019,275.58924203
ACCESS-CM2,ssp126,2020,189.55737258
ACCESS-CM2,ssp126,2021,261.49086574
ACCESS-CM2,ssp126,2022,200.84429200
ACCESS-CM2,ssp126,2023,287.85451902
ACCESS-CM2,ssp126,2024,141.86662727
ACCESS-CM2,ssp126,2025,131.11770241
ACCESS-CM2,ssp126,2026,202.92560748
ACCESS-CM2,ssp126,2027,246.23882115
ACCESS-CM2,ssp126,2028,288.28220075
ACCESS-CM2,ssp126,2029,238.62875068
ACCESS-CM2,ssp126,2030,292.89076961
ACCESS-CM2,ssp126,2031,342.70243861
ACCESS-CM2,ssp126,2032,351.90122419
ACCESS-CM2,ssp126,2033,282.01192681
ACCESS-CM2,ssp126,2034,409.48733971
ACCESS-CM2,ssp126,2035,116.54011344
ACCESS-CM2,ssp126,2036,269.54619130
ACCESS-CM2,ssp126,2037,161.96550210
ACCESS-CM2,ssp126,2038,334.87704043
ACCESS-CM2,ssp126,2039,340.45130940
ACCESS-CM2,ssp126,2040,221.32016826
ACCESS-CM2,ssp126,2041,103.60278398
ACCESS-CM2,ssp126,2042,369.35215717
ACCESS-CM2,ssp126,2043,239.30211614
