model,experiment,year,pr
ACCESS-CM2,historical,1960,472.96572845
ACCESS-CM2,historical,1961,106.17433907
ACCESS-CM2,historical,1962,683.87206733
ACCESS-CM2,historical,1963,807.50906421
ACCESS-CM2,historical,1964,562.36049183
ACCESS-CM2,historical,1965,708.15736040
ACCESS-CM2,historical,1966,314.86572414
ACCESS-CM2,historical,1967,531.16637457
ACCESS-CM2,historical,1968,367.86415342
ACCESS-CM2,historical,1969,370.37487433
ACCESS-CM2,historical,1970,560.49350581
ACCESS-CM2,historical,1971,279.92795593
ACCESS-CM2,historical,1972,563.60971848
ACCESS-CM2,historical,1973,348.54920891
ACCESS-CM2,historical,1974,334.86339617
ACCESS-CM2,historical,1975,480.36747703
ACCESS-CM2,historical,1976,242.18921443
ACCESS-CM2,historical,1977,257.46894016
ACCESS-CM2,historical,1978,346.28863162
ACCESS-CM2,historical,1979,214.82837484
ACCESS-CM2,historical,1980,292.77208245
ACCESS-CM2,historical,1981,77.06577628
ACCESS-CM2,historical,1982,268.79555441
ACCESS-CM2,historical,1983,184.56394160
ACCESS-CM2,historical,1984,264.37940923
ACCESS-CM2,historical,1985,370.96670334
ACCESS-CM2,historical,1986,220.74377327
ACCESS-CM2,historical,1987,331.68999913
ACCESS-CM2,historical,1988,577.85142256
ACCESS-CM2,historical,1989,214.49718479
ACCESS-CM2,historical,1990,683.50960216
ACCESS-CM2,historical,1991,273.23563041
ACCESS-CM2,historical,1992,579.85596663
ACCESS-CM2,historical,1993,405.88200394
ACCESS-CM2,historical,1994,311.36992127
ACCESS-CM2,historical,1995,284.76438522
ACCESS-CM2,historical,1996,577.11638287
ACCESS-CM2,historical,1997,409.48133848
ACCESS-CM2,historical,1998,315.71316789
ACCESS-CM2,historical,1999,291.93194805
ACCESS-CM2,historical,2000,452.35822867
ACCESS-CM2,historical,2001,136.57652166
ACCESS-CM2,historical,2002,547.48491667
ACCESS-CM2,historical,2003,366.45484933
ACCESS-CM2,historical,2004,452.63923650
ACCESS-CM2,historical,2005,592.64541577
ACCESS-CM2,historical,2006,397.67354982
ACCESS-CM2,historical,2007,276.68340791
ACCESS-CM2,historical,2008,369.92564649
ACCESS-CM2,historical,2009,696.92694160
ACCESS-CM2,historical,2010,411.75223806
ACCESS-CM2,historical,2011,401.65646892
ACCESS-CM2,historical,2012,416.76148667
ACCESS-CM2,historical,2013,336.64270807
ACCESS-CM2,historical,2014,139.28071474
ACCESS-CM2,ssp126,2015,175.41773106
ACCESS-CM2,ssp126,2016,309.98167329
ACCESS-CM2,ssp126,2017,331.24582418
ACCESS-CM2,ssp126,2018,580.41204315
ACCESS-CM2,ssp126,2019,542.03818596
ACCESS-CM2,ssp126,2020,536.93583670
ACCESS-CM2,ssp126,2021,612.18073005
ACCESS-CM2,ssp126,2022,405.40787631
ACCESS-CM2,ssp126,2023,659.27049349
ACCESS-CM2,ssp126,2024,565.90448791
ACCESS-CM2,ssp126,2025,256.55057431
ACCESS-CM2,ssp126,2026,377.26222585
ACCESS-CM2,ssp126,2027,523.12174831
ACCESS-CM2,ssp126,2028,639.84752089
ACCESS-CM2,ssp126,2029,380.24295180
ACCESS-CM2,ssp126,2030,576.94264890
ACCESS-CM2,ssp126,2031,466.30970820
ACCESS-CM2,ssp126,2032,701.04698928
ACCESS-CM2,ssp126,2033,701.83089220
ACCESS-CM2,ssp126,2034,850.61093371
ACCESS-CM2,ssp126,2035,413.49872144
ACCESS-CM2,ssp126,2036,779.50770515
ACCESS-CM2,ssp126,2037,208.22442730
ACCESS-CM2,ssp126,2038,655.15461902
ACCESS-CM2,ssp126,2039,499.38405047
ACCESS-CM2,ssp126,2040,487.37915259
ACCESS-CM2,ssp126,2041,346.03757752
ACCESS-CM2,ssp126,2042,829.46809950
ACCESS-CM2,ssp126,2043,508.53440506
ACCESS-CM2,ssp126,2044,575.98398660
ACCESS-CM2,ssp126,2045,689.10176313
ACCESS-CM2,ssp126,2046,206.92551276
ACCESS-CM2,ssp126,2047,429.64522714
ACCESS-CM2,ssp126,2048,396.00172904
ACCESS-CM2,ssp126,2049,361.70605348
ACCESS-CM2,ssp126,2050,538.06444739
ACCESS-CM2,ssp126,2051,471.68878406
ACCESS-CM2,ssp126,2052,469.59698938
ACCESS-CM2,ssp126,2053,495.01502330
ACCESS-CM2,ssp126,2054,388.42978461
ACCESS-CM2,ssp126,2055,501.05433713
ACCESS-CM2,ssp126,2056,562.07540906
ACCESS-CM2,ssp126,2057,520.47860686
ACCESS-CM2,ssp126,2058,440.73758235
ACCESS-CM2,ssp126,2059,366.70005933
ACCESS-CM2,ssp126,2060,787.71592767
ACCESS-CM2,ssp126,2061,749.55768185
ACCESS-CM2,ssp126,2062,301.75803786
ACCESS-CM2,ssp126,2063,535.61662819
ACCESS-CM2,ssp126,2064,499.07861540
ACCESS-CM2,ssp126,2065,698.35772397
ACCESS-CM2,ssp126,2066,252.94237624
ACCESS-CM2,ssp126,2067,608.04377414
ACCESS-CM2,ssp126,2068,387.58861984
ACCESS-CM2,ssp126,2069,516.74651590
ACCESS-CM2,ssp126,2070,235.49228351
ACCESS-CM2,ssp126,2071,329.15811660
ACCESS-CM2,ssp126,2072,880.79138069
ACCESS-CM2,ssp126,2073,279.18017321
ACCESS-CM2,ssp126,2074,714.83280588
ACCESS-CM2,ssp126,2075,937.71219095
ACCESS-CM2,ssp126,2076,457.33073535
ACCESS-CM2,ssp126,2077,319.62745528
ACCESS-CM2,ssp126,2078,83.82761399
ACCESS-CM2,ssp126,2079,372.34228496
ACCESS-CM2,ssp126,2080,646.79952318
ACCESS-CM2,ssp126,2081,425.70148984
ACCESS-CM2,ssp126,2082,285.38256992
ACCESS-CM2,ssp126,2083,826.89805490
ACCESS-CM2,ssp126,2084,257.35154392
ACCESS-CM2,ssp126,2085,728.45427710
ACCESS-CM2,ssp126,2086,445.60567452
ACCESS-CM2,ssp126,2087,139.67403485
ACCESS-CM2,ssp126,2088,405.28516813
ACCESS-CM2,ssp126,2089,584.59083322
ACCESS-CM2,ssp126,2090,438.89027636
ACCESS-CM2,ssp126,2091,407.13230905
ACCESS-CM2,ssp126,2092,449.28583420
ACCESS-CM2,ssp126,2093,431.39332808
ACCESS-CM2,ssp126,2094,170.71986902
ACCESS-CM2,ssp126,2095,741.54819273
ACCESS-CM2,ssp126,2096,663.71544960
ACCESS-CM2,ssp126,2097,812.62140283
ACCESS-CM2,ssp126,2098,276.47513748
ACCESS-CM2,ssp126,2099,251.74936837
ACCESS-CM2,ssp245,2015,176.20208591
ACCESS-CM2,ssp245,2016,376.32868253
ACCESS-CM2,ssp245,2017,111.07126628
ACCESS-CM2,ssp245,2018,524.61846259
ACCESS-CM2,ssp245,2019,303.27744987
ACCESS-CM2,ssp245,2020,499.46109270
ACCESS-CM2,ssp245,2021,508.47916038
ACCESS-CM2,ssp245,2022,554.29111012
ACCESS-CM2,ssp245,2023,587.54359711
ACCESS-CM2,ssp245,2024,669.81549561
ACCESS-CM2,ssp245,2025,177.66422738
ACCESS-CM2,ssp245,2026,307.83523951
ACCESS-CM2,ssp245,2027,145.83318025
ACCESS-CM2,ssp245,2028,887.44244974
ACCESS-CM2,ssp245,2029,555.67701816
