model,experiment,year,pr
ACCESS-CM2,historical,1960,299.71758254
ACCESS-CM2,historical,1961,227.76274676
ACCESS-CM2,historical,1962,339.38331370
ACCESS-CM2,historical,1963,356.49992245
ACCESS-CM2,historical,1964,374.96694407
ACCESS-CM2,historical,1965,169.98629143
ACCESS-CM2,historical,1966,344.38317309
ACCESS-CM2,historical,1967,284.55491203
ACCESS-CM2,historical,1968,367.19607037
ACCESS-CM2,historical,1969,283.63323721
ACCESS-CM2,historical,1970,289.35696978
ACCESS-CM2,historical,1971,289.43710283
ACCESS-CM2,historical,1972,352.67110664
ACCESS-CM2,historical,1973,348.78372566
ACCESS-CM2,historical,1974,227.11457245
ACCESS-CM2,historical,1975,251.72478923
ACCESS-CM2,historical,1976,401.66187512
ACCESS-CM2,historical,1977,268.11882976
ACCESS-CM2,historical,1978,241.84399358
ACCESS-CM2,historical,1979,369.45386490
ACCESS-CM2,historical,1980,258.24809547
ACCESS-CM2,historical,1981,455.75740764
ACCESS-CM2,historical,1982,259.79202650
ACCESS-CM2,historical,1983,405.15327557
ACCESS-CM2,historical,1984,252.41174393
ACCESS-CM2,historical,1985,228.51245432
ACCESS-CM2,historical,1986,307.09839828
ACCESS-CM2,historical,1987,303.78170230
ACCESS-CM2,historical,1988,300.73382732
ACCESS-CM2,historical,1989,255.46974053
ACCESS-CM2,historical,1990,371.76014131
ACCESS-CM2,historical,1991,286.63407943
ACCESS-CM2,historical,1992,266.45500292
ACCESS-CM2,historical,1993,233.66416767
ACCESS-CM2,historical,1994,324.89146053
ACCESS-CM2,historical,1995,314.57722885
ACCESS-CM2,historical,1996,296.69771678
ACCESS-CM2,historical,1997,191.30237916
ACCESS-CM2,historical,1998,294.30949903
ACCESS-CM2,historical,1999,276.88098627
ACCESS-CM2,historical,2000,377.32777457
ACCESS-CM2,historical,2001,227.40110173
ACCESS-CM2,historical,2002,407.22580420
ACCESS-CM2,historical,2003,200.93822811
ACCESS-CM2,historical,2004,469.56793938
ACCESS-CM2,historical,2005,304.07738166
ACCESS-CM2,historical,2006,266.06857638
ACCESS-CM2,historical,2007,337.51924269
ACCESS-CM2,historical,2008,516.73431852
ACCESS-CM2,historical,2009,410.77049099
ACCESS-CM2,historical,2010,275.62525526
ACCESS-CM2,historical,2011,390.17483238
ACCESS-CM2,historical,2012,356.33653277
ACCESS-CM2,historical,2013,297.28667900
ACCESS-CM2,historical,2014,428.27422710
ACCESS-CM2,historical,2015,113.99578908
ACCESS-CM2,ssp126,2015,173.18164020
ACCESS-CM2,ssp126,2016,327.10079850
ACCESS-CM2,ssp126,2017,356.81076364
ACCESS-CM2,ssp126,2018,245.30094506
ACCESS-CM2,ssp126,2019,338.40361427
ACCESS-CM2,ssp126,2020,310.51354972
ACCESS-CM2,ssp126,2021,301.20378475
ACCESS-CM2,ssp126,2022,203.25246007
ACCESS-CM2,ssp126,2023,190.02720999
ACCESS-CM2,ssp126,2024,322.01030131
ACCESS-CM2,ssp126,2025,311.83802924
ACCESS-CM2,ssp126,2026,305.25614647
ACCESS-CM2,ssp126,2027,338.78999821
ACCESS-CM2,ssp126,2028,277.99148627
ACCESS-CM2,ssp126,2029,363.40578329
ACCESS-CM2,ssp126,2030,346.44558865
ACCESS-CM2,ssp126,2031,367.17711216
ACCESS-CM2,ssp126,2032,398.55653325
ACCESS-CM2,ssp126,2033,324.82425578
ACCESS-CM2,ssp126,2034,387.45080154
ACCESS-CM2,ssp126,2035,282.93090918
ACCESS-CM2,ssp126,2036,321.23259631
ACCESS-CM2,ssp126,2037,279.80741990
ACCESS-CM2,ssp126,2038,259.18975917
ACCESS-CM2,ssp126,2039,422.82214885
ACCESS-CM2,ssp126,2040,399.47216160
ACCESS-CM2,ssp126,2041,385.17654049
ACCESS-CM2,ssp126,2042,335.60559072
ACCESS-CM2,ssp126,2043,311.12263955
ACCESS-CM2,ssp126,2044,291.01141038
ACCESS-CM2,ssp126,2045,216.31210032
ACCESS-CM2,ssp126,2046,292.47024847
ACCESS-CM2,ssp126,2047,234.05389906
ACCESS-CM2,ssp126,2048,308.22772830
ACCESS-CM2,ssp126,2049,314.91809982
ACCESS-CM2,ssp126,2050,300.03245522
ACCESS-CM2,ssp126,2051,403.86557855
ACCESS-CM2,ssp126,2052,358.97491114
ACCESS-CM2,ssp126,2053,348.88496810
ACCESS-CM2,ssp126,2054,277.29191194
ACCESS-CM2,ssp126,2055,268.62642516
ACCESS-CM2,ssp126,2056,309.87059824
ACCESS-CM2,ssp126,2057,502.55224888
ACCESS-CM2,ssp126,2058,360.08951571
ACCESS-CM2,ssp126,2059,197.79100005
ACCESS-CM2,ssp126,2060,411.22941332
ACCESS-CM2,ssp126,2061,245.60047627
ACCESS-CM2,ssp126,2062,377.69997030
ACCESS-CM2,ssp126,2063,253.16779388
ACCESS-CM2,ssp126,2064,301.36714344
ACCESS-CM2,ssp126,2065,324.91191883
ACCESS-CM2,ssp126,2066,275.63062862
ACCESS-CM2,ssp126,2067,263.67806821
ACCESS-CM2,ssp126,2068,244.95147232
ACCESS-CM2,ssp126,2069,291.84519660
ACCESS-CM2,ssp126,2070,458.23602816
ACCESS-CM2,ssp126,2071,385.10983387
ACCESS-CM2,ssp126,2072,351.35889202
ACCESS-CM2,ssp126,2073,418.38905112
ACCESS-CM2,ssp126,2074,269.15743755
ACCESS-CM2,ssp126,2075,260.59193272
