model,experiment,year,pr
ACCESS-CM2,historical,1960,271.41090863
ACCESS-CM2,historical,1961,178.04005602
ACCESS-CM2,historical,1962,331.66970870
ACCESS-CM2,historical,1963,351.23224145
ACCESS-CM2,historical,1964,293.50889268
ACCESS-CM2,historical,1965,205.09450620
ACCESS-CM2,historical,1966,280.43129699
ACCESS-CM2,historical,1967,238.38455879
ACCESS-CM2,historical,1968,368.16156330
ACCESS-CM2,historical,1969,316.88402226
ACCESS-CM2,historical,1970,266.54518056
ACCESS-CM2,historical,1971,249.07365800
ACCESS-CM2,historical,1972,315.82390413
ACCESS-CM2,historical,1973,341.64846371
ACCESS-CM2,historical,1974,232.53986286
ACCESS-CM2,historical,1975,286.86509775
ACCESS-CM2,historical,1976,319.81869960
ACCESS-CM2,historical,1977,273.09184522
ACCESS-CM2,historical,1978,234.24566808
ACCESS-CM2,historical,1979,302.07754708
ACCESS-CM2,historical,1980,241.68722830
ACCESS-CM2,historical,1981,329.90918922
ACCESS-CM2,historical,1982,274.16200649
ACCESS-CM2,historical,1983,370.56464713
ACCESS-CM2,historical,1984,216.47244586
ACCESS-CM2,historical,1985,208.90451332
ACCESS-CM2,historical,1986,285.53209105
ACCESS-CM2,historical,1987,163.59843659
ACCESS-CM2,historical,1988,238.23933538
ACCESS-CM2,historical,1989,283.07039683
ACCESS-CM2,historical,1990,280.84055583
ACCESS-CM2,historical,1991,193.04836699
ACCESS-CM2,historical,1992,254.94687378
ACCESS-CM2,historical,1993,158.90040129
ACCESS-CM2,historical,1994,267.23951610
ACCESS-CM2,historical,1995,304.35533582
ACCESS-CM2,historical,1996,271.93758140
ACCESS-CM2,historical,1997,190.21783746
ACCESS-CM2,historical,1998,218.51009586
ACCESS-CM2,historical,1999,338.64247301
ACCESS-CM2,historical,2000,345.15978561
ACCESS-CM2,historical,2001,256.05171692
ACCESS-CM2,historical,2002,347.33140567
ACCESS-CM2,historical,2003,138.99800469
ACCESS-CM2,historical,2004,417.86523527
ACCESS-CM2,historical,2005,221.64063529
ACCESS-CM2,historical,2006,268.58644605
ACCESS-CM2,historical,2007,329.36991991
ACCESS-CM2,historical,2008,401.48390094
ACCESS-CM2,historical,2009,382.50117129
ACCESS-CM2,historical,2010,253.61325215
ACCESS-CM2,historical,2011,294.53726122
ACCESS-CM2,historical,2012,214.85938321
ACCESS-CM2,historical,2013,256.97627098
ACCESS-CM2,historical,2014,273.09910251
ACCESS-CM2,historical,2015,101.74028477
ACCESS-CM2,ssp126,2015,123.61377473
ACCESS-CM2,ssp126,2016,249.02003329
ACCESS-CM2,ssp126,2017,313.67423934
ACCESS-CM2,ssp126,2018,215.58896498
ACCESS-CM2,ssp126,2019,307.94153777
ACCESS-CM2,ssp126,2020,297.26721056
ACCESS-CM2,ssp126,2021,192.61562699
ACCESS-CM2,ssp126,2022,238.39118650
ACCESS-CM2,ssp126,2023,186.53425331
ACCESS-CM2,ssp126,2024,300.56563462
ACCESS-CM2,ssp126,2025,348.70868056
ACCESS-CM2,ssp126,2026,266.83197501
ACCESS-CM2,ssp126,2027,304.05501367
ACCESS-CM2,ssp126,2028,238.76256553
ACCESS-CM2,ssp126,2029,393.61763091
ACCESS-CM2,ssp126,2030,308.78316178
ACCESS-CM2,ssp126,2031,347.65894078
ACCESS-CM2,ssp126,2032,385.77421213
ACCESS-CM2,ssp126,2033,276.70549368
ACCESS-CM2,ssp126,2034,389.71078908
ACCESS-CM2,ssp126,2035,231.36063167
ACCESS-CM2,ssp126,2036,233.38106431
ACCESS-CM2,ssp126,2037,213.23194875
