model,experiment,year,pr
ACCESS-CM2,historical,1960,118.21994153
ACCESS-CM2,historical,1961,115.25027092
ACCESS-CM2,historical,1962,134.64370139
ACCESS-CM2,historical,1963,114.39775143
ACCESS-CM2,historical,1964,70.60667676
ACCESS-CM2,historical,1965,113.94783366
ACCESS-CM2,historical,1966,115.61043363
ACCESS-CM2,historical,1967,145.58908484
ACCESS-CM2,historical,1968,77.12474086
ACCESS-CM2,historical,1969,39.92169077
ACCESS-CM2,historical,1970,121.87705407
ACCESS-CM2,historical,1971,143.12013172
ACCESS-CM2,historical,1972,159.83984593
ACCESS-CM2,historical,1973,75.09842751
ACCESS-CM2,historical,1974,49.30088231
ACCESS-CM2,historical,1975,93.62628914
ACCESS-CM2,historical,1976,56.03374607
ACCESS-CM2,historical,1977,116.03748638
ACCESS-CM2,historical,1978,189.49893471
ACCESS-CM2,historical,1979,169.36947602
ACCESS-CM2,historical,1980,131.95189899
ACCESS-CM2,historical,1981,90.85153228
ACCESS-CM2,historical,1982,178.92090275
ACCESS-CM2,historical,1983,116.78129519
ACCESS-CM2,historical,1984,121.98487379
ACCESS-CM2,historical,1985,76.37593384
ACCESS-CM2,historical,1986,123.70359070
ACCESS-CM2,historical,1987,114.69186083
ACCESS-CM2,historical,1988,126.89702436
ACCESS-CM2,historical,1989,159.75078435
ACCESS-CM2,historical,1990,113.62939511
ACCESS-CM2,historical,1991,76.32205990
ACCESS-CM2,historical,1992,76.59201098
ACCESS-CM2,historical,1993,96.86792154
ACCESS-CM2,historical,1994,177.01833273
ACCESS-CM2,historical,1995,104.36705387
ACCESS-CM2,historical,1996,69.28520451
ACCESS-CM2,historical,1997,114.19053040
ACCESS-CM2,historical,1998,110.53120623
ACCESS-CM2,historical,1999,135.64270430
ACCESS-CM2,historical,2000,100.56911202
ACCESS-CM2,historical,2001,203.37752564
ACCESS-CM2,historical,2002,79.57628723
ACCESS-CM2,historical,2003,192.11177898
ACCESS-CM2,historical,2004,85.47083411
ACCESS-CM2,historical,2005,105.95668645
ACCESS-CM2,historical,2006,152.42072954
ACCESS-CM2,historical,2007,177.20706770
ACCESS-CM2,historical,2008,188.80804091
ACCESS-CM2,historical,2009,122.28418162
ACCESS-CM2,historical,2010,120.81341352
ACCESS-CM2,historical,2011,125.58587523
ACCESS-CM2,historical,2012,88.62623534
ACCESS-CM2,historical,2013,80.51911524
ACCESS-CM2,historical,2014,113.99578908
ACCESS-CM2,ssp126,2015,147.40354878
ACCESS-CM2,ssp126,2016,85.03777946
ACCESS-CM2,ssp126,2017,63.24632380
ACCESS-CM2,ssp126,2018,160.95782377
