model,experiment,year,pr
ACCESS-CM2,historical,1960,125.17137061
ACCESS-CM2,historical,1961,170.70345718
ACCESS-CM2,historical,1962,128.94040583
ACCESS-CM2,historical,1963,147.02934972
ACCESS-CM2,historical,1964,98.65740274
ACCESS-CM2,historical,1965,154.48856236
ACCESS-CM2,historical,1966,154.66400243
ACCESS-CM2,historical,1967,188.80077079
ACCESS-CM2,historical,1968,112.36371483
ACCESS-CM2,historical,1969,95.65853593
ACCESS-CM2,historical,1970,183.27770475
ACCESS-CM2,historical,1971,172.83890688
ACCESS-CM2,historical,1972,235.70948500
ACCESS-CM2,historical,1973,150.75773580
ACCESS-CM2,historical,1974,115.49184495
ACCESS-CM2,historical,1975,95.56114027
ACCESS-CM2,historical,1976,127.46183749
ACCESS-CM2,historical,1977,152.29976714
ACCESS-CM2,historical,1978,229.60774755
ACCESS-CM2,historical,1979,198.31901504
ACCESS-CM2,historical,1980,202.94485423
ACCESS-CM2,historical,1981,118.73394937
ACCESS-CM2,historical,1982,213.60727148
ACCESS-CM2,historical,1983,139.12002594
ACCESS-CM2,historical,1984,165.17825929
ACCESS-CM2,historical,1985,115.14680068
ACCESS-CM2,historical,1986,135.52672854
ACCESS-CM2,historical,1987,146.66259149
ACCESS-CM2,historical,1988,186.59992607
ACCESS-CM2,historical,1989,145.29317372
ACCESS-CM2,historical,1990,121.78778001
ACCESS-CM2,historical,1991,116.99676146
ACCESS-CM2,historical,1992,119.89516660
ACCESS-CM2,historical,1993,165.70780079
ACCESS-CM2,historical,1994,182.52973461
ACCESS-CM2,historical,1995,120.36028290
ACCESS-CM2,historical,1996,109.95725184
ACCESS-CM2,historical,1997,130.93441750
ACCESS-CM2,historical,1998,162.69295391
ACCESS-CM2,historical,1999,223.20636951
ACCESS-CM2,historical,2000,142.21402079
ACCESS-CM2,historical,2001,257.65191402
ACCESS-CM2,historical,2002,96.35029574
ACCESS-CM2,historical,2003,213.76833251
ACCESS-CM2,historical,2004,130.71865030
ACCESS-CM2,historical,2005,158.32950297
ACCESS-CM2,historical,2006,126.43658538
ACCESS-CM2,historical,2007,236.42936516
ACCESS-CM2,historical,2008,210.14684756
ACCESS-CM2,historical,2009,140.54299690
ACCESS-CM2,historical,2010,114.71623776
ACCESS-CM2,historical,2011,162.25122859
ACCESS-CM2,historical,2012,152.18601442
ACCESS-CM2,historical,2013,108.76369325
ACCESS-CM2,historical,2014,147.01175366
ACCESS-CM2,ssp126,2015,170.12948949
ACCESS-CM2,ssp126,2016,145.51388252
ACCESS-CM2,ssp126,2017,138.73846855
ACCESS-CM2,ssp126,2018,190.06038083
ACCESS-CM2,ssp126,2019,120.01749617
ACCESS-CM2,ssp126,2020,179.62256140
ACCESS-CM2,ssp126,2021,117.56174170
ACCESS-CM2,ssp126,2022,103.93660741
ACCESS-CM2,ssp126,2023,143.88788131
ACCESS-CM2,ssp126,2024,179.80162013
ACCESS-CM2,ssp126,2025,132.41744619
ACCESS-CM2,ssp126,2026,220.12691598
ACCESS-CM2,ssp126,2027,137.27258614
ACCESS-CM2,ssp126,2028,177.49877302
ACCESS-CM2,ssp126,2029,194.16621095
ACCESS-CM2,ssp126,2030,195.05471967
ACCESS-CM2,ssp126,2031,187.97592391
ACCESS-CM2,ssp126,2032,136.11841766
ACCESS-CM2,ssp126,2033,176.95202556
ACCESS-CM2,ssp126,2034,134.33883712
ACCESS-CM2,ssp126,2035,146.12713492
ACCESS-CM2,ssp126,2036,200.42338534
ACCESS-CM2,ssp126,2037,126.51197854
ACCESS-CM2,ssp126,2038,175.16482085
ACCESS-CM2,ssp126,2039,131.21532670
ACCESS-CM2,ssp126,2040,189.26982923
ACCESS-CM2,ssp126,2041,171.81591109
ACCESS-CM2,ssp126,2042,128.19436259
ACCESS-CM2,ssp126,2043,89.00887242
ACCESS-CM2,ssp126,2044,113.07737827
ACCESS-CM2,ssp126,2045,184.71362521
ACCESS-CM2,ssp126,2046,130.36749882
ACCESS-CM2,ssp126,2047,208.85102641
ACCESS-CM2,ssp126,2048,180.16223304
ACCESS-CM2,ssp126,2049,135.46858513
ACCESS-CM2,ssp126,2050,238.30572793
ACCESS-CM2,ssp126,2051,83.78918162
ACCESS-CM2,ssp126,2052,136.69098431
ACCESS-CM2,ssp126,2053,123.25300662
ACCESS-CM2,ssp126,2054,184.16371278
ACCESS-CM2,ssp126,2055,135.95091949
ACCESS-CM2,ssp126,2056,117.54077346
ACCESS-CM2,ssp126,2057,180.29293638
ACCESS-CM2,ssp126,2058,120.19634183
ACCESS-CM2,ssp126,2059,207.46646214
ACCESS-CM2,ssp126,2060,140.27545588
ACCESS-CM2,ssp126,2061,181.50904736
ACCESS-CM2,ssp126,2062,128.50013856
ACCESS-CM2,ssp126,2063,208.37330881
ACCESS-CM2,ssp126,2064,120.15521608
