model,experiment,year,pr
ACCESS-CM2,historical,1960,82.07389197
ACCESS-CM2,historical,1961,140.88453109
ACCESS-CM2,historical,1962,99.20949494
ACCESS-CM2,historical,1963,86.04502039
ACCESS-CM2,historical,1964,85.59718599
ACCESS-CM2,historical,1965,124.34389698
ACCESS-CM2,historical,1966,103.01143034
ACCESS-CM2,historical,1967,119.44652057
ACCESS-CM2,historical,1968,93.96568447
ACCESS-CM2,historical,1969,56.05850702
ACCESS-CM2,historical,1970,116.74507175
ACCESS-CM2,historical,1971,96.67977123
ACCESS-CM2,historical,1972,146.07394636
ACCESS-CM2,historical,1973,114.93100116
ACCESS-CM2,historical,1974,64.57870292
ACCESS-CM2,historical,1975,43.13922550
ACCESS-CM2,historical,1976,63.07806598
ACCESS-CM2,historical,1977,138.78401201
ACCESS-CM2,historical,1978,158.87108691
ACCESS-CM2,historical,1979,130.17515735
ACCESS-CM2,historical,1980,96.70491313
ACCESS-CM2,historical,1981,92.45472097
ACCESS-CM2,historical,1982,132.16738797
ACCESS-CM2,historical,1983,71.99331370
ACCESS-CM2,historical,1984,112.13674785
ACCESS-CM2,historical,1985,78.03351933
ACCESS-CM2,historical,1986,68.53167663
ACCESS-CM2,historical,1987,107.22919458
ACCESS-CM2,historical,1988,156.86000146
ACCESS-CM2,historical,1989,104.22054116
ACCESS-CM2,historical,1990,90.22846752
ACCESS-CM2,historical,1991,46.38218811
ACCESS-CM2,historical,1992,58.11665909
ACCESS-CM2,historical,1993,121.14406027
ACCESS-CM2,historical,1994,141.74431247
ACCESS-CM2,historical,1995,64.99767416
ACCESS-CM2,historical,1996,73.17757103
ACCESS-CM2,historical,1997,89.71603691
ACCESS-CM2,historical,1998,115.68270925
ACCESS-CM2,historical,1999,123.00720824
ACCESS-CM2,historical,2000,98.59504869
ACCESS-CM2,historical,2001,178.84823646
ACCESS-CM2,historical,2002,32.37377699
ACCESS-CM2,historical,2003,156.85771862
ACCESS-CM2,historical,2004,90.18365526
ACCESS-CM2,historical,2005,114.54090184
ACCESS-CM2,historical,2006,85.40513223
ACCESS-CM2,historical,2007,175.17117213
ACCESS-CM2,historical,2008,164.54886689
ACCESS-CM2,historical,2009,108.00095265
ACCESS-CM2,historical,2010,43.19725444
ACCESS-CM2,historical,2011,73.96902748
ACCESS-CM2,historical,2012,74.83373191
ACCESS-CM2,historical,2013,80.00753617
ACCESS-CM2,historical,2014,101.74028477
ACCESS-CM2,ssp126,2015,102.96959257
ACCESS-CM2,ssp126,2016,111.65471181
ACCESS-CM2,ssp126,2017,65.84909550
ACCESS-CM2,ssp126,2018,150.69278779
ACCESS-CM2,ssp126,2019,82.88726327
ACCESS-CM2,ssp126,2020,122.21980204
ACCESS-CM2,ssp126,2021,91.28400595
ACCESS-CM2,ssp126,2022,70.79162132
ACCESS-CM2,ssp126,2023,115.41993225
ACCESS-CM2,ssp126,2024,119.92701799
ACCESS-CM2,ssp126,2025,55.84092333
ACCESS-CM2,ssp126,2026,139.18120647
ACCESS-CM2,ssp126,2027,69.05319820
ACCESS-CM2,ssp126,2028,130.85862733
ACCESS-CM2,ssp126,2029,128.61598939
ACCESS-CM2,ssp126,2030,183.94883035
ACCESS-CM2,ssp126,2031,143.10030111
ACCESS-CM2,ssp126,2032,108.88423624
ACCESS-CM2,ssp126,2033,181.58950486
ACCESS-CM2,ssp126,2034,66.95917533
ACCESS-CM2,ssp126,2035,100.56112808
ACCESS-CM2,ssp126,2036,138.53361845
ACCESS-CM2,ssp126,2037,91.43994629
ACCESS-CM2,ssp126,2038,157.89225763
ACCESS-CM2,ssp126,2039,68.85006025
ACCESS-CM2,ssp126,2040,136.81486267
ACCESS-CM2,ssp126,2041,143.23547232
ACCESS-CM2,ssp126,2042,84.97748544
ACCESS-CM2,ssp126,2043,39.24050199
ACCESS-CM2,ssp126,2044,86.34151999
ACCESS-CM2,ssp126,2045,80.98369828
ACCESS-CM2,ssp126,2046,104.34783629
ACCESS-CM2,ssp126,2047,151.76570069
ACCESS-CM2,ssp126,2048,119.05191270
ACCESS-CM2,ssp126,2049,112.39906419
ACCESS-CM2,ssp126,2050,164.33617257
ACCESS-CM2,ssp126,2051,53.16145330
ACCESS-CM2,ssp126,2052,88.86557103
ACCESS-CM2,ssp126,2053,44.06411628
ACCESS-CM2,ssp126,2054,141.39595769
ACCESS-CM2,ssp126,2055,96.95894994
ACCESS-CM2,ssp126,2056,98.03179385
ACCESS-CM2,ssp126,2057,152.34796036
ACCESS-CM2,ssp126,2058,103.88087617
ACCESS-CM2,ssp126,2059,177.28230052
ACCESS-CM2,ssp126,2060,73.82542939
ACCESS-CM2,ssp126,2061,103.69724702
ACCESS-CM2,ssp126,2062,89.05420351
ACCESS-CM2,ssp126,2063,136.18194667
ACCESS-CM2,ssp126,2064,91.74350729
ACCESS-CM2,ssp126,2065,167.12668500
ACCESS-CM2,ssp126,2066,112.74598571
ACCESS-CM2,ssp126,2067,115.64378842
ACCESS-CM2,ssp126,2068,133.84781747
ACCESS-CM2,ssp126,2069,194.29645707
ACCESS-CM2,ssp126,2070,113.76212067
ACCESS-CM2,ssp126,2071,165.68799362
ACCESS-CM2,ssp126,2072,112.64717107
ACCESS-CM2,ssp126,2073,83.06323559
ACCESS-CM2,ssp126,2074,87.31881479
ACCESS-CM2,ssp126,2075,57.99716771
ACCESS-CM2,ssp126,2076,118.44784134
ACCESS-CM2,ssp126,2077,68.01815896
ACCESS-CM2,ssp126,2078,151.53781910
ACCESS-CM2,ssp126,2079,77.44760616
ACCESS-CM2,ssp126,2080,77.42841971
ACCESS-CM2,ssp126,2081,52.62527582
ACCESS-CM2,ssp126,2082,120.08897730
ACCESS-CM2,ssp126,2083,122.21709136
ACCESS-CM2,ssp126,2084,112.98829737
ACCESS-CM2,ssp126,2085,65.64146003
ACCESS-CM2,ssp126,2086,95.40403129
ACCESS-CM2,ssp126,2087,109.15405628
ACCESS-CM2,ssp126,2088,29.41267067
ACCESS-CM2,ssp126,2089,141.12904644
ACCESS-CM2,ssp126,2090,112.03904136
ACCESS-CM2,ssp126,2091,37.17795372
ACCESS-CM2,ssp126,2092,36.51637367
ACCESS-CM2,ssp126,2093,174.68145563
ACCESS-CM2,ssp126,2094,93.10531861
ACCESS-CM2,ssp126,2095,139.46551475
ACCESS-CM2,ssp126,2096,58.99434693
ACCESS-CM2,ssp126,2097,150.64621810
ACCESS-CM2,ssp126,2098,59.78283297
ACCESS-CM2,ssp126,2099,182.43251661
ACCESS-CM2,ssp245,2015,144.64534857
ACCESS-CM2,ssp245,2016,149.99586082
ACCESS-CM2,ssp245,2017,121.45371292
ACCESS-CM2,ssp245,2018,176.84753761
ACCESS-CM2,ssp245,2019,80.59764706
ACCESS-CM2,ssp245,2020,80.58663901
ACCESS-CM2,ssp245,2021,92.16648883
ACCESS-CM2,ssp245,2022,63.23077468
ACCESS-CM2,ssp245,2023,114.52797373
ACCESS-CM2,ssp245,2024,152.41618768
ACCESS-CM2,ssp245,2025,65.68407240
ACCESS-CM2,ssp245,2026,83.99213860
ACCESS-CM2,ssp245,2027,79.37912343
ACCESS-CM2,ssp245,2028,105.85868067
ACCESS-CM2,ssp245,2029,140.98247166
ACCESS-CM2,ssp245,2030,212.31722482
ACCESS-CM2,ssp245,2031,100.06822017
ACCESS-CM2,ssp245,2032,86.63840217
ACCESS-CM2,ssp245,2033,69.48370086
ACCESS-CM2,ssp245,2034,48.27227621
ACCESS-CM2,ssp245,2035,145.08100694
ACCESS-CM2,ssp245,2036,112.26203461
ACCESS-CM2,ssp245,2037,103.29146029
ACCESS-CM2,ssp245,2038,117.87005484
ACCESS-CM2,ssp245,2039,100.96231565
ACCESS-CM2,ssp245,2040,146.21986970
ACCESS-CM2,ssp245,2041,127.41707648
ACCESS-CM2,ssp245,2042,90.84303170
ACCESS-CM2,ssp245,2043,151.67101884
ACCESS-CM2,ssp245,2044,85.87976656
ACCESS-CM2,ssp245,2045,60.44669094
