model,experiment,year,pr
ACCESS-CM2,historical,1960,160.32022793
ACCESS-CM2,historical,1961,139.63558868
ACCESS-CM2,historical,1962,120.84637120
ACCESS-CM2,historical,1963,100.50669499
ACCESS-CM2,historical,1964,90.55376191
ACCESS-CM2,historical,1965,104.36415729
ACCESS-CM2,historical,1966,143.85576223
ACCESS-CM2,historical,1967,181.18713193
ACCESS-CM2,historical,1968,39.43693021
ACCESS-CM2,historical,1969,49.22986905
ACCESS-CM2,historical,1970,131.37005803
ACCESS-CM2,historical,1971,155.65950610
ACCESS-CM2,historical,1972,205.16814937
ACCESS-CM2,historical,1973,101.60666052
ACCESS-CM2,historical,1974,124.80489744
ACCESS-CM2,historical,1975,74.42107702
ACCESS-CM2,historical,1976,127.13322227
ACCESS-CM2,historical,1977,76.92152838
ACCESS-CM2,historical,1978,127.23613230
ACCESS-CM2,historical,1979,183.59606500
ACCESS-CM2,historical,1980,141.95655285
ACCESS-CM2,historical,1981,40.60697935
ACCESS-CM2,historical,1982,116.99357089
ACCESS-CM2,historical,1983,170.76464085
ACCESS-CM2,historical,1984,147.23039810
ACCESS-CM2,historical,1985,60.87643318
ACCESS-CM2,historical,1986,110.87554896
ACCESS-CM2,historical,1987,111.98289871
ACCESS-CM2,historical,1988,143.67736437
ACCESS-CM2,historical,1989,117.30168141
ACCESS-CM2,historical,1990,92.37207185
ACCESS-CM2,historical,1991,148.27403149
ACCESS-CM2,historical,1992,61.99827242
ACCESS-CM2,historical,1993,156.53238505
ACCESS-CM2,historical,1994,145.09693215
ACCESS-CM2,historical,1995,54.79941676
ACCESS-CM2,historical,1996,46.05695925
ACCESS-CM2,historical,1997,132.30075866
ACCESS-CM2,historical,1998,105.08198472
ACCESS-CM2,historical,1999,158.52381935
ACCESS-CM2,historical,2000,50.23222256
ACCESS-CM2,historical,2001,135.09432025
ACCESS-CM2,historical,2002,130.84482344
ACCESS-CM2,historical,2003,167.14940195
ACCESS-CM2,historical,2004,152.36313441
ACCESS-CM2,historical,2005,172.86358292
ACCESS-CM2,historical,2006,71.62292887
ACCESS-CM2,historical,2007,171.00378724
ACCESS-CM2,historical,2008,105.68994525
ACCESS-CM2,historical,2009,60.22121440
ACCESS-CM2,historical,2010,97.96800235
ACCESS-CM2,historical,2011,144.65968615
ACCESS-CM2,historical,2012,134.20437847
ACCESS-CM2,historical,2013,74.30489132
ACCESS-CM2,historical,2014,82.81051891
ACCESS-CM2,ssp126,2015,148.53860514
ACCESS-CM2,ssp126,2016,92.75735015
ACCESS-CM2,ssp126,2017,118.68300086
ACCESS-CM2,ssp126,2018,179.21766593
ACCESS-CM2,ssp126,2019,87.71425660
ACCESS-CM2,ssp126,2020,94.35027582
ACCESS-CM2,ssp126,2021,90.20183648
ACCESS-CM2,ssp126,2022,84.22648688
ACCESS-CM2,ssp126,2023,90.50718333
ACCESS-CM2,ssp126,2024,178.89614394
ACCESS-CM2,ssp126,2025,106.78327473
ACCESS-CM2,ssp126,2026,185.35319290
ACCESS-CM2,ssp126,2027,107.21463023
ACCESS-CM2,ssp126,2028,133.71338672
ACCESS-CM2,ssp126,2029,145.95853786
ACCESS-CM2,ssp126,2030,84.16589012
ACCESS-CM2,ssp126,2031,176.94827228
ACCESS-CM2,ssp126,2032,112.39128556
ACCESS-CM2,ssp126,2033,105.99014961
ACCESS-CM2,ssp126,2034,112.87433320
ACCESS-CM2,ssp126,2035,63.27953870
ACCESS-CM2,ssp126,2036,208.06397393
ACCESS-CM2,ssp126,2037,52.80260066
ACCESS-CM2,ssp126,2038,114.33801946
ACCESS-CM2,ssp126,2039,188.16571219
ACCESS-CM2,ssp126,2040,115.46040248
ACCESS-CM2,ssp126,2041,139.34108966
ACCESS-CM2,ssp126,2042,72.96799531
ACCESS-CM2,ssp126,2043,63.63658393
ACCESS-CM2,ssp126,2044,90.42687238
ACCESS-CM2,ssp126,2045,152.55767244
ACCESS-CM2,ssp126,2046,93.82224126
ACCESS-CM2,ssp126,2047,133.60783558
ACCESS-CM2,ssp126,2048,67.36626986
ACCESS-CM2,ssp126,2049,77.45873104
ACCESS-CM2,ssp126,2050,67.65637145
ACCESS-CM2,ssp126,2051,60.87579193
ACCESS-CM2,ssp126,2052,47.65468533
ACCESS-CM2,ssp126,2053,108.92091048
ACCESS-CM2,ssp126,2054,61.59001480
ACCESS-CM2,ssp126,2055,49.48066483
ACCESS-CM2,ssp126,2056,52.91843054
ACCESS-CM2,ssp126,2057,87.83345216
ACCESS-CM2,ssp126,2058,62.86793342
ACCESS-CM2,ssp126,2059,84.57898426
ACCESS-CM2,ssp126,2060,133.34535346
ACCESS-CM2,ssp126,2061,256.90329784
ACCESS-CM2,ssp126,2062,79.24089810
ACCESS-CM2,ssp126,2063,142.79721612
ACCESS-CM2,ssp126,2064,104.32221245
ACCESS-CM2,ssp126,2065,69.28270414
ACCESS-CM2,ssp126,2066,109.79528315
ACCESS-CM2,ssp126,2067,55.24113854
ACCESS-CM2,ssp126,2068,46.72654998
ACCESS-CM2,ssp126,2069,146.49754899
ACCESS-CM2,ssp126,2070,172.45148533
ACCESS-CM2,ssp126,2071,97.02156492
ACCESS-CM2,ssp126,2072,143.03622958
ACCESS-CM2,ssp126,2073,127.97589148
ACCESS-CM2,ssp126,2074,91.59644247
ACCESS-CM2,ssp126,2075,114.25399086
ACCESS-CM2,ssp126,2076,177.55010324
ACCESS-CM2,ssp126,2077,66.86248190
ACCESS-CM2,ssp126,2078,124.88992712
ACCESS-CM2,ssp126,2079,156.38153079
ACCESS-CM2,ssp126,2080,87.75710760
ACCESS-CM2,ssp126,2081,226.17313878
ACCESS-CM2,ssp126,2082,137.59294096
ACCESS-CM2,ssp126,2083,148.69173401
ACCESS-CM2,ssp126,2084,148.64365615
ACCESS-CM2,ssp126,2085,71.04661012
ACCESS-CM2,ssp126,2086,177.25776609
ACCESS-CM2,ssp126,2087,29.09851582
ACCESS-CM2,ssp126,2088,38.99019509
ACCESS-CM2,ssp126,2089,78.55359766
ACCESS-CM2,ssp126,2090,185.87537648
ACCESS-CM2,ssp126,2091,74.11099672
ACCESS-CM2,ssp126,2092,106.98046406
ACCESS-CM2,ssp126,2093,98.98727292
ACCESS-CM2,ssp126,2094,94.70480762
ACCESS-CM2,ssp126,2095,133.85577182
ACCESS-CM2,ssp126,2096,89.01805891
ACCESS-CM2,ssp126,2097,105.50731419
ACCESS-CM2,ssp126,2098,28.58394578
ACCESS-CM2,ssp126,2099,148.52163456
ACCESS-CM2,ssp245,2015,144.58663004
ACCESS-CM2,ssp245,2016,93.70644417
ACCESS-CM2,ssp245,2017,141.13966630
ACCESS-CM2,ssp245,2018,87.28326248
ACCESS-CM2,ssp245,2019,42.30667494
ACCESS-CM2,ssp245,2020,90.57634582
ACCESS-CM2,ssp245,2021,76.43783743
