model,experiment,year,pr
ACCESS-CM2,historical,1960,225.57623790
ACCESS-CM2,historical,1961,79.92159855
ACCESS-CM2,historical,1962,156.15204726
ACCESS-CM2,historical,1963,71.11014137
ACCESS-CM2,historical,1964,132.69071703
ACCESS-CM2,historical,1965,76.06640909
ACCESS-CM2,historical,1966,77.68261888
ACCESS-CM2,historical,1967,67.01850865
ACCESS-CM2,historical,1968,136.33939095
ACCESS-CM2,historical,1969,125.91767973
ACCESS-CM2,historical,1970,129.22595797
ACCESS-CM2,historical,1971,132.13230366
ACCESS-CM2,historical,1972,122.01804718
ACCESS-CM2,historical,1973,165.28188531
ACCESS-CM2,historical,1974,94.25042870
ACCESS-CM2,historical,1975,131.51039956
ACCESS-CM2,historical,1976,111.96796331
ACCESS-CM2,historical,1977,131.73891002
ACCESS-CM2,historical,1978,54.40161716
ACCESS-CM2,historical,1979,82.97398399
ACCESS-CM2,historical,1980,70.26431591
ACCESS-CM2,historical,1981,179.97465681
ACCESS-CM2,historical,1982,45.31759761
ACCESS-CM2,historical,1983,157.82014822
ACCESS-CM2,historical,1984,93.81349687
ACCESS-CM2,historical,1985,104.21140938
ACCESS-CM2,historical,1986,98.31613683
ACCESS-CM2,historical,1987,147.41294051
ACCESS-CM2,historical,1988,118.96496582
ACCESS-CM2,historical,1989,91.21088307
ACCESS-CM2,historical,1990,161.46482119
ACCESS-CM2,historical,1991,107.51024469
ACCESS-CM2,historical,1992,118.13018087
ACCESS-CM2,historical,1993,86.92644376
ACCESS-CM2,historical,1994,132.35745019
ACCESS-CM2,historical,1995,34.32666866
ACCESS-CM2,historical,1996,200.18138567
ACCESS-CM2,historical,1997,66.77579666
ACCESS-CM2,historical,1998,113.78976254
ACCESS-CM2,historical,1999,120.55045143
ACCESS-CM2,historical,2000,156.18863369
ACCESS-CM2,historical,2001,111.29882336
ACCESS-CM2,historical,2002,103.70294340
ACCESS-CM2,historical,2003,83.95324423
ACCESS-CM2,historical,2004,176.56968363
ACCESS-CM2,historical,2005,73.56666175
