model,experiment,year,pr
ACCESS-CM2,historical,1960,149.72709486
ACCESS-CM2,historical,1961,49.50707984
ACCESS-CM2,historical,1962,57.04767596
ACCESS-CM2,historical,1963,40.68866284
ACCESS-CM2,historical,1964,73.71610448
ACCESS-CM2,historical,1965,50.49288403
ACCESS-CM2,historical,1966,45.39952132
ACCESS-CM2,historical,1967,26.94644626
ACCESS-CM2,historical,1968,138.13524517
ACCESS-CM2,historical,1969,70.75776811
ACCESS-CM2,historical,1970,112.80786263
ACCESS-CM2,historical,1971,37.95808391
ACCESS-CM2,historical,1972,95.72924992
ACCESS-CM2,historical,1973,117.63940282
ACCESS-CM2,historical,1974,56.93288715
ACCESS-CM2,historical,1975,91.36191083
ACCESS-CM2,historical,1976,62.99871148
ACCESS-CM2,historical,1977,96.20270006
ACCESS-CM2,historical,1978,39.79401319
ACCESS-CM2,historical,1979,45.79330392
ACCESS-CM2,historical,1980,47.48916723
ACCESS-CM2,historical,1981,136.60171540
ACCESS-CM2,historical,1982,21.61753543
ACCESS-CM2,historical,1983,101.49828411
ACCESS-CM2,historical,1984,77.42907426
ACCESS-CM2,historical,1985,65.30797354
ACCESS-CM2,historical,1986,69.81018228
ACCESS-CM2,historical,1987,35.39588567
ACCESS-CM2,historical,1988,53.75764889
ACCESS-CM2,historical,1989,47.75990929
ACCESS-CM2,historical,1990,100.87233588
ACCESS-CM2,historical,1991,60.87868737
ACCESS-CM2,historical,1992,86.17566997
ACCESS-CM2,historical,1993,42.64181861
ACCESS-CM2,historical,1994,37.61172903
ACCESS-CM2,historical,1995,15.15697381
ACCESS-CM2,historical,1996,153.47012545
ACCESS-CM2,historical,1997,24.40299145
ACCESS-CM2,historical,1998,80.81407526
ACCESS-CM2,historical,1999,95.31589225
ACCESS-CM2,historical,2000,109.28944411
ACCESS-CM2,historical,2001,96.50354083
ACCESS-CM2,historical,2002,73.63403079
ACCESS-CM2,historical,2003,50.06326902
ACCESS-CM2,historical,2004,155.54582956
ACCESS-CM2,historical,2005,56.37312133
ACCESS-CM2,historical,2006,70.72157745
ACCESS-CM2,historical,2007,128.99509755
ACCESS-CM2,historical,2008,103.94779400
ACCESS-CM2,historical,2009,104.67529549
ACCESS-CM2,historical,2010,35.07629191
ACCESS-CM2,historical,2011,82.28768882
ACCESS-CM2,historical,2012,48.26224732
ACCESS-CM2,historical,2013,90.31705520
ACCESS-CM2,historical,2014,69.78916355
ACCESS-CM2,ssp126,2015,48.48144344
ACCESS-CM2,ssp126,2016,52.89303920
ACCESS-CM2,ssp126,2017,81.45305116
ACCESS-CM2,ssp126,2018,84.02382203
ACCESS-CM2,ssp126,2019,62.54946938
ACCESS-CM2,ssp126,2020,67.52167235
ACCESS-CM2,ssp126,2021,31.40855982
ACCESS-CM2,ssp126,2022,18.01496175
ACCESS-CM2,ssp126,2023,41.05720471
ACCESS-CM2,ssp126,2024,52.90525186
ACCESS-CM2,ssp126,2025,79.88445795
ACCESS-CM2,ssp126,2026,105.25164237
ACCESS-CM2,ssp126,2027,47.34779333
