model,experiment,year,pr
ACCESS-CM2,historical,1960,165.49767367
ACCESS-CM2,historical,1961,55.55025045
ACCESS-CM2,historical,1962,170.57202815
ACCESS-CM2,historical,1963,45.03508866
ACCESS-CM2,historical,1964,129.38431321
ACCESS-CM2,historical,1965,28.76048700
ACCESS-CM2,historical,1966,102.82742580
ACCESS-CM2,historical,1967,44.75886440
ACCESS-CM2,historical,1968,130.83673285
ACCESS-CM2,historical,1969,79.66784833
ACCESS-CM2,historical,1970,104.59969439
ACCESS-CM2,historical,1971,120.64783230
ACCESS-CM2,historical,1972,177.68797797
ACCESS-CM2,historical,1973,192.40382085
ACCESS-CM2,historical,1974,99.22266144
ACCESS-CM2,historical,1975,180.69286518
ACCESS-CM2,historical,1976,91.54309765
ACCESS-CM2,historical,1977,101.53884377
ACCESS-CM2,historical,1978,15.02614260
ACCESS-CM2,historical,1979,83.12363171
ACCESS-CM2,historical,1980,46.04938661
ACCESS-CM2,historical,1981,198.12329388
ACCESS-CM2,historical,1982,37.08146668
ACCESS-CM2,historical,1983,142.40699297
ACCESS-CM2,historical,1984,80.32361136
ACCESS-CM2,historical,1985,98.45825657
ACCESS-CM2,historical,1986,109.46991588
ACCESS-CM2,historical,1987,198.72828408
ACCESS-CM2,historical,1988,139.13661459
ACCESS-CM2,historical,1989,57.08942476
ACCESS-CM2,historical,1990,164.77736273
ACCESS-CM2,historical,1991,131.39429790
ACCESS-CM2,historical,1992,231.27321999
ACCESS-CM2,historical,1993,62.87977834
ACCESS-CM2,historical,1994,115.43749894
ACCESS-CM2,historical,1995,27.59066904
ACCESS-CM2,historical,1996,140.79184988
ACCESS-CM2,historical,1997,50.09197143
ACCESS-CM2,historical,1998,62.10423111
ACCESS-CM2,historical,1999,121.91277802
ACCESS-CM2,historical,2000,217.28751676
ACCESS-CM2,historical,2001,188.88610847
ACCESS-CM2,historical,2002,99.34844652
ACCESS-CM2,historical,2003,122.17441686
ACCESS-CM2,historical,2004,208.33704101
ACCESS-CM2,historical,2005,111.00723322
ACCESS-CM2,historical,2006,144.41677590
ACCESS-CM2,historical,2007,114.56921551
ACCESS-CM2,historical,2008,187.82981630
ACCESS-CM2,historical,2009,106.97783640
ACCESS-CM2,historical,2010,119.67617475
ACCESS-CM2,historical,2011,237.61758098
ACCESS-CM2,historical,2012,89.52963629
ACCESS-CM2,historical,2013,335.99527915
ACCESS-CM2,historical,2014,173.83189334
ACCESS-CM2,ssp126,2015,56.39929174
ACCESS-CM2,ssp126,2016,132.19204649
ACCESS-CM2,ssp126,2017,101.28792801
ACCESS-CM2,ssp126,2018,196.92233971
ACCESS-CM2,ssp126,2019,229.77586037
ACCESS-CM2,ssp126,2020,84.85552593
ACCESS-CM2,ssp126,2021,92.85285925
ACCESS-CM2,ssp126,2022,140.76910351
ACCESS-CM2,ssp126,2023,21.00524909
ACCESS-CM2,ssp126,2024,137.31887969
ACCESS-CM2,ssp126,2025,168.82316143
ACCESS-CM2,ssp126,2026,181.59337884
ACCESS-CM2,ssp126,2027,71.03124685
ACCESS-CM2,ssp126,2028,78.70748661
ACCESS-CM2,ssp126,2029,135.72324315
ACCESS-CM2,ssp126,2030,97.47106224
ACCESS-CM2,ssp126,2031,157.90834673
ACCESS-CM2,ssp126,2032,127.41210037
ACCESS-CM2,ssp126,2033,107.89814640
ACCESS-CM2,ssp126,2034,168.12145024
ACCESS-CM2,ssp126,2035,116.69321623
ACCESS-CM2,ssp126,2036,103.92178697
ACCESS-CM2,ssp126,2037,150.93137775
ACCESS-CM2,ssp126,2038,165.75651804
ACCESS-CM2,ssp126,2039,212.67194372
ACCESS-CM2,ssp126,2040,76.25313129
ACCESS-CM2,ssp126,2041,40.24365704
ACCESS-CM2,ssp126,2042,114.76009775
ACCESS-CM2,ssp126,2043,135.23098962
ACCESS-CM2,ssp126,2044,49.19477561
ACCESS-CM2,ssp126,2045,141.14183928
ACCESS-CM2,ssp126,2046,98.73849736
ACCESS-CM2,ssp126,2047,91.14224057
ACCESS-CM2,ssp126,2048,24.06824070
ACCESS-CM2,ssp126,2049,114.68620494
ACCESS-CM2,ssp126,2050,45.61360547
ACCESS-CM2,ssp126,2051,58.66618522
ACCESS-CM2,ssp126,2052,82.19402891
ACCESS-CM2,ssp126,2053,168.84994552
ACCESS-CM2,ssp126,2054,125.31411257
ACCESS-CM2,ssp126,2055,69.17026979
ACCESS-CM2,ssp126,2056,202.84817336
ACCESS-CM2,ssp126,2057,306.06971971
ACCESS-CM2,ssp126,2058,43.02421768
ACCESS-CM2,ssp126,2059,47.31013867
ACCESS-CM2,ssp126,2060,177.34970968
ACCESS-CM2,ssp126,2061,112.73348734
ACCESS-CM2,ssp126,2062,188.35897040
ACCESS-CM2,ssp126,2063,230.16097338
ACCESS-CM2,ssp126,2064,56.54375683
ACCESS-CM2,ssp126,2065,93.76784116
ACCESS-CM2,ssp126,2066,94.34816851
ACCESS-CM2,ssp126,2067,112.37505589
ACCESS-CM2,ssp126,2068,99.58957019
ACCESS-CM2,ssp126,2069,122.00768070
ACCESS-CM2,ssp126,2070,84.43165323
ACCESS-CM2,ssp126,2071,53.08943737
ACCESS-CM2,ssp126,2072,134.53980690
ACCESS-CM2,ssp126,2073,76.74739122
ACCESS-CM2,ssp126,2074,98.58515794
ACCESS-CM2,ssp126,2075,136.87274965
ACCESS-CM2,ssp126,2076,137.84565111
ACCESS-CM2,ssp126,2077,159.40017314
ACCESS-CM2,ssp126,2078,85.30605785
ACCESS-CM2,ssp126,2079,48.36842861
ACCESS-CM2,ssp126,2080,100.30811059
ACCESS-CM2,ssp126,2081,82.70062109
ACCESS-CM2,ssp126,2082,186.79090549
ACCESS-CM2,ssp126,2083,104.26179485
ACCESS-CM2,ssp126,2084,122.93409741
ACCESS-CM2,ssp126,2085,174.29711432
ACCESS-CM2,ssp126,2086,88.41318107
ACCESS-CM2,ssp126,2087,225.04119131
ACCESS-CM2,ssp126,2088,149.23801882
ACCESS-CM2,ssp126,2089,30.71721784
ACCESS-CM2,ssp126,2090,128.74456312
ACCESS-CM2,ssp126,2091,118.32486965
ACCESS-CM2,ssp126,2092,39.26721823
ACCESS-CM2,ssp126,2093,136.19934828
ACCESS-CM2,ssp126,2094,59.61230554
ACCESS-CM2,ssp126,2095,278.98900677
ACCESS-CM2,ssp126,2096,145.38605639
ACCESS-CM2,ssp126,2097,147.74370921
ACCESS-CM2,ssp126,2098,96.81700696
ACCESS-CM2,ssp126,2099,118.90099538
ACCESS-CM2,ssp245,2015,109.87101333
ACCESS-CM2,ssp245,2016,72.23346550
ACCESS-CM2,ssp245,2017,95.58442839
ACCESS-CM2,ssp245,2018,49.79009554
ACCESS-CM2,ssp245,2019,129.42779238
ACCESS-CM2,ssp245,2020,314.95949361
ACCESS-CM2,ssp245,2021,162.19011331
ACCESS-CM2,ssp245,2022,247.03418041
ACCESS-CM2,ssp245,2023,78.82087139
ACCESS-CM2,ssp245,2024,68.30662658
ACCESS-CM2,ssp245,2025,125.49862426
ACCESS-CM2,ssp245,2026,115.02066106
ACCESS-CM2,ssp245,2027,223.12263162
ACCESS-CM2,ssp245,2028,179.45419174
ACCESS-CM2,ssp245,2029,89.31064373
ACCESS-CM2,ssp245,2030,73.22271656
ACCESS-CM2,ssp245,2031,55.22195117
ACCESS-CM2,ssp245,2032,125.29306037
ACCESS-CM2,ssp245,2033,151.52035320
ACCESS-CM2,ssp245,2034,124.61278480
ACCESS-CM2,ssp245,2035,150.35473683
ACCESS-CM2,ssp245,2036,34.73586089
ACCESS-CM2,ssp245,2037,34.44277926
ACCESS-CM2,ssp245,2038,256.07179202
ACCESS-CM2,ssp245,2039,61.65825756
ACCESS-CM2,ssp245,2040,63.26583448
ACCESS-CM2,ssp245,2041,56.00564566
ACCESS-CM2,ssp245,2042,71.45573237
ACCESS-CM2,ssp245,2043,51.02881879
ACCESS-CM2,ssp245,2044,71.63420071
ACCESS-CM2,ssp245,2045,167.46033812
ACCESS-CM2,ssp245,2046,105.42347212
ACCESS-CM2,ssp245,2047,81.37304358
ACCESS-CM2,ssp245,2048,77.16643075
ACCESS-CM2,ssp245,2049,129.94487264
ACCESS-CM2,ssp245,2050,81.07902067
ACCESS-CM2,ssp245,2051,72.38921401
ACCESS-CM2,ssp245,2052,74.28373091
ACCESS-CM2,ssp245,2053,108.44405233
ACCESS-CM2,ssp245,2054,82.18315068
ACCESS-CM2,ssp245,2055,219.16035192
