model,experiment,year,pr
ACCESS-CM2,historical,1960,122.24825688
ACCESS-CM2,historical,1961,63.91678169
ACCESS-CM2,historical,1962,194.70598412
ACCESS-CM2,historical,1963,51.51868311
ACCESS-CM2,historical,1964,158.46548459
ACCESS-CM2,historical,1965,40.36146353
ACCESS-CM2,historical,1966,75.94331713
ACCESS-CM2,historical,1967,35.66823038
ACCESS-CM2,historical,1968,102.85553256
ACCESS-CM2,historical,1969,84.18817955
ACCESS-CM2,historical,1970,47.27683030
ACCESS-CM2,historical,1971,100.52709088
ACCESS-CM2,historical,1972,89.37133943
ACCESS-CM2,historical,1973,145.80073058
ACCESS-CM2,historical,1974,87.03633364
ACCESS-CM2,historical,1975,166.44905937
ACCESS-CM2,historical,1976,105.20852155
ACCESS-CM2,historical,1977,52.50216689
ACCESS-CM2,historical,1978,27.12540749
ACCESS-CM2,historical,1979,60.34483468
ACCESS-CM2,historical,1980,45.79466555
ACCESS-CM2,historical,1981,127.36941726
ACCESS-CM2,historical,1982,39.24161698
ACCESS-CM2,historical,1983,150.38257472
ACCESS-CM2,historical,1984,46.28814004
ACCESS-CM2,historical,1985,40.05788306
ACCESS-CM2,historical,1986,48.79666269
ACCESS-CM2,historical,1987,243.02288762
ACCESS-CM2,historical,1988,101.32932566
ACCESS-CM2,historical,1989,65.32974962
ACCESS-CM2,historical,1990,62.80935133
ACCESS-CM2,historical,1991,166.08649965
ACCESS-CM2,historical,1992,68.39361581
ACCESS-CM2,historical,1993,130.69800871
ACCESS-CM2,historical,1994,170.96623875
ACCESS-CM2,historical,1995,13.55316471
ACCESS-CM2,historical,1996,167.38643804
ACCESS-CM2,historical,1997,77.30161552
ACCESS-CM2,historical,1998,158.86989176
ACCESS-CM2,historical,1999,52.71470501
ACCESS-CM2,historical,2000,163.10407105
ACCESS-CM2,historical,2001,75.19321509
ACCESS-CM2,historical,2002,44.95429386
ACCESS-CM2,historical,2003,82.96400227
ACCESS-CM2,historical,2004,48.48661488
ACCESS-CM2,historical,2005,43.99960086
