model,experiment,year,pr
ACCESS-CM2,historical,1960,403.63062834
ACCESS-CM2,historical,1961,319.43776615
ACCESS-CM2,historical,1962,426.46311122
ACCESS-CM2,historical,1963,610.47582672
ACCESS-CM2,historical,1964,662.91266332
ACCESS-CM2,historical,1965,562.99898511
ACCESS-CM2,historical,1966,320.04869218
ACCESS-CM2,historical,1967,316.19486999
ACCESS-CM2,historical,1968,601.92349031
ACCESS-CM2,historical,1969,397.83778922
ACCESS-CM2,historical,1970,428.59581123
ACCESS-CM2,historical,1971,623.21163285
ACCESS-CM2,historical,1972,411.29684642
ACCESS-CM2,historical,1973,382.05537537
ACCESS-CM2,historical,1974,519.39250403
ACCESS-CM2,historical,1975,509.22810876
ACCESS-CM2,historical,1976,462.85719549
ACCESS-CM2,historical,1977,457.28387378
ACCESS-CM2,historical,1978,623.70763843
ACCESS-CM2,historical,1979,619.58826092
ACCESS-CM2,historical,1980,472.62296890
ACCESS-CM2,historical,1981,431.74223267
ACCESS-CM2,historical,1982,576.41880747
ACCESS-CM2,historical,1983,392.39808905
ACCESS-CM2,historical,1984,625.15655487
ACCESS-CM2,historical,1985,539.99603989
ACCESS-CM2,historical,1986,434.97627012
ACCESS-CM2,historical,1987,389.40922634
ACCESS-CM2,historical,1988,475.56493134
ACCESS-CM2,historical,1989,501.24792557
ACCESS-CM2,historical,1990,485.84115074
ACCESS-CM2,historical,1991,515.87193691
ACCESS-CM2,historical,1992,436.58627432
ACCESS-CM2,historical,1993,380.87003871
ACCESS-CM2,historical,1994,608.80074371
ACCESS-CM2,historical,1995,391.77712313
ACCESS-CM2,historical,1996,437.50490926
ACCESS-CM2,historical,1997,507.50230182
ACCESS-CM2,historical,1998,477.07325717
ACCESS-CM2,historical,1999,451.07751889
ACCESS-CM2,historical,2000,444.80848529
ACCESS-CM2,historical,2001,528.16827514
ACCESS-CM2,historical,2002,453.72274749
ACCESS-CM2,historical,2003,343.37146735
ACCESS-CM2,historical,2004,376.91636101
ACCESS-CM2,historical,2005,486.74289207
ACCESS-CM2,historical,2006,488.95567727
ACCESS-CM2,historical,2007,377.81803879
ACCESS-CM2,historical,2008,404.90414898
ACCESS-CM2,historical,2009,479.67633714
ACCESS-CM2,historical,2010,455.48005083
ACCESS-CM2,historical,2011,496.09130505
ACCESS-CM2,historical,2012,379.27582108
ACCESS-CM2,historical,2013,369.23364379
ACCESS-CM2,historical,2014,419.65611347
ACCESS-CM2,ssp126,2015,508.82474662
ACCESS-CM2,ssp126,2016,454.66807921
ACCESS-CM2,ssp126,2017,387.88225366
ACCESS-CM2,ssp126,2018,464.08592912
ACCESS-CM2,ssp126,2019,579.24782295
ACCESS-CM2,ssp126,2020,369.79083142
ACCESS-CM2,ssp126,2021,578.72459604
ACCESS-CM2,ssp126,2022,391.72879295
ACCESS-CM2,ssp126,2023,334.67699589
ACCESS-CM2,ssp126,2024,201.71867057
ACCESS-CM2,ssp126,2025,543.39358705
ACCESS-CM2,ssp126,2026,599.42502127
ACCESS-CM2,ssp126,2027,487.39518613
ACCESS-CM2,ssp126,2028,531.69521752
ACCESS-CM2,ssp126,2029,579.14677074
ACCESS-CM2,ssp126,2030,485.00794805
ACCESS-CM2,ssp126,2031,555.39002751
ACCESS-CM2,ssp126,2032,525.00895808
ACCESS-CM2,ssp126,2033,426.73296698
ACCESS-CM2,ssp126,2034,450.22557920
ACCESS-CM2,ssp126,2035,256.98195994
ACCESS-CM2,ssp126,2036,444.08539856
ACCESS-CM2,ssp126,2037,487.94333780
ACCESS-CM2,ssp126,2038,431.85185129
ACCESS-CM2,ssp126,2039,428.19157373
ACCESS-CM2,ssp126,2040,345.51783212
ACCESS-CM2,ssp126,2041,461.41210637
ACCESS-CM2,ssp126,2042,653.21333975
ACCESS-CM2,ssp126,2043,367.92116273
ACCESS-CM2,ssp126,2044,476.45358925
ACCESS-CM2,ssp126,2045,427.47266880
ACCESS-CM2,ssp126,2046,352.20305249
ACCESS-CM2,ssp126,2047,514.98176210
ACCESS-CM2,ssp126,2048,427.84827695
ACCESS-CM2,ssp126,2049,509.04783322
ACCESS-CM2,ssp126,2050,432.51710318
ACCESS-CM2,ssp126,2051,553.92369629
ACCESS-CM2,ssp126,2052,666.00058172
ACCESS-CM2,ssp126,2053,537.64554670
ACCESS-CM2,ssp126,2054,474.36061389
ACCESS-CM2,ssp126,2055,475.49646671
ACCESS-CM2,ssp126,2056,644.29819505
ACCESS-CM2,ssp126,2057,533.99053016
ACCESS-CM2,ssp126,2058,492.88730757
ACCESS-CM2,ssp126,2059,480.11699717
ACCESS-CM2,ssp126,2060,572.10827103
ACCESS-CM2,ssp126,2061,443.02139850
ACCESS-CM2,ssp126,2062,510.64055904
ACCESS-CM2,ssp126,2063,552.58146022
ACCESS-CM2,ssp126,2064,517.52271460
ACCESS-CM2,ssp126,2065,407.90008435
ACCESS-CM2,ssp126,2066,504.21484951
ACCESS-CM2,ssp126,2067,401.19107951
ACCESS-CM2,ssp126,2068,448.33788729
ACCESS-CM2,ssp126,2069,442.92303452
ACCESS-CM2,ssp126,2070,453.10295692
ACCESS-CM2,ssp126,2071,696.29429050
ACCESS-CM2,ssp126,2072,513.84694228
ACCESS-CM2,ssp126,2073,623.52789736
ACCESS-CM2,ssp126,2074,504.25659478
ACCESS-CM2,ssp126,2075,506.73562205
ACCESS-CM2,ssp126,2076,515.68440947
ACCESS-CM2,ssp126,2077,710.07630684
ACCESS-CM2,ssp126,2078,361.12275425
