model,experiment,year,pr
ACCESS-CM2,historical,1960,309.04950041
ACCESS-CM2,historical,1961,227.19010824
ACCESS-CM2,historical,1962,300.75977773
ACCESS-CM2,historical,1963,306.24284380
ACCESS-CM2,historical,1964,249.57127030
ACCESS-CM2,historical,1965,202.98787346
ACCESS-CM2,historical,1966,182.06743288
ACCESS-CM2,historical,1967,234.92727535
ACCESS-CM2,historical,1968,190.61572013
ACCESS-CM2,historical,1969,236.42179886
ACCESS-CM2,historical,1970,210.22040720
ACCESS-CM2,historical,1971,299.88841161
ACCESS-CM2,historical,1972,236.04709372
ACCESS-CM2,historical,1973,222.56897902
ACCESS-CM2,historical,1974,273.90576611
ACCESS-CM2,historical,1975,224.28457335
ACCESS-CM2,historical,1976,142.97803969
ACCESS-CM2,historical,1977,227.38414018
ACCESS-CM2,historical,1978,232.58695227
ACCESS-CM2,historical,1979,301.46586224
ACCESS-CM2,historical,1980,240.00754324
ACCESS-CM2,historical,1981,205.86798241
ACCESS-CM2,historical,1982,174.00613450
ACCESS-CM2,historical,1983,161.35727716
ACCESS-CM2,historical,1984,241.32542220
ACCESS-CM2,historical,1985,159.80466629
ACCESS-CM2,historical,1986,137.62483033
ACCESS-CM2,historical,1987,187.14354976
ACCESS-CM2,historical,1988,327.55948880
ACCESS-CM2,historical,1989,226.04027519
ACCESS-CM2,historical,1990,300.81324536
ACCESS-CM2,historical,1991,188.70245570
ACCESS-CM2,historical,1992,198.67153742
ACCESS-CM2,historical,1993,187.55247321
ACCESS-CM2,historical,1994,189.67647566
ACCESS-CM2,historical,1995,243.00988429
ACCESS-CM2,historical,1996,350.87200735
ACCESS-CM2,historical,1997,256.76037218
ACCESS-CM2,historical,1998,261.10213846
ACCESS-CM2,historical,1999,195.38168099
ACCESS-CM2,historical,2000,215.48689088
ACCESS-CM2,historical,2001,170.23557474
ACCESS-CM2,historical,2002,284.61361617
ACCESS-CM2,historical,2003,311.38828538
ACCESS-CM2,historical,2004,189.62607791
ACCESS-CM2,historical,2005,305.53390890
ACCESS-CM2,historical,2006,193.22959342
ACCESS-CM2,historical,2007,350.69476751
ACCESS-CM2,historical,2008,265.39281882
ACCESS-CM2,historical,2009,304.24724625
ACCESS-CM2,historical,2010,187.90783254
ACCESS-CM2,historical,2011,320.54262494
ACCESS-CM2,historical,2012,231.91408544
ACCESS-CM2,historical,2013,270.08439635
ACCESS-CM2,historical,2014,201.48226457
ACCESS-CM2,ssp126,2015,191.48761945
ACCESS-CM2,ssp126,2016,271.44030075
ACCESS-CM2,ssp126,2017,224.32728580
ACCESS-CM2,ssp126,2018,302.53932465
ACCESS-CM2,ssp126,2019,315.44253590
ACCESS-CM2,ssp126,2020,311.35819059
ACCESS-CM2,ssp126,2021,320.14312584
ACCESS-CM2,ssp126,2022,290.72577780
ACCESS-CM2,ssp126,2023,242.32817993
ACCESS-CM2,ssp126,2024,292.70686318
ACCESS-CM2,ssp126,2025,213.71381070
ACCESS-CM2,ssp126,2026,204.54366948
ACCESS-CM2,ssp126,2027,183.64658207
ACCESS-CM2,ssp126,2028,285.89530072
ACCESS-CM2,ssp126,2029,327.02656084
ACCESS-CM2,ssp126,2030,277.82595622
ACCESS-CM2,ssp126,2031,175.43193759
ACCESS-CM2,ssp126,2032,255.47258158
ACCESS-CM2,ssp126,2033,232.72733143
ACCESS-CM2,ssp126,2034,281.06543995
ACCESS-CM2,ssp126,2035,178.45852159
ACCESS-CM2,ssp126,2036,252.52320054
ACCESS-CM2,ssp126,2037,198.46107661
ACCESS-CM2,ssp126,2038,342.27099236
ACCESS-CM2,ssp126,2039,219.09628493
ACCESS-CM2,ssp126,2040,194.12757660
ACCESS-CM2,ssp126,2041,271.03070216
ACCESS-CM2,ssp126,2042,249.65393229
ACCESS-CM2,ssp126,2043,257.97573973
ACCESS-CM2,ssp126,2044,283.07542663
ACCESS-CM2,ssp126,2045,374.60398004
ACCESS-CM2,ssp126,2046,164.82728982
ACCESS-CM2,ssp126,2047,208.84110052
ACCESS-CM2,ssp126,2048,202.67394037
ACCESS-CM2,ssp126,2049,219.45247764
ACCESS-CM2,ssp126,2050,282.38240529
ACCESS-CM2,ssp126,2051,293.59636387
ACCESS-CM2,ssp126,2052,249.08990437
ACCESS-CM2,ssp126,2053,288.89484634
ACCESS-CM2,ssp126,2054,280.11472884
ACCESS-CM2,ssp126,2055,274.36010449
ACCESS-CM2,ssp126,2056,264.25003948
ACCESS-CM2,ssp126,2057,334.49616054
ACCESS-CM2,ssp126,2058,237.91768022
ACCESS-CM2,ssp126,2059,321.05869616
ACCESS-CM2,ssp126,2060,271.22062204
ACCESS-CM2,ssp126,2061,336.49766544
ACCESS-CM2,ssp126,2062,257.22391254
ACCESS-CM2,ssp126,2063,265.76584979
ACCESS-CM2,ssp126,2064,218.05733750
ACCESS-CM2,ssp126,2065,329.19713699
ACCESS-CM2,ssp126,2066,250.32219674
ACCESS-CM2,ssp126,2067,304.44843773
ACCESS-CM2,ssp126,2068,215.09468203
ACCESS-CM2,ssp126,2069,189.43581867
ACCESS-CM2,ssp126,2070,168.56078461
ACCESS-CM2,ssp126,2071,250.07325441
ACCESS-CM2,ssp126,2072,273.31066898
ACCESS-CM2,ssp126,2073,209.88766849
ACCESS-CM2,ssp126,2074,312.64854366
ACCESS-CM2,ssp126,2075,384.05166758
ACCESS-CM2,ssp126,2076,201.09153467
ACCESS-CM2,ssp126,2077,275.39400804
ACCESS-CM2,ssp126,2078,151.65322766
ACCESS-CM2,ssp126,2079,210.98594724
ACCESS-CM2,ssp126,2080,391.84832584
ACCESS-CM2,ssp126,2081,288.70966848
ACCESS-CM2,ssp126,2082,229.75284118
ACCESS-CM2,ssp126,2083,307.35590075
ACCESS-CM2,ssp126,2084,207.45228435
ACCESS-CM2,ssp126,2085,353.33408285
ACCESS-CM2,ssp126,2086,306.54512156
ACCESS-CM2,ssp126,2087,173.25990228
ACCESS-CM2,ssp126,2088,219.51313767
ACCESS-CM2,ssp126,2089,279.03781146
ACCESS-CM2,ssp126,2090,306.77215872
ACCESS-CM2,ssp126,2091,207.99167155
ACCESS-CM2,ssp126,2092,250.78435005
ACCESS-CM2,ssp126,2093,220.99901222
ACCESS-CM2,ssp126,2094,238.69236839
ACCESS-CM2,ssp126,2095,282.36101760
ACCESS-CM2,ssp126,2096,310.88986325
ACCESS-CM2,ssp126,2097,328.85414177
ACCESS-CM2,ssp126,2098,169.03177477
ACCESS-CM2,ssp126,2099,286.32303433
ACCESS-CM2,ssp245,2015,248.14949540
ACCESS-CM2,ssp245,2016,230.15990611
ACCESS-CM2,ssp245,2017,209.24026419
ACCESS-CM2,ssp245,2018,323.71831039
ACCESS-CM2,ssp245,2019,205.22582785
ACCESS-CM2,ssp245,2020,210.82405126
ACCESS-CM2,ssp245,2021,387.66191176
ACCESS-CM2,ssp245,2022,236.05721042
ACCESS-CM2,ssp245,2023,330.84346457
ACCESS-CM2,ssp245,2024,325.26779931
ACCESS-CM2,ssp245,2025,224.59952029
ACCESS-CM2,ssp245,2026,235.01103505
ACCESS-CM2,ssp245,2027,163.75137320
ACCESS-CM2,ssp245,2028,364.19604649
ACCESS-CM2,ssp245,2029,227.55432159
ACCESS-CM2,ssp245,2030,197.14803156
