model,experiment,year,pr
ACCESS-CM2,historical,1960,1714.51466692
ACCESS-CM2,historical,1961,1045.31248368
ACCESS-CM2,historical,1962,1566.74696186
ACCESS-CM2,historical,1963,1499.08285938
ACCESS-CM2,historical,1964,1454.00124317
ACCESS-CM2,historical,1965,1390.33134881
ACCESS-CM2,historical,1966,1021.14200201
ACCESS-CM2,historical,1967,1274.65353491
ACCESS-CM2,historical,1968,924.81702564
ACCESS-CM2,historical,1969,1445.95126503
ACCESS-CM2,historical,1970,1155.68577756
ACCESS-CM2,historical,1971,1193.33438205
ACCESS-CM2,historical,1972,1456.72259771
ACCESS-CM2,historical,1973,1085.83929131
ACCESS-CM2,historical,1974,1410.81131266
ACCESS-CM2,historical,1975,1205.56189962
ACCESS-CM2,historical,1976,656.06214672
ACCESS-CM2,historical,1977,826.60567738
ACCESS-CM2,historical,1978,1052.78462679
ACCESS-CM2,historical,1979,1199.20271390
ACCESS-CM2,historical,1980,1223.67714846
ACCESS-CM2,historical,1981,913.00894127
ACCESS-CM2,historical,1982,846.99621034
ACCESS-CM2,historical,1983,779.30285125
ACCESS-CM2,historical,1984,814.03151294
ACCESS-CM2,historical,1985,689.62460517
ACCESS-CM2,historical,1986,711.57163451
ACCESS-CM2,historical,1987,1033.91209131
ACCESS-CM2,historical,1988,1479.64465273
ACCESS-CM2,historical,1989,1036.19237204
ACCESS-CM2,historical,1990,1604.64708774
ACCESS-CM2,historical,1991,769.63359782
ACCESS-CM2,historical,1992,1010.58559516
ACCESS-CM2,historical,1993,1062.75897793
ACCESS-CM2,historical,1994,1152.65838560
ACCESS-CM2,historical,1995,1159.11899755
ACCESS-CM2,historical,1996,1205.37762066
ACCESS-CM2,historical,1997,1244.11397666
ACCESS-CM2,historical,1998,1149.54737658
ACCESS-CM2,historical,1999,942.74637881
ACCESS-CM2,historical,2000,1381.85724713
ACCESS-CM2,historical,2001,542.29868757
ACCESS-CM2,historical,2002,1464.15472182
ACCESS-CM2,historical,2003,1525.25760900
ACCESS-CM2,historical,2004,1049.36229954
ACCESS-CM2,historical,2005,1268.11278479
ACCESS-CM2,historical,2006,1101.69544590
ACCESS-CM2,historical,2007,1478.40515494
ACCESS-CM2,historical,2008,1095.78028548
ACCESS-CM2,historical,2009,1637.20547653
ACCESS-CM2,historical,2010,1005.40777634
ACCESS-CM2,historical,2011,1812.72247873
ACCESS-CM2,historical,2012,966.59054083
ACCESS-CM2,historical,2013,1401.85842921
ACCESS-CM2,historical,2014,1202.36879586
ACCESS-CM2,ssp126,2015,919.34601579
ACCESS-CM2,ssp126,2016,1219.05681237
ACCESS-CM2,ssp126,2017,1236.81529059
ACCESS-CM2,ssp126,2018,1590.35613172
ACCESS-CM2,ssp126,2019,1378.49504981
ACCESS-CM2,ssp126,2020,1353.01623961
ACCESS-CM2,ssp126,2021,1388.11270487
ACCESS-CM2,ssp126,2022,1465.88519576
ACCESS-CM2,ssp126,2023,1333.68922869
ACCESS-CM2,ssp126,2024,1721.15246426
ACCESS-CM2,ssp126,2025,929.77969906
ACCESS-CM2,ssp126,2026,1062.69140524
ACCESS-CM2,ssp126,2027,1071.60967648
ACCESS-CM2,ssp126,2028,1336.73519929
ACCESS-CM2,ssp126,2029,1649.55331643
ACCESS-CM2,ssp126,2030,1328.65393283
ACCESS-CM2,ssp126,2031,883.80057635
ACCESS-CM2,ssp126,2032,1584.51621103
ACCESS-CM2,ssp126,2033,1307.61625221
ACCESS-CM2,ssp126,2034,1624.23285193
ACCESS-CM2,ssp126,2035,854.21261252
ACCESS-CM2,ssp126,2036,1668.60885209
ACCESS-CM2,ssp126,2037,1048.38054137
ACCESS-CM2,ssp126,2038,1697.03383738
ACCESS-CM2,ssp126,2039,1347.08140671
ACCESS-CM2,ssp126,2040,996.10313141
ACCESS-CM2,ssp126,2041,1234.91477709
ACCESS-CM2,ssp126,2042,1485.41665797
ACCESS-CM2,ssp126,2043,1376.54204154
ACCESS-CM2,ssp126,2044,1339.73403178
ACCESS-CM2,ssp126,2045,2029.86007869
ACCESS-CM2,ssp126,2046,809.51588216
ACCESS-CM2,ssp126,2047,1315.09314736
ACCESS-CM2,ssp126,2048,1141.88110677
ACCESS-CM2,ssp126,2049,1158.74346453
ACCESS-CM2,ssp126,2050,1449.28612873
ACCESS-CM2,ssp126,2051,1571.04205951
ACCESS-CM2,ssp126,2052,1136.14917926
ACCESS-CM2,ssp126,2053,1370.10471393
ACCESS-CM2,ssp126,2054,1286.07819754
ACCESS-CM2,ssp126,2055,1242.83246843
ACCESS-CM2,ssp126,2056,1408.29147595
ACCESS-CM2,ssp126,2057,1652.18494158
ACCESS-CM2,ssp126,2058,1234.33349577
ACCESS-CM2,ssp126,2059,1783.83697380
ACCESS-CM2,ssp126,2060,1558.95324298
ACCESS-CM2,ssp126,2061,1595.33226705
ACCESS-CM2,ssp126,2062,1355.20503717
ACCESS-CM2,ssp126,2063,1468.98207116
ACCESS-CM2,ssp126,2064,1264.57112580
ACCESS-CM2,ssp126,2065,1890.02256996
ACCESS-CM2,ssp126,2066,1113.44793279
ACCESS-CM2,ssp126,2067,1814.29059084
ACCESS-CM2,ssp126,2068,1100.43875418
ACCESS-CM2,ssp126,2069,1135.16693298
ACCESS-CM2,ssp126,2070,963.70098369
ACCESS-CM2,ssp126,2071,849.01303418
ACCESS-CM2,ssp126,2072,1300.65682528
ACCESS-CM2,ssp126,2073,1088.00999332
ACCESS-CM2,ssp126,2074,1795.75953625
ACCESS-CM2,ssp126,2075,2316.49572146
ACCESS-CM2,ssp126,2076,1120.20140011
ACCESS-CM2,ssp126,2077,1174.86154248
ACCESS-CM2,ssp126,2078,575.31792708
ACCESS-CM2,ssp126,2079,998.33769774
ACCESS-CM2,ssp126,2080,1914.99209045
ACCESS-CM2,ssp126,2081,1608.63768117
ACCESS-CM2,ssp126,2082,1008.67922235
ACCESS-CM2,ssp126,2083,1596.66208703
ACCESS-CM2,ssp126,2084,1015.79101233
ACCESS-CM2,ssp126,2085,1478.74737672
ACCESS-CM2,ssp126,2086,1634.55917121
ACCESS-CM2,ssp126,2087,542.55886329
ACCESS-CM2,ssp126,2088,1182.22048282
ACCESS-CM2,ssp126,2089,1531.71013263
ACCESS-CM2,ssp126,2090,1452.65755061
ACCESS-CM2,ssp126,2091,952.47517864
ACCESS-CM2,ssp126,2092,1327.99206399
ACCESS-CM2,ssp126,2093,1102.38243799
ACCESS-CM2,ssp126,2094,1127.33440012
ACCESS-CM2,ssp126,2095,1383.85619821
ACCESS-CM2,ssp126,2096,1588.17963379
ACCESS-CM2,ssp126,2097,1692.93873770
ACCESS-CM2,ssp126,2098,885.15310311
ACCESS-CM2,ssp126,2099,1363.63466544
ACCESS-CM2,ssp245,2015,916.55850045
ACCESS-CM2,ssp245,2016,1257.71398021
ACCESS-CM2,ssp245,2017,855.72798196
ACCESS-CM2,ssp245,2018,1434.99556442
ACCESS-CM2,ssp245,2019,820.35355602
ACCESS-CM2,ssp245,2020,1137.76106914
ACCESS-CM2,ssp245,2021,2005.59814231
ACCESS-CM2,ssp245,2022,1213.90284986
ACCESS-CM2,ssp245,2023,1672.64464013
ACCESS-CM2,ssp245,2024,1745.18695109
ACCESS-CM2,ssp245,2025,992.68128950
ACCESS-CM2,ssp245,2026,999.92714232
ACCESS-CM2,ssp245,2027,667.89491540
ACCESS-CM2,ssp245,2028,2005.88477820
ACCESS-CM2,ssp245,2029,1354.23897210
ACCESS-CM2,ssp245,2030,1000.62703795
ACCESS-CM2,ssp245,2031,1811.21420423
