model,experiment,year,pr
ACCESS-CM2,historical,1960,93.18149515
ACCESS-CM2,historical,1961,62.89299861
ACCESS-CM2,historical,1962,109.74983097
ACCESS-CM2,historical,1963,104.90686596
ACCESS-CM2,historical,1964,52.91728847
ACCESS-CM2,historical,1965,66.43671520
ACCESS-CM2,historical,1966,95.41440133
ACCESS-CM2,historical,1967,140.10692358
ACCESS-CM2,historical,1968,53.48326521
ACCESS-CM2,historical,1969,123.19748647
ACCESS-CM2,historical,1970,120.57948869
ACCESS-CM2,historical,1971,56.15607613
ACCESS-CM2,historical,1972,140.02010219
ACCESS-CM2,historical,1973,62.07314792
ACCESS-CM2,historical,1974,115.55751618
ACCESS-CM2,historical,1975,13.27600067
ACCESS-CM2,historical,1976,94.46372834
ACCESS-CM2,historical,1977,139.52157412
ACCESS-CM2,historical,1978,97.68231455
ACCESS-CM2,historical,1979,48.55765623
ACCESS-CM2,historical,1980,70.65403473
ACCESS-CM2,historical,1981,49.24489264
ACCESS-CM2,historical,1982,98.08835391
ACCESS-CM2,historical,1983,132.49321431
ACCESS-CM2,historical,1984,158.92672754
ACCESS-CM2,historical,1985,27.04289349
ACCESS-CM2,historical,1986,55.49179127
ACCESS-CM2,historical,1987,80.68683079
ACCESS-CM2,historical,1988,53.66797604
ACCESS-CM2,historical,1989,104.87616865
ACCESS-CM2,historical,1990,84.12035258
ACCESS-CM2,historical,1991,64.93674410
ACCESS-CM2,historical,1992,57.03484414
ACCESS-CM2,historical,1993,92.67055206
ACCESS-CM2,historical,1994,101.38234388
ACCESS-CM2,historical,1995,54.05446131
ACCESS-CM2,historical,1996,170.56856210
ACCESS-CM2,historical,1997,47.32884718
ACCESS-CM2,historical,1998,21.43591389
ACCESS-CM2,historical,1999,68.37332486
ACCESS-CM2,historical,2000,82.03186022
ACCESS-CM2,historical,2001,87.77347111
ACCESS-CM2,historical,2002,77.50697350
ACCESS-CM2,historical,2003,28.35540281
ACCESS-CM2,historical,2004,54.20718102
ACCESS-CM2,historical,2005,79.08996745
ACCESS-CM2,historical,2006,59.01646798
ACCESS-CM2,historical,2007,71.43596171
ACCESS-CM2,historical,2008,149.18210738
ACCESS-CM2,historical,2009,90.02139594
ACCESS-CM2,historical,2010,61.40698784
ACCESS-CM2,historical,2011,171.16114495
ACCESS-CM2,historical,2012,53.55831991
ACCESS-CM2,historical,2013,80.55509696
ACCESS-CM2,historical,2014,96.38125785
ACCESS-CM2,ssp126,2015,59.68516445
ACCESS-CM2,ssp126,2016,152.92111818
ACCESS-CM2,ssp126,2017,108.83434331
ACCESS-CM2,ssp126,2018,7.98345959
ACCESS-CM2,ssp126,2019,44.15084862
ACCESS-CM2,ssp126,2020,112.53565797
ACCESS-CM2,ssp126,2021,63.65312919
ACCESS-CM2,ssp126,2022,186.61831769
ACCESS-CM2,ssp126,2023,50.98677617
ACCESS-CM2,ssp126,2024,89.80286137
ACCESS-CM2,ssp126,2025,58.15530116
ACCESS-CM2,ssp126,2026,103.44065482
ACCESS-CM2,ssp126,2027,41.56924320
ACCESS-CM2,ssp126,2028,73.67007987
ACCESS-CM2,ssp126,2029,118.73195075
ACCESS-CM2,ssp126,2030,44.24215230
ACCESS-CM2,ssp126,2031,95.80007077
ACCESS-CM2,ssp126,2032,85.93582458
ACCESS-CM2,ssp126,2033,109.29755139
ACCESS-CM2,ssp126,2034,113.29675466
ACCESS-CM2,ssp126,2035,54.09757139
ACCESS-CM2,ssp126,2036,44.86871433
ACCESS-CM2,ssp126,2037,74.11710229
ACCESS-CM2,ssp126,2038,186.39957246
ACCESS-CM2,ssp126,2039,49.09903646
ACCESS-CM2,ssp126,2040,127.43260821
ACCESS-CM2,ssp126,2041,102.47160068
ACCESS-CM2,ssp126,2042,36.48918048
ACCESS-CM2,ssp126,2043,84.70558700
ACCESS-CM2,ssp126,2044,90.73353243
ACCESS-CM2,ssp126,2045,147.09343211
ACCESS-CM2,ssp126,2046,103.70106322
ACCESS-CM2,ssp126,2047,40.40826638
ACCESS-CM2,ssp126,2048,69.09020186
ACCESS-CM2,ssp126,2049,34.29662269
ACCESS-CM2,ssp126,2050,48.13181158
ACCESS-CM2,ssp126,2051,105.13151643
ACCESS-CM2,ssp126,2052,119.89780263
ACCESS-CM2,ssp126,2053,41.31403485
ACCESS-CM2,ssp126,2054,85.32817831
ACCESS-CM2,ssp126,2055,53.12598773
ACCESS-CM2,ssp126,2056,136.10239754
ACCESS-CM2,ssp126,2057,99.93411724
ACCESS-CM2,ssp126,2058,79.07445670
ACCESS-CM2,ssp126,2059,54.24593906
ACCESS-CM2,ssp126,2060,79.70750136
ACCESS-CM2,ssp126,2061,45.38055295
ACCESS-CM2,ssp126,2062,63.50850362
ACCESS-CM2,ssp126,2063,21.20570128
ACCESS-CM2,ssp126,2064,86.20283692
ACCESS-CM2,ssp126,2065,46.11434655
ACCESS-CM2,ssp126,2066,39.82010673
ACCESS-CM2,ssp126,2067,120.60332740
ACCESS-CM2,ssp126,2068,12.56982342
ACCESS-CM2,ssp126,2069,94.93956992
ACCESS-CM2,ssp126,2070,46.67558398
ACCESS-CM2,ssp126,2071,55.18466615
ACCESS-CM2,ssp126,2072,61.35829896
ACCESS-CM2,ssp126,2073,51.80134355
ACCESS-CM2,ssp126,2074,46.35443309
ACCESS-CM2,ssp126,2075,49.34554706
ACCESS-CM2,ssp126,2076,94.57001266
ACCESS-CM2,ssp126,2077,29.56450822
ACCESS-CM2,ssp126,2078,58.75890309
ACCESS-CM2,ssp126,2079,76.45198703
ACCESS-CM2,ssp126,2080,62.59565827
ACCESS-CM2,ssp126,2081,63.68953884
ACCESS-CM2,ssp126,2082,62.92955076
