model,experiment,year,pr
ACCESS-CM2,historical,1960,628.07702281
ACCESS-CM2,historical,1961,154.32675148
ACCESS-CM2,historical,1962,687.34308258
ACCESS-CM2,historical,1963,618.98926942
ACCESS-CM2,historical,1964,470.48702707
ACCESS-CM2,historical,1965,281.67135927
ACCESS-CM2,historical,1966,731.26165661
ACCESS-CM2,historical,1967,304.49913203
ACCESS-CM2,historical,1968,448.30246193
ACCESS-CM2,historical,1969,420.09414864
ACCESS-CM2,historical,1970,329.90106417
ACCESS-CM2,historical,1971,298.01592310
ACCESS-CM2,historical,1972,334.71588392
ACCESS-CM2,historical,1973,317.73672585
ACCESS-CM2,historical,1974,295.34117728
ACCESS-CM2,historical,1975,521.55865289
ACCESS-CM2,historical,1976,891.52181859
ACCESS-CM2,historical,1977,276.65106135
ACCESS-CM2,historical,1978,404.35221420
ACCESS-CM2,historical,1979,405.86727902
ACCESS-CM2,historical,1980,179.44688414
ACCESS-CM2,historical,1981,427.71659433
ACCESS-CM2,historical,1982,651.47702994
ACCESS-CM2,historical,1983,355.10575167
ACCESS-CM2,historical,1984,202.17225827
ACCESS-CM2,historical,1985,203.90461715
ACCESS-CM2,historical,1986,753.26356290
ACCESS-CM2,historical,1987,226.20897453
ACCESS-CM2,historical,1988,347.43255651
ACCESS-CM2,historical,1989,292.33666434
ACCESS-CM2,historical,1990,216.93839205
ACCESS-CM2,historical,1991,170.96065058
ACCESS-CM2,historical,1992,482.72100513
ACCESS-CM2,historical,1993,253.55816335
ACCESS-CM2,historical,1994,400.91137346
ACCESS-CM2,historical,1995,515.54563191
ACCESS-CM2,historical,1996,169.48075872
ACCESS-CM2,historical,1997,401.70275876
ACCESS-CM2,historical,1998,353.77063152
ACCESS-CM2,historical,1999,452.21990253
ACCESS-CM2,historical,2000,551.24108556
ACCESS-CM2,historical,2001,302.04799066
ACCESS-CM2,historical,2002,421.77720997
ACCESS-CM2,historical,2003,271.06493215
ACCESS-CM2,historical,2004,498.28784915
ACCESS-CM2,historical,2005,283.90262818
ACCESS-CM2,historical,2006,326.79807107
ACCESS-CM2,historical,2007,483.56218826
ACCESS-CM2,historical,2008,485.71969962
ACCESS-CM2,historical,2009,515.39917597
ACCESS-CM2,historical,2010,475.54209483
ACCESS-CM2,historical,2011,587.70803247
ACCESS-CM2,historical,2012,488.63843807
ACCESS-CM2,historical,2013,410.27821969
ACCESS-CM2,historical,2014,825.16598848
ACCESS-CM2,ssp126,2015,450.65036011
ACCESS-CM2,ssp126,2016,470.10230712
ACCESS-CM2,ssp126,2017,401.30325576
ACCESS-CM2,ssp126,2018,301.62202907
ACCESS-CM2,ssp126,2019,247.03029590
ACCESS-CM2,ssp126,2020,384.84334085
ACCESS-CM2,ssp126,2021,256.49330515
ACCESS-CM2,ssp126,2022,363.79189590
ACCESS-CM2,ssp126,2023,387.92839660
ACCESS-CM2,ssp126,2024,570.51669894
ACCESS-CM2,ssp126,2025,625.54935521
ACCESS-CM2,ssp126,2026,408.81097238
ACCESS-CM2,ssp126,2027,631.10758886
ACCESS-CM2,ssp126,2028,189.62864233
ACCESS-CM2,ssp126,2029,780.45560619
ACCESS-CM2,ssp126,2030,310.49633169
ACCESS-CM2,ssp126,2031,502.18201516
ACCESS-CM2,ssp126,2032,424.44753470
ACCESS-CM2,ssp126,2033,291.99694565
ACCESS-CM2,ssp126,2034,423.04056931
