model,experiment,year,pr
ACCESS-CM2,historical,1960,121.14459431
ACCESS-CM2,historical,1961,65.16872277
ACCESS-CM2,historical,1962,81.92382018
ACCESS-CM2,historical,1963,141.15782932
ACCESS-CM2,historical,1964,99.37649918
ACCESS-CM2,historical,1965,117.86887011
ACCESS-CM2,historical,1966,71.28552307
ACCESS-CM2,historical,1967,111.08017353
ACCESS-CM2,historical,1968,20.32120025
ACCESS-CM2,historical,1969,91.01739520
ACCESS-CM2,historical,1970,75.73610351
ACCESS-CM2,historical,1971,59.83005892
ACCESS-CM2,historical,1972,71.46033336
ACCESS-CM2,historical,1973,82.50567439
ACCESS-CM2,historical,1974,123.40259252
ACCESS-CM2,historical,1975,124.34692257
ACCESS-CM2,historical,1976,90.58291870
ACCESS-CM2,historical,1977,146.65446463
ACCESS-CM2,historical,1978,105.20679813
ACCESS-CM2,historical,1979,103.47981319
ACCESS-CM2,historical,1980,110.52973806
ACCESS-CM2,historical,1981,91.25344581
ACCESS-CM2,historical,1982,62.64229813
ACCESS-CM2,historical,1983,121.51552332
ACCESS-CM2,historical,1984,93.91131656
ACCESS-CM2,historical,1985,36.19524684
ACCESS-CM2,historical,1986,48.89721948
ACCESS-CM2,historical,1987,80.94593750
ACCESS-CM2,historical,1988,109.44693138
ACCESS-CM2,historical,1989,112.97152991
ACCESS-CM2,historical,1990,115.17233234
ACCESS-CM2,historical,1991,79.82881491
ACCESS-CM2,historical,1992,71.33846984
ACCESS-CM2,historical,1993,71.69343104
ACCESS-CM2,historical,1994,96.99638977
ACCESS-CM2,historical,1995,166.94670924
ACCESS-CM2,historical,1996,180.41654678
ACCESS-CM2,historical,1997,88.19285500
ACCESS-CM2,historical,1998,105.44593586
ACCESS-CM2,historical,1999,97.82137409
ACCESS-CM2,historical,2000,87.20125968
ACCESS-CM2,historical,2001,65.08125611
ACCESS-CM2,historical,2002,71.41040188
ACCESS-CM2,historical,2003,100.88250202
ACCESS-CM2,historical,2004,84.78054433
ACCESS-CM2,historical,2005,130.22695350
ACCESS-CM2,historical,2006,72.56263986
ACCESS-CM2,historical,2007,147.22889497
ACCESS-CM2,historical,2008,164.21747030
ACCESS-CM2,historical,2009,119.58803619
ACCESS-CM2,historical,2010,98.71017563
ACCESS-CM2,historical,2011,166.36434329
ACCESS-CM2,historical,2012,168.85649792
ACCESS-CM2,historical,2013,98.45624083
ACCESS-CM2,historical,2014,178.24513367
ACCESS-CM2,ssp126,2015,130.70928105
ACCESS-CM2,ssp126,2016,64.28175563
ACCESS-CM2,ssp126,2017,129.08098254
ACCESS-CM2,ssp126,2018,119.48817683
ACCESS-CM2,ssp126,2019,137.86478417
ACCESS-CM2,ssp126,2020,169.90006962
ACCESS-CM2,ssp126,2021,166.20432531
ACCESS-CM2,ssp126,2022,77.10875335
ACCESS-CM2,ssp126,2023,41.12230063
ACCESS-CM2,ssp126,2024,80.95782344
ACCESS-CM2,ssp126,2025,95.68308158
ACCESS-CM2,ssp126,2026,77.23192149
ACCESS-CM2,ssp126,2027,66.04982725
ACCESS-CM2,ssp126,2028,114.86270575
ACCESS-CM2,ssp126,2029,175.42467745
ACCESS-CM2,ssp126,2030,175.99295455
ACCESS-CM2,ssp126,2031,28.68602601
ACCESS-CM2,ssp126,2032,107.20368448
ACCESS-CM2,ssp126,2033,82.21898731
ACCESS-CM2,ssp126,2034,82.28779950
ACCESS-CM2,ssp126,2035,38.80874133
ACCESS-CM2,ssp126,2036,64.62018671
ACCESS-CM2,ssp126,2037,69.57185169
ACCESS-CM2,ssp126,2038,76.81031768
ACCESS-CM2,ssp126,2039,100.30284582
ACCESS-CM2,ssp126,2040,40.84963013
ACCESS-CM2,ssp126,2041,114.43448425
ACCESS-CM2,ssp126,2042,97.50761991
ACCESS-CM2,ssp126,2043,84.45483230
ACCESS-CM2,ssp126,2044,94.61092366
ACCESS-CM2,ssp126,2045,179.41430060
ACCESS-CM2,ssp126,2046,97.99261133
ACCESS-CM2,ssp126,2047,98.41849814
ACCESS-CM2,ssp126,2048,140.14039242
ACCESS-CM2,ssp126,2049,107.74031966
ACCESS-CM2,ssp126,2050,88.29571466
ACCESS-CM2,ssp126,2051,159.76720657
ACCESS-CM2,ssp126,2052,150.05783444
ACCESS-CM2,ssp126,2053,70.78318814
ACCESS-CM2,ssp126,2054,124.79758115
ACCESS-CM2,ssp126,2055,113.51349865
ACCESS-CM2,ssp126,2056,143.33669541
ACCESS-CM2,ssp126,2057,78.25035520
ACCESS-CM2,ssp126,2058,118.45911902
ACCESS-CM2,ssp126,2059,157.32605567
ACCESS-CM2,ssp126,2060,61.80985174
ACCESS-CM2,ssp126,2061,122.73889131
ACCESS-CM2,ssp126,2062,114.09095136
ACCESS-CM2,ssp126,2063,183.88906137
ACCESS-CM2,ssp126,2064,92.02469760
ACCESS-CM2,ssp126,2065,128.60184955
ACCESS-CM2,ssp126,2066,113.37642048
ACCESS-CM2,ssp126,2067,139.01286956
ACCESS-CM2,ssp126,2068,80.97554962
ACCESS-CM2,ssp126,2069,35.49908083
ACCESS-CM2,ssp126,2070,79.52092558
ACCESS-CM2,ssp126,2071,90.92716631
ACCESS-CM2,ssp126,2072,69.72503534
ACCESS-CM2,ssp126,2073,87.31798197
ACCESS-CM2,ssp126,2074,94.75380242
ACCESS-CM2,ssp126,2075,156.26913828
ACCESS-CM2,ssp126,2076,94.98526038
ACCESS-CM2,ssp126,2077,116.19245467
ACCESS-CM2,ssp126,2078,67.27890934
ACCESS-CM2,ssp126,2079,61.80412565
ACCESS-CM2,ssp126,2080,178.67225712
ACCESS-CM2,ssp126,2081,138.26750865
ACCESS-CM2,ssp126,2082,48.79812711
ACCESS-CM2,ssp126,2083,121.71655107
ACCESS-CM2,ssp126,2084,71.30310283
ACCESS-CM2,ssp126,2085,144.61654084
ACCESS-CM2,ssp126,2086,127.86903040
ACCESS-CM2,ssp126,2087,119.77913336
ACCESS-CM2,ssp126,2088,60.77903056
ACCESS-CM2,ssp126,2089,97.38685196
ACCESS-CM2,ssp126,2090,114.05914230
ACCESS-CM2,ssp126,2091,114.69170134
ACCESS-CM2,ssp126,2092,79.10799027
ACCESS-CM2,ssp126,2093,50.53219384
ACCESS-CM2,ssp126,2094,128.30511719
ACCESS-CM2,ssp126,2095,93.58744755
ACCESS-CM2,ssp126,2096,75.31769815
ACCESS-CM2,ssp126,2097,82.30112110
ACCESS-CM2,ssp126,2098,113.42581360
ACCESS-CM2,ssp126,2099,212.72700744
ACCESS-CM2,ssp245,2015,64.82407992
ACCESS-CM2,ssp245,2016,56.13583197
ACCESS-CM2,ssp245,2017,85.02768359
ACCESS-CM2,ssp245,2018,77.61048013
ACCESS-CM2,ssp245,2019,92.16255420
ACCESS-CM2,ssp245,2020,117.04029178
ACCESS-CM2,ssp245,2021,173.92881866
ACCESS-CM2,ssp245,2022,80.43765666
ACCESS-CM2,ssp245,2023,192.04139355
ACCESS-CM2,ssp245,2024,144.37299670
ACCESS-CM2,ssp245,2025,164.16411693
ACCESS-CM2,ssp245,2026,122.28395613
ACCESS-CM2,ssp245,2027,85.12720738
ACCESS-CM2,ssp245,2028,138.00806054
ACCESS-CM2,ssp245,2029,115.61882171
ACCESS-CM2,ssp245,2030,137.38621625
ACCESS-CM2,ssp245,2031,121.50611803
ACCESS-CM2,ssp245,2032,94.51730099
ACCESS-CM2,ssp245,2033,117.70889104
ACCESS-CM2,ssp245,2034,63.83146086
ACCESS-CM2,ssp245,2035,170.12482905
ACCESS-CM2,ssp245,2036,47.46262185
ACCESS-CM2,ssp245,2037,98.14622305
ACCESS-CM2,ssp245,2038,83.57995131
ACCESS-CM2,ssp245,2039,68.26603118
ACCESS-CM2,ssp245,2040,59.38380102
ACCESS-CM2,ssp245,2041,106.55876851
ACCESS-CM2,ssp245,2042,48.93352483
ACCESS-CM2,ssp245,2043,134.38229155
ACCESS-CM2,ssp245,2044,98.78143607
ACCESS-CM2,ssp245,2045,78.23646413
ACCESS-CM2,ssp245,2046,93.53478489
ACCESS-CM2,ssp245,2047,133.00285420
ACCESS-CM2,ssp245,2048,119.92757573
ACCESS-CM2,ssp245,2049,72.31228136
ACCESS-CM2,ssp245,2050,91.47672918
ACCESS-CM2,ssp245,2051,66.35849660
ACCESS-CM2,ssp245,2052,137.69590577
ACCESS-CM2,ssp245,2053,110.04244893
ACCESS-CM2,ssp245,2054,113.55525355
ACCESS-CM2,ssp245,2055,126.17602835
ACCESS-CM2,ssp245,2056,60.83844815
ACCESS-CM2,ssp245,2057,101.85927727
ACCESS-CM2,ssp245,2058,121.40861153
ACCESS-CM2,ssp245,2059,100.17404101
ACCESS-CM2,ssp245,2060,94.53430628
ACCESS-CM2,ssp245,2061,79.53508403
ACCESS-CM2,ssp245,2062,81.67791729
ACCESS-CM2,ssp245,2063,104.98771568
ACCESS-CM2,ssp245,2064,76.55340331
ACCESS-CM2,ssp245,2065,92.49424866
ACCESS-CM2,ssp245,2066,110.28726180
ACCESS-CM2,ssp245,2067,61.30906813
ACCESS-CM2,ssp245,2068,101.71741528
ACCESS-CM2,ssp245,2069,163.80940899
ACCESS-CM2,ssp245,2070,84.17306686
ACCESS-CM2,ssp245,2071,114.86225739
ACCESS-CM2,ssp245,2072,111.92257324
ACCESS-CM2,ssp245,2073,103.03076949
ACCESS-CM2,ssp245,2074,122.05101136
ACCESS-CM2,ssp245,2075,94.36219549
ACCESS-CM2,ssp245,2076,102.14700042
ACCESS-CM2,ssp245,2077,115.13483432
ACCESS-CM2,ssp245,2078,101.89986041
ACCESS-CM2,ssp245,2079,75.80149420
ACCESS-CM2,ssp245,2080,70.25440107
ACCESS-CM2,ssp245,2081,39.39457337
ACCESS-CM2,ssp245,2082,61.77009486
ACCESS-CM2,ssp245,2083,168.02974969
ACCESS-CM2,ssp245,2084,50.68526391
ACCESS-CM2,ssp245,2085,78.14713474
ACCESS-CM2,ssp245,2086,79.73658929
ACCESS-CM2,ssp245,2087,119.21152432
ACCESS-CM2,ssp245,2088,141.32647520
ACCESS-CM2,ssp245,2089,82.79211996
ACCESS-CM2,ssp245,2090,111.83895303
ACCESS-CM2,ssp245,2091,75.64151679
ACCESS-CM2,ssp245,2092,85.66083372
ACCESS-CM2,ssp245,2093,24.08270491
ACCESS-CM2,ssp245,2094,85.07784174
ACCESS-CM2,ssp245,2095,82.73903271
ACCESS-CM2,ssp245,2096,94.92503970
ACCESS-CM2,ssp245,2097,87.35254975
ACCESS-CM2,ssp245,2098,78.65126473
ACCESS-CM2,ssp245,2099,98.86413328
ACCESS-CM2,ssp370,2015,148.52726888
ACCESS-CM2,ssp370,2016,95.18206919
ACCESS-CM2,ssp370,2017,92.19314091
ACCESS-CM2,ssp370,2018,186.09913018
ACCESS-CM2,ssp370,2019,123.58894371
ACCESS-CM2,ssp370,2020,96.28730675
ACCESS-CM2,ssp370,2021,78.20762940
ACCESS-CM2,ssp370,2022,109.46832213
ACCESS-CM2,ssp370,2023,106.10977328
ACCESS-CM2,ssp370,2024,80.15698812
ACCESS-CM2,ssp370,2025,110.47067153
ACCESS-CM2,ssp370,2026,131.37055531
ACCESS-CM2,ssp370,2027,63.10010073
ACCESS-CM2,ssp370,2028,107.57624948
ACCESS-CM2,ssp370,2029,109.28992117
ACCESS-CM2,ssp370,2030,72.07011599
ACCESS-CM2,ssp370,2031,133.49053365
ACCESS-CM2,ssp370,2032,143.29799935
ACCESS-CM2,ssp370,2033,146.42773911
ACCESS-CM2,ssp370,2034,74.77864344
ACCESS-CM2,ssp370,2035,143.49760914
ACCESS-CM2,ssp370,2036,111.17576709
ACCESS-CM2,ssp370,2037,191.51069495
ACCESS-CM2,ssp370,2038,121.18375225
ACCESS-CM2,ssp370,2039,128.25406142
ACCESS-CM2,ssp370,2040,131.11990809
ACCESS-CM2,ssp370,2041,98.40717334
ACCESS-CM2,ssp370,2042,169.09435562
ACCESS-CM2,ssp370,2043,102.65153488
ACCESS-CM2,ssp370,2044,109.00918403
ACCESS-CM2,ssp370,2045,101.27239843
ACCESS-CM2,ssp370,2046,78.79047841
ACCESS-CM2,ssp370,2047,106.39533316
ACCESS-CM2,ssp370,2048,50.91747755
ACCESS-CM2,ssp370,2049,124.82091005
ACCESS-CM2,ssp370,2050,118.14190363
ACCESS-CM2,ssp370,2051,121.01144329
ACCESS-CM2,ssp370,2052,177.05725670
ACCESS-CM2,ssp370,2053,86.58871186
ACCESS-CM2,ssp370,2054,126.87414084
ACCESS-CM2,ssp370,2055,98.01183793
ACCESS-CM2,ssp370,2056,81.24930046
ACCESS-CM2,ssp370,2057,106.78981030
ACCESS-CM2,ssp370,2058,152.62425677
ACCESS-CM2,ssp370,2059,80.00648161
ACCESS-CM2,ssp370,2060,80.52156760
ACCESS-CM2,ssp370,2061,128.50628377
ACCESS-CM2,ssp370,2062,100.76233117
ACCESS-CM2,ssp370,2063,123.21127490
ACCESS-CM2,ssp370,2064,137.93425977
ACCESS-CM2,ssp370,2065,100.24457746
ACCESS-CM2,ssp370,2066,117.49963724
ACCESS-CM2,ssp370,2067,112.92762139
ACCESS-CM2,ssp370,2068,121.12129827
ACCESS-CM2,ssp370,2069,165.49316464
ACCESS-CM2,ssp370,2070,85.80519151
ACCESS-CM2,ssp370,2071,105.89521402
ACCESS-CM2,ssp370,2072,136.79176543
ACCESS-CM2,ssp370,2073,149.87405739
ACCESS-CM2,ssp370,2074,72.28707034
ACCESS-CM2,ssp370,2075,112.97458106
ACCESS-CM2,ssp370,2076,121.85910082
ACCESS-CM2,ssp370,2077,144.22818946
ACCESS-CM2,ssp370,2078,79.45197077
ACCESS-CM2,ssp370,2079,115.14161037
ACCESS-CM2,ssp370,2080,128.88348262
ACCESS-CM2,ssp370,2081,110.98086658
ACCESS-CM2,ssp370,2082,126.02818594
ACCESS-CM2,ssp370,2083,137.66671112
ACCESS-CM2,ssp370,2084,87.36553247
ACCESS-CM2,ssp370,2085,125.92419863
ACCESS-CM2,ssp370,2086,87.87469494
ACCESS-CM2,ssp370,2087,136.68128657
ACCESS-CM2,ssp370,2088,82.67098139
ACCESS-CM2,ssp370,2089,114.50761938
ACCESS-CM2,ssp370,2090,118.18966009
ACCESS-CM2,ssp370,2091,126.82758876
ACCESS-CM2,ssp370,2092,63.13810222
ACCESS-CM2,ssp370,2093,100.84977517
ACCESS-CM2,ssp370,2094,159.39816685
ACCESS-CM2,ssp370,2095,80.28951960
ACCESS-CM2,ssp370,2096,90.57975790
ACCESS-CM2,ssp370,2097,112.78544186
ACCESS-CM2,ssp370,2098,116.50579263
ACCESS-CM2,ssp370,2099,145.37760130
ACCESS-CM2,ssp585,2015,103.40457085
ACCESS-CM2,ssp585,2016,62.99774828
ACCESS-CM2,ssp585,2017,158.41771215
ACCESS-CM2,ssp585,2018,81.86345938
ACCESS-CM2,ssp585,2019,131.60600161
ACCESS-CM2,ssp585,2020,59.89172733
ACCESS-CM2,ssp585,2021,105.90525427
ACCESS-CM2,ssp585,2022,113.17722766
ACCESS-CM2,ssp585,2023,54.26315434
ACCESS-CM2,ssp585,2024,134.81476981
ACCESS-CM2,ssp585,2025,165.27085821
ACCESS-CM2,ssp585,2026,103.27332088
ACCESS-CM2,ssp585,2027,141.38545633
ACCESS-CM2,ssp585,2028,124.18824142
ACCESS-CM2,ssp585,2029,107.43575195
ACCESS-CM2,ssp585,2030,116.30833240
ACCESS-CM2,ssp585,2031,111.11076209
ACCESS-CM2,ssp585,2032,110.08118168
ACCESS-CM2,ssp585,2033,146.72263579
ACCESS-CM2,ssp585,2034,128.50873963
ACCESS-CM2,ssp585,2035,83.70302151
ACCESS-CM2,ssp585,2036,119.34341704
ACCESS-CM2,ssp585,2037,93.65025905
ACCESS-CM2,ssp585,2038,140.07971056
ACCESS-CM2,ssp585,2039,78.63643181
ACCESS-CM2,ssp585,2040,52.49894749
ACCESS-CM2,ssp585,2041,111.84246711
ACCESS-CM2,ssp585,2042,68.73513136
ACCESS-CM2,ssp585,2043,62.75400034
ACCESS-CM2,ssp585,2044,50.38825251
ACCESS-CM2,ssp585,2045,120.56580760
ACCESS-CM2,ssp585,2046,119.83478877
ACCESS-CM2,ssp585,2047,114.72608901
ACCESS-CM2,ssp585,2048,82.60931624
ACCESS-CM2,ssp585,2049,59.15293831
ACCESS-CM2,ssp585,2050,72.97721241
ACCESS-CM2,ssp585,2051,149.26534140
ACCESS-CM2,ssp585,2052,114.71107037
ACCESS-CM2,ssp585,2053,120.82934371
ACCESS-CM2,ssp585,2054,90.57804309
ACCESS-CM2,ssp585,2055,157.19040806
ACCESS-CM2,ssp585,2056,135.53630720
ACCESS-CM2,ssp585,2057,86.55997230
ACCESS-CM2,ssp585,2058,106.87865996
ACCESS-CM2,ssp585,2059,90.74000678
ACCESS-CM2,ssp585,2060,97.95671851
ACCESS-CM2,ssp585,2061,156.76822298
ACCESS-CM2,ssp585,2062,118.10714651
ACCESS-CM2,ssp585,2063,108.61127573
ACCESS-CM2,ssp585,2064,117.02224783
ACCESS-CM2,ssp585,2065,72.08600948
ACCESS-CM2,ssp585,2066,116.65128424
ACCESS-CM2,ssp585,2067,114.36064975
ACCESS-CM2,ssp585,2068,68.92569351
ACCESS-CM2,ssp585,2069,83.19576980
ACCESS-CM2,ssp585,2070,118.96618013
ACCESS-CM2,ssp585,2071,85.23944844
ACCESS-CM2,ssp585,2072,98.14941061
ACCESS-CM2,ssp585,2073,65.58547487
ACCESS-CM2,ssp585,2074,87.95592587
ACCESS-CM2,ssp585,2075,105.18008532
