model,experiment,year,pr
ACCESS-CM2,historical,1960,206.00735198
ACCESS-CM2,historical,1961,128.74015232
ACCESS-CM2,historical,1962,191.19763866
ACCESS-CM2,historical,1963,214.04905018
ACCESS-CM2,historical,1964,213.69477356
ACCESS-CM2,historical,1965,199.55500589
ACCESS-CM2,historical,1966,138.86138574
ACCESS-CM2,historical,1967,164.14382225
ACCESS-CM2,historical,1968,96.25985128
ACCESS-CM2,historical,1969,161.35632154
ACCESS-CM2,historical,1970,140.68435966
ACCESS-CM2,historical,1971,140.93011244
ACCESS-CM2,historical,1972,136.55197301
ACCESS-CM2,historical,1973,114.75470723
ACCESS-CM2,historical,1974,192.64976058
ACCESS-CM2,historical,1975,151.97721093
ACCESS-CM2,historical,1976,141.49032157
ACCESS-CM2,historical,1977,113.67748686
ACCESS-CM2,historical,1978,189.40882126
ACCESS-CM2,historical,1979,151.30094402
ACCESS-CM2,historical,1980,164.14196316
ACCESS-CM2,historical,1981,119.38570848
ACCESS-CM2,historical,1982,118.25399044
ACCESS-CM2,historical,1983,160.45149627
ACCESS-CM2,historical,1984,165.19123996
ACCESS-CM2,historical,1985,76.95455837
ACCESS-CM2,historical,1986,91.90889358
ACCESS-CM2,historical,1987,132.59151511
ACCESS-CM2,historical,1988,166.64102945
ACCESS-CM2,historical,1989,212.65863561
ACCESS-CM2,historical,1990,190.05082654
ACCESS-CM2,historical,1991,153.60203273
ACCESS-CM2,historical,1992,126.35513963
ACCESS-CM2,historical,1993,137.25682746
ACCESS-CM2,historical,1994,159.81868410
ACCESS-CM2,historical,1995,162.59843928
ACCESS-CM2,historical,1996,169.75744047
ACCESS-CM2,historical,1997,151.98335489
ACCESS-CM2,historical,1998,201.60564264
ACCESS-CM2,historical,1999,132.93238471
ACCESS-CM2,historical,2000,201.59892165
ACCESS-CM2,historical,2001,114.35096753
ACCESS-CM2,historical,2002,120.60821841
ACCESS-CM2,historical,2003,165.30349478
ACCESS-CM2,historical,2004,112.98016520
ACCESS-CM2,historical,2005,131.50004078
ACCESS-CM2,historical,2006,129.16397485
ACCESS-CM2,historical,2007,226.60875123
ACCESS-CM2,historical,2008,185.30638191
ACCESS-CM2,historical,2009,188.12532332
ACCESS-CM2,historical,2010,135.22257245
ACCESS-CM2,historical,2011,210.34351439
ACCESS-CM2,historical,2012,194.40130926
ACCESS-CM2,historical,2013,210.46281407
ACCESS-CM2,historical,2014,228.89329283
ACCESS-CM2,ssp126,2015,162.13182289
ACCESS-CM2,ssp126,2016,145.22273893
ACCESS-CM2,ssp126,2017,206.65170191
ACCESS-CM2,ssp126,2018,198.64711639
ACCESS-CM2,ssp126,2019,228.30512789
ACCESS-CM2,ssp126,2020,212.30899924
ACCESS-CM2,ssp126,2021,176.05496113
ACCESS-CM2,ssp126,2022,125.17479765
ACCESS-CM2,ssp126,2023,109.29066099
ACCESS-CM2,ssp126,2024,140.00696160
ACCESS-CM2,ssp126,2025,169.56148273
ACCESS-CM2,ssp126,2026,149.29945098
ACCESS-CM2,ssp126,2027,141.54720102
ACCESS-CM2,ssp126,2028,176.01819032
ACCESS-CM2,ssp126,2029,242.86671757
ACCESS-CM2,ssp126,2030,179.95123008
ACCESS-CM2,ssp126,2031,94.03233305
