model,experiment,year,pr
ACCESS-CM2,historical,1960,314.06798046
ACCESS-CM2,historical,1961,145.66353096
ACCESS-CM2,historical,1962,250.19182969
ACCESS-CM2,historical,1963,184.96587276
ACCESS-CM2,historical,1964,388.84382042
ACCESS-CM2,historical,1965,350.70078006
ACCESS-CM2,historical,1966,186.27841749
ACCESS-CM2,historical,1967,159.60505292
ACCESS-CM2,historical,1968,128.26937131
ACCESS-CM2,historical,1969,212.41434109
ACCESS-CM2,historical,1970,153.78494299
ACCESS-CM2,historical,1971,171.52178412
ACCESS-CM2,historical,1972,239.33885998
ACCESS-CM2,historical,1973,153.09582557
ACCESS-CM2,historical,1974,292.38937580
ACCESS-CM2,historical,1975,187.22838726
ACCESS-CM2,historical,1976,238.13136500
ACCESS-CM2,historical,1977,79.51042984
ACCESS-CM2,historical,1978,206.06406103
ACCESS-CM2,historical,1979,146.04504916
ACCESS-CM2,historical,1980,260.90767922
ACCESS-CM2,historical,1981,195.85597907
ACCESS-CM2,historical,1982,134.28394349
ACCESS-CM2,historical,1983,216.06396869
ACCESS-CM2,historical,1984,197.47771714
ACCESS-CM2,historical,1985,62.22262930
ACCESS-CM2,historical,1986,65.30655845
ACCESS-CM2,historical,1987,223.25636565
ACCESS-CM2,historical,1988,282.06288139
ACCESS-CM2,historical,1989,376.61385136
ACCESS-CM2,historical,1990,214.68578291
ACCESS-CM2,historical,1991,175.31010267
ACCESS-CM2,historical,1992,150.17645412
ACCESS-CM2,historical,1993,170.31569746
ACCESS-CM2,historical,1994,230.82619888
ACCESS-CM2,historical,1995,181.03233739
ACCESS-CM2,historical,1996,131.64781586
ACCESS-CM2,historical,1997,187.85342875
ACCESS-CM2,historical,1998,241.16292218
ACCESS-CM2,historical,1999,163.69336121
ACCESS-CM2,historical,2000,275.10143169
ACCESS-CM2,historical,2001,217.03104132
ACCESS-CM2,historical,2002,116.84361492
ACCESS-CM2,historical,2003,216.77332309
ACCESS-CM2,historical,2004,158.14805247
ACCESS-CM2,historical,2005,157.28267956
ACCESS-CM2,historical,2006,176.64939927
ACCESS-CM2,historical,2007,304.13024819
ACCESS-CM2,historical,2008,259.19521272
ACCESS-CM2,historical,2009,399.76236892
ACCESS-CM2,historical,2010,136.22100731
ACCESS-CM2,historical,2011,283.29125253
ACCESS-CM2,historical,2012,254.59092138
ACCESS-CM2,historical,2013,288.23502261
ACCESS-CM2,historical,2014,313.15599068
ACCESS-CM2,ssp126,2015,196.12833647
ACCESS-CM2,ssp126,2016,185.97488891
ACCESS-CM2,ssp126,2017,303.39260760
ACCESS-CM2,ssp126,2018,251.15338252
ACCESS-CM2,ssp126,2019,187.03888105
ACCESS-CM2,ssp126,2020,272.55884468
ACCESS-CM2,ssp126,2021,163.30614323
ACCESS-CM2,ssp126,2022,186.55551472
ACCESS-CM2,ssp126,2023,123.80595059
ACCESS-CM2,ssp126,2024,163.16658423
ACCESS-CM2,ssp126,2025,265.70749841
ACCESS-CM2,ssp126,2026,153.50331907
ACCESS-CM2,ssp126,2027,187.41757825
ACCESS-CM2,ssp126,2028,205.75437453
ACCESS-CM2,ssp126,2029,316.17911954
ACCESS-CM2,ssp126,2030,234.24243514
ACCESS-CM2,ssp126,2031,47.46500336
ACCESS-CM2,ssp126,2032,294.16129509
ACCESS-CM2,ssp126,2033,157.84645349
ACCESS-CM2,ssp126,2034,256.88758956
ACCESS-CM2,ssp126,2035,97.28093201
ACCESS-CM2,ssp126,2036,116.59996747
ACCESS-CM2,ssp126,2037,169.68148055
ACCESS-CM2,ssp126,2038,163.58171124
ACCESS-CM2,ssp126,2039,304.00404018
ACCESS-CM2,ssp126,2040,119.42583372
ACCESS-CM2,ssp126,2041,205.68383592
ACCESS-CM2,ssp126,2042,174.07934582
ACCESS-CM2,ssp126,2043,169.35890540
ACCESS-CM2,ssp126,2044,230.69359333
ACCESS-CM2,ssp126,2045,343.40951745
ACCESS-CM2,ssp126,2046,226.74058744
ACCESS-CM2,ssp126,2047,278.67241198
ACCESS-CM2,ssp126,2048,340.94740128
ACCESS-CM2,ssp126,2049,357.50463951
ACCESS-CM2,ssp126,2050,191.59012027
ACCESS-CM2,ssp126,2051,229.07767977
ACCESS-CM2,ssp126,2052,173.84125427
ACCESS-CM2,ssp126,2053,142.44648078
ACCESS-CM2,ssp126,2054,213.22401886
ACCESS-CM2,ssp126,2055,210.04475054
ACCESS-CM2,ssp126,2056,317.93670925
ACCESS-CM2,ssp126,2057,165.34395405
ACCESS-CM2,ssp126,2058,219.53831723
ACCESS-CM2,ssp126,2059,294.89906362
ACCESS-CM2,ssp126,2060,206.17039895
ACCESS-CM2,ssp126,2061,228.45689695
ACCESS-CM2,ssp126,2062,212.98869054
ACCESS-CM2,ssp126,2063,256.95592000
ACCESS-CM2,ssp126,2064,235.11620594
ACCESS-CM2,ssp126,2065,302.99673092
ACCESS-CM2,ssp126,2066,216.26929269
ACCESS-CM2,ssp126,2067,273.77684992
ACCESS-CM2,ssp126,2068,154.20719225
ACCESS-CM2,ssp126,2069,44.68034976
ACCESS-CM2,ssp126,2070,212.86407248
ACCESS-CM2,ssp126,2071,159.52188949
ACCESS-CM2,ssp126,2072,88.97700805
ACCESS-CM2,ssp126,2073,179.60888872
ACCESS-CM2,ssp126,2074,254.59670814
ACCESS-CM2,ssp126,2075,372.19862940
ACCESS-CM2,ssp126,2076,257.74324804
ACCESS-CM2,ssp126,2077,167.54599669
ACCESS-CM2,ssp126,2078,80.57887975
ACCESS-CM2,ssp126,2079,158.61326721
ACCESS-CM2,ssp126,2080,368.56633144
ACCESS-CM2,ssp126,2081,307.12497442
ACCESS-CM2,ssp126,2082,83.05904881
ACCESS-CM2,ssp126,2083,254.25709231
ACCESS-CM2,ssp126,2084,218.37002854
ACCESS-CM2,ssp126,2085,185.61281210
ACCESS-CM2,ssp126,2086,207.11673230
ACCESS-CM2,ssp126,2087,185.79883289
ACCESS-CM2,ssp126,2088,123.48108101
ACCESS-CM2,ssp126,2089,242.92742988
ACCESS-CM2,ssp126,2090,248.59805403
ACCESS-CM2,ssp126,2091,254.71655023
ACCESS-CM2,ssp126,2092,141.43974271
ACCESS-CM2,ssp126,2093,146.40554366
ACCESS-CM2,ssp126,2094,277.53209822
ACCESS-CM2,ssp126,2095,182.48767188
ACCESS-CM2,ssp126,2096,250.09102913
ACCESS-CM2,ssp126,2097,212.67987007
ACCESS-CM2,ssp126,2098,249.94262897
ACCESS-CM2,ssp126,2099,436.63189618
ACCESS-CM2,ssp245,2015,148.01690842
ACCESS-CM2,ssp245,2016,173.92285064
ACCESS-CM2,ssp245,2017,180.26742821
ACCESS-CM2,ssp245,2018,174.72886187
ACCESS-CM2,ssp245,2019,185.53832559
ACCESS-CM2,ssp245,2020,215.81312061
ACCESS-CM2,ssp245,2021,328.72585524
ACCESS-CM2,ssp245,2022,224.27324359
ACCESS-CM2,ssp245,2023,362.29161961
ACCESS-CM2,ssp245,2024,337.76586035
ACCESS-CM2,ssp245,2025,293.54400661
ACCESS-CM2,ssp245,2026,321.07518340
ACCESS-CM2,ssp245,2027,189.83115470
ACCESS-CM2,ssp245,2028,253.94629734
ACCESS-CM2,ssp245,2029,230.30386281
ACCESS-CM2,ssp245,2030,356.39542531
ACCESS-CM2,ssp245,2031,310.71940031
ACCESS-CM2,ssp245,2032,254.12550938
ACCESS-CM2,ssp245,2033,178.23316844
ACCESS-CM2,ssp245,2034,134.80341350
ACCESS-CM2,ssp245,2035,332.63261577
ACCESS-CM2,ssp245,2036,174.41278413
ACCESS-CM2,ssp245,2037,263.14329440
ACCESS-CM2,ssp245,2038,200.90140552
ACCESS-CM2,ssp245,2039,292.25776562
ACCESS-CM2,ssp245,2040,125.28668015
ACCESS-CM2,ssp245,2041,175.53505470
ACCESS-CM2,ssp245,2042,154.73581476
ACCESS-CM2,ssp245,2043,234.45837081
ACCESS-CM2,ssp245,2044,142.17821499
ACCESS-CM2,ssp245,2045,109.05105530
ACCESS-CM2,ssp245,2046,106.58696799
ACCESS-CM2,ssp245,2047,240.10060284
ACCESS-CM2,ssp245,2048,277.50620010
ACCESS-CM2,ssp245,2049,194.31668829
ACCESS-CM2,ssp245,2050,154.12713428
ACCESS-CM2,ssp245,2051,83.83250554
ACCESS-CM2,ssp245,2052,224.41016282
ACCESS-CM2,ssp245,2053,268.65703358
ACCESS-CM2,ssp245,2054,167.71630822
ACCESS-CM2,ssp245,2055,269.68474430
ACCESS-CM2,ssp245,2056,213.78455226
ACCESS-CM2,ssp245,2057,269.69643971
ACCESS-CM2,ssp245,2058,306.31504046
ACCESS-CM2,ssp245,2059,161.71309329
ACCESS-CM2,ssp245,2060,134.11156386
ACCESS-CM2,ssp245,2061,189.05800608
ACCESS-CM2,ssp245,2062,179.45338984
ACCESS-CM2,ssp245,2063,235.57782668
ACCESS-CM2,ssp245,2064,167.07637036
ACCESS-CM2,ssp245,2065,124.65791715
ACCESS-CM2,ssp245,2066,271.68865168
ACCESS-CM2,ssp245,2067,166.53991437
ACCESS-CM2,ssp245,2068,214.39122166
ACCESS-CM2,ssp245,2069,311.94693209
ACCESS-CM2,ssp245,2070,240.59735620
ACCESS-CM2,ssp245,2071,318.23295540
ACCESS-CM2,ssp245,2072,178.02177767
ACCESS-CM2,ssp245,2073,219.34572505
ACCESS-CM2,ssp245,2074,335.26841009
ACCESS-CM2,ssp245,2075,128.75631785
ACCESS-CM2,ssp245,2076,236.70542000
ACCESS-CM2,ssp245,2077,295.06964972
ACCESS-CM2,ssp245,2078,258.86589100
ACCESS-CM2,ssp245,2079,100.05772107
ACCESS-CM2,ssp245,2080,187.07575947
ACCESS-CM2,ssp245,2081,132.38047705
ACCESS-CM2,ssp245,2082,140.48859978
ACCESS-CM2,ssp245,2083,238.70979883
ACCESS-CM2,ssp245,2084,188.69595504
ACCESS-CM2,ssp245,2085,216.08514698
ACCESS-CM2,ssp245,2086,150.81513025
ACCESS-CM2,ssp245,2087,236.76874933
ACCESS-CM2,ssp245,2088,205.44781834
ACCESS-CM2,ssp245,2089,241.36440207
ACCESS-CM2,ssp245,2090,224.22407214
ACCESS-CM2,ssp245,2091,180.42911725
ACCESS-CM2,ssp245,2092,128.72242993
ACCESS-CM2,ssp245,2093,48.86736994
ACCESS-CM2,ssp245,2094,263.11340336
ACCESS-CM2,ssp245,2095,165.88953091
ACCESS-CM2,ssp245,2096,341.86575599
ACCESS-CM2,ssp245,2097,219.06514695
ACCESS-CM2,ssp245,2098,168.63143866
ACCESS-CM2,ssp245,2099,181.08740287
ACCESS-CM2,ssp370,2015,414.63761275
ACCESS-CM2,ssp370,2016,168.55942182
ACCESS-CM2,ssp370,2017,243.32981345
ACCESS-CM2,ssp370,2018,279.03364420
ACCESS-CM2,ssp370,2019,288.75654445
ACCESS-CM2,ssp370,2020,198.11624773
ACCESS-CM2,ssp370,2021,176.14368025
ACCESS-CM2,ssp370,2022,203.05235415
ACCESS-CM2,ssp370,2023,226.85571477
ACCESS-CM2,ssp370,2024,229.59182189
ACCESS-CM2,ssp370,2025,141.79444064
ACCESS-CM2,ssp370,2026,351.02635369
ACCESS-CM2,ssp370,2027,149.99569327
ACCESS-CM2,ssp370,2028,260.96925093
ACCESS-CM2,ssp370,2029,258.49678660
ACCESS-CM2,ssp370,2030,177.29634056
ACCESS-CM2,ssp370,2031,144.55619348
ACCESS-CM2,ssp370,2032,283.18539843
ACCESS-CM2,ssp370,2033,300.02797760
