model,experiment,year,pr
ACCESS-CM2,historical,1960,492.10794684
ACCESS-CM2,historical,1961,179.88443598
ACCESS-CM2,historical,1962,331.38917576
ACCESS-CM2,historical,1963,352.84659085
ACCESS-CM2,historical,1964,540.19761247
ACCESS-CM2,historical,1965,551.80082050
ACCESS-CM2,historical,1966,337.98372924
ACCESS-CM2,historical,1967,529.01554189
ACCESS-CM2,historical,1968,152.54336139
ACCESS-CM2,historical,1969,488.71943653
ACCESS-CM2,historical,1970,203.06420185
ACCESS-CM2,historical,1971,290.13205574
ACCESS-CM2,historical,1972,363.76682028
ACCESS-CM2,historical,1973,168.35030809
ACCESS-CM2,historical,1974,533.26610325
ACCESS-CM2,historical,1975,373.69806322
ACCESS-CM2,historical,1976,298.91728571
ACCESS-CM2,historical,1977,122.38320569
ACCESS-CM2,historical,1978,341.06560283
ACCESS-CM2,historical,1979,248.35266321
ACCESS-CM2,historical,1980,457.53389991
ACCESS-CM2,historical,1981,251.96761803
ACCESS-CM2,historical,1982,205.62089862
ACCESS-CM2,historical,1983,397.26136697
ACCESS-CM2,historical,1984,319.35257293
ACCESS-CM2,historical,1985,166.48748672
ACCESS-CM2,historical,1986,163.06189431
ACCESS-CM2,historical,1987,289.25665099
ACCESS-CM2,historical,1988,540.40621450
ACCESS-CM2,historical,1989,553.57788489
ACCESS-CM2,historical,1990,604.68292786
ACCESS-CM2,historical,1991,238.11921450
ACCESS-CM2,historical,1992,298.02104249
ACCESS-CM2,historical,1993,289.98160944
ACCESS-CM2,historical,1994,376.38014487
ACCESS-CM2,historical,1995,390.33095245
ACCESS-CM2,historical,1996,193.84805599
ACCESS-CM2,historical,1997,296.68617180
ACCESS-CM2,historical,1998,586.60287866
ACCESS-CM2,historical,1999,233.60149414
ACCESS-CM2,historical,2000,557.49519286
ACCESS-CM2,historical,2001,233.16736755
ACCESS-CM2,historical,2002,295.80702684
ACCESS-CM2,historical,2003,490.36608869
ACCESS-CM2,historical,2004,257.76827157
ACCESS-CM2,historical,2005,280.89451170
ACCESS-CM2,historical,2006,307.12726516
ACCESS-CM2,historical,2007,764.49238320
ACCESS-CM2,historical,2008,430.90124157
ACCESS-CM2,historical,2009,548.34006093
ACCESS-CM2,historical,2010,218.66796342
ACCESS-CM2,historical,2011,620.43027871
ACCESS-CM2,historical,2012,440.94280531
ACCESS-CM2,historical,2013,507.56867600
ACCESS-CM2,historical,2014,695.75479190
ACCESS-CM2,ssp126,2015,504.67328016
ACCESS-CM2,ssp126,2016,351.56280910
ACCESS-CM2,ssp126,2017,579.84381635
ACCESS-CM2,ssp126,2018,438.60636884
ACCESS-CM2,ssp126,2019,486.57305308
ACCESS-CM2,ssp126,2020,459.77225039
ACCESS-CM2,ssp126,2021,261.19590325
ACCESS-CM2,ssp126,2022,195.84107282
ACCESS-CM2,ssp126,2023,271.76438129
ACCESS-CM2,ssp126,2024,458.56488391
ACCESS-CM2,ssp126,2025,257.60583457
ACCESS-CM2,ssp126,2026,337.64250485
ACCESS-CM2,ssp126,2027,186.09185419
ACCESS-CM2,ssp126,2028,335.67050910
ACCESS-CM2,ssp126,2029,767.08669440
ACCESS-CM2,ssp126,2030,384.10301077
ACCESS-CM2,ssp126,2031,86.55937920
ACCESS-CM2,ssp126,2032,567.60635455
ACCESS-CM2,ssp126,2033,325.88759139
ACCESS-CM2,ssp126,2034,522.69544754
ACCESS-CM2,ssp126,2035,189.43891956
ACCESS-CM2,ssp126,2036,381.67768239
ACCESS-CM2,ssp126,2037,460.04060660
ACCESS-CM2,ssp126,2038,338.05297347
ACCESS-CM2,ssp126,2039,474.24525497
ACCESS-CM2,ssp126,2040,207.97758172
ACCESS-CM2,ssp126,2041,439.51593088
ACCESS-CM2,ssp126,2042,454.70422749
ACCESS-CM2,ssp126,2043,407.72619688
ACCESS-CM2,ssp126,2044,458.88072256
ACCESS-CM2,ssp126,2045,922.21711428
ACCESS-CM2,ssp126,2046,345.61518088
ACCESS-CM2,ssp126,2047,452.36488893
ACCESS-CM2,ssp126,2048,412.08178445
ACCESS-CM2,ssp126,2049,551.27674588
ACCESS-CM2,ssp126,2050,422.72566834
ACCESS-CM2,ssp126,2051,659.46347505
ACCESS-CM2,ssp126,2052,246.45707816
ACCESS-CM2,ssp126,2053,360.91292340
ACCESS-CM2,ssp126,2054,259.12713348
ACCESS-CM2,ssp126,2055,255.59811711
ACCESS-CM2,ssp126,2056,475.09560588
ACCESS-CM2,ssp126,2057,343.76531106
ACCESS-CM2,ssp126,2058,506.49203604
ACCESS-CM2,ssp126,2059,723.94978345
ACCESS-CM2,ssp126,2060,248.34859441
ACCESS-CM2,ssp126,2061,544.31328511
ACCESS-CM2,ssp126,2062,567.63192852
ACCESS-CM2,ssp126,2063,545.20303333
ACCESS-CM2,ssp126,2064,456.11837416
ACCESS-CM2,ssp126,2065,465.14997407
ACCESS-CM2,ssp126,2066,390.52490646
ACCESS-CM2,ssp126,2067,815.62689378
ACCESS-CM2,ssp126,2068,262.59138292
ACCESS-CM2,ssp126,2069,119.29116342
ACCESS-CM2,ssp126,2070,363.74182245
ACCESS-CM2,ssp126,2071,296.25140782
ACCESS-CM2,ssp126,2072,278.02826817
ACCESS-CM2,ssp126,2073,422.11660323
ACCESS-CM2,ssp126,2074,430.02072065
ACCESS-CM2,ssp126,2075,737.29873432
ACCESS-CM2,ssp126,2076,448.61902593
ACCESS-CM2,ssp126,2077,445.21908638
ACCESS-CM2,ssp126,2078,127.45905450
ACCESS-CM2,ssp126,2079,271.75021024
ACCESS-CM2,ssp126,2080,649.18317058
ACCESS-CM2,ssp126,2081,625.87654416
ACCESS-CM2,ssp126,2082,241.97987694
ACCESS-CM2,ssp126,2083,529.31248879
ACCESS-CM2,ssp126,2084,399.00476465
ACCESS-CM2,ssp126,2085,423.86624451
ACCESS-CM2,ssp126,2086,618.69966175
ACCESS-CM2,ssp126,2087,126.16330943
ACCESS-CM2,ssp126,2088,245.46630227
ACCESS-CM2,ssp126,2089,503.24400793
ACCESS-CM2,ssp126,2090,423.70958132
ACCESS-CM2,ssp126,2091,307.99577163
ACCESS-CM2,ssp126,2092,352.85579711
ACCESS-CM2,ssp126,2093,307.40761037
ACCESS-CM2,ssp126,2094,514.11199356
ACCESS-CM2,ssp126,2095,348.02799374
ACCESS-CM2,ssp126,2096,475.54196113
ACCESS-CM2,ssp126,2097,375.02664776
ACCESS-CM2,ssp126,2098,317.21595031
ACCESS-CM2,ssp126,2099,719.29564768
ACCESS-CM2,ssp245,2015,189.23489776
ACCESS-CM2,ssp245,2016,266.22136318
ACCESS-CM2,ssp245,2017,346.05956560
ACCESS-CM2,ssp245,2018,361.55349390
ACCESS-CM2,ssp245,2019,325.42405289
ACCESS-CM2,ssp245,2020,488.96297861
ACCESS-CM2,ssp245,2021,619.68699357
ACCESS-CM2,ssp245,2022,469.76453144
ACCESS-CM2,ssp245,2023,719.23851110
ACCESS-CM2,ssp245,2024,726.52586773
ACCESS-CM2,ssp245,2025,326.46923310
ACCESS-CM2,ssp245,2026,484.84767517
ACCESS-CM2,ssp245,2027,364.93066675
ACCESS-CM2,ssp245,2028,459.07048032
ACCESS-CM2,ssp245,2029,651.72525836
ACCESS-CM2,ssp245,2030,555.07671669
ACCESS-CM2,ssp245,2031,650.04242360
ACCESS-CM2,ssp245,2032,493.17693766
ACCESS-CM2,ssp245,2033,460.63201290
ACCESS-CM2,ssp245,2034,250.60826012
ACCESS-CM2,ssp245,2035,467.55833031
ACCESS-CM2,ssp245,2036,219.96282814
ACCESS-CM2,ssp245,2037,473.69835491
ACCESS-CM2,ssp245,2038,401.89576536
ACCESS-CM2,ssp245,2039,466.13328478
ACCESS-CM2,ssp245,2040,201.65315963
ACCESS-CM2,ssp245,2041,450.75285034
ACCESS-CM2,ssp245,2042,207.52059206
ACCESS-CM2,ssp245,2043,352.34064294
ACCESS-CM2,ssp245,2044,277.78175730
ACCESS-CM2,ssp245,2045,295.04773639
ACCESS-CM2,ssp245,2046,39.69285794
ACCESS-CM2,ssp245,2047,507.69938840
ACCESS-CM2,ssp245,2048,623.42972779
ACCESS-CM2,ssp245,2049,342.85846894
ACCESS-CM2,ssp245,2050,192.96495608
ACCESS-CM2,ssp245,2051,205.45576248
ACCESS-CM2,ssp245,2052,498.68040671
ACCESS-CM2,ssp245,2053,509.52636798
ACCESS-CM2,ssp245,2054,434.54242667
ACCESS-CM2,ssp245,2055,292.01699999
ACCESS-CM2,ssp245,2056,362.18180815
ACCESS-CM2,ssp245,2057,399.53483175
ACCESS-CM2,ssp245,2058,578.89852772
ACCESS-CM2,ssp245,2059,288.56617498
ACCESS-CM2,ssp245,2060,200.90165152
ACCESS-CM2,ssp245,2061,327.56435022
ACCESS-CM2,ssp245,2062,347.13899938
ACCESS-CM2,ssp245,2063,433.29171093
ACCESS-CM2,ssp245,2064,280.09402954
ACCESS-CM2,ssp245,2065,304.91822224
ACCESS-CM2,ssp245,2066,551.30247656
ACCESS-CM2,ssp245,2067,312.90109394
ACCESS-CM2,ssp245,2068,473.30837815
