model,experiment,year,pr
ACCESS-CM2,historical,1960,204.73169079
ACCESS-CM2,historical,1961,193.80436479
ACCESS-CM2,historical,1962,198.96522810
ACCESS-CM2,historical,1963,171.86670378
ACCESS-CM2,historical,1964,171.03899267
ACCESS-CM2,historical,1965,87.31859863
ACCESS-CM2,historical,1966,125.30049163
ACCESS-CM2,historical,1967,102.62885287
ACCESS-CM2,historical,1968,170.67876864
ACCESS-CM2,historical,1969,179.77121296
ACCESS-CM2,historical,1970,159.03754795
ACCESS-CM2,historical,1971,230.74433976
ACCESS-CM2,historical,1972,218.48894233
ACCESS-CM2,historical,1973,161.92577275
ACCESS-CM2,historical,1974,222.99266741
ACCESS-CM2,historical,1975,146.55295658
ACCESS-CM2,historical,1976,85.88116374
ACCESS-CM2,historical,1977,189.76463983
ACCESS-CM2,historical,1978,182.36477468
ACCESS-CM2,historical,1979,239.89522651
ACCESS-CM2,historical,1980,152.43790356
ACCESS-CM2,historical,1981,241.92378395
ACCESS-CM2,historical,1982,183.18438863
ACCESS-CM2,historical,1983,129.81380013
ACCESS-CM2,historical,1984,172.78802330
ACCESS-CM2,historical,1985,147.15552868
ACCESS-CM2,historical,1986,136.16822396
ACCESS-CM2,historical,1987,121.21883511
ACCESS-CM2,historical,1988,176.80456825
ACCESS-CM2,historical,1989,161.22014839
ACCESS-CM2,historical,1990,131.40215489
ACCESS-CM2,historical,1991,148.21871135
ACCESS-CM2,historical,1992,123.65160147
ACCESS-CM2,historical,1993,137.81918491
ACCESS-CM2,historical,1994,188.25292947
ACCESS-CM2,historical,1995,162.92026240
ACCESS-CM2,historical,1996,159.18681832
ACCESS-CM2,historical,1997,216.86068209
ACCESS-CM2,historical,1998,121.69329526
ACCESS-CM2,historical,1999,164.13341973
ACCESS-CM2,historical,2000,139.25682489
ACCESS-CM2,historical,2001,101.78423355
ACCESS-CM2,historical,2002,187.77988788
ACCESS-CM2,historical,2003,189.07752027
ACCESS-CM2,historical,2004,155.71160009
ACCESS-CM2,historical,2005,226.69926983
ACCESS-CM2,historical,2006,166.97205048
ACCESS-CM2,historical,2007,114.52989959
ACCESS-CM2,historical,2008,148.16420155
ACCESS-CM2,historical,2009,183.91886811
ACCESS-CM2,historical,2010,179.10609196
ACCESS-CM2,historical,2011,260.85846735
ACCESS-CM2,historical,2012,86.51519634
ACCESS-CM2,historical,2013,177.48089055
ACCESS-CM2,historical,2014,192.78168598
ACCESS-CM2,ssp126,2015,147.93340740
ACCESS-CM2,ssp126,2016,186.97205072
ACCESS-CM2,ssp126,2017,157.65435936
ACCESS-CM2,ssp126,2018,188.34447473
ACCESS-CM2,ssp126,2019,169.17242735
ACCESS-CM2,ssp126,2020,126.19879736
ACCESS-CM2,ssp126,2021,190.96392750
ACCESS-CM2,ssp126,2022,264.13842046
ACCESS-CM2,ssp126,2023,150.54716650
ACCESS-CM2,ssp126,2024,191.28302986
ACCESS-CM2,ssp126,2025,153.05541265
ACCESS-CM2,ssp126,2026,135.54311402
ACCESS-CM2,ssp126,2027,134.14653951
ACCESS-CM2,ssp126,2028,146.39969244
ACCESS-CM2,ssp126,2029,209.59414159
ACCESS-CM2,ssp126,2030,170.80394193
ACCESS-CM2,ssp126,2031,124.46680019
ACCESS-CM2,ssp126,2032,145.18452995
ACCESS-CM2,ssp126,2033,130.29846526
