model,experiment,year,pr
ACCESS-CM2,historical,1960,178.24612656
ACCESS-CM2,historical,1961,101.89412054
ACCESS-CM2,historical,1962,216.79743233
ACCESS-CM2,historical,1963,207.60895346
ACCESS-CM2,historical,1964,163.28620174
ACCESS-CM2,historical,1965,80.23665115
ACCESS-CM2,historical,1966,123.60502284
ACCESS-CM2,historical,1967,122.34295962
ACCESS-CM2,historical,1968,172.29439228
ACCESS-CM2,historical,1969,140.79828451
ACCESS-CM2,historical,1970,210.17667741
ACCESS-CM2,historical,1971,168.58879269
ACCESS-CM2,historical,1972,262.86476100
ACCESS-CM2,historical,1973,125.42486036
ACCESS-CM2,historical,1974,183.10303883
ACCESS-CM2,historical,1975,193.27494346
ACCESS-CM2,historical,1976,113.67686754
ACCESS-CM2,historical,1977,162.92141415
ACCESS-CM2,historical,1978,266.96884094
ACCESS-CM2,historical,1979,152.08859625
ACCESS-CM2,historical,1980,75.23780737
ACCESS-CM2,historical,1981,212.03666956
ACCESS-CM2,historical,1982,191.16223384
ACCESS-CM2,historical,1983,194.19844126
ACCESS-CM2,historical,1984,257.51568686
ACCESS-CM2,historical,1985,242.81953460
ACCESS-CM2,historical,1986,133.54183852
ACCESS-CM2,historical,1987,114.71065805
ACCESS-CM2,historical,1988,159.13437669
ACCESS-CM2,historical,1989,261.19677603
ACCESS-CM2,historical,1990,110.57483518
ACCESS-CM2,historical,1991,110.75356194
ACCESS-CM2,historical,1992,197.05778624
ACCESS-CM2,historical,1993,222.24061184
ACCESS-CM2,historical,1994,165.05793633
ACCESS-CM2,historical,1995,187.01794079
ACCESS-CM2,historical,1996,155.58053940
ACCESS-CM2,historical,1997,249.75902364
ACCESS-CM2,historical,1998,174.44017781
ACCESS-CM2,historical,1999,184.18354150
ACCESS-CM2,historical,2000,149.21936216
ACCESS-CM2,historical,2001,129.32859749
ACCESS-CM2,historical,2002,156.72209599
ACCESS-CM2,historical,2003,109.57873656
ACCESS-CM2,historical,2004,137.91155505
ACCESS-CM2,historical,2005,344.90786783
ACCESS-CM2,historical,2006,198.32337934
ACCESS-CM2,historical,2007,42.38093786
ACCESS-CM2,historical,2008,154.58410308
ACCESS-CM2,historical,2009,216.91089754
ACCESS-CM2,historical,2010,262.61333086
ACCESS-CM2,historical,2011,202.49472464
ACCESS-CM2,historical,2012,162.56291086
ACCESS-CM2,historical,2013,195.99753119
ACCESS-CM2,historical,2014,367.02540857
ACCESS-CM2,ssp126,2015,244.76172388
ACCESS-CM2,ssp126,2016,156.13606118
ACCESS-CM2,ssp126,2017,200.37287627
ACCESS-CM2,ssp126,2018,149.85956156
ACCESS-CM2,ssp126,2019,159.70951228
ACCESS-CM2,ssp126,2020,112.83105467
ACCESS-CM2,ssp126,2021,120.00576198
ACCESS-CM2,ssp126,2022,191.48968662
ACCESS-CM2,ssp126,2023,130.94129495
ACCESS-CM2,ssp126,2024,117.67294876
ACCESS-CM2,ssp126,2025,136.35858584
ACCESS-CM2,ssp126,2026,110.50984156
ACCESS-CM2,ssp126,2027,115.81040504
ACCESS-CM2,ssp126,2028,195.21783045
ACCESS-CM2,ssp126,2029,219.81473978
ACCESS-CM2,ssp126,2030,203.55642919
ACCESS-CM2,ssp126,2031,96.17729694
ACCESS-CM2,ssp126,2032,172.75179771
ACCESS-CM2,ssp126,2033,148.11232838
ACCESS-CM2,ssp126,2034,147.04329610
ACCESS-CM2,ssp126,2035,177.61066906
ACCESS-CM2,ssp126,2036,146.38902828
ACCESS-CM2,ssp126,2037,291.24634186
ACCESS-CM2,ssp126,2038,141.85436164
ACCESS-CM2,ssp126,2039,157.35761144
ACCESS-CM2,ssp126,2040,87.22781355
ACCESS-CM2,ssp126,2041,240.60121578
ACCESS-CM2,ssp126,2042,247.36445318
ACCESS-CM2,ssp126,2043,155.82063768
ACCESS-CM2,ssp126,2044,118.83112330
ACCESS-CM2,ssp126,2045,246.52425976
ACCESS-CM2,ssp126,2046,99.63476200
ACCESS-CM2,ssp126,2047,105.54994227
ACCESS-CM2,ssp126,2048,75.94249780
ACCESS-CM2,ssp126,2049,204.40442221
ACCESS-CM2,ssp126,2050,203.07016416
ACCESS-CM2,ssp126,2051,212.64087790
ACCESS-CM2,ssp126,2052,248.31191119
ACCESS-CM2,ssp126,2053,138.95874118
ACCESS-CM2,ssp126,2054,151.56750001
ACCESS-CM2,ssp126,2055,135.62944210
ACCESS-CM2,ssp126,2056,72.44827196
ACCESS-CM2,ssp126,2057,169.81555539
ACCESS-CM2,ssp126,2058,122.99962677
ACCESS-CM2,ssp126,2059,245.22972521
ACCESS-CM2,ssp126,2060,212.01148457
ACCESS-CM2,ssp126,2061,123.77574382
ACCESS-CM2,ssp126,2062,158.98637557
ACCESS-CM2,ssp126,2063,92.30541097
ACCESS-CM2,ssp126,2064,116.48446159
ACCESS-CM2,ssp126,2065,282.76274543
ACCESS-CM2,ssp126,2066,167.98442948
ACCESS-CM2,ssp126,2067,172.55241205
ACCESS-CM2,ssp126,2068,298.17213958
ACCESS-CM2,ssp126,2069,164.94620179
ACCESS-CM2,ssp126,2070,125.66833161
ACCESS-CM2,ssp126,2071,150.53932384
ACCESS-CM2,ssp126,2072,137.83190543
ACCESS-CM2,ssp126,2073,150.48476205
ACCESS-CM2,ssp126,2074,184.03421556
ACCESS-CM2,ssp126,2075,240.76432460
ACCESS-CM2,ssp126,2076,132.75049007
ACCESS-CM2,ssp126,2077,150.99586539
ACCESS-CM2,ssp126,2078,174.96611325
ACCESS-CM2,ssp126,2079,159.95929234
ACCESS-CM2,ssp126,2080,212.91775453
ACCESS-CM2,ssp126,2081,233.97551727
ACCESS-CM2,ssp126,2082,235.55918736
ACCESS-CM2,ssp126,2083,50.94305906
ACCESS-CM2,ssp126,2084,184.15234115
