model,experiment,year,pr
ACCESS-CM2,historical,1960,749.44099163
ACCESS-CM2,historical,1961,759.25370864
ACCESS-CM2,historical,1962,551.48571876
ACCESS-CM2,historical,1963,338.72720432
ACCESS-CM2,historical,1964,351.44313886
ACCESS-CM2,historical,1965,130.37316791
ACCESS-CM2,historical,1966,368.29254863
ACCESS-CM2,historical,1967,214.47161845
ACCESS-CM2,historical,1968,404.40951083
ACCESS-CM2,historical,1969,586.85695417
ACCESS-CM2,historical,1970,392.12806990
ACCESS-CM2,historical,1971,623.27437038
ACCESS-CM2,historical,1972,529.34605895
ACCESS-CM2,historical,1973,568.93977430
ACCESS-CM2,historical,1974,542.68181324
ACCESS-CM2,historical,1975,351.49635937
ACCESS-CM2,historical,1976,114.95564657
ACCESS-CM2,historical,1977,446.75353153
ACCESS-CM2,historical,1978,365.43039233
ACCESS-CM2,historical,1979,736.02167585
ACCESS-CM2,historical,1980,473.37116610
ACCESS-CM2,historical,1981,583.97554697
ACCESS-CM2,historical,1982,372.57975731
ACCESS-CM2,historical,1983,197.47754268
ACCESS-CM2,historical,1984,230.29953079
ACCESS-CM2,historical,1985,152.17041510
ACCESS-CM2,historical,1986,327.76596694
ACCESS-CM2,historical,1987,412.96544119
ACCESS-CM2,historical,1988,361.38701567
ACCESS-CM2,historical,1989,268.11730235
ACCESS-CM2,historical,1990,316.45455773
ACCESS-CM2,historical,1991,258.27875291
ACCESS-CM2,historical,1992,132.70858603
ACCESS-CM2,historical,1993,366.89536455
ACCESS-CM2,historical,1994,464.90831947
ACCESS-CM2,historical,1995,484.02365988
ACCESS-CM2,historical,1996,434.41318179
ACCESS-CM2,historical,1997,537.94646638
ACCESS-CM2,historical,1998,247.23133003
ACCESS-CM2,historical,1999,417.21293662
ACCESS-CM2,historical,2000,372.00382560
ACCESS-CM2,historical,2001,172.55479836
ACCESS-CM2,historical,2002,620.86277831
ACCESS-CM2,historical,2003,668.43667097
ACCESS-CM2,historical,2004,338.95479148
ACCESS-CM2,historical,2005,394.57285731
ACCESS-CM2,historical,2006,396.89463093
ACCESS-CM2,historical,2007,437.22936383
ACCESS-CM2,historical,2008,294.95339742
ACCESS-CM2,historical,2009,391.93847401
ACCESS-CM2,historical,2010,374.98757485
ACCESS-CM2,historical,2011,790.63573110
ACCESS-CM2,historical,2012,108.88624885
ACCESS-CM2,historical,2013,557.64704514
ACCESS-CM2,historical,2014,367.33328923
ACCESS-CM2,ssp126,2015,239.25500457
ACCESS-CM2,ssp126,2016,557.51232998
ACCESS-CM2,ssp126,2017,325.72565005
ACCESS-CM2,ssp126,2018,571.33771973
ACCESS-CM2,ssp126,2019,349.88381076
ACCESS-CM2,ssp126,2020,356.30815252
ACCESS-CM2,ssp126,2021,514.73607157
ACCESS-CM2,ssp126,2022,864.63624663
ACCESS-CM2,ssp126,2023,402.65435392
ACCESS-CM2,ssp126,2024,696.68309244
ACCESS-CM2,ssp126,2025,415.62329018
ACCESS-CM2,ssp126,2026,347.78667453
ACCESS-CM2,ssp126,2027,362.39607397
ACCESS-CM2,ssp126,2028,361.21716930
ACCESS-CM2,ssp126,2029,502.22367023
ACCESS-CM2,ssp126,2030,367.60827317
ACCESS-CM2,ssp126,2031,330.93148896
ACCESS-CM2,ssp126,2032,315.86286720
ACCESS-CM2,ssp126,2033,279.89776862
ACCESS-CM2,ssp126,2034,250.92647068
ACCESS-CM2,ssp126,2035,251.27497152
ACCESS-CM2,ssp126,2036,507.42346455
ACCESS-CM2,ssp126,2037,380.11550747
ACCESS-CM2,ssp126,2038,703.82624489
ACCESS-CM2,ssp126,2039,373.45210127
ACCESS-CM2,ssp126,2040,300.74639710
ACCESS-CM2,ssp126,2041,449.36126869
ACCESS-CM2,ssp126,2042,201.24433098
ACCESS-CM2,ssp126,2043,460.28143960
ACCESS-CM2,ssp126,2044,304.86932261
ACCESS-CM2,ssp126,2045,418.54120128
ACCESS-CM2,ssp126,2046,256.97518852
ACCESS-CM2,ssp126,2047,433.08303129
ACCESS-CM2,ssp126,2048,333.79759328
ACCESS-CM2,ssp126,2049,245.76066518
ACCESS-CM2,ssp126,2050,488.49601300
ACCESS-CM2,ssp126,2051,439.88980039
ACCESS-CM2,ssp126,2052,420.09511173
ACCESS-CM2,ssp126,2053,514.17676723
ACCESS-CM2,ssp126,2054,638.52127945
ACCESS-CM2,ssp126,2055,486.18001419
ACCESS-CM2,ssp126,2056,371.12046101
ACCESS-CM2,ssp126,2057,787.94102366
ACCESS-CM2,ssp126,2058,287.10387739
ACCESS-CM2,ssp126,2059,693.18713102
ACCESS-CM2,ssp126,2060,522.88872089
ACCESS-CM2,ssp126,2061,301.46130009
ACCESS-CM2,ssp126,2062,485.81507078
ACCESS-CM2,ssp126,2063,388.16240964
ACCESS-CM2,ssp126,2064,309.37413624
ACCESS-CM2,ssp126,2065,726.51487193
ACCESS-CM2,ssp126,2066,469.98065008
ACCESS-CM2,ssp126,2067,390.61992291
ACCESS-CM2,ssp126,2068,450.25875142
ACCESS-CM2,ssp126,2069,499.12925366
ACCESS-CM2,ssp126,2070,364.46687773
ACCESS-CM2,ssp126,2071,223.60350976
ACCESS-CM2,ssp126,2072,141.83717642
ACCESS-CM2,ssp126,2073,386.71321688
ACCESS-CM2,ssp126,2074,650.90600972
ACCESS-CM2,ssp126,2075,641.48479619
ACCESS-CM2,ssp126,2076,214.25163883
ACCESS-CM2,ssp126,2077,410.01500083
ACCESS-CM2,ssp126,2078,364.03125859
ACCESS-CM2,ssp126,2079,354.24520253
ACCESS-CM2,ssp126,2080,619.00939669
ACCESS-CM2,ssp126,2081,557.05964717
ACCESS-CM2,ssp126,2082,481.31677549
ACCESS-CM2,ssp126,2083,240.45154335
ACCESS-CM2,ssp126,2084,359.43470377
ACCESS-CM2,ssp126,2085,326.42685511
ACCESS-CM2,ssp126,2086,570.25383494
ACCESS-CM2,ssp126,2087,276.72151901
ACCESS-CM2,ssp126,2088,531.46901243
ACCESS-CM2,ssp126,2089,443.87529147
ACCESS-CM2,ssp126,2090,590.05769293
ACCESS-CM2,ssp126,2091,237.34709796
ACCESS-CM2,ssp126,2092,525.85043267
ACCESS-CM2,ssp126,2093,363.58149954
ACCESS-CM2,ssp126,2094,442.50253754
ACCESS-CM2,ssp126,2095,294.28001174
ACCESS-CM2,ssp126,2096,448.92222306
ACCESS-CM2,ssp126,2097,505.29068712
ACCESS-CM2,ssp126,2098,291.46201532
ACCESS-CM2,ssp126,2099,392.58964938
ACCESS-CM2,ssp245,2015,551.12151679
ACCESS-CM2,ssp245,2016,615.16393450
ACCESS-CM2,ssp245,2017,398.59715009
ACCESS-CM2,ssp245,2018,548.82360792
ACCESS-CM2,ssp245,2019,191.65205326
ACCESS-CM2,ssp245,2020,149.33699783
ACCESS-CM2,ssp245,2021,877.43198837
ACCESS-CM2,ssp245,2022,189.84720830
ACCESS-CM2,ssp245,2023,365.86253191
ACCESS-CM2,ssp245,2024,348.84558774
ACCESS-CM2,ssp245,2025,488.54782902
ACCESS-CM2,ssp245,2026,207.24422764
ACCESS-CM2,ssp245,2027,157.13106840
ACCESS-CM2,ssp245,2028,659.37184814
ACCESS-CM2,ssp245,2029,146.83669558
ACCESS-CM2,ssp245,2030,188.07690519
ACCESS-CM2,ssp245,2031,600.38383329
ACCESS-CM2,ssp245,2032,525.89523783
ACCESS-CM2,ssp245,2033,473.61538308
ACCESS-CM2,ssp245,2034,498.89436220
ACCESS-CM2,ssp245,2035,119.94941054
ACCESS-CM2,ssp245,2036,439.06419755
ACCESS-CM2,ssp245,2037,292.77847220
ACCESS-CM2,ssp245,2038,230.87299892
ACCESS-CM2,ssp245,2039,441.77683620
ACCESS-CM2,ssp245,2040,460.52819378
ACCESS-CM2,ssp245,2041,509.83886623
ACCESS-CM2,ssp245,2042,247.54683895
ACCESS-CM2,ssp245,2043,430.65672587
ACCESS-CM2,ssp245,2044,360.38691339
ACCESS-CM2,ssp245,2045,290.36882047
ACCESS-CM2,ssp245,2046,713.58050966
ACCESS-CM2,ssp245,2047,379.99163800
ACCESS-CM2,ssp245,2048,461.08074380
ACCESS-CM2,ssp245,2049,762.88944385
ACCESS-CM2,ssp245,2050,195.42703040
ACCESS-CM2,ssp245,2051,392.48106347
ACCESS-CM2,ssp245,2052,368.98072061
ACCESS-CM2,ssp245,2053,301.22037505
ACCESS-CM2,ssp245,2054,490.11469506
ACCESS-CM2,ssp245,2055,590.28563853
ACCESS-CM2,ssp245,2056,414.93684919
ACCESS-CM2,ssp245,2057,210.05868983
ACCESS-CM2,ssp245,2058,560.08778625
ACCESS-CM2,ssp245,2059,390.30912574
ACCESS-CM2,ssp245,2060,611.74674150
ACCESS-CM2,ssp245,2061,256.73007421
ACCESS-CM2,ssp245,2062,344.13158094
ACCESS-CM2,ssp245,2063,568.22992646
ACCESS-CM2,ssp245,2064,340.11401234
ACCESS-CM2,ssp245,2065,299.56926999
ACCESS-CM2,ssp245,2066,560.13910924
ACCESS-CM2,ssp245,2067,427.48557813
ACCESS-CM2,ssp245,2068,596.14090153
ACCESS-CM2,ssp245,2069,433.78630268
ACCESS-CM2,ssp245,2070,451.86778054
ACCESS-CM2,ssp245,2071,325.44971147
ACCESS-CM2,ssp245,2072,455.67680079
ACCESS-CM2,ssp245,2073,466.22661232
ACCESS-CM2,ssp245,2074,338.19501185
ACCESS-CM2,ssp245,2075,483.49679060
ACCESS-CM2,ssp245,2076,291.68046334
ACCESS-CM2,ssp245,2077,510.56324373
ACCESS-CM2,ssp245,2078,503.06606449
ACCESS-CM2,ssp245,2079,614.84340941
ACCESS-CM2,ssp245,2080,531.98018127
ACCESS-CM2,ssp245,2081,129.31471623
ACCESS-CM2,ssp245,2082,515.23067006
ACCESS-CM2,ssp245,2083,386.96500318
ACCESS-CM2,ssp245,2084,294.95136461
ACCESS-CM2,ssp245,2085,594.49796613
ACCESS-CM2,ssp245,2086,555.38850946
ACCESS-CM2,ssp245,2087,414.47368562
ACCESS-CM2,ssp245,2088,420.00486228
ACCESS-CM2,ssp245,2089,370.27113705
ACCESS-CM2,ssp245,2090,660.88078100
ACCESS-CM2,ssp245,2091,387.41381040
ACCESS-CM2,ssp245,2092,424.02246225
ACCESS-CM2,ssp245,2093,463.33564382
ACCESS-CM2,ssp245,2094,371.95426533
ACCESS-CM2,ssp245,2095,315.53264085
ACCESS-CM2,ssp245,2096,472.44877935
ACCESS-CM2,ssp245,2097,305.56021206
ACCESS-CM2,ssp245,2098,832.22279556
ACCESS-CM2,ssp245,2099,348.46133834
ACCESS-CM2,ssp370,2015,297.88079536
ACCESS-CM2,ssp370,2016,576.42863172
ACCESS-CM2,ssp370,2017,759.06791097
ACCESS-CM2,ssp370,2018,345.68036571
ACCESS-CM2,ssp370,2019,224.90150388
ACCESS-CM2,ssp370,2020,573.15469748
ACCESS-CM2,ssp370,2021,87.71646922
ACCESS-CM2,ssp370,2022,356.77547197
ACCESS-CM2,ssp370,2023,392.21234602
ACCESS-CM2,ssp370,2024,235.46116724
ACCESS-CM2,ssp370,2025,283.94222938
ACCESS-CM2,ssp370,2026,287.74000940
ACCESS-CM2,ssp370,2027,477.88653731
ACCESS-CM2,ssp370,2028,419.45165731
ACCESS-CM2,ssp370,2029,505.75152558
ACCESS-CM2,ssp370,2030,706.62003420
ACCESS-CM2,ssp370,2031,378.47910204
ACCESS-CM2,ssp370,2032,674.26240827
ACCESS-CM2,ssp370,2033,589.27259138
ACCESS-CM2,ssp370,2034,349.49552462
ACCESS-CM2,ssp370,2035,552.21713139
ACCESS-CM2,ssp370,2036,376.80770073
