model,experiment,year,pr
ACCESS-CM2,historical,1960,377.92725316
ACCESS-CM2,historical,1961,315.79213011
ACCESS-CM2,historical,1962,177.09319739
ACCESS-CM2,historical,1963,504.62392347
ACCESS-CM2,historical,1964,379.43560046
ACCESS-CM2,historical,1965,395.02504007
ACCESS-CM2,historical,1966,269.06061619
ACCESS-CM2,historical,1967,332.36658525
ACCESS-CM2,historical,1968,274.46777889
ACCESS-CM2,historical,1969,228.98741691
ACCESS-CM2,historical,1970,193.60037747
ACCESS-CM2,historical,1971,287.13404447
ACCESS-CM2,historical,1972,290.26518907
ACCESS-CM2,historical,1973,325.65082357
ACCESS-CM2,historical,1974,439.34049678
ACCESS-CM2,historical,1975,354.52625971
ACCESS-CM2,historical,1976,171.61582064
ACCESS-CM2,historical,1977,287.58610584
ACCESS-CM2,historical,1978,324.99299250
ACCESS-CM2,historical,1979,183.57970025
ACCESS-CM2,historical,1980,329.86254911
ACCESS-CM2,historical,1981,321.51402711
ACCESS-CM2,historical,1982,364.98713720
ACCESS-CM2,historical,1983,211.30233090
ACCESS-CM2,historical,1984,262.28482541
ACCESS-CM2,historical,1985,288.64008567
ACCESS-CM2,historical,1986,290.66569941
ACCESS-CM2,historical,1987,525.03788080
ACCESS-CM2,historical,1988,291.11836566
ACCESS-CM2,historical,1989,197.31167131
ACCESS-CM2,historical,1990,410.84067559
ACCESS-CM2,historical,1991,329.68481446
ACCESS-CM2,historical,1992,463.27660845
ACCESS-CM2,historical,1993,228.11031628
ACCESS-CM2,historical,1994,360.57620141
ACCESS-CM2,historical,1995,306.62650383
ACCESS-CM2,historical,1996,273.55844490
ACCESS-CM2,historical,1997,355.76595399
ACCESS-CM2,historical,1998,425.74112182
ACCESS-CM2,historical,1999,272.56854366
ACCESS-CM2,historical,2000,280.82964490
ACCESS-CM2,historical,2001,428.28486002
ACCESS-CM2,historical,2002,275.62261412
ACCESS-CM2,historical,2003,309.80428881
ACCESS-CM2,historical,2004,240.06216838
ACCESS-CM2,historical,2005,404.76866277
ACCESS-CM2,historical,2006,437.90797983
ACCESS-CM2,historical,2007,206.71029748
ACCESS-CM2,historical,2008,411.38045147
ACCESS-CM2,historical,2009,445.06598580
ACCESS-CM2,historical,2010,322.55699880
ACCESS-CM2,historical,2011,404.71997677
ACCESS-CM2,historical,2012,245.96710430
ACCESS-CM2,historical,2013,282.58530880
ACCESS-CM2,historical,2014,187.73368049
ACCESS-CM2,ssp126,2015,193.43883517
ACCESS-CM2,ssp126,2016,449.17883754
ACCESS-CM2,ssp126,2017,418.44559843
ACCESS-CM2,ssp126,2018,495.32023718
ACCESS-CM2,ssp126,2019,526.29951881
ACCESS-CM2,ssp126,2020,601.39034311
ACCESS-CM2,ssp126,2021,195.71852049
ACCESS-CM2,ssp126,2022,380.32921424
ACCESS-CM2,ssp126,2023,509.21503860
ACCESS-CM2,ssp126,2024,251.91868019
ACCESS-CM2,ssp126,2025,417.06955487
ACCESS-CM2,ssp126,2026,195.74458337
ACCESS-CM2,ssp126,2027,269.67667960
ACCESS-CM2,ssp126,2028,717.12200981
ACCESS-CM2,ssp126,2029,430.76392146
ACCESS-CM2,ssp126,2030,449.74029127
ACCESS-CM2,ssp126,2031,167.67854554
ACCESS-CM2,ssp126,2032,249.72548556
ACCESS-CM2,ssp126,2033,350.56991539
ACCESS-CM2,ssp126,2034,338.95998220
ACCESS-CM2,ssp126,2035,366.49338873
ACCESS-CM2,ssp126,2036,424.70223172
ACCESS-CM2,ssp126,2037,251.61174203
ACCESS-CM2,ssp126,2038,265.00732151
ACCESS-CM2,ssp126,2039,369.06057724
ACCESS-CM2,ssp126,2040,319.59887160
ACCESS-CM2,ssp126,2041,475.12317193
ACCESS-CM2,ssp126,2042,333.91186386
ACCESS-CM2,ssp126,2043,420.34957121
ACCESS-CM2,ssp126,2044,429.10802176
ACCESS-CM2,ssp126,2045,307.03534710
ACCESS-CM2,ssp126,2046,306.53459480
ACCESS-CM2,ssp126,2047,328.04037188
ACCESS-CM2,ssp126,2048,215.87135847
ACCESS-CM2,ssp126,2049,247.27283333
ACCESS-CM2,ssp126,2050,378.14987793
ACCESS-CM2,ssp126,2051,352.11088848
ACCESS-CM2,ssp126,2052,545.39780422
ACCESS-CM2,ssp126,2053,328.11510003
ACCESS-CM2,ssp126,2054,242.25047536
ACCESS-CM2,ssp126,2055,431.38959893
ACCESS-CM2,ssp126,2056,312.64866246
ACCESS-CM2,ssp126,2057,390.91985604
ACCESS-CM2,ssp126,2058,579.19513652
ACCESS-CM2,ssp126,2059,324.51067496
ACCESS-CM2,ssp126,2060,396.55449667
ACCESS-CM2,ssp126,2061,278.40958435
ACCESS-CM2,ssp126,2062,346.13932776
ACCESS-CM2,ssp126,2063,458.92529446
ACCESS-CM2,ssp126,2064,390.06565136
ACCESS-CM2,ssp126,2065,599.79600028
ACCESS-CM2,ssp126,2066,219.49666642
ACCESS-CM2,ssp126,2067,351.67757607
ACCESS-CM2,ssp126,2068,411.41787611
ACCESS-CM2,ssp126,2069,328.81593259
ACCESS-CM2,ssp126,2070,369.12231407
ACCESS-CM2,ssp126,2071,344.77693275
ACCESS-CM2,ssp126,2072,309.29774389
ACCESS-CM2,ssp126,2073,338.57928599
ACCESS-CM2,ssp126,2074,433.65469403
ACCESS-CM2,ssp126,2075,368.75678553
ACCESS-CM2,ssp126,2076,697.92887041
ACCESS-CM2,ssp126,2077,310.52778237
ACCESS-CM2,ssp126,2078,639.02762637
ACCESS-CM2,ssp126,2079,277.45247379
ACCESS-CM2,ssp126,2080,326.16151172
ACCESS-CM2,ssp126,2081,699.65112328
ACCESS-CM2,ssp126,2082,407.74225625
ACCESS-CM2,ssp126,2083,187.85591841
ACCESS-CM2,ssp126,2084,219.54173373
ACCESS-CM2,ssp126,2085,609.91492514
ACCESS-CM2,ssp126,2086,313.34460847
ACCESS-CM2,ssp126,2087,266.80258483
ACCESS-CM2,ssp126,2088,270.35330292
ACCESS-CM2,ssp126,2089,268.89486739
ACCESS-CM2,ssp126,2090,487.82479549
ACCESS-CM2,ssp126,2091,320.91320039
ACCESS-CM2,ssp126,2092,463.66038859
ACCESS-CM2,ssp126,2093,229.12304344
ACCESS-CM2,ssp126,2094,474.22139518
ACCESS-CM2,ssp126,2095,250.39136379
ACCESS-CM2,ssp126,2096,287.08410210
ACCESS-CM2,ssp126,2097,293.92231530
ACCESS-CM2,ssp126,2098,330.87190503
ACCESS-CM2,ssp126,2099,535.11548606
ACCESS-CM2,ssp245,2015,900.74919442
ACCESS-CM2,ssp245,2016,341.69054021
ACCESS-CM2,ssp245,2017,256.62740914
ACCESS-CM2,ssp245,2018,338.66106531
ACCESS-CM2,ssp245,2019,248.66703926
ACCESS-CM2,ssp245,2020,586.80092113
ACCESS-CM2,ssp245,2021,327.64274816
ACCESS-CM2,ssp245,2022,582.76758424
ACCESS-CM2,ssp245,2023,180.78404665
ACCESS-CM2,ssp245,2024,382.60044514
ACCESS-CM2,ssp245,2025,289.74015003
ACCESS-CM2,ssp245,2026,324.32559049
ACCESS-CM2,ssp245,2027,403.46743114
ACCESS-CM2,ssp245,2028,292.89859716
ACCESS-CM2,ssp245,2029,316.96734223
ACCESS-CM2,ssp245,2030,462.15074526
ACCESS-CM2,ssp245,2031,358.23149605
ACCESS-CM2,ssp245,2032,502.96492649
ACCESS-CM2,ssp245,2033,455.30628212
ACCESS-CM2,ssp245,2034,344.24607863
ACCESS-CM2,ssp245,2035,474.28864824
ACCESS-CM2,ssp245,2036,371.00547815
ACCESS-CM2,ssp245,2037,407.11279882
ACCESS-CM2,ssp245,2038,236.18737216
ACCESS-CM2,ssp245,2039,230.69265100
ACCESS-CM2,ssp245,2040,365.98086330
ACCESS-CM2,ssp245,2041,203.65078694
ACCESS-CM2,ssp245,2042,412.85661647
ACCESS-CM2,ssp245,2043,359.51454663
ACCESS-CM2,ssp245,2044,328.05547688
ACCESS-CM2,ssp245,2045,168.07959866
ACCESS-CM2,ssp245,2046,304.52656017
ACCESS-CM2,ssp245,2047,375.91206934
ACCESS-CM2,ssp245,2048,540.19438761
ACCESS-CM2,ssp245,2049,479.76459873
ACCESS-CM2,ssp245,2050,382.39432600
ACCESS-CM2,ssp245,2051,610.76551089
ACCESS-CM2,ssp245,2052,298.16980265
ACCESS-CM2,ssp245,2053,649.48848755
ACCESS-CM2,ssp245,2054,261.76682822
ACCESS-CM2,ssp245,2055,373.80766949
ACCESS-CM2,ssp245,2056,175.59919827
ACCESS-CM2,ssp245,2057,396.53592364
ACCESS-CM2,ssp245,2058,310.70665925
ACCESS-CM2,ssp245,2059,781.93022460
ACCESS-CM2,ssp245,2060,408.65319901
ACCESS-CM2,ssp245,2061,499.08599631
ACCESS-CM2,ssp245,2062,162.58909279
ACCESS-CM2,ssp245,2063,432.04145239
ACCESS-CM2,ssp245,2064,212.21025390
ACCESS-CM2,ssp245,2065,459.21884331
ACCESS-CM2,ssp245,2066,329.89848219
ACCESS-CM2,ssp245,2067,672.90762964
ACCESS-CM2,ssp245,2068,403.98641026
ACCESS-CM2,ssp245,2069,485.63539126
ACCESS-CM2,ssp245,2070,547.44323668
ACCESS-CM2,ssp245,2071,661.46636545
ACCESS-CM2,ssp245,2072,329.49288167
ACCESS-CM2,ssp245,2073,380.42404930
ACCESS-CM2,ssp245,2074,596.76646250
ACCESS-CM2,ssp245,2075,350.84449270
ACCESS-CM2,ssp245,2076,191.09408699
ACCESS-CM2,ssp245,2077,356.01502016
ACCESS-CM2,ssp245,2078,289.42710277
ACCESS-CM2,ssp245,2079,488.49636015
ACCESS-CM2,ssp245,2080,303.99521726
ACCESS-CM2,ssp245,2081,312.72104113
ACCESS-CM2,ssp245,2082,409.97130275
ACCESS-CM2,ssp245,2083,228.32865385
ACCESS-CM2,ssp245,2084,470.45157575
ACCESS-CM2,ssp245,2085,375.05296825
ACCESS-CM2,ssp245,2086,330.20943204
ACCESS-CM2,ssp245,2087,277.17454053
ACCESS-CM2,ssp245,2088,425.39403161
ACCESS-CM2,ssp245,2089,533.03096104
ACCESS-CM2,ssp245,2090,388.54665940
ACCESS-CM2,ssp245,2091,438.43149102
ACCESS-CM2,ssp245,2092,216.64641282
ACCESS-CM2,ssp245,2093,369.72855435
ACCESS-CM2,ssp245,2094,429.81234385
ACCESS-CM2,ssp245,2095,358.64760077
ACCESS-CM2,ssp245,2096,603.08551370
ACCESS-CM2,ssp245,2097,629.67098220
ACCESS-CM2,ssp245,2098,390.17683901
ACCESS-CM2,ssp245,2099,457.21694422
ACCESS-CM2,ssp370,2015,540.95450429
ACCESS-CM2,ssp370,2016,547.56182632
ACCESS-CM2,ssp370,2017,372.13728416
ACCESS-CM2,ssp370,2018,738.02588848
ACCESS-CM2,ssp370,2019,518.80355147
ACCESS-CM2,ssp370,2020,558.66669620
ACCESS-CM2,ssp370,2021,258.49109224
ACCESS-CM2,ssp370,2022,335.88935191
ACCESS-CM2,ssp370,2023,819.70666712
ACCESS-CM2,ssp370,2024,220.73707593
ACCESS-CM2,ssp370,2025,422.05216552
ACCESS-CM2,ssp370,2026,465.39008712
ACCESS-CM2,ssp370,2027,379.82681141
ACCESS-CM2,ssp370,2028,451.05635300
ACCESS-CM2,ssp370,2029,380.86938010
ACCESS-CM2,ssp370,2030,316.56243464
ACCESS-CM2,ssp370,2031,664.85700762
ACCESS-CM2,ssp370,2032,242.44039662
ACCESS-CM2,ssp370,2033,340.26889404
ACCESS-CM2,ssp370,2034,265.88050958
ACCESS-CM2,ssp370,2035,244.59892386
ACCESS-CM2,ssp370,2036,205.59642858
ACCESS-CM2,ssp370,2037,531.83288674
ACCESS-CM2,ssp370,2038,452.31272606
ACCESS-CM2,ssp370,2039,414.33561597
ACCESS-CM2,ssp370,2040,309.63070925
ACCESS-CM2,ssp370,2041,690.91490097
