model,experiment,year,pr
ACCESS-CM2,historical,1960,1490.28206490
ACCESS-CM2,historical,1961,1182.24267981
ACCESS-CM2,historical,1962,1431.80930325
ACCESS-CM2,historical,1963,1336.55720649
ACCESS-CM2,historical,1964,972.14393201
ACCESS-CM2,historical,1965,1139.35101412
ACCESS-CM2,historical,1966,1259.57578712
ACCESS-CM2,historical,1967,1252.88086724
ACCESS-CM2,historical,1968,990.16248686
ACCESS-CM2,historical,1969,1154.58123532
ACCESS-CM2,historical,1970,1323.43509633
ACCESS-CM2,historical,1971,1177.34306917
ACCESS-CM2,historical,1972,1168.28365294
ACCESS-CM2,historical,1973,1540.22866386
ACCESS-CM2,historical,1974,1095.78571730
ACCESS-CM2,historical,1975,1362.73414480
ACCESS-CM2,historical,1976,1114.30273882
ACCESS-CM2,historical,1977,869.93763788
ACCESS-CM2,historical,1978,1068.30264642
ACCESS-CM2,historical,1979,722.75278554
ACCESS-CM2,historical,1980,952.89403264
ACCESS-CM2,historical,1981,896.12037906
ACCESS-CM2,historical,1982,895.77088133
ACCESS-CM2,historical,1983,1419.36361184
ACCESS-CM2,historical,1984,1336.33109551
ACCESS-CM2,historical,1985,1246.15998717
ACCESS-CM2,historical,1986,1174.29075221
ACCESS-CM2,historical,1987,1003.18574625
ACCESS-CM2,historical,1988,1020.38638476
ACCESS-CM2,historical,1989,1184.07655371
ACCESS-CM2,historical,1990,1218.31089224
ACCESS-CM2,historical,1991,980.81302481
ACCESS-CM2,historical,1992,1240.06300179
ACCESS-CM2,historical,1993,1258.11298994
ACCESS-CM2,historical,1994,1030.16745044
ACCESS-CM2,historical,1995,958.84453274
ACCESS-CM2,historical,1996,795.85653371
ACCESS-CM2,historical,1997,1119.91548958
ACCESS-CM2,historical,1998,978.31154172
ACCESS-CM2,historical,1999,1509.22448508
ACCESS-CM2,historical,2000,1370.04404479
ACCESS-CM2,historical,2001,1291.19063817
ACCESS-CM2,historical,2002,1297.07974405
ACCESS-CM2,historical,2003,1069.12091704
ACCESS-CM2,historical,2004,1286.18029500
ACCESS-CM2,historical,2005,931.11948414
ACCESS-CM2,historical,2006,1503.78518927
ACCESS-CM2,historical,2007,1268.50900847
ACCESS-CM2,historical,2008,1465.27575820
ACCESS-CM2,historical,2009,990.66782508
ACCESS-CM2,historical,2010,870.95941072
ACCESS-CM2,historical,2011,1018.19483563
ACCESS-CM2,historical,2012,1312.91553189
ACCESS-CM2,historical,2013,1041.86245498
ACCESS-CM2,historical,2014,1673.96120934
ACCESS-CM2,ssp126,2015,1732.05972214
ACCESS-CM2,ssp126,2016,1135.36105323
ACCESS-CM2,ssp126,2017,1202.84187187
ACCESS-CM2,ssp126,2018,1251.23638254
ACCESS-CM2,ssp126,2019,1173.60885632
ACCESS-CM2,ssp126,2020,1502.32379858
ACCESS-CM2,ssp126,2021,990.98052914
ACCESS-CM2,ssp126,2022,1275.35323105
ACCESS-CM2,ssp126,2023,1037.03107430
ACCESS-CM2,ssp126,2024,1193.57262782
ACCESS-CM2,ssp126,2025,1637.88981869
ACCESS-CM2,ssp126,2026,1006.64050412
ACCESS-CM2,ssp126,2027,1000.55316703
ACCESS-CM2,ssp126,2028,917.49523107
ACCESS-CM2,ssp126,2029,1405.59178891
ACCESS-CM2,ssp126,2030,772.91528184
ACCESS-CM2,ssp126,2031,1720.27026222
ACCESS-CM2,ssp126,2032,1088.91010492
ACCESS-CM2,ssp126,2033,1202.53311060
ACCESS-CM2,ssp126,2034,1582.34889135
ACCESS-CM2,ssp126,2035,955.11311461
ACCESS-CM2,ssp126,2036,1000.51989414
ACCESS-CM2,ssp126,2037,1007.26732113
ACCESS-CM2,ssp126,2038,1168.55479045
ACCESS-CM2,ssp126,2039,1092.52851587
ACCESS-CM2,ssp126,2040,970.40935212
ACCESS-CM2,ssp126,2041,656.32066680
ACCESS-CM2,ssp126,2042,869.01166089
ACCESS-CM2,ssp126,2043,1029.28690237
ACCESS-CM2,ssp126,2044,1314.41873063
ACCESS-CM2,ssp126,2045,1061.96682981
ACCESS-CM2,ssp126,2046,1216.61266344
ACCESS-CM2,ssp126,2047,1606.14908678
ACCESS-CM2,ssp126,2048,1226.46949498
ACCESS-CM2,ssp126,2049,1208.19521164
ACCESS-CM2,ssp126,2050,1465.11306630
ACCESS-CM2,ssp126,2051,1229.28373461
