model,experiment,year,pr
ACCESS-CM2,historical,1960,163.43849038
ACCESS-CM2,historical,1961,61.10481120
ACCESS-CM2,historical,1962,71.71911370
ACCESS-CM2,historical,1963,142.32702291
ACCESS-CM2,historical,1964,114.72418967
ACCESS-CM2,historical,1965,167.65025590
ACCESS-CM2,historical,1966,71.66905602
ACCESS-CM2,historical,1967,104.84927659
ACCESS-CM2,historical,1968,97.16886995
ACCESS-CM2,historical,1969,90.52872136
ACCESS-CM2,historical,1970,48.67858666
ACCESS-CM2,historical,1971,79.04195636
ACCESS-CM2,historical,1972,119.00417698
ACCESS-CM2,historical,1973,108.65485559
ACCESS-CM2,historical,1974,93.69291346
ACCESS-CM2,historical,1975,112.89075415
ACCESS-CM2,historical,1976,78.16905594
ACCESS-CM2,historical,1977,78.36750834
ACCESS-CM2,historical,1978,65.38846820
ACCESS-CM2,historical,1979,70.62339265
ACCESS-CM2,historical,1980,71.09230126
ACCESS-CM2,historical,1981,145.72533575
ACCESS-CM2,historical,1982,49.13564999
ACCESS-CM2,historical,1983,35.17256763
ACCESS-CM2,historical,1984,88.86793202
ACCESS-CM2,historical,1985,164.64589883
ACCESS-CM2,historical,1986,82.42488769
ACCESS-CM2,historical,1987,108.75295708
ACCESS-CM2,historical,1988,50.16205027
ACCESS-CM2,historical,1989,17.20778714
ACCESS-CM2,historical,1990,197.62189457
ACCESS-CM2,historical,1991,95.61848012
ACCESS-CM2,historical,1992,146.08374097
ACCESS-CM2,historical,1993,72.60161885
ACCESS-CM2,historical,1994,33.26407304
ACCESS-CM2,historical,1995,157.52565236
ACCESS-CM2,historical,1996,87.17911944
ACCESS-CM2,historical,1997,103.77594037
ACCESS-CM2,historical,1998,54.62023749
ACCESS-CM2,historical,1999,104.04262860
ACCESS-CM2,historical,2000,43.68015677
ACCESS-CM2,historical,2001,194.21992413
ACCESS-CM2,historical,2002,83.10914036
ACCESS-CM2,historical,2003,146.27421960
ACCESS-CM2,historical,2004,21.42081237
ACCESS-CM2,historical,2005,207.01829710
ACCESS-CM2,historical,2006,98.41070197
ACCESS-CM2,historical,2007,69.76387694
ACCESS-CM2,historical,2008,73.45075330
ACCESS-CM2,historical,2009,120.44203487
ACCESS-CM2,historical,2010,58.20522058
ACCESS-CM2,historical,2011,158.69893712
ACCESS-CM2,historical,2012,88.31744489
ACCESS-CM2,historical,2013,84.71238035
ACCESS-CM2,historical,2014,13.51292943
ACCESS-CM2,ssp126,2015,30.35210645
ACCESS-CM2,ssp126,2016,155.68246740
ACCESS-CM2,ssp126,2017,213.49722122
ACCESS-CM2,ssp126,2018,26.95391377
ACCESS-CM2,ssp126,2019,118.85827708
ACCESS-CM2,ssp126,2020,380.68708220
ACCESS-CM2,ssp126,2021,33.93361240
ACCESS-CM2,ssp126,2022,120.39969060
ACCESS-CM2,ssp126,2023,149.55375003
ACCESS-CM2,ssp126,2024,36.27082351
ACCESS-CM2,ssp126,2025,45.92623653
ACCESS-CM2,ssp126,2026,47.01821082
ACCESS-CM2,ssp126,2027,93.13344999
ACCESS-CM2,ssp126,2028,143.84823099
ACCESS-CM2,ssp126,2029,145.08738662
ACCESS-CM2,ssp126,2030,336.22743986
ACCESS-CM2,ssp126,2031,69.90574489
ACCESS-CM2,ssp126,2032,19.44848363
ACCESS-CM2,ssp126,2033,93.09567671
ACCESS-CM2,ssp126,2034,152.11543477
ACCESS-CM2,ssp126,2035,154.40331963
ACCESS-CM2,ssp126,2036,147.51243504
ACCESS-CM2,ssp126,2037,101.91434598
ACCESS-CM2,ssp126,2038,66.10818394
ACCESS-CM2,ssp126,2039,138.03449809
ACCESS-CM2,ssp126,2040,109.43844598
ACCESS-CM2,ssp126,2041,106.94041935
ACCESS-CM2,ssp126,2042,134.45365010
ACCESS-CM2,ssp126,2043,99.39465796
ACCESS-CM2,ssp126,2044,84.99305920
ACCESS-CM2,ssp126,2045,78.44386407
ACCESS-CM2,ssp126,2046,123.15560951
ACCESS-CM2,ssp126,2047,103.94383699
ACCESS-CM2,ssp126,2048,59.35741065
ACCESS-CM2,ssp126,2049,18.03783223
ACCESS-CM2,ssp126,2050,90.73430160
ACCESS-CM2,ssp126,2051,135.59900159
ACCESS-CM2,ssp126,2052,314.58637012
ACCESS-CM2,ssp126,2053,74.52234052
ACCESS-CM2,ssp126,2054,62.81849260
ACCESS-CM2,ssp126,2055,114.32027853
ACCESS-CM2,ssp126,2056,75.91884411
ACCESS-CM2,ssp126,2057,137.07061281
ACCESS-CM2,ssp126,2058,180.88312198
ACCESS-CM2,ssp126,2059,62.13950666
ACCESS-CM2,ssp126,2060,112.89415796
ACCESS-CM2,ssp126,2061,18.84580147
ACCESS-CM2,ssp126,2062,90.62008152
ACCESS-CM2,ssp126,2063,136.16734440
ACCESS-CM2,ssp126,2064,165.15879056
ACCESS-CM2,ssp126,2065,472.89611477
ACCESS-CM2,ssp126,2066,36.65969678
ACCESS-CM2,ssp126,2067,102.05915551
ACCESS-CM2,ssp126,2068,80.18926257
ACCESS-CM2,ssp126,2069,121.08311767
ACCESS-CM2,ssp126,2070,60.97646176
ACCESS-CM2,ssp126,2071,139.19918532
ACCESS-CM2,ssp126,2072,73.38161670
ACCESS-CM2,ssp126,2073,48.24581878
ACCESS-CM2,ssp126,2074,33.55473823
ACCESS-CM2,ssp126,2075,65.51338045
ACCESS-CM2,ssp126,2076,261.53935769
ACCESS-CM2,ssp126,2077,81.27430738
ACCESS-CM2,ssp126,2078,228.27809527
ACCESS-CM2,ssp126,2079,136.81607842
ACCESS-CM2,ssp126,2080,49.44657835
ACCESS-CM2,ssp126,2081,152.35813410
ACCESS-CM2,ssp126,2082,116.33451568
ACCESS-CM2,ssp126,2083,40.45222543
ACCESS-CM2,ssp126,2084,70.95839370
ACCESS-CM2,ssp126,2085,415.71259692
ACCESS-CM2,ssp126,2086,154.46040628
ACCESS-CM2,ssp126,2087,16.05256917
ACCESS-CM2,ssp126,2088,83.74884545
ACCESS-CM2,ssp126,2089,68.36649587
ACCESS-CM2,ssp126,2090,95.00012262
ACCESS-CM2,ssp126,2091,62.41655002
ACCESS-CM2,ssp126,2092,197.73428665
ACCESS-CM2,ssp126,2093,39.65201632
ACCESS-CM2,ssp126,2094,215.50572181
ACCESS-CM2,ssp126,2095,55.18050474
ACCESS-CM2,ssp126,2096,142.49134087
ACCESS-CM2,ssp126,2097,45.91715536
ACCESS-CM2,ssp126,2098,38.69200155
ACCESS-CM2,ssp126,2099,167.54085982
ACCESS-CM2,ssp245,2015,262.02082443
ACCESS-CM2,ssp245,2016,75.48361646
ACCESS-CM2,ssp245,2017,28.30742786
ACCESS-CM2,ssp245,2018,117.70959660
ACCESS-CM2,ssp245,2019,45.49224964
ACCESS-CM2,ssp245,2020,227.77886234
ACCESS-CM2,ssp245,2021,96.45180812
ACCESS-CM2,ssp245,2022,158.19228824
ACCESS-CM2,ssp245,2023,23.82593189
ACCESS-CM2,ssp245,2024,148.05084937
ACCESS-CM2,ssp245,2025,194.81967112
ACCESS-CM2,ssp245,2026,159.06667703
ACCESS-CM2,ssp245,2027,96.37282373
ACCESS-CM2,ssp245,2028,93.40841147
ACCESS-CM2,ssp245,2029,107.16569548
ACCESS-CM2,ssp245,2030,186.19104490
ACCESS-CM2,ssp245,2031,70.53043342
ACCESS-CM2,ssp245,2032,149.40194133
ACCESS-CM2,ssp245,2033,94.08098154
ACCESS-CM2,ssp245,2034,115.41973369
ACCESS-CM2,ssp245,2035,262.53933911
ACCESS-CM2,ssp245,2036,148.52478591
ACCESS-CM2,ssp245,2037,75.88743382
ACCESS-CM2,ssp245,2038,13.06218256
ACCESS-CM2,ssp245,2039,42.99501526
ACCESS-CM2,ssp245,2040,117.11071747
ACCESS-CM2,ssp245,2041,40.28040708
ACCESS-CM2,ssp245,2042,101.59351022
ACCESS-CM2,ssp245,2043,84.24396354
ACCESS-CM2,ssp245,2044,146.02415375
ACCESS-CM2,ssp245,2045,25.57101631
ACCESS-CM2,ssp245,2046,136.59116410
ACCESS-CM2,ssp245,2047,92.20742066
ACCESS-CM2,ssp245,2048,300.57672667
ACCESS-CM2,ssp245,2049,274.09727106
ACCESS-CM2,ssp245,2050,143.88032422
ACCESS-CM2,ssp245,2051,332.42763875
ACCESS-CM2,ssp245,2052,85.36595085
ACCESS-CM2,ssp245,2053,331.69773154
ACCESS-CM2,ssp245,2054,116.37894858
ACCESS-CM2,ssp245,2055,87.92428811
ACCESS-CM2,ssp245,2056,32.36993025
ACCESS-CM2,ssp245,2057,238.12623641
ACCESS-CM2,ssp245,2058,131.22247281
ACCESS-CM2,ssp245,2059,478.02411693
ACCESS-CM2,ssp245,2060,108.25008496
ACCESS-CM2,ssp245,2061,243.45033836
ACCESS-CM2,ssp245,2062,32.46959602
ACCESS-CM2,ssp245,2063,196.84479466
ACCESS-CM2,ssp245,2064,5.17634624
ACCESS-CM2,ssp245,2065,213.15268679
ACCESS-CM2,ssp245,2066,94.84380148
ACCESS-CM2,ssp245,2067,102.51594138
ACCESS-CM2,ssp245,2068,62.14310425
ACCESS-CM2,ssp245,2069,262.69838186
ACCESS-CM2,ssp245,2070,251.28866679
ACCESS-CM2,ssp245,2071,153.83595222
ACCESS-CM2,ssp245,2072,81.03447994
ACCESS-CM2,ssp245,2073,111.85288131
ACCESS-CM2,ssp245,2074,220.02224981
ACCESS-CM2,ssp245,2075,54.80058760
ACCESS-CM2,ssp245,2076,29.43210150
ACCESS-CM2,ssp245,2077,176.90454374
ACCESS-CM2,ssp245,2078,43.82784699
ACCESS-CM2,ssp245,2079,228.97311876
ACCESS-CM2,ssp245,2080,209.89126892
ACCESS-CM2,ssp245,2081,109.54190757
ACCESS-CM2,ssp245,2082,216.17596020
ACCESS-CM2,ssp245,2083,41.34154875
ACCESS-CM2,ssp245,2084,212.54138748
ACCESS-CM2,ssp245,2085,125.27065387
ACCESS-CM2,ssp245,2086,162.34749345
ACCESS-CM2,ssp245,2087,47.47435981
ACCESS-CM2,ssp245,2088,74.00591150
ACCESS-CM2,ssp245,2089,185.45601385
ACCESS-CM2,ssp245,2090,141.05869644
ACCESS-CM2,ssp245,2091,50.16575280
ACCESS-CM2,ssp245,2092,44.67760186
ACCESS-CM2,ssp245,2093,110.70409950
ACCESS-CM2,ssp245,2094,73.59351228
ACCESS-CM2,ssp245,2095,187.86952255
ACCESS-CM2,ssp245,2096,167.83732718
ACCESS-CM2,ssp245,2097,276.35722803
ACCESS-CM2,ssp245,2098,12.59739007
ACCESS-CM2,ssp245,2099,281.07187619
ACCESS-CM2,ssp370,2015,246.14019720
ACCESS-CM2,ssp370,2016,339.31461636
ACCESS-CM2,ssp370,2017,146.92024228
ACCESS-CM2,ssp370,2018,618.53174269
ACCESS-CM2,ssp370,2019,363.11164556
ACCESS-CM2,ssp370,2020,131.41024245
ACCESS-CM2,ssp370,2021,65.57199903
ACCESS-CM2,ssp370,2022,146.25582504
ACCESS-CM2,ssp370,2023,352.14916256
ACCESS-CM2,ssp370,2024,69.26196383
ACCESS-CM2,ssp370,2025,227.07926850
ACCESS-CM2,ssp370,2026,195.26687846
ACCESS-CM2,ssp370,2027,175.84697034
ACCESS-CM2,ssp370,2028,99.11081170
ACCESS-CM2,ssp370,2029,119.15166644
ACCESS-CM2,ssp370,2030,50.88368562
ACCESS-CM2,ssp370,2031,342.36693240
ACCESS-CM2,ssp370,2032,51.34399029
ACCESS-CM2,ssp370,2033,80.89243402
ACCESS-CM2,ssp370,2034,41.95977760
ACCESS-CM2,ssp370,2035,32.99505265
ACCESS-CM2,ssp370,2036,12.61788672
ACCESS-CM2,ssp370,2037,153.77862404
ACCESS-CM2,ssp370,2038,293.51576718
ACCESS-CM2,ssp370,2039,148.71305529
ACCESS-CM2,ssp370,2040,156.25587130
ACCESS-CM2,ssp370,2041,399.62352208
ACCESS-CM2,ssp370,2042,77.75030827
ACCESS-CM2,ssp370,2043,84.88498643
ACCESS-CM2,ssp370,2044,48.74593373
ACCESS-CM2,ssp370,2045,245.78548952
ACCESS-CM2,ssp370,2046,102.19282046
ACCESS-CM2,ssp370,2047,54.74207402
ACCESS-CM2,ssp370,2048,404.23357323
ACCESS-CM2,ssp370,2049,394.50860607
ACCESS-CM2,ssp370,2050,328.95000328
ACCESS-CM2,ssp370,2051,259.38508599
ACCESS-CM2,ssp370,2052,115.63721828
ACCESS-CM2,ssp370,2053,178.15791251
ACCESS-CM2,ssp370,2054,137.52209146
ACCESS-CM2,ssp370,2055,103.94050094
ACCESS-CM2,ssp370,2056,160.90329158
ACCESS-CM2,ssp370,2057,227.72515569
ACCESS-CM2,ssp370,2058,230.55625527
ACCESS-CM2,ssp370,2059,228.64407212
ACCESS-CM2,ssp370,2060,147.44478188
ACCESS-CM2,ssp370,2061,69.11314816
ACCESS-CM2,ssp370,2062,17.31418316
ACCESS-CM2,ssp370,2063,325.58774578
ACCESS-CM2,ssp370,2064,16.82058623
ACCESS-CM2,ssp370,2065,90.03146062
ACCESS-CM2,ssp370,2066,20.39214476
ACCESS-CM2,ssp370,2067,84.02162860
ACCESS-CM2,ssp370,2068,190.18351495
ACCESS-CM2,ssp370,2069,69.43738489
ACCESS-CM2,ssp370,2070,102.34079678
ACCESS-CM2,ssp370,2071,90.23138546
ACCESS-CM2,ssp370,2072,11.99463562
ACCESS-CM2,ssp370,2073,244.15821551
ACCESS-CM2,ssp370,2074,213.05814485
ACCESS-CM2,ssp370,2075,167.76509857
ACCESS-CM2,ssp370,2076,218.03616921
ACCESS-CM2,ssp370,2077,134.74586208
ACCESS-CM2,ssp370,2078,251.90215369
ACCESS-CM2,ssp370,2079,44.29186746
ACCESS-CM2,ssp370,2080,79.28411748
ACCESS-CM2,ssp370,2081,116.79550609
ACCESS-CM2,ssp370,2082,109.28389231
ACCESS-CM2,ssp370,2083,75.85317334
ACCESS-CM2,ssp370,2084,116.88462686
ACCESS-CM2,ssp370,2085,50.41409837
ACCESS-CM2,ssp370,2086,341.00337413
ACCESS-CM2,ssp370,2087,165.71859192
ACCESS-CM2,ssp370,2088,83.88663090
ACCESS-CM2,ssp370,2089,66.22789025
ACCESS-CM2,ssp370,2090,314.06822345
ACCESS-CM2,ssp370,2091,326.72135457
ACCESS-CM2,ssp370,2092,133.00198692
ACCESS-CM2,ssp370,2093,139.86822327
ACCESS-CM2,ssp370,2094,61.61140713
ACCESS-CM2,ssp370,2095,152.01939574
ACCESS-CM2,ssp370,2096,28.10665588
ACCESS-CM2,ssp370,2097,60.33133199
ACCESS-CM2,ssp370,2098,174.04571113
ACCESS-CM2,ssp370,2099,65.55237175
ACCESS-CM2,ssp585,2015,142.17458758
ACCESS-CM2,ssp585,2016,189.05195477
ACCESS-CM2,ssp585,2017,9.82890685
ACCESS-CM2,ssp585,2018,84.13603967
ACCESS-CM2,ssp585,2019,179.58711786
ACCESS-CM2,ssp585,2020,179.11294360
ACCESS-CM2,ssp585,2021,41.88990701
