model,experiment,year,pr
ACCESS-CM2,historical,1960,227.87035623
ACCESS-CM2,historical,1961,134.93765190
ACCESS-CM2,historical,1962,102.91517309
ACCESS-CM2,historical,1963,130.02418355
ACCESS-CM2,historical,1964,107.87326273
ACCESS-CM2,historical,1965,148.04491749
ACCESS-CM2,historical,1966,141.79350278
ACCESS-CM2,historical,1967,168.86721706
ACCESS-CM2,historical,1968,139.52613550
ACCESS-CM2,historical,1969,139.48121698
ACCESS-CM2,historical,1970,147.74376942
ACCESS-CM2,historical,1971,128.94076448
ACCESS-CM2,historical,1972,182.02786327
ACCESS-CM2,historical,1973,186.83788521
ACCESS-CM2,historical,1974,103.50227322
ACCESS-CM2,historical,1975,174.13125422
ACCESS-CM2,historical,1976,93.71604011
ACCESS-CM2,historical,1977,104.34376315
ACCESS-CM2,historical,1978,107.02084909
ACCESS-CM2,historical,1979,129.15119716
ACCESS-CM2,historical,1980,97.90409477
ACCESS-CM2,historical,1981,113.08465523
ACCESS-CM2,historical,1982,90.77031431
ACCESS-CM2,historical,1983,163.10144786
ACCESS-CM2,historical,1984,113.32657780
ACCESS-CM2,historical,1985,102.88110618
ACCESS-CM2,historical,1986,203.30115870
ACCESS-CM2,historical,1987,147.67053599
ACCESS-CM2,historical,1988,88.00758256
ACCESS-CM2,historical,1989,83.88387978
ACCESS-CM2,historical,1990,177.21889279
ACCESS-CM2,historical,1991,122.87961377
ACCESS-CM2,historical,1992,166.10736378
ACCESS-CM2,historical,1993,121.32408214
ACCESS-CM2,historical,1994,81.86397018
ACCESS-CM2,historical,1995,113.47328557
ACCESS-CM2,historical,1996,96.48201475
ACCESS-CM2,historical,1997,175.08393329
ACCESS-CM2,historical,1998,109.20951232
ACCESS-CM2,historical,1999,124.30930102
ACCESS-CM2,historical,2000,160.66482386
ACCESS-CM2,historical,2001,194.78385609
ACCESS-CM2,historical,2002,155.58916075
ACCESS-CM2,historical,2003,220.84016804
ACCESS-CM2,historical,2004,87.69758496
ACCESS-CM2,historical,2005,216.50085385
ACCESS-CM2,historical,2006,149.85826803
ACCESS-CM2,historical,2007,145.05355041
ACCESS-CM2,historical,2008,132.78977034
ACCESS-CM2,historical,2009,117.52627277
ACCESS-CM2,historical,2010,72.06860266
ACCESS-CM2,historical,2011,158.39830621
ACCESS-CM2,historical,2012,144.43510313
ACCESS-CM2,historical,2013,128.40604276
ACCESS-CM2,historical,2014,141.24682089
ACCESS-CM2,ssp126,2015,152.63088503
ACCESS-CM2,ssp126,2016,146.10586705
ACCESS-CM2,ssp126,2017,132.00299914
ACCESS-CM2,ssp126,2018,116.87083013
ACCESS-CM2,ssp126,2019,126.88951595
ACCESS-CM2,ssp126,2020,233.99912777
ACCESS-CM2,ssp126,2021,96.80895601
ACCESS-CM2,ssp126,2022,153.34212458
ACCESS-CM2,ssp126,2023,83.28707777
ACCESS-CM2,ssp126,2024,109.44340471
ACCESS-CM2,ssp126,2025,103.77190057
ACCESS-CM2,ssp126,2026,132.73047973
ACCESS-CM2,ssp126,2027,123.24760968
ACCESS-CM2,ssp126,2028,190.30609942
ACCESS-CM2,ssp126,2029,149.54246761
ACCESS-CM2,ssp126,2030,124.51636382
ACCESS-CM2,ssp126,2031,183.94748240
ACCESS-CM2,ssp126,2032,105.12347276
ACCESS-CM2,ssp126,2033,143.90382176
ACCESS-CM2,ssp126,2034,189.95098434
ACCESS-CM2,ssp126,2035,134.92592769
ACCESS-CM2,ssp126,2036,98.36566220
ACCESS-CM2,ssp126,2037,142.70477487
ACCESS-CM2,ssp126,2038,125.50069528
ACCESS-CM2,ssp126,2039,179.87045132
ACCESS-CM2,ssp126,2040,121.01733701
ACCESS-CM2,ssp126,2041,110.72956238
ACCESS-CM2,ssp126,2042,158.85841003
ACCESS-CM2,ssp126,2043,120.63091152
ACCESS-CM2,ssp126,2044,99.27040751
ACCESS-CM2,ssp126,2045,106.10288058
ACCESS-CM2,ssp126,2046,154.23441123
ACCESS-CM2,ssp126,2047,137.80547699
ACCESS-CM2,ssp126,2048,126.77805239
ACCESS-CM2,ssp126,2049,111.30743274
ACCESS-CM2,ssp126,2050,175.38524427
ACCESS-CM2,ssp126,2051,148.36904699
ACCESS-CM2,ssp126,2052,202.02508288
ACCESS-CM2,ssp126,2053,137.49112520
ACCESS-CM2,ssp126,2054,143.00496921
ACCESS-CM2,ssp126,2055,155.04518864
ACCESS-CM2,ssp126,2056,149.66195846
ACCESS-CM2,ssp126,2057,86.42523799
ACCESS-CM2,ssp126,2058,165.50600486
ACCESS-CM2,ssp126,2059,154.80056884
ACCESS-CM2,ssp126,2060,183.03910175
ACCESS-CM2,ssp126,2061,62.93045358
ACCESS-CM2,ssp126,2062,99.80386588
ACCESS-CM2,ssp126,2063,184.87175879
ACCESS-CM2,ssp126,2064,96.14681639
ACCESS-CM2,ssp126,2065,206.65074708
ACCESS-CM2,ssp126,2066,161.20580043
ACCESS-CM2,ssp126,2067,126.65888920
ACCESS-CM2,ssp126,2068,166.47152532
ACCESS-CM2,ssp126,2069,145.84154505
ACCESS-CM2,ssp126,2070,114.36677336
ACCESS-CM2,ssp126,2071,188.58728812
ACCESS-CM2,ssp126,2072,128.54296398
ACCESS-CM2,ssp126,2073,126.62377380
ACCESS-CM2,ssp126,2074,101.66315124
ACCESS-CM2,ssp126,2075,182.00730764
ACCESS-CM2,ssp126,2076,233.05541708
ACCESS-CM2,ssp126,2077,160.22365514
ACCESS-CM2,ssp126,2078,167.16678433
ACCESS-CM2,ssp126,2079,204.51339395
ACCESS-CM2,ssp126,2080,132.85586667
ACCESS-CM2,ssp126,2081,183.47751205
ACCESS-CM2,ssp126,2082,168.09004872
ACCESS-CM2,ssp126,2083,87.51429524
ACCESS-CM2,ssp126,2084,140.17858567
ACCESS-CM2,ssp126,2085,201.93439787
ACCESS-CM2,ssp126,2086,156.21010837
ACCESS-CM2,ssp126,2087,47.69933759
ACCESS-CM2,ssp126,2088,116.81578643
ACCESS-CM2,ssp126,2089,176.06284250
ACCESS-CM2,ssp126,2090,159.28197551
ACCESS-CM2,ssp126,2091,122.16304196
ACCESS-CM2,ssp126,2092,199.22664264
ACCESS-CM2,ssp126,2093,122.49460428
ACCESS-CM2,ssp126,2094,163.26935637
ACCESS-CM2,ssp126,2095,166.70139309
ACCESS-CM2,ssp126,2096,184.64118036
ACCESS-CM2,ssp126,2097,78.09640139
ACCESS-CM2,ssp126,2098,150.96962399
ACCESS-CM2,ssp126,2099,143.23296102
ACCESS-CM2,ssp245,2015,200.94230258
ACCESS-CM2,ssp245,2016,166.67576904
ACCESS-CM2,ssp245,2017,102.65385811
ACCESS-CM2,ssp245,2018,151.07596065
ACCESS-CM2,ssp245,2019,153.99109973
ACCESS-CM2,ssp245,2020,232.97319217
ACCESS-CM2,ssp245,2021,161.78338351
ACCESS-CM2,ssp245,2022,119.09246245
ACCESS-CM2,ssp245,2023,119.26610761
ACCESS-CM2,ssp245,2024,154.03067021
ACCESS-CM2,ssp245,2025,110.96109399
ACCESS-CM2,ssp245,2026,147.93876088
ACCESS-CM2,ssp245,2027,195.11049309
ACCESS-CM2,ssp245,2028,120.65076360
ACCESS-CM2,ssp245,2029,106.67715791
ACCESS-CM2,ssp245,2030,110.85420743
ACCESS-CM2,ssp245,2031,155.20013643
ACCESS-CM2,ssp245,2032,81.32148207
ACCESS-CM2,ssp245,2033,157.57481636
ACCESS-CM2,ssp245,2034,176.14530287
ACCESS-CM2,ssp245,2035,169.95721773
ACCESS-CM2,ssp245,2036,150.66780727
ACCESS-CM2,ssp245,2037,214.26019593
ACCESS-CM2,ssp245,2038,115.30927132
ACCESS-CM2,ssp245,2039,172.64088193
ACCESS-CM2,ssp245,2040,93.72391318
ACCESS-CM2,ssp245,2041,134.43916822
ACCESS-CM2,ssp245,2042,149.59827011
ACCESS-CM2,ssp245,2043,126.30218485
ACCESS-CM2,ssp245,2044,132.58911535
ACCESS-CM2,ssp245,2045,167.34427406
ACCESS-CM2,ssp245,2046,104.49730757
ACCESS-CM2,ssp245,2047,201.99397954
ACCESS-CM2,ssp245,2048,170.68615066
ACCESS-CM2,ssp245,2049,202.28938246
ACCESS-CM2,ssp245,2050,153.35841616
ACCESS-CM2,ssp245,2051,174.79946510
ACCESS-CM2,ssp245,2052,121.74792031
ACCESS-CM2,ssp245,2053,203.02726030
ACCESS-CM2,ssp245,2054,145.06286902
ACCESS-CM2,ssp245,2055,127.16005841
ACCESS-CM2,ssp245,2056,92.12987995
ACCESS-CM2,ssp245,2057,208.20889834
ACCESS-CM2,ssp245,2058,132.38978958
ACCESS-CM2,ssp245,2059,261.69741832
ACCESS-CM2,ssp245,2060,86.76588607
ACCESS-CM2,ssp245,2061,262.85068105
ACCESS-CM2,ssp245,2062,78.63227076
ACCESS-CM2,ssp245,2063,118.28421427
ACCESS-CM2,ssp245,2064,97.38131361
ACCESS-CM2,ssp245,2065,122.77469814
ACCESS-CM2,ssp245,2066,118.36569166
ACCESS-CM2,ssp245,2067,131.72035976
ACCESS-CM2,ssp245,2068,132.22174878
ACCESS-CM2,ssp245,2069,249.72258509
ACCESS-CM2,ssp245,2070,152.79582291
ACCESS-CM2,ssp245,2071,187.41077807
ACCESS-CM2,ssp245,2072,152.12733286
ACCESS-CM2,ssp245,2073,169.54102366
ACCESS-CM2,ssp245,2074,187.91488164
ACCESS-CM2,ssp245,2075,104.35191151
ACCESS-CM2,ssp245,2076,133.50290924
ACCESS-CM2,ssp245,2077,231.55768633
ACCESS-CM2,ssp245,2078,148.00425898
ACCESS-CM2,ssp245,2079,123.87978413
ACCESS-CM2,ssp245,2080,138.66034060
ACCESS-CM2,ssp245,2081,86.96168181
