model,experiment,year,pr
ACCESS-CM2,historical,1960,230.70755231
ACCESS-CM2,historical,1961,142.78041713
ACCESS-CM2,historical,1962,76.74591292
ACCESS-CM2,historical,1963,135.41393374
ACCESS-CM2,historical,1964,117.48840609
ACCESS-CM2,historical,1965,232.05940924
ACCESS-CM2,historical,1966,193.95949063
ACCESS-CM2,historical,1967,214.88199338
ACCESS-CM2,historical,1968,159.60817620
ACCESS-CM2,historical,1969,218.55866240
ACCESS-CM2,historical,1970,175.77152422
ACCESS-CM2,historical,1971,169.53201565
ACCESS-CM2,historical,1972,117.40502979
ACCESS-CM2,historical,1973,223.23014566
ACCESS-CM2,historical,1974,78.99670373
ACCESS-CM2,historical,1975,315.95091862
ACCESS-CM2,historical,1976,91.80764693
ACCESS-CM2,historical,1977,62.46153356
ACCESS-CM2,historical,1978,117.16977643
ACCESS-CM2,historical,1979,135.08559289
ACCESS-CM2,historical,1980,68.78145405
ACCESS-CM2,historical,1981,102.90303497
ACCESS-CM2,historical,1982,66.13018323
ACCESS-CM2,historical,1983,222.17890902
ACCESS-CM2,historical,1984,98.63814397
ACCESS-CM2,historical,1985,76.14458623
ACCESS-CM2,historical,1986,262.69703187
ACCESS-CM2,historical,1987,229.40314702
ACCESS-CM2,historical,1988,115.27901958
ACCESS-CM2,historical,1989,87.74347154
ACCESS-CM2,historical,1990,300.40903479
ACCESS-CM2,historical,1991,57.75089517
ACCESS-CM2,historical,1992,140.34329871
ACCESS-CM2,historical,1993,109.01168971
ACCESS-CM2,historical,1994,117.23822574
ACCESS-CM2,historical,1995,90.89707663
ACCESS-CM2,historical,1996,75.01260385
ACCESS-CM2,historical,1997,149.07826424
ACCESS-CM2,historical,1998,95.21482547
ACCESS-CM2,historical,1999,75.75040232
ACCESS-CM2,historical,2000,271.52923012
ACCESS-CM2,historical,2001,269.41823828
ACCESS-CM2,historical,2002,117.08132865
ACCESS-CM2,historical,2003,398.93604245
ACCESS-CM2,historical,2004,65.38536459
ACCESS-CM2,historical,2005,245.68795553
ACCESS-CM2,historical,2006,167.65670979
ACCESS-CM2,historical,2007,184.05382397
ACCESS-CM2,historical,2008,125.07778062
ACCESS-CM2,historical,2009,186.89512152
ACCESS-CM2,historical,2010,30.84722598
ACCESS-CM2,historical,2011,293.36648054
ACCESS-CM2,historical,2012,169.93083669
ACCESS-CM2,historical,2013,66.71361257
ACCESS-CM2,historical,2014,140.87764900
ACCESS-CM2,ssp126,2015,187.68601007
ACCESS-CM2,ssp126,2016,174.01622677
ACCESS-CM2,ssp126,2017,162.25620527
ACCESS-CM2,ssp126,2018,57.89698463
ACCESS-CM2,ssp126,2019,168.67284068
ACCESS-CM2,ssp126,2020,270.20093616
ACCESS-CM2,ssp126,2021,126.47038224
ACCESS-CM2,ssp126,2022,256.68934665
ACCESS-CM2,ssp126,2023,110.64307722
ACCESS-CM2,ssp126,2024,112.17835288
ACCESS-CM2,ssp126,2025,107.29968905
ACCESS-CM2,ssp126,2026,187.99712009
ACCESS-CM2,ssp126,2027,125.64130266
ACCESS-CM2,ssp126,2028,272.40801390
ACCESS-CM2,ssp126,2029,128.43530057
ACCESS-CM2,ssp126,2030,122.19039214
ACCESS-CM2,ssp126,2031,173.21420988
ACCESS-CM2,ssp126,2032,162.90907039
ACCESS-CM2,ssp126,2033,144.88387381
ACCESS-CM2,ssp126,2034,220.19564187
ACCESS-CM2,ssp126,2035,142.33913391
