model,experiment,year,pr
ACCESS-CM2,historical,1960,79.87677755
ACCESS-CM2,historical,1961,165.68564807
ACCESS-CM2,historical,1962,167.31368626
ACCESS-CM2,historical,1963,172.38187768
ACCESS-CM2,historical,1964,100.13067947
ACCESS-CM2,historical,1965,128.93276051
ACCESS-CM2,historical,1966,95.22632676
ACCESS-CM2,historical,1967,162.30948869
ACCESS-CM2,historical,1968,93.26473799
ACCESS-CM2,historical,1969,92.29470300
ACCESS-CM2,historical,1970,151.34670773
ACCESS-CM2,historical,1971,97.46055538
ACCESS-CM2,historical,1972,70.17196410
ACCESS-CM2,historical,1973,127.88319208
ACCESS-CM2,historical,1974,144.81850872
ACCESS-CM2,historical,1975,48.41547670
ACCESS-CM2,historical,1976,88.54541497
ACCESS-CM2,historical,1977,101.77110356
ACCESS-CM2,historical,1978,99.94655749
ACCESS-CM2,historical,1979,97.84693630
ACCESS-CM2,historical,1980,172.04331426
ACCESS-CM2,historical,1981,114.70601983
ACCESS-CM2,historical,1982,173.76960048
ACCESS-CM2,historical,1983,89.35369838
ACCESS-CM2,historical,1984,105.19534559
ACCESS-CM2,historical,1985,108.87796962
ACCESS-CM2,historical,1986,166.33576144
ACCESS-CM2,historical,1987,135.37068202
ACCESS-CM2,historical,1988,150.08748453
ACCESS-CM2,historical,1989,183.86444180
ACCESS-CM2,historical,1990,71.81975139
ACCESS-CM2,historical,1991,99.80052476
ACCESS-CM2,historical,1992,118.06439225
ACCESS-CM2,historical,1993,109.23089002
ACCESS-CM2,historical,1994,108.80840738
ACCESS-CM2,historical,1995,124.70858674
ACCESS-CM2,historical,1996,103.41350672
ACCESS-CM2,historical,1997,132.21816794
ACCESS-CM2,historical,1998,66.40089043
ACCESS-CM2,historical,1999,188.65366657
ACCESS-CM2,historical,2000,103.77507129
ACCESS-CM2,historical,2001,129.05103342
ACCESS-CM2,historical,2002,57.61377914
ACCESS-CM2,historical,2003,65.72880478
ACCESS-CM2,historical,2004,191.73044662
ACCESS-CM2,historical,2005,86.34196622
ACCESS-CM2,historical,2006,125.03478974
ACCESS-CM2,historical,2007,109.97900415
ACCESS-CM2,historical,2008,135.66889963
ACCESS-CM2,historical,2009,101.83762783
ACCESS-CM2,historical,2010,128.38936469
ACCESS-CM2,historical,2011,68.28010330
ACCESS-CM2,historical,2012,183.02169604
ACCESS-CM2,historical,2013,144.03867804
ACCESS-CM2,historical,2014,118.01794965
ACCESS-CM2,ssp126,2015,197.57229863
ACCESS-CM2,ssp126,2016,150.91972128
ACCESS-CM2,ssp126,2017,176.56875323
ACCESS-CM2,ssp126,2018,103.04872283
ACCESS-CM2,ssp126,2019,97.12310035
ACCESS-CM2,ssp126,2020,139.11377722
ACCESS-CM2,ssp126,2021,97.01874802
ACCESS-CM2,ssp126,2022,118.28150211
ACCESS-CM2,ssp126,2023,162.98314035
ACCESS-CM2,ssp126,2024,105.56458662
ACCESS-CM2,ssp126,2025,133.11922386
ACCESS-CM2,ssp126,2026,79.64681996
ACCESS-CM2,ssp126,2027,80.90067817
ACCESS-CM2,ssp126,2028,81.81781911
ACCESS-CM2,ssp126,2029,196.31651494
ACCESS-CM2,ssp126,2030,80.53147728
ACCESS-CM2,ssp126,2031,165.26821178
ACCESS-CM2,ssp126,2032,124.55296035
ACCESS-CM2,ssp126,2033,141.95249967
ACCESS-CM2,ssp126,2034,105.44383599
ACCESS-CM2,ssp126,2035,111.26777859
ACCESS-CM2,ssp126,2036,115.34863047
ACCESS-CM2,ssp126,2037,122.82016109
ACCESS-CM2,ssp126,2038,90.73014389
ACCESS-CM2,ssp126,2039,128.89393837
ACCESS-CM2,ssp126,2040,102.58790328
ACCESS-CM2,ssp126,2041,101.67064229
ACCESS-CM2,ssp126,2042,129.49626920
ACCESS-CM2,ssp126,2043,174.94779009
ACCESS-CM2,ssp126,2044,131.91280412
ACCESS-CM2,ssp126,2045,90.37432914
ACCESS-CM2,ssp126,2046,117.16111627
ACCESS-CM2,ssp126,2047,165.95200383
ACCESS-CM2,ssp126,2048,117.42161868
ACCESS-CM2,ssp126,2049,83.99405814
ACCESS-CM2,ssp126,2050,146.38258771
ACCESS-CM2,ssp126,2051,101.17935781
ACCESS-CM2,ssp126,2052,58.62860868
ACCESS-CM2,ssp126,2053,76.38271573
ACCESS-CM2,ssp126,2054,81.03705086
ACCESS-CM2,ssp126,2055,116.24251196
ACCESS-CM2,ssp126,2056,48.30072224
ACCESS-CM2,ssp126,2057,64.23069637
ACCESS-CM2,ssp126,2058,139.82452949
ACCESS-CM2,ssp126,2059,108.38650184
ACCESS-CM2,ssp126,2060,105.97985793
ACCESS-CM2,ssp126,2061,112.79730802
ACCESS-CM2,ssp126,2062,136.65856638
ACCESS-CM2,ssp126,2063,137.61695546
ACCESS-CM2,ssp126,2064,72.34578627
ACCESS-CM2,ssp126,2065,93.10764765
ACCESS-CM2,ssp126,2066,132.81122187
ACCESS-CM2,ssp126,2067,77.13718520
ACCESS-CM2,ssp126,2068,115.90396147
ACCESS-CM2,ssp126,2069,142.32983350
ACCESS-CM2,ssp126,2070,114.23895387
ACCESS-CM2,ssp126,2071,119.98618941
ACCESS-CM2,ssp126,2072,110.75079494
ACCESS-CM2,ssp126,2073,205.08209720
ACCESS-CM2,ssp126,2074,54.63792115
ACCESS-CM2,ssp126,2075,119.66233550
ACCESS-CM2,ssp126,2076,182.45190371
ACCESS-CM2,ssp126,2077,135.01312718
ACCESS-CM2,ssp126,2078,90.93792065
ACCESS-CM2,ssp126,2079,99.56318408
ACCESS-CM2,ssp126,2080,189.86890085
ACCESS-CM2,ssp126,2081,68.23436323
ACCESS-CM2,ssp126,2082,181.31165886
ACCESS-CM2,ssp126,2083,130.15330731
ACCESS-CM2,ssp126,2084,98.78082503
ACCESS-CM2,ssp126,2085,100.07771408
ACCESS-CM2,ssp126,2086,122.19606551
ACCESS-CM2,ssp126,2087,62.41826513
ACCESS-CM2,ssp126,2088,79.02152765
ACCESS-CM2,ssp126,2089,133.26170913
ACCESS-CM2,ssp126,2090,90.25077791
ACCESS-CM2,ssp126,2091,97.99928539
ACCESS-CM2,ssp126,2092,121.91970098
ACCESS-CM2,ssp126,2093,131.99287703
ACCESS-CM2,ssp126,2094,128.21843065
ACCESS-CM2,ssp126,2095,100.82683387
ACCESS-CM2,ssp126,2096,178.64546559
ACCESS-CM2,ssp126,2097,46.00007657
ACCESS-CM2,ssp126,2098,173.24247388
ACCESS-CM2,ssp126,2099,135.08706969
ACCESS-CM2,ssp245,2015,101.99009623
ACCESS-CM2,ssp245,2016,111.57354976
ACCESS-CM2,ssp245,2017,63.95017600
ACCESS-CM2,ssp245,2018,175.26120021
ACCESS-CM2,ssp245,2019,106.78508056
ACCESS-CM2,ssp245,2020,118.25799162
ACCESS-CM2,ssp245,2021,159.70958065
ACCESS-CM2,ssp245,2022,147.39375498
ACCESS-CM2,ssp245,2023,122.88577148
ACCESS-CM2,ssp245,2024,111.94829675
ACCESS-CM2,ssp245,2025,245.03537397
ACCESS-CM2,ssp245,2026,104.98228405
ACCESS-CM2,ssp245,2027,105.71877155
ACCESS-CM2,ssp245,2028,189.59836754
ACCESS-CM2,ssp245,2029,117.31558055
ACCESS-CM2,ssp245,2030,137.28863217
ACCESS-CM2,ssp245,2031,95.55011315
ACCESS-CM2,ssp245,2032,163.58300800
ACCESS-CM2,ssp245,2033,137.00470059
ACCESS-CM2,ssp245,2034,101.45915408
ACCESS-CM2,ssp245,2035,133.86168549
ACCESS-CM2,ssp245,2036,123.24731734
ACCESS-CM2,ssp245,2037,104.69101238
ACCESS-CM2,ssp245,2038,115.44107819
ACCESS-CM2,ssp245,2039,124.47887484
ACCESS-CM2,ssp245,2040,190.96235245
ACCESS-CM2,ssp245,2041,69.01116001
ACCESS-CM2,ssp245,2042,98.26489888
ACCESS-CM2,ssp245,2043,133.87651570
ACCESS-CM2,ssp245,2044,123.52775554
ACCESS-CM2,ssp245,2045,151.90731325
ACCESS-CM2,ssp245,2046,93.25896660
ACCESS-CM2,ssp245,2047,160.47107939
ACCESS-CM2,ssp245,2048,197.37698051
ACCESS-CM2,ssp245,2049,210.84892532
ACCESS-CM2,ssp245,2050,164.10483356
ACCESS-CM2,ssp245,2051,64.64094570
ACCESS-CM2,ssp245,2052,91.88620046
ACCESS-CM2,ssp245,2053,189.68776447
ACCESS-CM2,ssp245,2054,84.59228875
ACCESS-CM2,ssp245,2055,140.54901537
ACCESS-CM2,ssp245,2056,124.79498631
ACCESS-CM2,ssp245,2057,110.67727903
ACCESS-CM2,ssp245,2058,108.28750443
ACCESS-CM2,ssp245,2059,172.82321760
ACCESS-CM2,ssp245,2060,85.53612561
ACCESS-CM2,ssp245,2061,171.29261767
ACCESS-CM2,ssp245,2062,112.95122242
ACCESS-CM2,ssp245,2063,110.66865541
ACCESS-CM2,ssp245,2064,95.05941172
ACCESS-CM2,ssp245,2065,85.06145991
ACCESS-CM2,ssp245,2066,78.76787647
ACCESS-CM2,ssp245,2067,142.64367539
ACCESS-CM2,ssp245,2068,117.50286826
ACCESS-CM2,ssp245,2069,168.75411231
ACCESS-CM2,ssp245,2070,124.84734344
ACCESS-CM2,ssp245,2071,236.03149504
ACCESS-CM2,ssp245,2072,132.89347265
ACCESS-CM2,ssp245,2073,295.53095076
ACCESS-CM2,ssp245,2074,91.68014288
ACCESS-CM2,ssp245,2075,134.21506590
ACCESS-CM2,ssp245,2076,55.47289174
ACCESS-CM2,ssp245,2077,105.41351329
ACCESS-CM2,ssp245,2078,185.19495645
