model,experiment,year,pr
ACCESS-CM2,historical,1960,73.61299100
ACCESS-CM2,historical,1961,71.94299902
ACCESS-CM2,historical,1962,92.35103038
ACCESS-CM2,historical,1963,106.65368148
ACCESS-CM2,historical,1964,81.74630064
ACCESS-CM2,historical,1965,87.32049735
ACCESS-CM2,historical,1966,102.29332665
ACCESS-CM2,historical,1967,133.73838140
ACCESS-CM2,historical,1968,80.79500484
ACCESS-CM2,historical,1969,69.94903323
ACCESS-CM2,historical,1970,102.95699049
ACCESS-CM2,historical,1971,99.18539165
ACCESS-CM2,historical,1972,81.43516885
ACCESS-CM2,historical,1973,120.37635609
ACCESS-CM2,historical,1974,106.21128794
ACCESS-CM2,historical,1975,53.37668897
ACCESS-CM2,historical,1976,49.37830622
ACCESS-CM2,historical,1977,90.30862362
ACCESS-CM2,historical,1978,100.87863982
ACCESS-CM2,historical,1979,58.01170976
ACCESS-CM2,historical,1980,101.85866987
ACCESS-CM2,historical,1981,76.44986318
ACCESS-CM2,historical,1982,101.53254180
ACCESS-CM2,historical,1983,67.52735652
ACCESS-CM2,historical,1984,82.48562105
ACCESS-CM2,historical,1985,103.71018041
ACCESS-CM2,historical,1986,98.53535972
ACCESS-CM2,historical,1987,61.74383265
ACCESS-CM2,historical,1988,95.61277835
ACCESS-CM2,historical,1989,204.34092111
ACCESS-CM2,historical,1990,61.14999192
ACCESS-CM2,historical,1991,104.88029043
ACCESS-CM2,historical,1992,144.27395553
ACCESS-CM2,historical,1993,117.73518432
ACCESS-CM2,historical,1994,82.64341653
ACCESS-CM2,historical,1995,126.52359151
ACCESS-CM2,historical,1996,85.91305225
ACCESS-CM2,historical,1997,107.53728585
ACCESS-CM2,historical,1998,43.90381443
ACCESS-CM2,historical,1999,169.43243198
ACCESS-CM2,historical,2000,88.97137516
ACCESS-CM2,historical,2001,155.48264551
ACCESS-CM2,historical,2002,77.33789509
ACCESS-CM2,historical,2003,35.33968704
ACCESS-CM2,historical,2004,110.28707107
ACCESS-CM2,historical,2005,89.82934553
ACCESS-CM2,historical,2006,110.38795270
ACCESS-CM2,historical,2007,66.89301286
ACCESS-CM2,historical,2008,121.83382424
ACCESS-CM2,historical,2009,45.20202247
ACCESS-CM2,historical,2010,108.80497531
ACCESS-CM2,historical,2011,67.24225414
ACCESS-CM2,historical,2012,140.84155347
ACCESS-CM2,historical,2013,136.08284969
ACCESS-CM2,historical,2014,89.26935683
ACCESS-CM2,ssp126,2015,164.90973001
ACCESS-CM2,ssp126,2016,102.15710608
ACCESS-CM2,ssp126,2017,178.65076176
ACCESS-CM2,ssp126,2018,64.72596063
ACCESS-CM2,ssp126,2019,69.28597468
