model,experiment,year,pr
ACCESS-CM2,historical,1960,453.60476188
ACCESS-CM2,historical,1961,431.17908549
ACCESS-CM2,historical,1962,590.09534806
ACCESS-CM2,historical,1963,509.58238980
ACCESS-CM2,historical,1964,363.88541199
ACCESS-CM2,historical,1965,397.96758160
ACCESS-CM2,historical,1966,481.54095690
ACCESS-CM2,historical,1967,420.22943702
ACCESS-CM2,historical,1968,451.57353719
ACCESS-CM2,historical,1969,362.40850216
ACCESS-CM2,historical,1970,598.47117030
ACCESS-CM2,historical,1971,459.25733868
ACCESS-CM2,historical,1972,328.98918272
ACCESS-CM2,historical,1973,415.78816721
ACCESS-CM2,historical,1974,436.60570035
ACCESS-CM2,historical,1975,221.92064615
ACCESS-CM2,historical,1976,261.53814435
ACCESS-CM2,historical,1977,320.02936124
ACCESS-CM2,historical,1978,427.54794843
ACCESS-CM2,historical,1979,185.50546627
ACCESS-CM2,historical,1980,452.30008953
ACCESS-CM2,historical,1981,416.95888782
ACCESS-CM2,historical,1982,432.11886297
ACCESS-CM2,historical,1983,422.25998102
ACCESS-CM2,historical,1984,431.64052841
ACCESS-CM2,historical,1985,404.25312619
ACCESS-CM2,historical,1986,385.97921662
ACCESS-CM2,historical,1987,202.65271592
ACCESS-CM2,historical,1988,487.02595466
ACCESS-CM2,historical,1989,650.13583484
ACCESS-CM2,historical,1990,264.90104981
ACCESS-CM2,historical,1991,387.10763030
ACCESS-CM2,historical,1992,466.10859388
ACCESS-CM2,historical,1993,527.86135805
ACCESS-CM2,historical,1994,450.67081902
ACCESS-CM2,historical,1995,411.44060900
ACCESS-CM2,historical,1996,411.45596728
ACCESS-CM2,historical,1997,394.40170902
ACCESS-CM2,historical,1998,298.21710064
ACCESS-CM2,historical,1999,792.76404991
ACCESS-CM2,historical,2000,559.05775885
ACCESS-CM2,historical,2001,589.46968620
ACCESS-CM2,historical,2002,338.93220031
ACCESS-CM2,historical,2003,215.84834274
ACCESS-CM2,historical,2004,603.21603470
ACCESS-CM2,historical,2005,418.62100765
ACCESS-CM2,historical,2006,577.74690480
ACCESS-CM2,historical,2007,327.91929580
ACCESS-CM2,historical,2008,585.47419847
ACCESS-CM2,historical,2009,225.89491768
ACCESS-CM2,historical,2010,529.01771914
ACCESS-CM2,historical,2011,316.02437579
ACCESS-CM2,historical,2012,471.83850605
ACCESS-CM2,historical,2013,550.11871141
ACCESS-CM2,historical,2014,577.52849538
ACCESS-CM2,ssp126,2015,829.07480794
ACCESS-CM2,ssp126,2016,532.13929046
ACCESS-CM2,ssp126,2017,558.88926231
ACCESS-CM2,ssp126,2018,365.22199517
ACCESS-CM2,ssp126,2019,458.39685158
ACCESS-CM2,ssp126,2020,615.27100783
ACCESS-CM2,ssp126,2021,417.44168524
ACCESS-CM2,ssp126,2022,501.41006792
ACCESS-CM2,ssp126,2023,457.52986317
ACCESS-CM2,ssp126,2024,364.69699471
ACCESS-CM2,ssp126,2025,589.06527684
ACCESS-CM2,ssp126,2026,266.22694602
ACCESS-CM2,ssp126,2027,376.80015859
ACCESS-CM2,ssp126,2028,280.71487527
ACCESS-CM2,ssp126,2029,666.50087622
ACCESS-CM2,ssp126,2030,301.42215882
ACCESS-CM2,ssp126,2031,569.71883349
ACCESS-CM2,ssp126,2032,316.74382116
ACCESS-CM2,ssp126,2033,337.57428117
ACCESS-CM2,ssp126,2034,547.26553207
ACCESS-CM2,ssp126,2035,285.88445625
ACCESS-CM2,ssp126,2036,364.62448614
ACCESS-CM2,ssp126,2037,508.71068164
ACCESS-CM2,ssp126,2038,531.19200202
ACCESS-CM2,ssp126,2039,367.17289354
ACCESS-CM2,ssp126,2040,312.73761552
ACCESS-CM2,ssp126,2041,257.07217549
ACCESS-CM2,ssp126,2042,330.27401163
ACCESS-CM2,ssp126,2043,407.72660450
ACCESS-CM2,ssp126,2044,591.66546653
ACCESS-CM2,ssp126,2045,384.23546519
ACCESS-CM2,ssp126,2046,386.88740370
ACCESS-CM2,ssp126,2047,640.33842088
ACCESS-CM2,ssp126,2048,469.57635141
ACCESS-CM2,ssp126,2049,414.29795843
ACCESS-CM2,ssp126,2050,823.33058835
ACCESS-CM2,ssp126,2051,475.96211012
ACCESS-CM2,ssp126,2052,329.50596481
ACCESS-CM2,ssp126,2053,497.14128574
ACCESS-CM2,ssp126,2054,338.90280802
ACCESS-CM2,ssp126,2055,510.90004366
ACCESS-CM2,ssp126,2056,198.82008893
ACCESS-CM2,ssp126,2057,336.81735339
ACCESS-CM2,ssp126,2058,356.76756729
ACCESS-CM2,ssp126,2059,434.70306284
ACCESS-CM2,ssp126,2060,282.90832494
ACCESS-CM2,ssp126,2061,478.41934701
ACCESS-CM2,ssp126,2062,489.55345622
ACCESS-CM2,ssp126,2063,500.03770493
ACCESS-CM2,ssp126,2064,266.69473194
ACCESS-CM2,ssp126,2065,437.11909822
ACCESS-CM2,ssp126,2066,151.03567822
ACCESS-CM2,ssp126,2067,441.14661168
ACCESS-CM2,ssp126,2068,518.94538208
ACCESS-CM2,ssp126,2069,366.54441561
ACCESS-CM2,ssp126,2070,515.32703861
ACCESS-CM2,ssp126,2071,478.31374741
ACCESS-CM2,ssp126,2072,418.55079102
ACCESS-CM2,ssp126,2073,678.68369481
ACCESS-CM2,ssp126,2074,266.49588512
ACCESS-CM2,ssp126,2075,605.87689877
ACCESS-CM2,ssp126,2076,418.24212364
ACCESS-CM2,ssp126,2077,337.40585993
ACCESS-CM2,ssp126,2078,429.92753717
ACCESS-CM2,ssp126,2079,376.50484445
ACCESS-CM2,ssp126,2080,656.52754089
ACCESS-CM2,ssp126,2081,292.59345615
ACCESS-CM2,ssp126,2082,505.54519982
ACCESS-CM2,ssp126,2083,361.52044773
ACCESS-CM2,ssp126,2084,476.53197363
ACCESS-CM2,ssp126,2085,238.14299738
ACCESS-CM2,ssp126,2086,456.72198606
ACCESS-CM2,ssp126,2087,80.56995074
ACCESS-CM2,ssp126,2088,422.38287867
ACCESS-CM2,ssp126,2089,524.28588292
ACCESS-CM2,ssp126,2090,294.41339840
ACCESS-CM2,ssp126,2091,477.46649754
ACCESS-CM2,ssp126,2092,237.21926570
ACCESS-CM2,ssp126,2093,265.37193656
ACCESS-CM2,ssp126,2094,695.93755260
ACCESS-CM2,ssp126,2095,448.56216784
ACCESS-CM2,ssp126,2096,947.76466062
ACCESS-CM2,ssp126,2097,342.04459676
ACCESS-CM2,ssp126,2098,667.24317830
ACCESS-CM2,ssp126,2099,443.47531603
ACCESS-CM2,ssp245,2015,491.54517068
ACCESS-CM2,ssp245,2016,337.75578623
ACCESS-CM2,ssp245,2017,236.03045959
ACCESS-CM2,ssp245,2018,708.65650281
ACCESS-CM2,ssp245,2019,588.27819795
ACCESS-CM2,ssp245,2020,357.13613004
ACCESS-CM2,ssp245,2021,601.42329238
ACCESS-CM2,ssp245,2022,275.29093762
ACCESS-CM2,ssp245,2023,562.72508574
ACCESS-CM2,ssp245,2024,280.70105936
ACCESS-CM2,ssp245,2025,844.28072293
ACCESS-CM2,ssp245,2026,493.11863703
ACCESS-CM2,ssp245,2027,575.31561797
ACCESS-CM2,ssp245,2028,674.43336195
ACCESS-CM2,ssp245,2029,651.23905651
ACCESS-CM2,ssp245,2030,120.23924898
ACCESS-CM2,ssp245,2031,307.21767882
ACCESS-CM2,ssp245,2032,562.98685085
ACCESS-CM2,ssp245,2033,338.80421271
ACCESS-CM2,ssp245,2034,366.96984638
ACCESS-CM2,ssp245,2035,644.83073098
ACCESS-CM2,ssp245,2036,645.62838044
ACCESS-CM2,ssp245,2037,331.36875508
ACCESS-CM2,ssp245,2038,424.70118716
ACCESS-CM2,ssp245,2039,615.24391317
ACCESS-CM2,ssp245,2040,514.39418202
ACCESS-CM2,ssp245,2041,402.28622475
ACCESS-CM2,ssp245,2042,456.96874406
ACCESS-CM2,ssp245,2043,411.72363181
ACCESS-CM2,ssp245,2044,571.72106551
ACCESS-CM2,ssp245,2045,557.68858059
ACCESS-CM2,ssp245,2046,329.95195479
ACCESS-CM2,ssp245,2047,606.30863652
ACCESS-CM2,ssp245,2048,445.48457051
ACCESS-CM2,ssp245,2049,918.93852404
ACCESS-CM2,ssp245,2050,293.53890519
ACCESS-CM2,ssp245,2051,373.97098656
ACCESS-CM2,ssp245,2052,453.87383646
ACCESS-CM2,ssp245,2053,210.84495693
ACCESS-CM2,ssp245,2054,383.76616766
ACCESS-CM2,ssp245,2055,424.54805700
ACCESS-CM2,ssp245,2056,411.50768905
ACCESS-CM2,ssp245,2057,506.33449079
ACCESS-CM2,ssp245,2058,491.58858725
ACCESS-CM2,ssp245,2059,702.79900362
ACCESS-CM2,ssp245,2060,426.97800771
ACCESS-CM2,ssp245,2061,718.58528012
ACCESS-CM2,ssp245,2062,507.21170263
ACCESS-CM2,ssp245,2063,364.27644413
ACCESS-CM2,ssp245,2064,488.49573824
ACCESS-CM2,ssp245,2065,395.45989299
ACCESS-CM2,ssp245,2066,376.26527905
ACCESS-CM2,ssp245,2067,509.25959402
ACCESS-CM2,ssp245,2068,378.56600054
ACCESS-CM2,ssp245,2069,561.12093148
ACCESS-CM2,ssp245,2070,265.86038023
ACCESS-CM2,ssp245,2071,417.28171434
ACCESS-CM2,ssp245,2072,569.54008653
ACCESS-CM2,ssp245,2073,708.18683912
ACCESS-CM2,ssp245,2074,251.12776584
ACCESS-CM2,ssp245,2075,649.62711439
ACCESS-CM2,ssp245,2076,300.39316193
ACCESS-CM2,ssp245,2077,526.83691951
ACCESS-CM2,ssp245,2078,661.82712295
ACCESS-CM2,ssp245,2079,351.70060028
ACCESS-CM2,ssp245,2080,403.16934258
ACCESS-CM2,ssp245,2081,262.78920193
ACCESS-CM2,ssp245,2082,470.72837854
ACCESS-CM2,ssp245,2083,457.76060387
ACCESS-CM2,ssp245,2084,749.98750141
ACCESS-CM2,ssp245,2085,490.25266599
ACCESS-CM2,ssp245,2086,803.04095899
ACCESS-CM2,ssp245,2087,478.26889763
ACCESS-CM2,ssp245,2088,298.96739774
ACCESS-CM2,ssp245,2089,270.05168731
ACCESS-CM2,ssp245,2090,569.32942301
ACCESS-CM2,ssp245,2091,385.30684257
ACCESS-CM2,ssp245,2092,598.51919136
ACCESS-CM2,ssp245,2093,218.89943923
ACCESS-CM2,ssp245,2094,220.02557141
ACCESS-CM2,ssp245,2095,485.81810966
ACCESS-CM2,ssp245,2096,553.55476757
ACCESS-CM2,ssp245,2097,450.71777241
ACCESS-CM2,ssp245,2098,401.44794165
ACCESS-CM2,ssp245,2099,311.40481261
ACCESS-CM2,ssp370,2015,792.25801823
ACCESS-CM2,ssp370,2016,438.19290665
ACCESS-CM2,ssp370,2017,565.31332325
ACCESS-CM2,ssp370,2018,544.86756632
ACCESS-CM2,ssp370,2019,409.30055413
ACCESS-CM2,ssp370,2020,331.59164037
ACCESS-CM2,ssp370,2021,786.56676106
ACCESS-CM2,ssp370,2022,430.39639889
ACCESS-CM2,ssp370,2023,489.97668559
ACCESS-CM2,ssp370,2024,269.82736899
ACCESS-CM2,ssp370,2025,668.93602734
ACCESS-CM2,ssp370,2026,503.13970745
ACCESS-CM2,ssp370,2027,412.40739326
ACCESS-CM2,ssp370,2028,415.45926103
ACCESS-CM2,ssp370,2029,187.29038783
ACCESS-CM2,ssp370,2030,421.07557147
ACCESS-CM2,ssp370,2031,441.27690708
ACCESS-CM2,ssp370,2032,491.92335846
ACCESS-CM2,ssp370,2033,770.16762480
ACCESS-CM2,ssp370,2034,249.46503673
ACCESS-CM2,ssp370,2035,269.11756523
ACCESS-CM2,ssp370,2036,237.28209010
ACCESS-CM2,ssp370,2037,310.19167276
ACCESS-CM2,ssp370,2038,367.89769131
ACCESS-CM2,ssp370,2039,526.51109989
ACCESS-CM2,ssp370,2040,858.22027332
ACCESS-CM2,ssp370,2041,527.76500406
ACCESS-CM2,ssp370,2042,590.63784384
ACCESS-CM2,ssp370,2043,264.53020267
ACCESS-CM2,ssp370,2044,575.50350424
ACCESS-CM2,ssp370,2045,468.60806466
ACCESS-CM2,ssp370,2046,202.33681322
ACCESS-CM2,ssp370,2047,228.93491235
ACCESS-CM2,ssp370,2048,562.87847175
ACCESS-CM2,ssp370,2049,439.02732294
ACCESS-CM2,ssp370,2050,516.08038549
ACCESS-CM2,ssp370,2051,407.51834616
ACCESS-CM2,ssp370,2052,328.59578105
ACCESS-CM2,ssp370,2053,228.22443765
ACCESS-CM2,ssp370,2054,660.42968444
ACCESS-CM2,ssp370,2055,501.32278019
ACCESS-CM2,ssp370,2056,617.62156119
ACCESS-CM2,ssp370,2057,534.87458751
ACCESS-CM2,ssp370,2058,322.70003685
ACCESS-CM2,ssp370,2059,241.63496281
ACCESS-CM2,ssp370,2060,483.47442030
ACCESS-CM2,ssp370,2061,659.73027471
ACCESS-CM2,ssp370,2062,427.16293206
ACCESS-CM2,ssp370,2063,419.53590090
ACCESS-CM2,ssp370,2064,218.78648293
ACCESS-CM2,ssp370,2065,535.90452293
ACCESS-CM2,ssp370,2066,621.19733912
ACCESS-CM2,ssp370,2067,207.63550767
ACCESS-CM2,ssp370,2068,278.62892769
ACCESS-CM2,ssp370,2069,466.68503427
ACCESS-CM2,ssp370,2070,469.45459226
ACCESS-CM2,ssp370,2071,543.99988733
ACCESS-CM2,ssp370,2072,513.97595731
ACCESS-CM2,ssp370,2073,660.23572836
ACCESS-CM2,ssp370,2074,410.89264391
ACCESS-CM2,ssp370,2075,347.59461288
ACCESS-CM2,ssp370,2076,317.68947878
ACCESS-CM2,ssp370,2077,336.06205490
ACCESS-CM2,ssp370,2078,415.27985305
ACCESS-CM2,ssp370,2079,357.61418447
ACCESS-CM2,ssp370,2080,596.26525190
ACCESS-CM2,ssp370,2081,353.43556435
ACCESS-CM2,ssp370,2082,557.35443214
ACCESS-CM2,ssp370,2083,462.48748784
ACCESS-CM2,ssp370,2084,561.79986043
ACCESS-CM2,ssp370,2085,813.43468344
ACCESS-CM2,ssp370,2086,565.90966282
ACCESS-CM2,ssp370,2087,285.70645222
ACCESS-CM2,ssp370,2088,458.08213756
ACCESS-CM2,ssp370,2089,514.43888637
ACCESS-CM2,ssp370,2090,511.11648746
ACCESS-CM2,ssp370,2091,578.00928734
ACCESS-CM2,ssp370,2092,373.87279979
ACCESS-CM2,ssp370,2093,373.15983147
ACCESS-CM2,ssp370,2094,514.89213723
ACCESS-CM2,ssp370,2095,800.43223445
ACCESS-CM2,ssp370,2096,295.94456071
ACCESS-CM2,ssp370,2097,259.66459805
ACCESS-CM2,ssp370,2098,458.34861812
ACCESS-CM2,ssp370,2099,656.68921422
ACCESS-CM2,ssp585,2015,453.85737164
ACCESS-CM2,ssp585,2016,202.81697359
ACCESS-CM2,ssp585,2017,538.71630425
ACCESS-CM2,ssp585,2018,589.37845146
ACCESS-CM2,ssp585,2019,561.63943412
ACCESS-CM2,ssp585,2020,919.86783417
ACCESS-CM2,ssp585,2021,319.05528595
ACCESS-CM2,ssp585,2022,779.38787569
ACCESS-CM2,ssp585,2023,312.16752596
ACCESS-CM2,ssp585,2024,672.33179381
ACCESS-CM2,ssp585,2025,475.35401722
ACCESS-CM2,ssp585,2026,558.63308895
ACCESS-CM2,ssp585,2027,406.48426700
ACCESS-CM2,ssp585,2028,217.45277888
ACCESS-CM2,ssp585,2029,884.68013550
ACCESS-CM2,ssp585,2030,389.74849276
ACCESS-CM2,ssp585,2031,692.08399577
ACCESS-CM2,ssp585,2032,603.84144174
ACCESS-CM2,ssp585,2033,407.01126857
ACCESS-CM2,ssp585,2034,593.21299284
ACCESS-CM2,ssp585,2035,541.67514532
ACCESS-CM2,ssp585,2036,352.58525517
ACCESS-CM2,ssp585,2037,405.67400739
ACCESS-CM2,ssp585,2038,545.57215225
ACCESS-CM2,ssp585,2039,443.57748215
ACCESS-CM2,ssp585,2040,357.87580259
ACCESS-CM2,ssp585,2041,477.98910786
ACCESS-CM2,ssp585,2042,338.91703341
ACCESS-CM2,ssp585,2043,290.04082562
ACCESS-CM2,ssp585,2044,518.20413927
ACCESS-CM2,ssp585,2045,475.23834510
ACCESS-CM2,ssp585,2046,287.50215065
ACCESS-CM2,ssp585,2047,233.06522188
ACCESS-CM2,ssp585,2048,276.89928182
ACCESS-CM2,ssp585,2049,543.50028178
ACCESS-CM2,ssp585,2050,504.92358537
ACCESS-CM2,ssp585,2051,591.92711077
ACCESS-CM2,ssp585,2052,259.94978749
ACCESS-CM2,ssp585,2053,556.73130250
ACCESS-CM2,ssp585,2054,340.32119950
ACCESS-CM2,ssp585,2055,685.13122171
ACCESS-CM2,ssp585,2056,577.55028968
ACCESS-CM2,ssp585,2057,613.20133583
ACCESS-CM2,ssp585,2058,673.00036987
ACCESS-CM2,ssp585,2059,385.23481654
ACCESS-CM2,ssp585,2060,364.21707805
ACCESS-CM2,ssp585,2061,547.26341659
ACCESS-CM2,ssp585,2062,602.49814060
ACCESS-CM2,ssp585,2063,185.16745545
ACCESS-CM2,ssp585,2064,440.43254150
ACCESS-CM2,ssp585,2065,497.13154604
ACCESS-CM2,ssp585,2066,361.44746393
ACCESS-CM2,ssp585,2067,612.15234448
ACCESS-CM2,ssp585,2068,246.59154647
ACCESS-CM2,ssp585,2069,447.06918910
ACCESS-CM2,ssp585,2070,680.72740953
ACCESS-CM2,ssp585,2071,475.42167246
ACCESS-CM2,ssp585,2072,725.16174601
ACCESS-CM2,ssp585,2073,599.90441905
