model,experiment,year,pr
ACCESS-CM2,historical,1960,65.71027618
ACCESS-CM2,historical,1961,136.46215857
ACCESS-CM2,historical,1962,128.72686188
ACCESS-CM2,historical,1963,127.35865503
ACCESS-CM2,historical,1964,117.03092459
ACCESS-CM2,historical,1965,141.93975861
ACCESS-CM2,historical,1966,86.28278955
ACCESS-CM2,historical,1967,44.86379388
ACCESS-CM2,historical,1968,109.22631535
ACCESS-CM2,historical,1969,58.38583874
ACCESS-CM2,historical,1970,40.91863986
ACCESS-CM2,historical,1971,90.95162077
ACCESS-CM2,historical,1972,133.27747099
ACCESS-CM2,historical,1973,48.71210701
ACCESS-CM2,historical,1974,38.18535013
ACCESS-CM2,historical,1975,92.05549693
ACCESS-CM2,historical,1976,93.88693033
ACCESS-CM2,historical,1977,45.63623533
ACCESS-CM2,historical,1978,129.36692362
ACCESS-CM2,historical,1979,44.44233254
ACCESS-CM2,historical,1980,212.86761879
ACCESS-CM2,historical,1981,63.53461689
ACCESS-CM2,historical,1982,36.92909804
ACCESS-CM2,historical,1983,150.70686726
ACCESS-CM2,historical,1984,116.69061097
ACCESS-CM2,historical,1985,141.56317247
ACCESS-CM2,historical,1986,133.52380362
ACCESS-CM2,historical,1987,40.77965968
ACCESS-CM2,historical,1988,27.44851147
ACCESS-CM2,historical,1989,94.01360502
ACCESS-CM2,historical,1990,43.50432027
ACCESS-CM2,historical,1991,84.86143411
ACCESS-CM2,historical,1992,35.66711240
ACCESS-CM2,historical,1993,76.46153816
ACCESS-CM2,historical,1994,62.23426987
ACCESS-CM2,historical,1995,79.92767434
ACCESS-CM2,historical,1996,61.58370906
ACCESS-CM2,historical,1997,95.77986451
ACCESS-CM2,historical,1998,130.06232837
ACCESS-CM2,historical,1999,154.05508632
ACCESS-CM2,historical,2000,93.15039986
ACCESS-CM2,historical,2001,55.86604180
ACCESS-CM2,historical,2002,149.52885491
ACCESS-CM2,historical,2003,46.24165751
ACCESS-CM2,historical,2004,104.66181045
ACCESS-CM2,historical,2005,83.14791033
ACCESS-CM2,historical,2006,76.56721614
ACCESS-CM2,historical,2007,37.71802844
ACCESS-CM2,historical,2008,126.15733552
ACCESS-CM2,historical,2009,26.81384264
ACCESS-CM2,historical,2010,75.82329744
ACCESS-CM2,historical,2011,114.01989968
ACCESS-CM2,historical,2012,79.67845073
ACCESS-CM2,historical,2013,116.36188446
ACCESS-CM2,historical,2014,69.09427168
ACCESS-CM2,ssp126,2015,147.54628997
ACCESS-CM2,ssp126,2016,85.31627842
ACCESS-CM2,ssp126,2017,71.83777249
ACCESS-CM2,ssp126,2018,124.00192818
ACCESS-CM2,ssp126,2019,142.11146267
