model,experiment,year,pr
ACCESS-CM2,historical,1960,136.25844037
ACCESS-CM2,historical,1961,122.92624443
ACCESS-CM2,historical,1962,174.33920475
ACCESS-CM2,historical,1963,89.84758209
ACCESS-CM2,historical,1964,87.87783052
ACCESS-CM2,historical,1965,120.87081696
ACCESS-CM2,historical,1966,100.97890079
ACCESS-CM2,historical,1967,39.37110157
ACCESS-CM2,historical,1968,117.45869242
ACCESS-CM2,historical,1969,100.91384996
ACCESS-CM2,historical,1970,95.49194189
ACCESS-CM2,historical,1971,64.57543480
ACCESS-CM2,historical,1972,163.88279351
ACCESS-CM2,historical,1973,89.39760982
ACCESS-CM2,historical,1974,75.03470553
ACCESS-CM2,historical,1975,70.96648434
ACCESS-CM2,historical,1976,162.87410765
ACCESS-CM2,historical,1977,93.05036083
ACCESS-CM2,historical,1978,190.86251269
ACCESS-CM2,historical,1979,114.22893360
ACCESS-CM2,historical,1980,147.41001402
ACCESS-CM2,historical,1981,107.88495639
ACCESS-CM2,historical,1982,113.51307082
ACCESS-CM2,historical,1983,83.71869711
ACCESS-CM2,historical,1984,170.36525085
ACCESS-CM2,historical,1985,146.68774355
ACCESS-CM2,historical,1986,105.91551367
ACCESS-CM2,historical,1987,85.44042063
ACCESS-CM2,historical,1988,94.69716501
ACCESS-CM2,historical,1989,107.72887111
ACCESS-CM2,historical,1990,114.63860787
ACCESS-CM2,historical,1991,156.70362946
ACCESS-CM2,historical,1992,73.87063390
ACCESS-CM2,historical,1993,136.89445954
ACCESS-CM2,historical,1994,133.39517257
ACCESS-CM2,historical,1995,96.18203727
ACCESS-CM2,historical,1996,82.27526198
ACCESS-CM2,historical,1997,123.69344124
ACCESS-CM2,historical,1998,163.50852044
ACCESS-CM2,historical,1999,144.43565208
ACCESS-CM2,historical,2000,123.55986245
ACCESS-CM2,historical,2001,85.22697141
ACCESS-CM2,historical,2002,78.05459969
ACCESS-CM2,historical,2003,99.05674776
ACCESS-CM2,historical,2004,118.99660252
ACCESS-CM2,historical,2005,70.67871755
ACCESS-CM2,historical,2006,80.87759972
ACCESS-CM2,historical,2007,91.65877024
ACCESS-CM2,historical,2008,67.79709300
ACCESS-CM2,historical,2009,74.17619346
ACCESS-CM2,historical,2010,74.67957254
ACCESS-CM2,historical,2011,108.28617119
ACCESS-CM2,historical,2012,98.18950912
ACCESS-CM2,historical,2013,112.33985120
ACCESS-CM2,historical,2014,94.89718876
ACCESS-CM2,ssp126,2015,147.73524617
ACCESS-CM2,ssp126,2016,101.66432019
ACCESS-CM2,ssp126,2017,93.96861564
ACCESS-CM2,ssp126,2018,100.64621054
ACCESS-CM2,ssp126,2019,86.83043814
ACCESS-CM2,ssp126,2020,131.52193026
ACCESS-CM2,ssp126,2021,122.89031038
ACCESS-CM2,ssp126,2022,106.95105786
ACCESS-CM2,ssp126,2023,157.25651311
ACCESS-CM2,ssp126,2024,50.91277722
ACCESS-CM2,ssp126,2025,81.32930806
ACCESS-CM2,ssp126,2026,128.68404172
ACCESS-CM2,ssp126,2027,142.77012149
ACCESS-CM2,ssp126,2028,94.40994149
ACCESS-CM2,ssp126,2029,131.78405502
ACCESS-CM2,ssp126,2030,55.11083985
ACCESS-CM2,ssp126,2031,87.97901698
ACCESS-CM2,ssp126,2032,76.82646473
ACCESS-CM2,ssp126,2033,63.56627005
ACCESS-CM2,ssp126,2034,61.60225258
ACCESS-CM2,ssp126,2035,99.54926178
ACCESS-CM2,ssp126,2036,63.60127782
ACCESS-CM2,ssp126,2037,97.71191941
ACCESS-CM2,ssp126,2038,109.75747383
ACCESS-CM2,ssp126,2039,133.70712598
ACCESS-CM2,ssp126,2040,74.52986567
ACCESS-CM2,ssp126,2041,78.81844044
ACCESS-CM2,ssp126,2042,88.37196677
ACCESS-CM2,ssp126,2043,97.38046608
ACCESS-CM2,ssp126,2044,108.20538861
ACCESS-CM2,ssp126,2045,80.29849349
ACCESS-CM2,ssp126,2046,74.22962051
ACCESS-CM2,ssp126,2047,109.59530567
ACCESS-CM2,ssp126,2048,81.55902174
ACCESS-CM2,ssp126,2049,106.78400564
ACCESS-CM2,ssp126,2050,117.99666515
ACCESS-CM2,ssp126,2051,59.66891334
ACCESS-CM2,ssp126,2052,95.73738504
ACCESS-CM2,ssp126,2053,103.09265492
ACCESS-CM2,ssp126,2054,88.79095558
ACCESS-CM2,ssp126,2055,165.16289755
ACCESS-CM2,ssp126,2056,146.01986451
ACCESS-CM2,ssp126,2057,88.17692738
ACCESS-CM2,ssp126,2058,95.72991073
ACCESS-CM2,ssp126,2059,40.35264105
ACCESS-CM2,ssp126,2060,205.33592825
ACCESS-CM2,ssp126,2061,114.52605590
ACCESS-CM2,ssp126,2062,101.75090722
ACCESS-CM2,ssp126,2063,47.10019204
ACCESS-CM2,ssp126,2064,90.27209515
ACCESS-CM2,ssp126,2065,139.04090953
ACCESS-CM2,ssp126,2066,120.46265359
ACCESS-CM2,ssp126,2067,136.70138084
ACCESS-CM2,ssp126,2068,145.33213858
ACCESS-CM2,ssp126,2069,94.98680296
ACCESS-CM2,ssp126,2070,152.85248484
ACCESS-CM2,ssp126,2071,90.71030372
ACCESS-CM2,ssp126,2072,118.32682869
ACCESS-CM2,ssp126,2073,125.00424636
ACCESS-CM2,ssp126,2074,115.38344321
ACCESS-CM2,ssp126,2075,140.71466812
ACCESS-CM2,ssp126,2076,72.57584846
ACCESS-CM2,ssp126,2077,103.50607847
ACCESS-CM2,ssp126,2078,94.17045278
ACCESS-CM2,ssp126,2079,48.05094564
ACCESS-CM2,ssp126,2080,188.16198312
ACCESS-CM2,ssp126,2081,121.91361253
ACCESS-CM2,ssp126,2082,127.59728289
ACCESS-CM2,ssp126,2083,79.43954039
ACCESS-CM2,ssp126,2084,146.55917745
ACCESS-CM2,ssp126,2085,93.83220352
ACCESS-CM2,ssp126,2086,146.21650624
ACCESS-CM2,ssp126,2087,69.44766913
ACCESS-CM2,ssp126,2088,141.84966558
ACCESS-CM2,ssp126,2089,85.23380169
ACCESS-CM2,ssp126,2090,83.31254898
ACCESS-CM2,ssp126,2091,70.12377469
ACCESS-CM2,ssp126,2092,106.15950953
ACCESS-CM2,ssp126,2093,146.68250328
ACCESS-CM2,ssp126,2094,148.18258979
ACCESS-CM2,ssp126,2095,118.11103885
ACCESS-CM2,ssp126,2096,94.32530240
ACCESS-CM2,ssp126,2097,143.97771768
ACCESS-CM2,ssp126,2098,160.88142586
ACCESS-CM2,ssp126,2099,78.12770737
ACCESS-CM2,ssp245,2015,142.94582865
ACCESS-CM2,ssp245,2016,138.96911556
ACCESS-CM2,ssp245,2017,73.68972558
ACCESS-CM2,ssp245,2018,101.09759696
ACCESS-CM2,ssp245,2019,76.13331312
ACCESS-CM2,ssp245,2020,59.54441966
ACCESS-CM2,ssp245,2021,133.72552565
ACCESS-CM2,ssp245,2022,55.62246361
ACCESS-CM2,ssp245,2023,91.65147831
ACCESS-CM2,ssp245,2024,76.76449097
ACCESS-CM2,ssp245,2025,88.18027011
ACCESS-CM2,ssp245,2026,109.53627885
ACCESS-CM2,ssp245,2027,81.66293618
ACCESS-CM2,ssp245,2028,123.28785592
ACCESS-CM2,ssp245,2029,76.14455815
ACCESS-CM2,ssp245,2030,81.68365079
ACCESS-CM2,ssp245,2031,84.88896421
ACCESS-CM2,ssp245,2032,128.13176350
ACCESS-CM2,ssp245,2033,143.25567682
ACCESS-CM2,ssp245,2034,161.81330227
ACCESS-CM2,ssp245,2035,133.45783612
ACCESS-CM2,ssp245,2036,125.55265172
ACCESS-CM2,ssp245,2037,116.24026404
ACCESS-CM2,ssp245,2038,106.08885642
