model,experiment,year,pr
ACCESS-CM2,historical,1960,94.14606605
ACCESS-CM2,historical,1961,96.65817069
ACCESS-CM2,historical,1962,90.58380485
ACCESS-CM2,historical,1963,65.51284688
ACCESS-CM2,historical,1964,49.72882051
ACCESS-CM2,historical,1965,113.12816410
ACCESS-CM2,historical,1966,75.48853334
ACCESS-CM2,historical,1967,40.35825286
ACCESS-CM2,historical,1968,73.18382940
ACCESS-CM2,historical,1969,78.93539367
ACCESS-CM2,historical,1970,82.33106312
ACCESS-CM2,historical,1971,71.35344887
ACCESS-CM2,historical,1972,86.33828553
ACCESS-CM2,historical,1973,93.84652133
ACCESS-CM2,historical,1974,56.27369328
ACCESS-CM2,historical,1975,39.93567558
ACCESS-CM2,historical,1976,96.57137892
ACCESS-CM2,historical,1977,81.03093097
ACCESS-CM2,historical,1978,131.10997552
ACCESS-CM2,historical,1979,135.59148080
ACCESS-CM2,historical,1980,122.28307676
ACCESS-CM2,historical,1981,108.85914186
ACCESS-CM2,historical,1982,97.20671581
ACCESS-CM2,historical,1983,62.60407947
ACCESS-CM2,historical,1984,133.56523610
ACCESS-CM2,historical,1985,117.53828012
ACCESS-CM2,historical,1986,90.75002126
ACCESS-CM2,historical,1987,72.71808894
ACCESS-CM2,historical,1988,100.81523658
ACCESS-CM2,historical,1989,51.93364147
ACCESS-CM2,historical,1990,92.39494345
ACCESS-CM2,historical,1991,159.93046305
ACCESS-CM2,historical,1992,59.32060094
ACCESS-CM2,historical,1993,102.39414691
ACCESS-CM2,historical,1994,95.87021711
ACCESS-CM2,historical,1995,64.80964695
ACCESS-CM2,historical,1996,56.64160575
ACCESS-CM2,historical,1997,88.90097627
ACCESS-CM2,historical,1998,97.97426233
ACCESS-CM2,historical,1999,115.68499215
ACCESS-CM2,historical,2000,74.21182111
ACCESS-CM2,historical,2001,68.69660264
ACCESS-CM2,historical,2002,63.90990956
ACCESS-CM2,historical,2003,90.07875766
ACCESS-CM2,historical,2004,69.14519414
ACCESS-CM2,historical,2005,85.77846587
ACCESS-CM2,historical,2006,75.17564256
ACCESS-CM2,historical,2007,87.99495385
ACCESS-CM2,historical,2008,58.16983047
ACCESS-CM2,historical,2009,46.99081070
ACCESS-CM2,historical,2010,68.07370067
ACCESS-CM2,historical,2011,80.06935772
ACCESS-CM2,historical,2012,103.70992373
ACCESS-CM2,historical,2013,80.16038916
ACCESS-CM2,historical,2014,69.15698810
ACCESS-CM2,ssp126,2015,77.27908855
ACCESS-CM2,ssp126,2016,120.37371249
ACCESS-CM2,ssp126,2017,98.64120824
ACCESS-CM2,ssp126,2018,73.60670841
ACCESS-CM2,ssp126,2019,84.16869109
ACCESS-CM2,ssp126,2020,82.17800470
ACCESS-CM2,ssp126,2021,89.97912159
ACCESS-CM2,ssp126,2022,101.29724853
ACCESS-CM2,ssp126,2023,170.19207267
ACCESS-CM2,ssp126,2024,43.83843223
ACCESS-CM2,ssp126,2025,85.81238728
ACCESS-CM2,ssp126,2026,93.98504642
ACCESS-CM2,ssp126,2027,91.20985516
ACCESS-CM2,ssp126,2028,61.21294588
ACCESS-CM2,ssp126,2029,139.28918274
ACCESS-CM2,ssp126,2030,67.13542902
ACCESS-CM2,ssp126,2031,67.87810457
ACCESS-CM2,ssp126,2032,47.44231104
ACCESS-CM2,ssp126,2033,48.42315558
ACCESS-CM2,ssp126,2034,48.95835550
ACCESS-CM2,ssp126,2035,88.01417453
ACCESS-CM2,ssp126,2036,65.23929106
ACCESS-CM2,ssp126,2037,69.33265947
ACCESS-CM2,ssp126,2038,40.07594262
ACCESS-CM2,ssp126,2039,95.66967546
ACCESS-CM2,ssp126,2040,79.56076403
ACCESS-CM2,ssp126,2041,86.67300974
ACCESS-CM2,ssp126,2042,71.75096250
ACCESS-CM2,ssp126,2043,44.61103279
ACCESS-CM2,ssp126,2044,111.26103041
ACCESS-CM2,ssp126,2045,77.00297412
ACCESS-CM2,ssp126,2046,72.59994818
ACCESS-CM2,ssp126,2047,88.29842582
ACCESS-CM2,ssp126,2048,54.34264115
ACCESS-CM2,ssp126,2049,68.54718934
ACCESS-CM2,ssp126,2050,118.52831274
ACCESS-CM2,ssp126,2051,39.45846466
ACCESS-CM2,ssp126,2052,121.60305631
ACCESS-CM2,ssp126,2053,115.29043997
ACCESS-CM2,ssp126,2054,67.38972398
ACCESS-CM2,ssp126,2055,89.36803630
ACCESS-CM2,ssp126,2056,135.16928502
ACCESS-CM2,ssp126,2057,71.28048295
ACCESS-CM2,ssp126,2058,96.35660333
ACCESS-CM2,ssp126,2059,30.94367293
ACCESS-CM2,ssp126,2060,127.40068864
ACCESS-CM2,ssp126,2061,89.16194918
ACCESS-CM2,ssp126,2062,63.88487634
ACCESS-CM2,ssp126,2063,32.81110223
ACCESS-CM2,ssp126,2064,42.44302838
ACCESS-CM2,ssp126,2065,162.25018448
ACCESS-CM2,ssp126,2066,110.64357392
ACCESS-CM2,ssp126,2067,83.59099968
ACCESS-CM2,ssp126,2068,86.06006376
ACCESS-CM2,ssp126,2069,104.26161133
ACCESS-CM2,ssp126,2070,72.73354475
ACCESS-CM2,ssp126,2071,73.56509454
ACCESS-CM2,ssp126,2072,54.63305767
ACCESS-CM2,ssp126,2073,125.23503142
ACCESS-CM2,ssp126,2074,115.72415989
ACCESS-CM2,ssp126,2075,167.65298754
ACCESS-CM2,ssp126,2076,77.09071037
ACCESS-CM2,ssp126,2077,60.05215109
ACCESS-CM2,ssp126,2078,60.26738203
ACCESS-CM2,ssp126,2079,76.51606622
ACCESS-CM2,ssp126,2080,201.42005497
ACCESS-CM2,ssp126,2081,83.88332236
ACCESS-CM2,ssp126,2082,96.28688080
ACCESS-CM2,ssp126,2083,85.65278676
ACCESS-CM2,ssp126,2084,119.24365415
ACCESS-CM2,ssp126,2085,66.14452775
ACCESS-CM2,ssp126,2086,109.58594174
ACCESS-CM2,ssp126,2087,73.82879603
ACCESS-CM2,ssp126,2088,146.33571623
ACCESS-CM2,ssp126,2089,64.72334813
ACCESS-CM2,ssp126,2090,84.63299127
ACCESS-CM2,ssp126,2091,60.59836006
ACCESS-CM2,ssp126,2092,70.81417581
ACCESS-CM2,ssp126,2093,80.28388544
ACCESS-CM2,ssp126,2094,88.65439260
ACCESS-CM2,ssp126,2095,94.80807691
ACCESS-CM2,ssp126,2096,109.47528593
ACCESS-CM2,ssp126,2097,97.00682191
ACCESS-CM2,ssp126,2098,67.66547747
ACCESS-CM2,ssp126,2099,48.37058384
ACCESS-CM2,ssp245,2015,117.99289990
ACCESS-CM2,ssp245,2016,100.96562947
ACCESS-CM2,ssp245,2017,73.79581860
ACCESS-CM2,ssp245,2018,56.33926322
ACCESS-CM2,ssp245,2019,78.49607174
ACCESS-CM2,ssp245,2020,52.40576333
ACCESS-CM2,ssp245,2021,109.51029408
ACCESS-CM2,ssp245,2022,50.37199766
ACCESS-CM2,ssp245,2023,59.68736025
ACCESS-CM2,ssp245,2024,75.38321222
ACCESS-CM2,ssp245,2025,106.24021282
ACCESS-CM2,ssp245,2026,75.98201241
ACCESS-CM2,ssp245,2027,108.15416830
ACCESS-CM2,ssp245,2028,99.87972616
ACCESS-CM2,ssp245,2029,49.79133277
ACCESS-CM2,ssp245,2030,112.41917881
ACCESS-CM2,ssp245,2031,46.93315364
ACCESS-CM2,ssp245,2032,104.27497521
ACCESS-CM2,ssp245,2033,123.34015039
ACCESS-CM2,ssp245,2034,107.71691644
ACCESS-CM2,ssp245,2035,65.55412352
ACCESS-CM2,ssp245,2036,92.37535246
ACCESS-CM2,ssp245,2037,109.82464502
ACCESS-CM2,ssp245,2038,87.85232065
ACCESS-CM2,ssp245,2039,56.87517209
ACCESS-CM2,ssp245,2040,111.27406029
ACCESS-CM2,ssp245,2041,64.39473247
ACCESS-CM2,ssp245,2042,109.26200997
ACCESS-CM2,ssp245,2043,88.06743548
ACCESS-CM2,ssp245,2044,157.73433673
ACCESS-CM2,ssp245,2045,93.72633509
ACCESS-CM2,ssp245,2046,55.93265700
ACCESS-CM2,ssp245,2047,154.47026262
ACCESS-CM2,ssp245,2048,78.58083588
ACCESS-CM2,ssp245,2049,89.79818174
ACCESS-CM2,ssp245,2050,59.38347159
ACCESS-CM2,ssp245,2051,97.69716529
ACCESS-CM2,ssp245,2052,107.62723346
ACCESS-CM2,ssp245,2053,158.54794572
ACCESS-CM2,ssp245,2054,102.07822438
ACCESS-CM2,ssp245,2055,71.72004514
ACCESS-CM2,ssp245,2056,117.21465190
ACCESS-CM2,ssp245,2057,97.01379786
ACCESS-CM2,ssp245,2058,67.38912028
ACCESS-CM2,ssp245,2059,101.56270292
ACCESS-CM2,ssp245,2060,142.01848369
ACCESS-CM2,ssp245,2061,102.98444386
ACCESS-CM2,ssp245,2062,114.01018430
ACCESS-CM2,ssp245,2063,99.83327629
ACCESS-CM2,ssp245,2064,63.36590596
ACCESS-CM2,ssp245,2065,134.33630215
ACCESS-CM2,ssp245,2066,92.59190910
ACCESS-CM2,ssp245,2067,122.76552898
ACCESS-CM2,ssp245,2068,88.00001334
ACCESS-CM2,ssp245,2069,101.32696998
ACCESS-CM2,ssp245,2070,95.83707335
ACCESS-CM2,ssp245,2071,60.29855677
ACCESS-CM2,ssp245,2072,79.52500727
ACCESS-CM2,ssp245,2073,59.97583716
ACCESS-CM2,ssp245,2074,87.07879907
ACCESS-CM2,ssp245,2075,120.50461452
ACCESS-CM2,ssp245,2076,54.35736613
ACCESS-CM2,ssp245,2077,81.36842600
ACCESS-CM2,ssp245,2078,136.12096305
ACCESS-CM2,ssp245,2079,85.36903142
ACCESS-CM2,ssp245,2080,88.87541590
ACCESS-CM2,ssp245,2081,115.82736160
ACCESS-CM2,ssp245,2082,92.16277450
ACCESS-CM2,ssp245,2083,124.96512987
ACCESS-CM2,ssp245,2084,93.13294455
ACCESS-CM2,ssp245,2085,51.82450992
ACCESS-CM2,ssp245,2086,108.59924285
ACCESS-CM2,ssp245,2087,74.12412725
ACCESS-CM2,ssp245,2088,108.12460355
ACCESS-CM2,ssp245,2089,46.22881492
ACCESS-CM2,ssp245,2090,136.37305985
ACCESS-CM2,ssp245,2091,40.66676692
