model,experiment,year,pr
ACCESS-CM2,historical,1960,156.80942525
ACCESS-CM2,historical,1961,164.95217984
ACCESS-CM2,historical,1962,310.57626785
ACCESS-CM2,historical,1963,182.95585731
ACCESS-CM2,historical,1964,134.96546221
ACCESS-CM2,historical,1965,206.04831806
ACCESS-CM2,historical,1966,170.23510679
ACCESS-CM2,historical,1967,109.51805628
ACCESS-CM2,historical,1968,284.00280448
ACCESS-CM2,historical,1969,207.17816489
ACCESS-CM2,historical,1970,146.44540830
ACCESS-CM2,historical,1971,113.33001142
ACCESS-CM2,historical,1972,183.99355861
ACCESS-CM2,historical,1973,210.15886795
ACCESS-CM2,historical,1974,120.98644923
ACCESS-CM2,historical,1975,181.82604763
ACCESS-CM2,historical,1976,331.04297250
ACCESS-CM2,historical,1977,93.10468974
ACCESS-CM2,historical,1978,427.11617567
ACCESS-CM2,historical,1979,253.35610380
ACCESS-CM2,historical,1980,315.67718521
ACCESS-CM2,historical,1981,291.28129166
ACCESS-CM2,historical,1982,168.72199261
ACCESS-CM2,historical,1983,121.02720341
ACCESS-CM2,historical,1984,177.83308106
ACCESS-CM2,historical,1985,260.58173251
ACCESS-CM2,historical,1986,122.16098524
ACCESS-CM2,historical,1987,141.94657814
ACCESS-CM2,historical,1988,164.65873698
ACCESS-CM2,historical,1989,183.20377478
ACCESS-CM2,historical,1990,96.61566024
ACCESS-CM2,historical,1991,262.92029659
ACCESS-CM2,historical,1992,141.31241030
ACCESS-CM2,historical,1993,351.14975707
ACCESS-CM2,historical,1994,219.71524556
ACCESS-CM2,historical,1995,118.98128503
ACCESS-CM2,historical,1996,138.70742930
ACCESS-CM2,historical,1997,148.28421995
ACCESS-CM2,historical,1998,300.16661769
ACCESS-CM2,historical,1999,258.88788448
ACCESS-CM2,historical,2000,178.04132636
ACCESS-CM2,historical,2001,175.60190744
ACCESS-CM2,historical,2002,131.66307595
ACCESS-CM2,historical,2003,209.29981611
ACCESS-CM2,historical,2004,189.70124824
ACCESS-CM2,historical,2005,83.06845398
ACCESS-CM2,historical,2006,102.57376634
ACCESS-CM2,historical,2007,106.91923237
ACCESS-CM2,historical,2008,100.80712284
ACCESS-CM2,historical,2009,109.56704152
ACCESS-CM2,historical,2010,246.92945814
ACCESS-CM2,historical,2011,209.68135592
ACCESS-CM2,historical,2012,152.24921638
ACCESS-CM2,historical,2013,288.46886764
ACCESS-CM2,historical,2014,181.10769953
ACCESS-CM2,ssp126,2015,307.42036098
ACCESS-CM2,ssp126,2016,168.81288253
ACCESS-CM2,ssp126,2017,129.92409600
ACCESS-CM2,ssp126,2018,111.27017719
ACCESS-CM2,ssp126,2019,150.69299752
ACCESS-CM2,ssp126,2020,359.03801646
ACCESS-CM2,ssp126,2021,155.27924821
ACCESS-CM2,ssp126,2022,239.18310325
ACCESS-CM2,ssp126,2023,425.23952602
ACCESS-CM2,ssp126,2024,71.06780842
ACCESS-CM2,ssp126,2025,157.43713939
ACCESS-CM2,ssp126,2026,323.05536554
ACCESS-CM2,ssp126,2027,216.87438359
ACCESS-CM2,ssp126,2028,165.11541484
ACCESS-CM2,ssp126,2029,190.85009557
ACCESS-CM2,ssp126,2030,120.28481518
ACCESS-CM2,ssp126,2031,161.65048942
ACCESS-CM2,ssp126,2032,183.10300719
ACCESS-CM2,ssp126,2033,90.21147180
ACCESS-CM2,ssp126,2034,140.17521114
ACCESS-CM2,ssp126,2035,183.63568191
ACCESS-CM2,ssp126,2036,90.55673145
ACCESS-CM2,ssp126,2037,218.00835412
ACCESS-CM2,ssp126,2038,122.26374456
ACCESS-CM2,ssp126,2039,161.30139044
ACCESS-CM2,ssp126,2040,146.91680093
ACCESS-CM2,ssp126,2041,135.62338645
ACCESS-CM2,ssp126,2042,125.98523760
ACCESS-CM2,ssp126,2043,121.23672146
ACCESS-CM2,ssp126,2044,133.19611371
ACCESS-CM2,ssp126,2045,126.72892128
ACCESS-CM2,ssp126,2046,102.64870652
ACCESS-CM2,ssp126,2047,170.10298629
ACCESS-CM2,ssp126,2048,152.67743601
ACCESS-CM2,ssp126,2049,164.55867345
ACCESS-CM2,ssp126,2050,246.95372266
ACCESS-CM2,ssp126,2051,173.99294941
ACCESS-CM2,ssp126,2052,97.40810146
ACCESS-CM2,ssp126,2053,268.26761080
ACCESS-CM2,ssp126,2054,97.72471604
ACCESS-CM2,ssp126,2055,366.92420301
ACCESS-CM2,ssp126,2056,144.00313920
ACCESS-CM2,ssp126,2057,110.38502419
ACCESS-CM2,ssp126,2058,175.14922725
ACCESS-CM2,ssp126,2059,109.89743262
ACCESS-CM2,ssp126,2060,219.67434536
ACCESS-CM2,ssp126,2061,158.43959269
ACCESS-CM2,ssp126,2062,216.05903563
ACCESS-CM2,ssp126,2063,110.24813429
ACCESS-CM2,ssp126,2064,176.19171927
ACCESS-CM2,ssp126,2065,215.49021011
ACCESS-CM2,ssp126,2066,236.34987689
ACCESS-CM2,ssp126,2067,160.24427541
ACCESS-CM2,ssp126,2068,217.46308453
ACCESS-CM2,ssp126,2069,125.55442848
ACCESS-CM2,ssp126,2070,189.83549968
ACCESS-CM2,ssp126,2071,210.20864719
ACCESS-CM2,ssp126,2072,244.83904881
ACCESS-CM2,ssp126,2073,153.88023887
ACCESS-CM2,ssp126,2074,220.47795279
ACCESS-CM2,ssp126,2075,159.23096821
ACCESS-CM2,ssp126,2076,82.69319792
ACCESS-CM2,ssp126,2077,121.12362192
ACCESS-CM2,ssp126,2078,145.07547250
ACCESS-CM2,ssp126,2079,129.03193757
ACCESS-CM2,ssp126,2080,222.59341221
ACCESS-CM2,ssp126,2081,148.30127710
ACCESS-CM2,ssp126,2082,214.64607441
ACCESS-CM2,ssp126,2083,172.81463841
ACCESS-CM2,ssp126,2084,252.31783754
ACCESS-CM2,ssp126,2085,194.30418176
ACCESS-CM2,ssp126,2086,287.02886059
ACCESS-CM2,ssp126,2087,96.79746112
ACCESS-CM2,ssp126,2088,210.25802472
ACCESS-CM2,ssp126,2089,212.93698814
ACCESS-CM2,ssp126,2090,115.25465551
ACCESS-CM2,ssp126,2091,47.39038866
ACCESS-CM2,ssp126,2092,163.28940779
