model,experiment,year,pr
ACCESS-CM2,historical,1960,144.21407107
ACCESS-CM2,historical,1961,80.35130047
ACCESS-CM2,historical,1962,166.35329204
ACCESS-CM2,historical,1963,142.26139911
ACCESS-CM2,historical,1964,122.76317750
ACCESS-CM2,historical,1965,78.18362309
ACCESS-CM2,historical,1966,92.93957717
ACCESS-CM2,historical,1967,75.50519392
ACCESS-CM2,historical,1968,113.97604046
ACCESS-CM2,historical,1969,139.43346258
ACCESS-CM2,historical,1970,54.77408377
ACCESS-CM2,historical,1971,25.93986637
ACCESS-CM2,historical,1972,88.49892261
ACCESS-CM2,historical,1973,107.71761088
ACCESS-CM2,historical,1974,101.29561917
ACCESS-CM2,historical,1975,148.43034183
ACCESS-CM2,historical,1976,180.75157946
ACCESS-CM2,historical,1977,68.77057216
ACCESS-CM2,historical,1978,175.40620261
ACCESS-CM2,historical,1979,120.65917165
ACCESS-CM2,historical,1980,125.03949499
ACCESS-CM2,historical,1981,81.19336245
ACCESS-CM2,historical,1982,90.27954006
ACCESS-CM2,historical,1983,69.38257169
ACCESS-CM2,historical,1984,107.74714985
ACCESS-CM2,historical,1985,131.00876244
ACCESS-CM2,historical,1986,78.72476684
ACCESS-CM2,historical,1987,229.97675933
ACCESS-CM2,historical,1988,78.64900311
ACCESS-CM2,historical,1989,96.20713465
ACCESS-CM2,historical,1990,70.20173288
ACCESS-CM2,historical,1991,236.66771199
ACCESS-CM2,historical,1992,118.99925417
ACCESS-CM2,historical,1993,53.97143896
ACCESS-CM2,historical,1994,121.08432894
ACCESS-CM2,historical,1995,97.21066109
ACCESS-CM2,historical,1996,155.10909016
ACCESS-CM2,historical,1997,145.40946401
ACCESS-CM2,historical,1998,144.67743643
ACCESS-CM2,historical,1999,218.63265282
ACCESS-CM2,historical,2000,98.59503548
ACCESS-CM2,historical,2001,77.39685394
ACCESS-CM2,historical,2002,128.41952638
ACCESS-CM2,historical,2003,102.11168554
ACCESS-CM2,historical,2004,252.69382951
ACCESS-CM2,historical,2005,36.15834820
ACCESS-CM2,historical,2006,71.94231879
ACCESS-CM2,historical,2007,118.70209669
ACCESS-CM2,historical,2008,70.71631790
ACCESS-CM2,historical,2009,103.05588338
ACCESS-CM2,historical,2010,118.52530356
ACCESS-CM2,historical,2011,106.34646985
ACCESS-CM2,historical,2012,76.45410361
ACCESS-CM2,historical,2013,127.76175387
ACCESS-CM2,historical,2014,142.36917830
ACCESS-CM2,ssp126,2015,141.04978612
ACCESS-CM2,ssp126,2016,113.40965976
ACCESS-CM2,ssp126,2017,118.32951769
ACCESS-CM2,ssp126,2018,93.16965669
ACCESS-CM2,ssp126,2019,99.06816630
ACCESS-CM2,ssp126,2020,212.37882153
ACCESS-CM2,ssp126,2021,73.25756124
ACCESS-CM2,ssp126,2022,117.76513626
ACCESS-CM2,ssp126,2023,158.52639032
ACCESS-CM2,ssp126,2024,66.06709515
ACCESS-CM2,ssp126,2025,61.98607467
ACCESS-CM2,ssp126,2026,198.86103709
ACCESS-CM2,ssp126,2027,91.19205950
ACCESS-CM2,ssp126,2028,101.19430769
ACCESS-CM2,ssp126,2029,84.34266639
ACCESS-CM2,ssp126,2030,45.93050849
ACCESS-CM2,ssp126,2031,105.53141259
ACCESS-CM2,ssp126,2032,107.52613124
ACCESS-CM2,ssp126,2033,98.62780954
ACCESS-CM2,ssp126,2034,75.17923578
ACCESS-CM2,ssp126,2035,63.94248275
ACCESS-CM2,ssp126,2036,107.00255349
ACCESS-CM2,ssp126,2037,158.29245802
ACCESS-CM2,ssp126,2038,105.34776028
ACCESS-CM2,ssp126,2039,82.66387038
ACCESS-CM2,ssp126,2040,84.16542630
ACCESS-CM2,ssp126,2041,49.93761712
ACCESS-CM2,ssp126,2042,82.64467877
ACCESS-CM2,ssp126,2043,67.30386997
ACCESS-CM2,ssp126,2044,62.12968601
ACCESS-CM2,ssp126,2045,84.34239019
ACCESS-CM2,ssp126,2046,62.78502804
ACCESS-CM2,ssp126,2047,59.11061979
ACCESS-CM2,ssp126,2048,140.37700759
ACCESS-CM2,ssp126,2049,84.96487977
ACCESS-CM2,ssp126,2050,97.93050370
ACCESS-CM2,ssp126,2051,114.83109986
ACCESS-CM2,ssp126,2052,69.74305952
ACCESS-CM2,ssp126,2053,168.64001151
ACCESS-CM2,ssp126,2054,99.32821415
ACCESS-CM2,ssp126,2055,167.88922269
ACCESS-CM2,ssp126,2056,106.54702853
