model,experiment,year,pr
ACCESS-CM2,historical,1960,339.39584163
ACCESS-CM2,historical,1961,461.66531840
ACCESS-CM2,historical,1962,408.09787907
ACCESS-CM2,historical,1963,248.69206293
ACCESS-CM2,historical,1964,252.82945056
ACCESS-CM2,historical,1965,434.37641415
ACCESS-CM2,historical,1966,320.27924808
ACCESS-CM2,historical,1967,226.45808751
ACCESS-CM2,historical,1968,380.07821770
ACCESS-CM2,historical,1969,480.70163868
ACCESS-CM2,historical,1970,434.37909872
ACCESS-CM2,historical,1971,113.04598463
ACCESS-CM2,historical,1972,376.12032534
ACCESS-CM2,historical,1973,429.66263001
ACCESS-CM2,historical,1974,326.23482804
ACCESS-CM2,historical,1975,282.26442236
ACCESS-CM2,historical,1976,616.38836632
ACCESS-CM2,historical,1977,478.74284619
ACCESS-CM2,historical,1978,755.50980614
ACCESS-CM2,historical,1979,557.83261023
ACCESS-CM2,historical,1980,580.43190536
ACCESS-CM2,historical,1981,485.50560397
ACCESS-CM2,historical,1982,545.90077984
ACCESS-CM2,historical,1983,198.69979997
ACCESS-CM2,historical,1984,426.27946857
ACCESS-CM2,historical,1985,601.57135695
ACCESS-CM2,historical,1986,290.38080218
ACCESS-CM2,historical,1987,329.17865476
ACCESS-CM2,historical,1988,573.83174623
ACCESS-CM2,historical,1989,393.33199923
ACCESS-CM2,historical,1990,517.75069796
ACCESS-CM2,historical,1991,580.01284647
ACCESS-CM2,historical,1992,322.57333244
ACCESS-CM2,historical,1993,628.66443358
ACCESS-CM2,historical,1994,413.82474774
ACCESS-CM2,historical,1995,198.66735580
ACCESS-CM2,historical,1996,305.58095675
ACCESS-CM2,historical,1997,263.58522898
ACCESS-CM2,historical,1998,546.25789220
ACCESS-CM2,historical,1999,622.93334043
ACCESS-CM2,historical,2000,441.58661916
ACCESS-CM2,historical,2001,427.87164089
ACCESS-CM2,historical,2002,163.99649386
ACCESS-CM2,historical,2003,497.28511825
ACCESS-CM2,historical,2004,218.24722212
ACCESS-CM2,historical,2005,278.48066838
ACCESS-CM2,historical,2006,435.65601938
ACCESS-CM2,historical,2007,378.14989381
ACCESS-CM2,historical,2008,298.08065753
ACCESS-CM2,historical,2009,198.74923443
ACCESS-CM2,historical,2010,414.24958026
ACCESS-CM2,historical,2011,391.27505114
ACCESS-CM2,historical,2012,465.56659083
ACCESS-CM2,historical,2013,418.66655839
ACCESS-CM2,historical,2014,363.16078648
ACCESS-CM2,ssp126,2015,456.49340766
ACCESS-CM2,ssp126,2016,451.83314602
ACCESS-CM2,ssp126,2017,490.41500552
ACCESS-CM2,ssp126,2018,315.35027636
ACCESS-CM2,ssp126,2019,254.32987982
ACCESS-CM2,ssp126,2020,708.14425753
ACCESS-CM2,ssp126,2021,391.33154497
ACCESS-CM2,ssp126,2022,373.54119648
ACCESS-CM2,ssp126,2023,671.00205977
ACCESS-CM2,ssp126,2024,178.95451686
ACCESS-CM2,ssp126,2025,400.31042458
ACCESS-CM2,ssp126,2026,594.21800072
ACCESS-CM2,ssp126,2027,487.28050479
ACCESS-CM2,ssp126,2028,247.97658234
ACCESS-CM2,ssp126,2029,470.25541078
ACCESS-CM2,ssp126,2030,347.65092517
ACCESS-CM2,ssp126,2031,458.19484836
ACCESS-CM2,ssp126,2032,404.21941181
ACCESS-CM2,ssp126,2033,145.64373869
ACCESS-CM2,ssp126,2034,284.07118909
ACCESS-CM2,ssp126,2035,405.27372251
ACCESS-CM2,ssp126,2036,268.58279153
ACCESS-CM2,ssp126,2037,415.50881057
ACCESS-CM2,ssp126,2038,186.10928022
ACCESS-CM2,ssp126,2039,399.08686049
ACCESS-CM2,ssp126,2040,390.61423156
ACCESS-CM2,ssp126,2041,415.62179153
ACCESS-CM2,ssp126,2042,364.14788841
ACCESS-CM2,ssp126,2043,249.93154782
ACCESS-CM2,ssp126,2044,562.44558676
ACCESS-CM2,ssp126,2045,313.17754876
ACCESS-CM2,ssp126,2046,292.80794381
ACCESS-CM2,ssp126,2047,391.76032913
ACCESS-CM2,ssp126,2048,366.35684397
ACCESS-CM2,ssp126,2049,422.79551310
ACCESS-CM2,ssp126,2050,646.91874239
ACCESS-CM2,ssp126,2051,255.53661871
ACCESS-CM2,ssp126,2052,377.75697028
ACCESS-CM2,ssp126,2053,441.88055048
ACCESS-CM2,ssp126,2054,288.93932981
ACCESS-CM2,ssp126,2055,366.98021516
ACCESS-CM2,ssp126,2056,476.15980680
ACCESS-CM2,ssp126,2057,260.13770610
ACCESS-CM2,ssp126,2058,482.14488766
ACCESS-CM2,ssp126,2059,247.38503446
ACCESS-CM2,ssp126,2060,618.37260381
ACCESS-CM2,ssp126,2061,491.28631852
ACCESS-CM2,ssp126,2062,340.82780448
ACCESS-CM2,ssp126,2063,159.20905331
ACCESS-CM2,ssp126,2064,223.19767311
ACCESS-CM2,ssp126,2065,696.68287150
ACCESS-CM2,ssp126,2066,546.16176980
ACCESS-CM2,ssp126,2067,342.07263687
ACCESS-CM2,ssp126,2068,341.69496214
ACCESS-CM2,ssp126,2069,529.18592595
ACCESS-CM2,ssp126,2070,277.01485105
ACCESS-CM2,ssp126,2071,320.64385408
ACCESS-CM2,ssp126,2072,326.42349841
ACCESS-CM2,ssp126,2073,651.09438797
ACCESS-CM2,ssp126,2074,504.08248472
ACCESS-CM2,ssp126,2075,510.27303097
ACCESS-CM2,ssp126,2076,267.53898198
ACCESS-CM2,ssp126,2077,323.41708757
ACCESS-CM2,ssp126,2078,376.67184899
ACCESS-CM2,ssp126,2079,259.62221652
ACCESS-CM2,ssp126,2080,821.82350910
ACCESS-CM2,ssp126,2081,329.59152163
ACCESS-CM2,ssp126,2082,367.71564606
ACCESS-CM2,ssp126,2083,438.37630858
ACCESS-CM2,ssp126,2084,584.94063895
ACCESS-CM2,ssp126,2085,385.68545668
ACCESS-CM2,ssp126,2086,468.33653296
ACCESS-CM2,ssp126,2087,391.36057368
ACCESS-CM2,ssp126,2088,458.34890314
ACCESS-CM2,ssp126,2089,285.30113611
ACCESS-CM2,ssp126,2090,440.28982217
ACCESS-CM2,ssp126,2091,142.00360300
ACCESS-CM2,ssp126,2092,454.04855067
ACCESS-CM2,ssp126,2093,418.47942452
ACCESS-CM2,ssp126,2094,501.94434853
ACCESS-CM2,ssp126,2095,534.32252109
ACCESS-CM2,ssp126,2096,450.04401988
ACCESS-CM2,ssp126,2097,594.98840349
ACCESS-CM2,ssp126,2098,356.19834579
ACCESS-CM2,ssp126,2099,251.59581210
ACCESS-CM2,ssp245,2015,330.06325426
ACCESS-CM2,ssp245,2016,431.47104308
ACCESS-CM2,ssp245,2017,377.22026533
ACCESS-CM2,ssp245,2018,328.22719968
ACCESS-CM2,ssp245,2019,326.04409289
ACCESS-CM2,ssp245,2020,300.52306175
ACCESS-CM2,ssp245,2021,458.93088734
ACCESS-CM2,ssp245,2022,269.61003404
