model,experiment,year,pr
ACCESS-CM2,historical,1960,79.23504525
ACCESS-CM2,historical,1961,74.56714840
ACCESS-CM2,historical,1962,102.95660205
ACCESS-CM2,historical,1963,67.10974943
ACCESS-CM2,historical,1964,124.47217647
ACCESS-CM2,historical,1965,85.77040335
ACCESS-CM2,historical,1966,90.02665813
ACCESS-CM2,historical,1967,107.48502766
ACCESS-CM2,historical,1968,78.42136029
ACCESS-CM2,historical,1969,68.16080236
ACCESS-CM2,historical,1970,129.85647146
ACCESS-CM2,historical,1971,105.79814613
ACCESS-CM2,historical,1972,73.90617606
ACCESS-CM2,historical,1973,97.02543182
ACCESS-CM2,historical,1974,153.92037771
ACCESS-CM2,historical,1975,65.68291898
ACCESS-CM2,historical,1976,130.00584037
ACCESS-CM2,historical,1977,74.12351330
ACCESS-CM2,historical,1978,68.05879399
ACCESS-CM2,historical,1979,111.06746933
ACCESS-CM2,historical,1980,134.39654230
ACCESS-CM2,historical,1981,52.46945890
ACCESS-CM2,historical,1982,113.00046048
ACCESS-CM2,historical,1983,85.12182617
ACCESS-CM2,historical,1984,57.94865659
ACCESS-CM2,historical,1985,75.78582215
ACCESS-CM2,historical,1986,125.75462697
ACCESS-CM2,historical,1987,145.94429233
ACCESS-CM2,historical,1988,120.17885348
ACCESS-CM2,historical,1989,63.40255957
ACCESS-CM2,historical,1990,112.01443359
ACCESS-CM2,historical,1991,84.17904333
ACCESS-CM2,historical,1992,116.77337247
ACCESS-CM2,historical,1993,117.61064765
ACCESS-CM2,historical,1994,93.01119060
ACCESS-CM2,historical,1995,50.71445347
ACCESS-CM2,historical,1996,54.43542219
ACCESS-CM2,historical,1997,135.38792036
ACCESS-CM2,historical,1998,49.00573431
ACCESS-CM2,historical,1999,102.17030898
ACCESS-CM2,historical,2000,125.79887425
ACCESS-CM2,historical,2001,236.69605710
ACCESS-CM2,historical,2002,68.06380771
ACCESS-CM2,historical,2003,41.47868645
ACCESS-CM2,historical,2004,137.55435125
ACCESS-CM2,historical,2005,88.08885986
