model,experiment,year,pr
ACCESS-CM2,historical,1960,106.35868759
ACCESS-CM2,historical,1961,174.01637040
ACCESS-CM2,historical,1962,324.18796553
ACCESS-CM2,historical,1963,169.82675047
ACCESS-CM2,historical,1964,346.63944434
ACCESS-CM2,historical,1965,158.98005695
ACCESS-CM2,historical,1966,256.34167136
ACCESS-CM2,historical,1967,206.36338373
ACCESS-CM2,historical,1968,146.65081852
ACCESS-CM2,historical,1969,106.49303535
ACCESS-CM2,historical,1970,235.57678082
ACCESS-CM2,historical,1971,309.32391128
ACCESS-CM2,historical,1972,435.91405366
ACCESS-CM2,historical,1973,280.66475841
ACCESS-CM2,historical,1974,398.82540513
ACCESS-CM2,historical,1975,165.09255423
ACCESS-CM2,historical,1976,174.57765832
ACCESS-CM2,historical,1977,171.21877462
ACCESS-CM2,historical,1978,168.37687667
ACCESS-CM2,historical,1979,387.15705166
ACCESS-CM2,historical,1980,418.34878139
ACCESS-CM2,historical,1981,105.97869297
ACCESS-CM2,historical,1982,389.80439845
ACCESS-CM2,historical,1983,245.68508699
ACCESS-CM2,historical,1984,150.83777502
ACCESS-CM2,historical,1985,182.38723377
ACCESS-CM2,historical,1986,330.08651268
ACCESS-CM2,historical,1987,223.43676055
ACCESS-CM2,historical,1988,318.58526599
ACCESS-CM2,historical,1989,270.78879558
ACCESS-CM2,historical,1990,244.03817860
ACCESS-CM2,historical,1991,183.01929666
ACCESS-CM2,historical,1992,352.95558599
ACCESS-CM2,historical,1993,236.87058671
ACCESS-CM2,historical,1994,211.73515315
ACCESS-CM2,historical,1995,79.86418626
ACCESS-CM2,historical,1996,190.22512156
ACCESS-CM2,historical,1997,322.45347650
ACCESS-CM2,historical,1998,142.68990354
ACCESS-CM2,historical,1999,325.43819267
ACCESS-CM2,historical,2000,209.97527127
ACCESS-CM2,historical,2001,221.78206334
ACCESS-CM2,historical,2002,130.25187802
ACCESS-CM2,historical,2003,149.26523230
ACCESS-CM2,historical,2004,241.85930052
ACCESS-CM2,historical,2005,229.18538376
ACCESS-CM2,historical,2006,104.28313279
ACCESS-CM2,historical,2007,248.47626719
ACCESS-CM2,historical,2008,143.06365442
ACCESS-CM2,historical,2009,395.70793042
ACCESS-CM2,historical,2010,207.89589913
ACCESS-CM2,historical,2011,79.02078369
ACCESS-CM2,historical,2012,263.18826777
ACCESS-CM2,historical,2013,344.62882364
ACCESS-CM2,historical,2014,171.05257322
ACCESS-CM2,ssp126,2015,274.60824318
ACCESS-CM2,ssp126,2016,189.53724295
ACCESS-CM2,ssp126,2017,187.90902398
ACCESS-CM2,ssp126,2018,251.19888383
ACCESS-CM2,ssp126,2019,177.73491075
ACCESS-CM2,ssp126,2020,191.39225033
ACCESS-CM2,ssp126,2021,333.29038624
ACCESS-CM2,ssp126,2022,233.06375893
ACCESS-CM2,ssp126,2023,124.05900935
ACCESS-CM2,ssp126,2024,335.21874560
ACCESS-CM2,ssp126,2025,340.85886020
ACCESS-CM2,ssp126,2026,237.39192569
