model,experiment,year,pr
ACCESS-CM2,historical,1960,123.66887082
ACCESS-CM2,historical,1961,163.42671713
ACCESS-CM2,historical,1962,274.33964685
ACCESS-CM2,historical,1963,230.43657498
ACCESS-CM2,historical,1964,223.76236694
ACCESS-CM2,historical,1965,59.36629503
ACCESS-CM2,historical,1966,120.51958395
ACCESS-CM2,historical,1967,168.84935328
ACCESS-CM2,historical,1968,77.62161416
ACCESS-CM2,historical,1969,136.62417129
ACCESS-CM2,historical,1970,139.30408635
ACCESS-CM2,historical,1971,186.13966258
ACCESS-CM2,historical,1972,200.91136107
ACCESS-CM2,historical,1973,132.14334871
ACCESS-CM2,historical,1974,306.53775205
ACCESS-CM2,historical,1975,127.26382340
ACCESS-CM2,historical,1976,111.79855902
ACCESS-CM2,historical,1977,283.29512056
ACCESS-CM2,historical,1978,102.75318282
ACCESS-CM2,historical,1979,200.22339168
ACCESS-CM2,historical,1980,177.08452913
ACCESS-CM2,historical,1981,58.65299995
ACCESS-CM2,historical,1982,160.33938576
ACCESS-CM2,historical,1983,220.10459231
ACCESS-CM2,historical,1984,116.61263940
ACCESS-CM2,historical,1985,153.93613704
ACCESS-CM2,historical,1986,160.52583252
ACCESS-CM2,historical,1987,181.20432674
ACCESS-CM2,historical,1988,171.48598587
ACCESS-CM2,historical,1989,195.23353643
ACCESS-CM2,historical,1990,129.96016576
ACCESS-CM2,historical,1991,106.05814963
ACCESS-CM2,historical,1992,181.63869408
ACCESS-CM2,historical,1993,156.01525307
ACCESS-CM2,historical,1994,119.36800071
ACCESS-CM2,historical,1995,54.88111523
ACCESS-CM2,historical,1996,128.84262412
ACCESS-CM2,historical,1997,127.23045927
ACCESS-CM2,historical,1998,81.35388142
ACCESS-CM2,historical,1999,139.81038312
ACCESS-CM2,historical,2000,166.10768690
ACCESS-CM2,historical,2001,145.85432826
ACCESS-CM2,historical,2002,233.65700173
ACCESS-CM2,historical,2003,47.67721970
ACCESS-CM2,historical,2004,98.62479209
ACCESS-CM2,historical,2005,223.15633510
ACCESS-CM2,historical,2006,100.59581930
ACCESS-CM2,historical,2007,222.00459323
ACCESS-CM2,historical,2008,109.92957024
ACCESS-CM2,historical,2009,216.93567175
ACCESS-CM2,historical,2010,74.25398396
ACCESS-CM2,historical,2011,68.95867623
ACCESS-CM2,historical,2012,151.58518307
ACCESS-CM2,historical,2013,183.46127676
ACCESS-CM2,historical,2014,115.80224382
ACCESS-CM2,ssp126,2015,150.45538255
ACCESS-CM2,ssp126,2016,131.34636934
ACCESS-CM2,ssp126,2017,140.64852168
ACCESS-CM2,ssp126,2018,193.93989744
ACCESS-CM2,ssp126,2019,131.02678281
ACCESS-CM2,ssp126,2020,156.75954661
ACCESS-CM2,ssp126,2021,206.90802473
ACCESS-CM2,ssp126,2022,171.00379004
ACCESS-CM2,ssp126,2023,153.18364663
ACCESS-CM2,ssp126,2024,198.94671461
ACCESS-CM2,ssp126,2025,254.50986960
ACCESS-CM2,ssp126,2026,86.50040816
ACCESS-CM2,ssp126,2027,213.09248270
ACCESS-CM2,ssp126,2028,178.00352465
ACCESS-CM2,ssp126,2029,178.35906382
ACCESS-CM2,ssp126,2030,170.19416163
ACCESS-CM2,ssp126,2031,226.34671672
ACCESS-CM2,ssp126,2032,150.29864588
ACCESS-CM2,ssp126,2033,179.74482325
ACCESS-CM2,ssp126,2034,128.72801884
ACCESS-CM2,ssp126,2035,314.68384944
ACCESS-CM2,ssp126,2036,186.41984709
ACCESS-CM2,ssp126,2037,164.45204709
