model,experiment,year,pr
ACCESS-CM2,historical,1960,391.47018197
ACCESS-CM2,historical,1961,444.22144071
ACCESS-CM2,historical,1962,488.66840486
ACCESS-CM2,historical,1963,458.13346997
ACCESS-CM2,historical,1964,567.27101309
ACCESS-CM2,historical,1965,525.83836454
ACCESS-CM2,historical,1966,437.68264683
ACCESS-CM2,historical,1967,432.60182833
ACCESS-CM2,historical,1968,424.75054877
ACCESS-CM2,historical,1969,434.59499191
ACCESS-CM2,historical,1970,559.09643404
ACCESS-CM2,historical,1971,401.80942044
ACCESS-CM2,historical,1972,444.49417401
ACCESS-CM2,historical,1973,436.49522015
ACCESS-CM2,historical,1974,556.12598848
ACCESS-CM2,historical,1975,441.66259938
ACCESS-CM2,historical,1976,578.18270821
ACCESS-CM2,historical,1977,441.40268891
ACCESS-CM2,historical,1978,550.37042443
ACCESS-CM2,historical,1979,512.91189456
ACCESS-CM2,historical,1980,543.46065820
ACCESS-CM2,historical,1981,384.75024595
ACCESS-CM2,historical,1982,477.43768430
ACCESS-CM2,historical,1983,391.70567148
ACCESS-CM2,historical,1984,461.64955079
ACCESS-CM2,historical,1985,497.77549155
ACCESS-CM2,historical,1986,458.73800409
ACCESS-CM2,historical,1987,486.19968373
ACCESS-CM2,historical,1988,474.83632621
ACCESS-CM2,historical,1989,542.37902796
ACCESS-CM2,historical,1990,459.53590016
ACCESS-CM2,historical,1991,566.42141708
ACCESS-CM2,historical,1992,452.83324124
ACCESS-CM2,historical,1993,526.77880593
ACCESS-CM2,historical,1994,502.72003220
ACCESS-CM2,historical,1995,399.48501510
ACCESS-CM2,historical,1996,435.09561374
ACCESS-CM2,historical,1997,536.59396172
ACCESS-CM2,historical,1998,466.02051009
ACCESS-CM2,historical,1999,479.75915598
ACCESS-CM2,historical,2000,528.98530450
ACCESS-CM2,historical,2001,537.43824009
ACCESS-CM2,historical,2002,394.48960316
ACCESS-CM2,historical,2003,324.44879198
ACCESS-CM2,historical,2004,471.44931844
ACCESS-CM2,historical,2005,437.32503023
ACCESS-CM2,historical,2006,367.90679364
ACCESS-CM2,historical,2007,425.57103837
ACCESS-CM2,historical,2008,424.52688737
ACCESS-CM2,historical,2009,454.60131158
ACCESS-CM2,historical,2010,421.34982776
ACCESS-CM2,historical,2011,442.46993027
ACCESS-CM2,historical,2012,533.64879483
ACCESS-CM2,historical,2013,404.12632474
ACCESS-CM2,historical,2014,462.69175728
ACCESS-CM2,ssp126,2015,458.11991783
ACCESS-CM2,ssp126,2016,429.56617700
ACCESS-CM2,ssp126,2017,489.66694427
ACCESS-CM2,ssp126,2018,439.10778748
ACCESS-CM2,ssp126,2019,433.65580907
ACCESS-CM2,ssp126,2020,576.86323551
ACCESS-CM2,ssp126,2021,521.65219360
ACCESS-CM2,ssp126,2022,473.84730799
ACCESS-CM2,ssp126,2023,506.58990223
ACCESS-CM2,ssp126,2024,539.01955458
ACCESS-CM2,ssp126,2025,511.82203088
ACCESS-CM2,ssp126,2026,653.08946570
ACCESS-CM2,ssp126,2027,468.54248748
ACCESS-CM2,ssp126,2028,476.40608469
ACCESS-CM2,ssp126,2029,572.91817486
ACCESS-CM2,ssp126,2030,484.82083097
ACCESS-CM2,ssp126,2031,546.84770367
ACCESS-CM2,ssp126,2032,435.64515637
ACCESS-CM2,ssp126,2033,435.44313005
ACCESS-CM2,ssp126,2034,452.49633376
ACCESS-CM2,ssp126,2035,506.32329042
