model,experiment,year,pr
ACCESS-CM2,historical,1960,254.01001771
ACCESS-CM2,historical,1961,255.11135563
ACCESS-CM2,historical,1962,243.81425936
ACCESS-CM2,historical,1963,204.87857262
ACCESS-CM2,historical,1964,273.65485348
ACCESS-CM2,historical,1965,315.65136717
ACCESS-CM2,historical,1966,232.69901446
ACCESS-CM2,historical,1967,220.25074882
ACCESS-CM2,historical,1968,239.42330749
ACCESS-CM2,historical,1969,277.73368948
ACCESS-CM2,historical,1970,368.23438810
ACCESS-CM2,historical,1971,231.12902820
ACCESS-CM2,historical,1972,218.20065097
ACCESS-CM2,historical,1973,232.94012300
ACCESS-CM2,historical,1974,311.24638814
ACCESS-CM2,historical,1975,196.19690211
ACCESS-CM2,historical,1976,329.64405698
ACCESS-CM2,historical,1977,225.24606176
ACCESS-CM2,historical,1978,301.17106284
ACCESS-CM2,historical,1979,314.10454073
ACCESS-CM2,historical,1980,346.36007528
ACCESS-CM2,historical,1981,187.02839431
ACCESS-CM2,historical,1982,233.26380976
ACCESS-CM2,historical,1983,237.33201811
ACCESS-CM2,historical,1984,248.18503327
ACCESS-CM2,historical,1985,273.19754972
ACCESS-CM2,historical,1986,267.16402091
ACCESS-CM2,historical,1987,276.79444258
ACCESS-CM2,historical,1988,293.44998954
ACCESS-CM2,historical,1989,229.96695696
ACCESS-CM2,historical,1990,305.75751841
ACCESS-CM2,historical,1991,373.76249940
ACCESS-CM2,historical,1992,253.30762441
ACCESS-CM2,historical,1993,347.92011708
ACCESS-CM2,historical,1994,279.32306960
ACCESS-CM2,historical,1995,179.02272649
ACCESS-CM2,historical,1996,226.20085951
ACCESS-CM2,historical,1997,310.43049795
ACCESS-CM2,historical,1998,250.84270563
ACCESS-CM2,historical,1999,293.81633730
ACCESS-CM2,historical,2000,303.92289999
ACCESS-CM2,historical,2001,384.81270613
ACCESS-CM2,historical,2002,202.01853950
ACCESS-CM2,historical,2003,170.05510239
ACCESS-CM2,historical,2004,283.16713381
ACCESS-CM2,historical,2005,262.41369119
ACCESS-CM2,historical,2006,210.63617846
ACCESS-CM2,historical,2007,214.05189444
ACCESS-CM2,historical,2008,273.29636573
ACCESS-CM2,historical,2009,234.67529357
ACCESS-CM2,historical,2010,208.01220945
ACCESS-CM2,historical,2011,250.34486779
ACCESS-CM2,historical,2012,338.45845376
ACCESS-CM2,historical,2013,184.12875502
ACCESS-CM2,historical,2014,260.06820130
ACCESS-CM2,ssp126,2015,228.08694102
ACCESS-CM2,ssp126,2016,307.26177541
ACCESS-CM2,ssp126,2017,296.10094711
ACCESS-CM2,ssp126,2018,247.00043321
ACCESS-CM2,ssp126,2019,261.52197204
ACCESS-CM2,ssp126,2020,356.19442303
ACCESS-CM2,ssp126,2021,308.97688961
ACCESS-CM2,ssp126,2022,294.29668954
ACCESS-CM2,ssp126,2023,299.34157780
ACCESS-CM2,ssp126,2024,308.42211527
ACCESS-CM2,ssp126,2025,309.67945163
ACCESS-CM2,ssp126,2026,419.38583060
ACCESS-CM2,ssp126,2027,220.97892416
ACCESS-CM2,ssp126,2028,256.70888994
ACCESS-CM2,ssp126,2029,356.81562032
ACCESS-CM2,ssp126,2030,273.59493809
ACCESS-CM2,ssp126,2031,324.23503419
ACCESS-CM2,ssp126,2032,183.43362220
ACCESS-CM2,ssp126,2033,239.39175403
ACCESS-CM2,ssp126,2034,281.52778948
ACCESS-CM2,ssp126,2035,291.17793849
ACCESS-CM2,ssp126,2036,255.53430013
ACCESS-CM2,ssp126,2037,267.30030213
ACCESS-CM2,ssp126,2038,225.10808403
ACCESS-CM2,ssp126,2039,290.26640692
ACCESS-CM2,ssp126,2040,299.85235385
ACCESS-CM2,ssp126,2041,299.28223034
ACCESS-CM2,ssp126,2042,259.66151639
ACCESS-CM2,ssp126,2043,209.37894250
ACCESS-CM2,ssp126,2044,213.48803725
ACCESS-CM2,ssp126,2045,237.42807330
ACCESS-CM2,ssp126,2046,379.84058745
ACCESS-CM2,ssp126,2047,317.21983002
ACCESS-CM2,ssp126,2048,267.43817734
ACCESS-CM2,ssp126,2049,325.10680980
ACCESS-CM2,ssp126,2050,301.69450114
ACCESS-CM2,ssp126,2051,197.41175036
ACCESS-CM2,ssp126,2052,348.48736327
ACCESS-CM2,ssp126,2053,293.61605878
ACCESS-CM2,ssp126,2054,336.81524916
ACCESS-CM2,ssp126,2055,210.89620707
ACCESS-CM2,ssp126,2056,289.31748186
ACCESS-CM2,ssp126,2057,278.73605332
