model,experiment,year,pr
ACCESS-CM2,historical,1960,472.78188550
ACCESS-CM2,historical,1961,528.41634899
ACCESS-CM2,historical,1962,813.10438743
ACCESS-CM2,historical,1963,643.88834061
ACCESS-CM2,historical,1964,758.68337751
ACCESS-CM2,historical,1965,582.28487438
ACCESS-CM2,historical,1966,709.19267478
ACCESS-CM2,historical,1967,585.95391268
ACCESS-CM2,historical,1968,660.65485230
ACCESS-CM2,historical,1969,560.91662437
ACCESS-CM2,historical,1970,725.04443042
ACCESS-CM2,historical,1971,564.93201515
ACCESS-CM2,historical,1972,815.07507466
ACCESS-CM2,historical,1973,647.52815197
ACCESS-CM2,historical,1974,790.57412911
ACCESS-CM2,historical,1975,576.89799996
ACCESS-CM2,historical,1976,770.16922697
ACCESS-CM2,historical,1977,464.58889093
ACCESS-CM2,historical,1978,848.26563054
ACCESS-CM2,historical,1979,825.70445552
ACCESS-CM2,historical,1980,870.51210330
ACCESS-CM2,historical,1981,568.43676554
ACCESS-CM2,historical,1982,727.06373720
ACCESS-CM2,historical,1983,596.31762135
ACCESS-CM2,historical,1984,558.93668596
ACCESS-CM2,historical,1985,709.26449331
ACCESS-CM2,historical,1986,580.53036783
ACCESS-CM2,historical,1987,604.53624361
ACCESS-CM2,historical,1988,574.41502084
ACCESS-CM2,historical,1989,899.60731746
ACCESS-CM2,historical,1990,587.34264547
ACCESS-CM2,historical,1991,809.27558689
ACCESS-CM2,historical,1992,656.38882191
ACCESS-CM2,historical,1993,796.94849742
ACCESS-CM2,historical,1994,612.16796984
ACCESS-CM2,historical,1995,622.64404944
ACCESS-CM2,historical,1996,649.17550397
ACCESS-CM2,historical,1997,761.33271114
ACCESS-CM2,historical,1998,667.73077704
ACCESS-CM2,historical,1999,685.24006422
ACCESS-CM2,historical,2000,645.93938602
ACCESS-CM2,historical,2001,652.48776869
ACCESS-CM2,historical,2002,466.51451663
ACCESS-CM2,historical,2003,471.62003062
ACCESS-CM2,historical,2004,658.40243752
ACCESS-CM2,historical,2005,555.43224701
ACCESS-CM2,historical,2006,375.63802012
ACCESS-CM2,historical,2007,496.79742080
ACCESS-CM2,historical,2008,497.01185141
ACCESS-CM2,historical,2009,714.81000909
ACCESS-CM2,historical,2010,740.30935701
ACCESS-CM2,historical,2011,563.41217628
ACCESS-CM2,historical,2012,701.87178393
ACCESS-CM2,historical,2013,705.10672111
ACCESS-CM2,historical,2014,580.23378415
ACCESS-CM2,ssp126,2015,741.93457490
ACCESS-CM2,ssp126,2016,497.97664343
ACCESS-CM2,ssp126,2017,664.51289412
ACCESS-CM2,ssp126,2018,484.98088039
ACCESS-CM2,ssp126,2019,461.53174283
ACCESS-CM2,ssp126,2020,788.71675444
ACCESS-CM2,ssp126,2021,751.54926015
ACCESS-CM2,ssp126,2022,740.40102434
ACCESS-CM2,ssp126,2023,749.76413908
ACCESS-CM2,ssp126,2024,671.53192766
ACCESS-CM2,ssp126,2025,726.06190549
ACCESS-CM2,ssp126,2026,840.85196615
ACCESS-CM2,ssp126,2027,698.51731017
ACCESS-CM2,ssp126,2028,712.49302900
ACCESS-CM2,ssp126,2029,905.38920142
ACCESS-CM2,ssp126,2030,656.44921742
ACCESS-CM2,ssp126,2031,621.44296812
ACCESS-CM2,ssp126,2032,662.71574705
ACCESS-CM2,ssp126,2033,593.59388294
ACCESS-CM2,ssp126,2034,620.82578547
ACCESS-CM2,ssp126,2035,784.12826506
ACCESS-CM2,ssp126,2036,495.87373102
ACCESS-CM2,ssp126,2037,829.33739771
ACCESS-CM2,ssp126,2038,644.29464974
ACCESS-CM2,ssp126,2039,757.82889387
ACCESS-CM2,ssp126,2040,771.55005138
ACCESS-CM2,ssp126,2041,667.21881867
ACCESS-CM2,ssp126,2042,600.19846717
ACCESS-CM2,ssp126,2043,561.82852008
ACCESS-CM2,ssp126,2044,340.95390629
ACCESS-CM2,ssp126,2045,515.77628310
ACCESS-CM2,ssp126,2046,701.22782370
ACCESS-CM2,ssp126,2047,683.82287154
ACCESS-CM2,ssp126,2048,440.07614202
ACCESS-CM2,ssp126,2049,1021.16606179
ACCESS-CM2,ssp126,2050,664.82357354
ACCESS-CM2,ssp126,2051,542.21948984
ACCESS-CM2,ssp126,2052,538.06717530
ACCESS-CM2,ssp126,2053,660.97792171
ACCESS-CM2,ssp126,2054,577.70968242
ACCESS-CM2,ssp126,2055,686.82182411
ACCESS-CM2,ssp126,2056,481.70359639
ACCESS-CM2,ssp126,2057,560.05786225
ACCESS-CM2,ssp126,2058,649.75054042
ACCESS-CM2,ssp126,2059,595.52847889
ACCESS-CM2,ssp126,2060,850.28206920
ACCESS-CM2,ssp126,2061,647.82463980
ACCESS-CM2,ssp126,2062,783.10862367
ACCESS-CM2,ssp126,2063,462.28003359
ACCESS-CM2,ssp126,2064,648.36857814
ACCESS-CM2,ssp126,2065,774.91076833
ACCESS-CM2,ssp126,2066,730.62656592
ACCESS-CM2,ssp126,2067,784.30682505
ACCESS-CM2,ssp126,2068,694.25039547
ACCESS-CM2,ssp126,2069,423.67929075
ACCESS-CM2,ssp126,2070,819.72189866
