model,experiment,year,pr
ACCESS-CM2,historical,1960,104.90466220
ACCESS-CM2,historical,1961,120.23652862
ACCESS-CM2,historical,1962,83.94799037
ACCESS-CM2,historical,1963,165.10913918
ACCESS-CM2,historical,1964,108.18712125
ACCESS-CM2,historical,1965,157.85930920
ACCESS-CM2,historical,1966,170.32952755
ACCESS-CM2,historical,1967,156.12032184
ACCESS-CM2,historical,1968,107.49283245
ACCESS-CM2,historical,1969,99.24205361
ACCESS-CM2,historical,1970,102.67337592
ACCESS-CM2,historical,1971,119.28775593
ACCESS-CM2,historical,1972,122.49833020
ACCESS-CM2,historical,1973,127.18182925
ACCESS-CM2,historical,1974,77.74499245
ACCESS-CM2,historical,1975,130.51518968
ACCESS-CM2,historical,1976,240.25640947
ACCESS-CM2,historical,1977,117.25265052
ACCESS-CM2,historical,1978,139.17391895
ACCESS-CM2,historical,1979,28.69921373
ACCESS-CM2,historical,1980,144.01816691
ACCESS-CM2,historical,1981,226.87624871
ACCESS-CM2,historical,1982,193.40423941
ACCESS-CM2,historical,1983,114.37892200
ACCESS-CM2,historical,1984,147.37337500
ACCESS-CM2,historical,1985,96.78507831
ACCESS-CM2,historical,1986,121.61342660
ACCESS-CM2,historical,1987,157.77810938
ACCESS-CM2,historical,1988,57.12238149
ACCESS-CM2,historical,1989,204.12048727
ACCESS-CM2,historical,1990,69.83837835
ACCESS-CM2,historical,1991,153.43900336
ACCESS-CM2,historical,1992,116.91324555
ACCESS-CM2,historical,1993,42.38392674
ACCESS-CM2,historical,1994,111.34251026
ACCESS-CM2,historical,1995,102.28547535
ACCESS-CM2,historical,1996,149.88727345
ACCESS-CM2,historical,1997,151.48535177
ACCESS-CM2,historical,1998,79.15914099
ACCESS-CM2,historical,1999,96.35929684
ACCESS-CM2,historical,2000,66.78031628
ACCESS-CM2,historical,2001,134.06683400
ACCESS-CM2,historical,2002,124.97971241
ACCESS-CM2,historical,2003,120.78708541
ACCESS-CM2,historical,2004,133.32477568
ACCESS-CM2,historical,2005,113.23702139
ACCESS-CM2,historical,2006,148.12157033
ACCESS-CM2,historical,2007,123.25536130
ACCESS-CM2,historical,2008,55.75779992
ACCESS-CM2,historical,2009,120.83784581
ACCESS-CM2,historical,2010,174.45052394
ACCESS-CM2,historical,2011,126.02193760
ACCESS-CM2,historical,2012,116.80908264
ACCESS-CM2,historical,2013,143.29401548
ACCESS-CM2,historical,2014,67.59432355
ACCESS-CM2,ssp126,2015,84.27223526
ACCESS-CM2,ssp126,2016,76.38304398
