model,experiment,year,pr
ACCESS-CM2,historical,1960,150.43926888
ACCESS-CM2,historical,1961,159.27639826
ACCESS-CM2,historical,1962,118.65229992
ACCESS-CM2,historical,1963,176.83478337
ACCESS-CM2,historical,1964,195.92696650
ACCESS-CM2,historical,1965,215.01631705
ACCESS-CM2,historical,1966,159.26303884
ACCESS-CM2,historical,1967,168.55315195
ACCESS-CM2,historical,1968,154.87794971
ACCESS-CM2,historical,1969,185.21313223
ACCESS-CM2,historical,1970,238.36692845
ACCESS-CM2,historical,1971,119.39723339
ACCESS-CM2,historical,1972,116.95953480
ACCESS-CM2,historical,1973,120.22110427
ACCESS-CM2,historical,1974,196.56874593
ACCESS-CM2,historical,1975,178.87493987
ACCESS-CM2,historical,1976,209.58739916
ACCESS-CM2,historical,1977,142.63892136
ACCESS-CM2,historical,1978,184.96331809
ACCESS-CM2,historical,1979,122.46584836
ACCESS-CM2,historical,1980,128.97586688
ACCESS-CM2,historical,1981,134.87933301
ACCESS-CM2,historical,1982,124.89003210
ACCESS-CM2,historical,1983,136.78508635
ACCESS-CM2,historical,1984,188.73096476
ACCESS-CM2,historical,1985,163.40647696
ACCESS-CM2,historical,1986,134.24442835
ACCESS-CM2,historical,1987,152.76414317
ACCESS-CM2,historical,1988,121.69819908
ACCESS-CM2,historical,1989,243.07428021
ACCESS-CM2,historical,1990,152.37221207
ACCESS-CM2,historical,1991,210.99304721
ACCESS-CM2,historical,1992,149.06067944
ACCESS-CM2,historical,1993,177.62541926
ACCESS-CM2,historical,1994,164.75393135
ACCESS-CM2,historical,1995,194.94841250
ACCESS-CM2,historical,1996,183.27997182
ACCESS-CM2,historical,1997,184.06521689
ACCESS-CM2,historical,1998,157.06773667
ACCESS-CM2,historical,1999,106.38582718
ACCESS-CM2,historical,2000,177.65166779
ACCESS-CM2,historical,2001,171.82536456
ACCESS-CM2,historical,2002,134.60731381
ACCESS-CM2,historical,2003,91.78172234
ACCESS-CM2,historical,2004,160.27827319
ACCESS-CM2,historical,2005,159.83090666
ACCESS-CM2,historical,2006,131.86855694
ACCESS-CM2,historical,2007,113.59822322
ACCESS-CM2,historical,2008,172.05538776
ACCESS-CM2,historical,2009,165.68622383
ACCESS-CM2,historical,2010,141.83250636
ACCESS-CM2,historical,2011,179.21935681
ACCESS-CM2,historical,2012,208.18324584
ACCESS-CM2,historical,2013,91.64452445
ACCESS-CM2,historical,2014,193.00315961
ACCESS-CM2,ssp126,2015,129.65517082
ACCESS-CM2,ssp126,2016,149.55969203
ACCESS-CM2,ssp126,2017,189.68054924
ACCESS-CM2,ssp126,2018,155.35785235
ACCESS-CM2,ssp126,2019,142.68839814
ACCESS-CM2,ssp126,2020,193.15671739
ACCESS-CM2,ssp126,2021,175.36932566
ACCESS-CM2,ssp126,2022,184.78635473
ACCESS-CM2,ssp126,2023,152.27905019
ACCESS-CM2,ssp126,2024,213.46573830
ACCESS-CM2,ssp126,2025,147.65827201
ACCESS-CM2,ssp126,2026,251.94837658
ACCESS-CM2,ssp126,2027,137.22783880
ACCESS-CM2,ssp126,2028,156.86842070
ACCESS-CM2,ssp126,2029,206.99861113
ACCESS-CM2,ssp126,2030,213.22364596
ACCESS-CM2,ssp126,2031,177.37301519
ACCESS-CM2,ssp126,2032,143.35611484
ACCESS-CM2,ssp126,2033,187.44772355
ACCESS-CM2,ssp126,2034,166.35441806
ACCESS-CM2,ssp126,2035,155.60747614
ACCESS-CM2,ssp126,2036,141.11303890
ACCESS-CM2,ssp126,2037,178.66111202
ACCESS-CM2,ssp126,2038,178.37942526
ACCESS-CM2,ssp126,2039,169.22645412
ACCESS-CM2,ssp126,2040,129.52045115
ACCESS-CM2,ssp126,2041,181.27084476
ACCESS-CM2,ssp126,2042,143.06847567
ACCESS-CM2,ssp126,2043,184.79827475
ACCESS-CM2,ssp126,2044,128.72540685
ACCESS-CM2,ssp126,2045,168.12178791
ACCESS-CM2,ssp126,2046,168.56433784
ACCESS-CM2,ssp126,2047,113.87188093
ACCESS-CM2,ssp126,2048,160.80375613
ACCESS-CM2,ssp126,2049,183.07780380
