model,experiment,year,pr
ACCESS-CM2,historical,1960,80.62890641
ACCESS-CM2,historical,1961,83.88603654
ACCESS-CM2,historical,1962,50.27385245
ACCESS-CM2,historical,1963,72.25597631
ACCESS-CM2,historical,1964,99.45385651
ACCESS-CM2,historical,1965,116.75279971
ACCESS-CM2,historical,1966,67.18382299
ACCESS-CM2,historical,1967,72.40746829
ACCESS-CM2,historical,1968,87.81811780
ACCESS-CM2,historical,1969,130.63749345
ACCESS-CM2,historical,1970,156.04685352
ACCESS-CM2,historical,1971,53.97743321
ACCESS-CM2,historical,1972,57.95618937
ACCESS-CM2,historical,1973,42.06816985
ACCESS-CM2,historical,1974,101.05231715
ACCESS-CM2,historical,1975,90.57830756
ACCESS-CM2,historical,1976,103.06683769
ACCESS-CM2,historical,1977,70.09161749
ACCESS-CM2,historical,1978,102.00229333
ACCESS-CM2,historical,1979,67.44559061
ACCESS-CM2,historical,1980,89.68045622
ACCESS-CM2,historical,1981,25.69979354
ACCESS-CM2,historical,1982,23.05663347
ACCESS-CM2,historical,1983,89.60611248
ACCESS-CM2,historical,1984,56.67114057
ACCESS-CM2,historical,1985,79.87344745
ACCESS-CM2,historical,1986,50.65937269
ACCESS-CM2,historical,1987,58.13206131
ACCESS-CM2,historical,1988,72.45589948
ACCESS-CM2,historical,1989,114.63075591
ACCESS-CM2,historical,1990,101.34814138
ACCESS-CM2,historical,1991,129.65299302
ACCESS-CM2,historical,1992,77.21365100
ACCESS-CM2,historical,1993,127.91532252
ACCESS-CM2,historical,1994,90.44166190
ACCESS-CM2,historical,1995,63.49862606
ACCESS-CM2,historical,1996,115.12383157
ACCESS-CM2,historical,1997,86.14160132
ACCESS-CM2,historical,1998,103.86270899
ACCESS-CM2,historical,1999,75.96103618
ACCESS-CM2,historical,2000,103.91220463
ACCESS-CM2,historical,2001,79.42004638
ACCESS-CM2,historical,2002,70.04482224
ACCESS-CM2,historical,2003,38.49765828
ACCESS-CM2,historical,2004,76.46758841
ACCESS-CM2,historical,2005,88.54636546
ACCESS-CM2,historical,2006,67.58725060
ACCESS-CM2,historical,2007,37.51028812
ACCESS-CM2,historical,2008,112.23314650
ACCESS-CM2,historical,2009,78.85188064
ACCESS-CM2,historical,2010,62.85104682
ACCESS-CM2,historical,2011,90.27059908
ACCESS-CM2,historical,2012,143.46969606
ACCESS-CM2,historical,2013,38.61765097
ACCESS-CM2,historical,2014,130.97227622
ACCESS-CM2,ssp126,2015,72.66181951
ACCESS-CM2,ssp126,2016,111.17915608
ACCESS-CM2,ssp126,2017,106.67026178
ACCESS-CM2,ssp126,2018,75.58885691
ACCESS-CM2,ssp126,2019,81.22928271
ACCESS-CM2,ssp126,2020,123.86925343
ACCESS-CM2,ssp126,2021,100.93180004
ACCESS-CM2,ssp126,2022,89.12190006
ACCESS-CM2,ssp126,2023,82.84682132
ACCESS-CM2,ssp126,2024,129.63256804
ACCESS-CM2,ssp126,2025,55.99759615
ACCESS-CM2,ssp126,2026,181.32313770
ACCESS-CM2,ssp126,2027,62.39781583
ACCESS-CM2,ssp126,2028,89.93662546
ACCESS-CM2,ssp126,2029,99.14786964
ACCESS-CM2,ssp126,2030,98.89387896
ACCESS-CM2,ssp126,2031,107.10067763
ACCESS-CM2,ssp126,2032,38.66431430
ACCESS-CM2,ssp126,2033,109.01696517
ACCESS-CM2,ssp126,2034,109.00477063
ACCESS-CM2,ssp126,2035,97.27850591
ACCESS-CM2,ssp126,2036,82.27931815
ACCESS-CM2,ssp126,2037,82.08409260
ACCESS-CM2,ssp126,2038,74.42181130
ACCESS-CM2,ssp126,2039,75.24964054
ACCESS-CM2,ssp126,2040,63.12475582
ACCESS-CM2,ssp126,2041,88.44499302
ACCESS-CM2,ssp126,2042,43.23530802
ACCESS-CM2,ssp126,2043,62.85945793
ACCESS-CM2,ssp126,2044,68.78955272
ACCESS-CM2,ssp126,2045,83.30833283
ACCESS-CM2,ssp126,2046,101.22058813
ACCESS-CM2,ssp126,2047,83.80464083
ACCESS-CM2,ssp126,2048,107.45091098
ACCESS-CM2,ssp126,2049,89.13241894
ACCESS-CM2,ssp126,2050,54.63954454
ACCESS-CM2,ssp126,2051,53.20230503
ACCESS-CM2,ssp126,2052,124.89156705
ACCESS-CM2,ssp126,2053,80.43395248
ACCESS-CM2,ssp126,2054,164.68151427
ACCESS-CM2,ssp126,2055,45.23335007
ACCESS-CM2,ssp126,2056,85.50187387
ACCESS-CM2,ssp126,2057,102.29238134
ACCESS-CM2,ssp126,2058,97.40009319
ACCESS-CM2,ssp126,2059,68.74768517
ACCESS-CM2,ssp126,2060,128.41652209
ACCESS-CM2,ssp126,2061,121.48649015
ACCESS-CM2,ssp126,2062,103.81633492
ACCESS-CM2,ssp126,2063,63.91337517
ACCESS-CM2,ssp126,2064,230.86684325
ACCESS-CM2,ssp126,2065,89.28991060
ACCESS-CM2,ssp126,2066,72.41880271
ACCESS-CM2,ssp126,2067,80.00490260
ACCESS-CM2,ssp126,2068,98.41656073
ACCESS-CM2,ssp126,2069,102.62506327
ACCESS-CM2,ssp126,2070,129.80755818
ACCESS-CM2,ssp126,2071,57.29776676
ACCESS-CM2,ssp126,2072,83.28219679
ACCESS-CM2,ssp126,2073,22.58768938
ACCESS-CM2,ssp126,2074,136.27230667
ACCESS-CM2,ssp126,2075,58.30174784
ACCESS-CM2,ssp126,2076,101.71328221
ACCESS-CM2,ssp126,2077,97.21236999
ACCESS-CM2,ssp126,2078,41.46825578
ACCESS-CM2,ssp126,2079,66.43696210
ACCESS-CM2,ssp126,2080,133.69792465
ACCESS-CM2,ssp126,2081,52.19817464
ACCESS-CM2,ssp126,2082,94.29402226
ACCESS-CM2,ssp126,2083,130.46935894
ACCESS-CM2,ssp126,2084,101.65241348
ACCESS-CM2,ssp126,2085,64.13174951
ACCESS-CM2,ssp126,2086,184.21972913
ACCESS-CM2,ssp126,2087,63.56250014
ACCESS-CM2,ssp126,2088,120.40109271
ACCESS-CM2,ssp126,2089,110.76795364
ACCESS-CM2,ssp126,2090,146.96115367
ACCESS-CM2,ssp126,2091,87.51409165
ACCESS-CM2,ssp126,2092,89.03869724
ACCESS-CM2,ssp126,2093,101.59826652
ACCESS-CM2,ssp126,2094,46.22247888
ACCESS-CM2,ssp126,2095,98.21184067
ACCESS-CM2,ssp126,2096,68.07961005
ACCESS-CM2,ssp126,2097,149.85708052
ACCESS-CM2,ssp126,2098,47.87092118
ACCESS-CM2,ssp126,2099,155.15328823
ACCESS-CM2,ssp245,2015,101.56881062
ACCESS-CM2,ssp245,2016,91.16270762
ACCESS-CM2,ssp245,2017,140.07589196
ACCESS-CM2,ssp245,2018,89.26130527
ACCESS-CM2,ssp245,2019,55.25168369
ACCESS-CM2,ssp245,2020,75.40850756
ACCESS-CM2,ssp245,2021,123.36762797
ACCESS-CM2,ssp245,2022,93.21733561
ACCESS-CM2,ssp245,2023,91.91129078
ACCESS-CM2,ssp245,2024,110.08134514
ACCESS-CM2,ssp245,2025,36.97779297
ACCESS-CM2,ssp245,2026,41.93426829
ACCESS-CM2,ssp245,2027,97.04263803
ACCESS-CM2,ssp245,2028,82.00904062
ACCESS-CM2,ssp245,2029,98.13567676
ACCESS-CM2,ssp245,2030,86.42722213
ACCESS-CM2,ssp245,2031,127.36626566
ACCESS-CM2,ssp245,2032,87.18761863
ACCESS-CM2,ssp245,2033,90.20334123
ACCESS-CM2,ssp245,2034,146.49691689
ACCESS-CM2,ssp245,2035,115.10752798
ACCESS-CM2,ssp245,2036,108.69411928
ACCESS-CM2,ssp245,2037,71.89571031
ACCESS-CM2,ssp245,2038,58.34497952
ACCESS-CM2,ssp245,2039,46.26361475
ACCESS-CM2,ssp245,2040,55.42619540
ACCESS-CM2,ssp245,2041,121.75951505
ACCESS-CM2,ssp245,2042,52.60414769
ACCESS-CM2,ssp245,2043,104.70224089
ACCESS-CM2,ssp245,2044,126.28618295
ACCESS-CM2,ssp245,2045,198.16880718
ACCESS-CM2,ssp245,2046,88.26232711
ACCESS-CM2,ssp245,2047,106.49031843
ACCESS-CM2,ssp245,2048,108.12698923
ACCESS-CM2,ssp245,2049,75.16958583
ACCESS-CM2,ssp245,2050,71.16146273
ACCESS-CM2,ssp245,2051,91.66586738
ACCESS-CM2,ssp245,2052,138.59052260
ACCESS-CM2,ssp245,2053,118.57689895
ACCESS-CM2,ssp245,2054,91.71487619
ACCESS-CM2,ssp245,2055,66.88061525
ACCESS-CM2,ssp245,2056,131.44292316
ACCESS-CM2,ssp245,2057,85.83683857
ACCESS-CM2,ssp245,2058,67.63487870
ACCESS-CM2,ssp245,2059,154.45701697
ACCESS-CM2,ssp245,2060,66.37266998
ACCESS-CM2,ssp245,2061,101.84252967
ACCESS-CM2,ssp245,2062,64.19807917
ACCESS-CM2,ssp245,2063,59.01396367
ACCESS-CM2,ssp245,2064,53.50652948
ACCESS-CM2,ssp245,2065,100.88987929
ACCESS-CM2,ssp245,2066,87.94488852
ACCESS-CM2,ssp245,2067,58.62433390
ACCESS-CM2,ssp245,2068,176.59769025
ACCESS-CM2,ssp245,2069,66.94778054
ACCESS-CM2,ssp245,2070,62.90572550
ACCESS-CM2,ssp245,2071,84.02257033
