model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.30354500
ACCESS-CM2,historical,1961,5.80940247
ACCESS-CM2,historical,1962,5.94168282
ACCESS-CM2,historical,1963,5.70444107
ACCESS-CM2,historical,1964,5.99287033
ACCESS-CM2,historical,1965,5.87810469
ACCESS-CM2,historical,1966,5.63316584
ACCESS-CM2,historical,1967,5.73428202
ACCESS-CM2,historical,1968,5.58346605
ACCESS-CM2,historical,1969,5.95277548
ACCESS-CM2,historical,1970,5.92053461
ACCESS-CM2,historical,1971,5.48717451
ACCESS-CM2,historical,1972,5.94855642
ACCESS-CM2,historical,1973,5.73759413
ACCESS-CM2,historical,1974,6.29551363
ACCESS-CM2,historical,1975,6.13025999
ACCESS-CM2,historical,1976,5.68933344
ACCESS-CM2,historical,1977,5.99150038
ACCESS-CM2,historical,1978,5.78257418
ACCESS-CM2,historical,1979,5.78294420
ACCESS-CM2,historical,1980,5.70045710
ACCESS-CM2,historical,1981,5.61335182
ACCESS-CM2,historical,1982,5.84683561
ACCESS-CM2,historical,1983,5.64427567
ACCESS-CM2,historical,1984,5.41549349
ACCESS-CM2,historical,1985,5.69627333
ACCESS-CM2,historical,1986,5.31062078
ACCESS-CM2,historical,1987,5.20576477
ACCESS-CM2,historical,1988,5.94663572
ACCESS-CM2,historical,1989,5.54891920
ACCESS-CM2,historical,1990,5.88653803
ACCESS-CM2,historical,1991,5.74782228
ACCESS-CM2,historical,1992,5.71396399
ACCESS-CM2,historical,1993,5.74938154
ACCESS-CM2,historical,1994,5.50813341
ACCESS-CM2,historical,1995,5.53499937
ACCESS-CM2,historical,1996,5.63601255
ACCESS-CM2,historical,1997,5.69122839
ACCESS-CM2,historical,1998,5.49636221
ACCESS-CM2,historical,1999,6.09044313
ACCESS-CM2,historical,2000,6.24889135
ACCESS-CM2,historical,2001,5.71949625
ACCESS-CM2,historical,2002,5.87996054
ACCESS-CM2,historical,2003,5.68455315
ACCESS-CM2,historical,2004,5.71195078
ACCESS-CM2,historical,2005,5.47015381
ACCESS-CM2,historical,2006,5.86391687
ACCESS-CM2,historical,2007,6.20817327
ACCESS-CM2,historical,2008,6.29712725
ACCESS-CM2,historical,2009,5.95253181
ACCESS-CM2,historical,2010,5.52316809
ACCESS-CM2,historical,2011,5.84679031
ACCESS-CM2,historical,2012,5.83023214
ACCESS-CM2,historical,2013,5.51994562
ACCESS-CM2,historical,2014,6.24488258
ACCESS-CM2,ssp126,2015,5.53126955
ACCESS-CM2,ssp126,2016,5.96256781
ACCESS-CM2,ssp126,2017,6.12430954
ACCESS-CM2,ssp126,2018,5.57351065
ACCESS-CM2,ssp126,2019,5.77880478
ACCESS-CM2,ssp126,2020,6.27100754
ACCESS-CM2,ssp126,2021,5.88885307
ACCESS-CM2,ssp126,2022,5.72049522
ACCESS-CM2,ssp126,2023,5.55908918
ACCESS-CM2,ssp126,2024,6.38136101
ACCESS-CM2,ssp126,2025,5.94453239
ACCESS-CM2,ssp126,2026,6.14618301
ACCESS-CM2,ssp126,2027,5.68302393
ACCESS-CM2,ssp126,2028,5.36997080
ACCESS-CM2,ssp126,2029,6.16646814
ACCESS-CM2,ssp126,2030,5.82679129
ACCESS-CM2,ssp126,2031,6.33254290
ACCESS-CM2,ssp126,2032,5.50800705
ACCESS-CM2,ssp126,2033,5.87817764
ACCESS-CM2,ssp126,2034,6.23494148
ACCESS-CM2,ssp126,2035,5.64460993
ACCESS-CM2,ssp126,2036,5.74860239
ACCESS-CM2,ssp126,2037,5.87125063
ACCESS-CM2,ssp126,2038,5.98844910
ACCESS-CM2,ssp126,2039,5.77202988
ACCESS-CM2,ssp126,2040,5.57089615
ACCESS-CM2,ssp126,2041,5.93882942
ACCESS-CM2,ssp126,2042,5.85014153
ACCESS-CM2,ssp126,2043,5.63682318
ACCESS-CM2,ssp126,2044,5.65972137
ACCESS-CM2,ssp126,2045,5.90114260
ACCESS-CM2,ssp126,2046,5.71216202
ACCESS-CM2,ssp126,2047,5.97495604
ACCESS-CM2,ssp126,2048,6.19313574
ACCESS-CM2,ssp126,2049,5.71580839
ACCESS-CM2,ssp126,2050,6.42657709
ACCESS-CM2,ssp126,2051,5.69419479
ACCESS-CM2,ssp126,2052,5.59069061
ACCESS-CM2,ssp126,2053,5.58919287
ACCESS-CM2,ssp126,2054,5.87866783
ACCESS-CM2,ssp126,2055,5.35750389
ACCESS-CM2,ssp126,2056,5.46991968
ACCESS-CM2,ssp126,2057,5.93507385
ACCESS-CM2,ssp126,2058,5.98341751
ACCESS-CM2,ssp126,2059,5.97430277
ACCESS-CM2,ssp126,2060,6.12508583
ACCESS-CM2,ssp126,2061,5.90605783
ACCESS-CM2,ssp126,2062,5.80207586
ACCESS-CM2,ssp126,2063,6.20363474
ACCESS-CM2,ssp126,2064,5.47871828
ACCESS-CM2,ssp126,2065,5.89178705
ACCESS-CM2,ssp126,2066,5.83466482
ACCESS-CM2,ssp126,2067,5.75277185
ACCESS-CM2,ssp126,2068,5.37448549
ACCESS-CM2,ssp126,2069,5.47977972
ACCESS-CM2,ssp126,2070,5.70028830
ACCESS-CM2,ssp126,2071,5.49401999
ACCESS-CM2,ssp126,2072,5.96923590
ACCESS-CM2,ssp126,2073,5.68489838
ACCESS-CM2,ssp126,2074,5.74957657
ACCESS-CM2,ssp126,2075,6.49034882
ACCESS-CM2,ssp126,2076,5.51283598
ACCESS-CM2,ssp126,2077,5.57276344
ACCESS-CM2,ssp126,2078,5.15804625
ACCESS-CM2,ssp126,2079,5.71569824
ACCESS-CM2,ssp126,2080,6.18175459
