model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,8.11827183
ACCESS-CM2,historical,1961,7.82206202
ACCESS-CM2,historical,1962,7.98724890
ACCESS-CM2,historical,1963,7.97452879
ACCESS-CM2,historical,1964,8.26479816
ACCESS-CM2,historical,1965,7.87439680
ACCESS-CM2,historical,1966,7.95999765
ACCESS-CM2,historical,1967,7.91119576
ACCESS-CM2,historical,1968,7.75023413
ACCESS-CM2,historical,1969,7.79892206
ACCESS-CM2,historical,1970,7.89577103
ACCESS-CM2,historical,1971,7.75461769
ACCESS-CM2,historical,1972,8.07999992
ACCESS-CM2,historical,1973,7.69708061
ACCESS-CM2,historical,1974,8.12769604
ACCESS-CM2,historical,1975,8.33187389
ACCESS-CM2,historical,1976,7.76472330
ACCESS-CM2,historical,1977,7.88609362
ACCESS-CM2,historical,1978,7.95422316
ACCESS-CM2,historical,1979,7.79016304
ACCESS-CM2,historical,1980,7.87267733
ACCESS-CM2,historical,1981,7.88078451
ACCESS-CM2,historical,1982,8.10666847
ACCESS-CM2,historical,1983,7.80226898
ACCESS-CM2,historical,1984,7.82162333
ACCESS-CM2,historical,1985,7.82734442
ACCESS-CM2,historical,1986,7.87002611
ACCESS-CM2,historical,1987,7.59640503
ACCESS-CM2,historical,1988,8.01742744
ACCESS-CM2,historical,1989,7.88445663
ACCESS-CM2,historical,1990,7.97287941
ACCESS-CM2,historical,1991,7.97432947
ACCESS-CM2,historical,1992,7.95911837
ACCESS-CM2,historical,1993,7.61818743
ACCESS-CM2,historical,1994,7.85180283
ACCESS-CM2,historical,1995,7.77588463
ACCESS-CM2,historical,1996,7.84613991
ACCESS-CM2,historical,1997,7.73566866
ACCESS-CM2,historical,1998,7.98326254
ACCESS-CM2,historical,1999,8.00164604
ACCESS-CM2,historical,2000,8.10131931
ACCESS-CM2,historical,2001,7.93634987
ACCESS-CM2,historical,2002,7.90022993
ACCESS-CM2,historical,2003,7.71181440
ACCESS-CM2,historical,2004,7.62439013
ACCESS-CM2,historical,2005,7.71881723
ACCESS-CM2,historical,2006,7.78744173
ACCESS-CM2,historical,2007,8.04741383
ACCESS-CM2,historical,2008,8.26723480
ACCESS-CM2,historical,2009,8.01245499
ACCESS-CM2,historical,2010,8.01279926
ACCESS-CM2,historical,2011,8.05137539
ACCESS-CM2,historical,2012,7.91315269
ACCESS-CM2,historical,2013,7.69692802
ACCESS-CM2,historical,2014,8.05615711
ACCESS-CM2,ssp126,2015,7.82256651
ACCESS-CM2,ssp126,2016,8.02472973
ACCESS-CM2,ssp126,2017,8.05696201
ACCESS-CM2,ssp126,2018,7.85270739
ACCESS-CM2,ssp126,2019,7.80746841
ACCESS-CM2,ssp126,2020,8.11092281
ACCESS-CM2,ssp126,2021,7.97575426
ACCESS-CM2,ssp126,2022,7.90575933
ACCESS-CM2,ssp126,2023,7.77316713
ACCESS-CM2,ssp126,2024,8.10821533
ACCESS-CM2,ssp126,2025,8.03040218
ACCESS-CM2,ssp126,2026,8.10676575
ACCESS-CM2,ssp126,2027,7.83645773
ACCESS-CM2,ssp126,2028,7.76772833
ACCESS-CM2,ssp126,2029,7.99281502
ACCESS-CM2,ssp126,2030,7.76174688
ACCESS-CM2,ssp126,2031,8.24181747
ACCESS-CM2,ssp126,2032,7.83460236
ACCESS-CM2,ssp126,2033,7.85657740
ACCESS-CM2,ssp126,2034,8.00534534
ACCESS-CM2,ssp126,2035,7.76774931
ACCESS-CM2,ssp126,2036,7.90460825
ACCESS-CM2,ssp126,2037,8.00334263
ACCESS-CM2,ssp126,2038,7.94942999
ACCESS-CM2,ssp126,2039,7.80558777
ACCESS-CM2,ssp126,2040,7.67593575
ACCESS-CM2,ssp126,2041,7.96534348
ACCESS-CM2,ssp126,2042,7.85375834
ACCESS-CM2,ssp126,2043,7.64119291
ACCESS-CM2,ssp126,2044,7.71418142
ACCESS-CM2,ssp126,2045,8.00550652
ACCESS-CM2,ssp126,2046,7.83383179
ACCESS-CM2,ssp126,2047,7.81298304
ACCESS-CM2,ssp126,2048,7.98118210
ACCESS-CM2,ssp126,2049,7.73902845
ACCESS-CM2,ssp126,2050,8.10313892
ACCESS-CM2,ssp126,2051,7.80170584
ACCESS-CM2,ssp126,2052,7.83953714
ACCESS-CM2,ssp126,2053,7.92787313
ACCESS-CM2,ssp126,2054,7.78526306
ACCESS-CM2,ssp126,2055,7.65268564
ACCESS-CM2,ssp126,2056,7.61346054
ACCESS-CM2,ssp126,2057,7.94448137
ACCESS-CM2,ssp126,2058,7.93759394
ACCESS-CM2,ssp126,2059,7.80049181
ACCESS-CM2,ssp126,2060,7.97112083
ACCESS-CM2,ssp126,2061,7.78837156
ACCESS-CM2,ssp126,2062,7.88574839
ACCESS-CM2,ssp126,2063,8.06579113
ACCESS-CM2,ssp126,2064,7.72777367
ACCESS-CM2,ssp126,2065,7.91188812
ACCESS-CM2,ssp126,2066,7.82424164
ACCESS-CM2,ssp126,2067,7.84831476
ACCESS-CM2,ssp126,2068,7.73415375
ACCESS-CM2,ssp126,2069,7.56185532
ACCESS-CM2,ssp126,2070,7.94187021
ACCESS-CM2,ssp126,2071,7.79842377
ACCESS-CM2,ssp126,2072,7.89531469
ACCESS-CM2,ssp126,2073,7.79042673
ACCESS-CM2,ssp126,2074,7.90916395
ACCESS-CM2,ssp126,2075,8.05121136
ACCESS-CM2,ssp126,2076,7.77189064
ACCESS-CM2,ssp126,2077,7.72458649
ACCESS-CM2,ssp126,2078,7.58876610
ACCESS-CM2,ssp126,2079,7.78170395
ACCESS-CM2,ssp126,2080,8.03120327
ACCESS-CM2,ssp126,2081,7.78071356
ACCESS-CM2,ssp126,2082,7.82382011
ACCESS-CM2,ssp126,2083,8.02724934
ACCESS-CM2,ssp126,2084,8.10509014
ACCESS-CM2,ssp126,2085,7.83848619
ACCESS-CM2,ssp126,2086,7.86988497
ACCESS-CM2,ssp126,2087,7.72229242
ACCESS-CM2,ssp126,2088,7.79465103
ACCESS-CM2,ssp126,2089,7.84935236
ACCESS-CM2,ssp126,2090,8.15680408
ACCESS-CM2,ssp126,2091,7.83480787
ACCESS-CM2,ssp126,2092,7.69588900
ACCESS-CM2,ssp126,2093,7.64119291
ACCESS-CM2,ssp126,2094,7.75720549
ACCESS-CM2,ssp126,2095,8.24776554
ACCESS-CM2,ssp126,2096,7.95743561
ACCESS-CM2,ssp126,2097,7.96963310
ACCESS-CM2,ssp126,2098,7.52197409
ACCESS-CM2,ssp126,2099,7.77360487
ACCESS-CM2,ssp126,2100,7.84422112
ACCESS-CM2,ssp245,2015,7.91393995
ACCESS-CM2,ssp245,2016,8.21730042
ACCESS-CM2,ssp245,2017,7.69233561
ACCESS-CM2,ssp245,2018,7.99143600
ACCESS-CM2,ssp245,2019,7.98532486
ACCESS-CM2,ssp245,2020,7.73712969
ACCESS-CM2,ssp245,2021,7.88578796
ACCESS-CM2,ssp245,2022,7.83376884
ACCESS-CM2,ssp245,2023,8.18525028
ACCESS-CM2,ssp245,2024,8.04455280
ACCESS-CM2,ssp245,2025,7.73897505
ACCESS-CM2,ssp245,2026,7.77948236
ACCESS-CM2,ssp245,2027,7.66657782
ACCESS-CM2,ssp245,2028,8.11761189
ACCESS-CM2,ssp245,2029,8.04731274
ACCESS-CM2,ssp245,2030,7.84797478
ACCESS-CM2,ssp245,2031,7.99016714
ACCESS-CM2,ssp245,2032,7.82708788
ACCESS-CM2,ssp245,2033,7.77918053
ACCESS-CM2,ssp245,2034,7.72778273
ACCESS-CM2,ssp245,2035,7.87580156
ACCESS-CM2,ssp245,2036,7.74706650
ACCESS-CM2,ssp245,2037,7.82923889
ACCESS-CM2,ssp245,2038,7.78755331
ACCESS-CM2,ssp245,2039,7.72563219
ACCESS-CM2,ssp245,2040,7.63142586
ACCESS-CM2,ssp245,2041,7.79589510
ACCESS-CM2,ssp245,2042,7.92542791
ACCESS-CM2,ssp245,2043,7.71759033
ACCESS-CM2,ssp245,2044,8.21455288
ACCESS-CM2,ssp245,2045,7.87887955
ACCESS-CM2,ssp245,2046,7.92061996
ACCESS-CM2,ssp245,2047,7.80184507
ACCESS-CM2,ssp245,2048,7.88709641
ACCESS-CM2,ssp245,2049,8.14489079
ACCESS-CM2,ssp245,2050,7.56524897
ACCESS-CM2,ssp245,2051,7.75361633
ACCESS-CM2,ssp245,2052,7.89363670
ACCESS-CM2,ssp245,2053,7.58777761
ACCESS-CM2,ssp245,2054,7.98547316
ACCESS-CM2,ssp245,2055,7.72298193
ACCESS-CM2,ssp245,2056,7.67169189
ACCESS-CM2,ssp245,2057,7.60892916
ACCESS-CM2,ssp245,2058,7.94871664
ACCESS-CM2,ssp245,2059,7.78838015
ACCESS-CM2,ssp245,2060,7.72480202
ACCESS-CM2,ssp245,2061,7.89018202
ACCESS-CM2,ssp245,2062,7.72708511
ACCESS-CM2,ssp245,2063,7.78270721
ACCESS-CM2,ssp245,2064,7.54874039
ACCESS-CM2,ssp245,2065,7.92698908
ACCESS-CM2,ssp245,2066,7.72811174
ACCESS-CM2,ssp245,2067,7.58785248
ACCESS-CM2,ssp245,2068,7.77514887
ACCESS-CM2,ssp245,2069,7.71330261
ACCESS-CM2,ssp245,2070,7.68345070
ACCESS-CM2,ssp245,2071,7.92906713
ACCESS-CM2,ssp245,2072,7.67592049
ACCESS-CM2,ssp245,2073,7.74864912
ACCESS-CM2,ssp245,2074,7.55549669
ACCESS-CM2,ssp245,2075,7.96221304
ACCESS-CM2,ssp245,2076,7.50697660
ACCESS-CM2,ssp245,2077,7.85802078
ACCESS-CM2,ssp245,2078,7.70212746
ACCESS-CM2,ssp245,2079,7.77872705
ACCESS-CM2,ssp245,2080,7.63382721
ACCESS-CM2,ssp245,2081,7.95313406
ACCESS-CM2,ssp245,2082,7.96924639
ACCESS-CM2,ssp245,2083,7.73873663
ACCESS-CM2,ssp245,2084,7.92047358
ACCESS-CM2,ssp245,2085,7.96015024
ACCESS-CM2,ssp245,2086,7.95993471
ACCESS-CM2,ssp245,2087,7.67741728
ACCESS-CM2,ssp245,2088,7.98129511
ACCESS-CM2,ssp245,2089,7.77854300
ACCESS-CM2,ssp245,2090,7.65161848
ACCESS-CM2,ssp245,2091,7.59985971
ACCESS-CM2,ssp245,2092,7.63991594
ACCESS-CM2,ssp245,2093,7.47198153
ACCESS-CM2,ssp245,2094,7.53541756
ACCESS-CM2,ssp245,2095,7.69201899
ACCESS-CM2,ssp245,2096,7.79905748
ACCESS-CM2,ssp245,2097,7.83534765
ACCESS-CM2,ssp245,2098,7.53546953
ACCESS-CM2,ssp245,2099,7.54311132
ACCESS-CM2,ssp245,2100,7.66105986
ACCESS-CM2,ssp370,2015,7.88016129
ACCESS-CM2,ssp370,2016,8.02936459
ACCESS-CM2,ssp370,2017,8.23725986
ACCESS-CM2,ssp370,2018,8.05765820
ACCESS-CM2,ssp370,2019,7.75306654
ACCESS-CM2,ssp370,2020,8.05577564
ACCESS-CM2,ssp370,2021,7.95287371
ACCESS-CM2,ssp370,2022,7.83199835
ACCESS-CM2,ssp370,2023,7.84992933
ACCESS-CM2,ssp370,2024,7.59210062
