model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,3.84536052
ACCESS-CM2,historical,1961,3.52714944
ACCESS-CM2,historical,1962,3.63942146
ACCESS-CM2,historical,1963,3.61234927
ACCESS-CM2,historical,1964,3.72846603
ACCESS-CM2,historical,1965,3.64053464
ACCESS-CM2,historical,1966,3.48901463
ACCESS-CM2,historical,1967,3.49327254
ACCESS-CM2,historical,1968,3.42773175
ACCESS-CM2,historical,1969,3.61578941
ACCESS-CM2,historical,1970,3.60729432
ACCESS-CM2,historical,1971,3.35629821
ACCESS-CM2,historical,1972,3.71082664
ACCESS-CM2,historical,1973,3.60997176
ACCESS-CM2,historical,1974,3.78330684
ACCESS-CM2,historical,1975,3.71152782
ACCESS-CM2,historical,1976,3.54110312
ACCESS-CM2,historical,1977,3.61590672
ACCESS-CM2,historical,1978,3.64178467
ACCESS-CM2,historical,1979,3.51173115
ACCESS-CM2,historical,1980,3.53328204
ACCESS-CM2,historical,1981,3.53576684
ACCESS-CM2,historical,1982,3.64189982
ACCESS-CM2,historical,1983,3.46233010
ACCESS-CM2,historical,1984,3.38049626
ACCESS-CM2,historical,1985,3.46976352
ACCESS-CM2,historical,1986,3.40209198
ACCESS-CM2,historical,1987,3.28619862
ACCESS-CM2,historical,1988,3.57383990
ACCESS-CM2,historical,1989,3.43842912
ACCESS-CM2,historical,1990,3.59882379
ACCESS-CM2,historical,1991,3.55333042
ACCESS-CM2,historical,1992,3.57529235
ACCESS-CM2,historical,1993,3.44529057
ACCESS-CM2,historical,1994,3.54154873
ACCESS-CM2,historical,1995,3.40772891
ACCESS-CM2,historical,1996,3.42671514
ACCESS-CM2,historical,1997,3.57485843
ACCESS-CM2,historical,1998,3.46265507
ACCESS-CM2,historical,1999,3.71160388
ACCESS-CM2,historical,2000,3.74881482
ACCESS-CM2,historical,2001,3.53455091
ACCESS-CM2,historical,2002,3.55722165
ACCESS-CM2,historical,2003,3.44359231
ACCESS-CM2,historical,2004,3.49841881
ACCESS-CM2,historical,2005,3.35095596
ACCESS-CM2,historical,2006,3.55888653
ACCESS-CM2,historical,2007,3.74611163
ACCESS-CM2,historical,2008,3.79969621
ACCESS-CM2,historical,2009,3.60854983
ACCESS-CM2,historical,2010,3.44946480
ACCESS-CM2,historical,2011,3.62408066
ACCESS-CM2,historical,2012,3.63021922
ACCESS-CM2,historical,2013,3.36310697
ACCESS-CM2,historical,2014,3.77466893
ACCESS-CM2,ssp126,2015,3.40304184
ACCESS-CM2,ssp126,2016,3.57883334
ACCESS-CM2,ssp126,2017,3.65697455
ACCESS-CM2,ssp126,2018,3.42016339
ACCESS-CM2,ssp126,2019,3.49523044
ACCESS-CM2,ssp126,2020,3.81455040
ACCESS-CM2,ssp126,2021,3.58155608
ACCESS-CM2,ssp126,2022,3.50179553
ACCESS-CM2,ssp126,2023,3.39602947
ACCESS-CM2,ssp126,2024,3.77406096
ACCESS-CM2,ssp126,2025,3.66264606
ACCESS-CM2,ssp126,2026,3.71549129
ACCESS-CM2,ssp126,2027,3.40806842
ACCESS-CM2,ssp126,2028,3.37927246
ACCESS-CM2,ssp126,2029,3.76052451
ACCESS-CM2,ssp126,2030,3.52723670
ACCESS-CM2,ssp126,2031,3.76417089
ACCESS-CM2,ssp126,2032,3.44284415
ACCESS-CM2,ssp126,2033,3.55289006
ACCESS-CM2,ssp126,2034,3.79204845
ACCESS-CM2,ssp126,2035,3.37647057
ACCESS-CM2,ssp126,2036,3.45601010
ACCESS-CM2,ssp126,2037,3.57732415
ACCESS-CM2,ssp126,2038,3.50781846
ACCESS-CM2,ssp126,2039,3.47330952
ACCESS-CM2,ssp126,2040,3.44655299
ACCESS-CM2,ssp126,2041,3.57472777
ACCESS-CM2,ssp126,2042,3.51892018
ACCESS-CM2,ssp126,2043,3.30857730
ACCESS-CM2,ssp126,2044,3.32404304
ACCESS-CM2,ssp126,2045,3.57571816
ACCESS-CM2,ssp126,2046,3.47724271
ACCESS-CM2,ssp126,2047,3.58471322
ACCESS-CM2,ssp126,2048,3.68391204
ACCESS-CM2,ssp126,2049,3.42541909
ACCESS-CM2,ssp126,2050,3.82273555
ACCESS-CM2,ssp126,2051,3.31762218
ACCESS-CM2,ssp126,2052,3.50123000
ACCESS-CM2,ssp126,2053,3.38971210
ACCESS-CM2,ssp126,2054,3.47561431
ACCESS-CM2,ssp126,2055,3.31589770
ACCESS-CM2,ssp126,2056,3.42236137
ACCESS-CM2,ssp126,2057,3.60181069
ACCESS-CM2,ssp126,2058,3.61890197
ACCESS-CM2,ssp126,2059,3.59235263
ACCESS-CM2,ssp126,2060,3.68597412
ACCESS-CM2,ssp126,2061,3.59501076
ACCESS-CM2,ssp126,2062,3.50905418
ACCESS-CM2,ssp126,2063,3.77525830
ACCESS-CM2,ssp126,2064,3.23993182
ACCESS-CM2,ssp126,2065,3.59465909
ACCESS-CM2,ssp126,2066,3.54667497
ACCESS-CM2,ssp126,2067,3.50701404
ACCESS-CM2,ssp126,2068,3.32561970
ACCESS-CM2,ssp126,2069,3.35652447
ACCESS-CM2,ssp126,2070,3.53764987
ACCESS-CM2,ssp126,2071,3.41942286
ACCESS-CM2,ssp126,2072,3.56112099
ACCESS-CM2,ssp126,2073,3.47959685
ACCESS-CM2,ssp126,2074,3.47135162
ACCESS-CM2,ssp126,2075,3.79939580
ACCESS-CM2,ssp126,2076,3.50007796
ACCESS-CM2,ssp126,2077,3.34242535
ACCESS-CM2,ssp126,2078,3.15595651
ACCESS-CM2,ssp126,2079,3.38428974
ACCESS-CM2,ssp126,2080,3.75881267
