model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.22515249
ACCESS-CM2,historical,1961,4.99259996
ACCESS-CM2,historical,1962,7.17760468
ACCESS-CM2,historical,1963,6.41209650
ACCESS-CM2,historical,1964,5.87285376
ACCESS-CM2,historical,1965,5.71988726
ACCESS-CM2,historical,1966,6.54582214
ACCESS-CM2,historical,1967,6.01664019
ACCESS-CM2,historical,1968,4.49508905
ACCESS-CM2,historical,1969,4.98156261
ACCESS-CM2,historical,1970,5.43877363
ACCESS-CM2,historical,1971,4.56107759
ACCESS-CM2,historical,1972,5.29511833
ACCESS-CM2,historical,1973,7.24260235
ACCESS-CM2,historical,1974,5.33946991
ACCESS-CM2,historical,1975,7.17332935
ACCESS-CM2,historical,1976,5.05202389
ACCESS-CM2,historical,1977,6.29609299
ACCESS-CM2,historical,1978,5.11793518
ACCESS-CM2,historical,1979,5.00141239
ACCESS-CM2,historical,1980,5.35801315
ACCESS-CM2,historical,1981,4.01417017
ACCESS-CM2,historical,1982,4.98445511
ACCESS-CM2,historical,1983,5.60668230
ACCESS-CM2,historical,1984,6.60481691
ACCESS-CM2,historical,1985,5.96390724
ACCESS-CM2,historical,1986,4.09228992
ACCESS-CM2,historical,1987,4.84423733
ACCESS-CM2,historical,1988,4.85780287
ACCESS-CM2,historical,1989,4.54224968
ACCESS-CM2,historical,1990,4.88796520
ACCESS-CM2,historical,1991,6.16255569
ACCESS-CM2,historical,1992,4.61620808
ACCESS-CM2,historical,1993,6.60123396
ACCESS-CM2,historical,1994,5.88896942
ACCESS-CM2,historical,1995,5.16036224
ACCESS-CM2,historical,1996,3.81574559
ACCESS-CM2,historical,1997,4.59638309
ACCESS-CM2,historical,1998,6.08702421
ACCESS-CM2,historical,1999,5.67969799
ACCESS-CM2,historical,2000,5.92831850
ACCESS-CM2,historical,2001,5.10130024
ACCESS-CM2,historical,2002,6.44050121
ACCESS-CM2,historical,2003,5.12476635
ACCESS-CM2,historical,2004,6.09239101
ACCESS-CM2,historical,2005,4.66315031
ACCESS-CM2,historical,2006,5.64588547
ACCESS-CM2,historical,2007,5.67498779
ACCESS-CM2,historical,2008,5.72198296
ACCESS-CM2,historical,2009,5.41113091
ACCESS-CM2,historical,2010,5.40741730
ACCESS-CM2,historical,2011,5.17513657
ACCESS-CM2,historical,2012,5.14241362
ACCESS-CM2,historical,2013,4.66066933
ACCESS-CM2,historical,2014,6.58913755
ACCESS-CM2,ssp126,2015,5.88183308
ACCESS-CM2,ssp126,2016,4.63320160
ACCESS-CM2,ssp126,2017,7.06599379
ACCESS-CM2,ssp126,2018,5.78712893
ACCESS-CM2,ssp126,2019,5.95828485
ACCESS-CM2,ssp126,2020,6.34563351
ACCESS-CM2,ssp126,2021,5.95588827
ACCESS-CM2,ssp126,2022,5.37881708
ACCESS-CM2,ssp126,2023,5.61112928
ACCESS-CM2,ssp126,2024,4.94783688
ACCESS-CM2,ssp126,2025,6.87218237
ACCESS-CM2,ssp126,2026,4.73395014
ACCESS-CM2,ssp126,2027,4.75635624
ACCESS-CM2,ssp126,2028,4.45705462
ACCESS-CM2,ssp126,2029,5.67117643
ACCESS-CM2,ssp126,2030,4.72017336
ACCESS-CM2,ssp126,2031,6.25260115
ACCESS-CM2,ssp126,2032,4.99195719
ACCESS-CM2,ssp126,2033,5.59323502
ACCESS-CM2,ssp126,2034,6.23040724
ACCESS-CM2,ssp126,2035,4.89008951
ACCESS-CM2,ssp126,2036,5.72476673
ACCESS-CM2,ssp126,2037,5.34114218
ACCESS-CM2,ssp126,2038,4.54168940
ACCESS-CM2,ssp126,2039,6.38433743
ACCESS-CM2,ssp126,2040,4.97014046
ACCESS-CM2,ssp126,2041,4.53472853
ACCESS-CM2,ssp126,2042,4.34596920
ACCESS-CM2,ssp126,2043,4.58119106
ACCESS-CM2,ssp126,2044,5.53811216
ACCESS-CM2,ssp126,2045,5.94345808
ACCESS-CM2,ssp126,2046,5.10861826
ACCESS-CM2,ssp126,2047,6.53458500
ACCESS-CM2,ssp126,2048,5.60997677
ACCESS-CM2,ssp126,2049,4.91802645
ACCESS-CM2,ssp126,2050,3.64509892
ACCESS-CM2,ssp126,2051,5.07703304
ACCESS-CM2,ssp126,2052,5.73896837
ACCESS-CM2,ssp126,2053,4.63219213
ACCESS-CM2,ssp126,2054,5.46297789
ACCESS-CM2,ssp126,2055,4.63791943
ACCESS-CM2,ssp126,2056,4.92116356
ACCESS-CM2,ssp126,2057,6.81569290
ACCESS-CM2,ssp126,2058,5.12616062
ACCESS-CM2,ssp126,2059,4.34800768
ACCESS-CM2,ssp126,2060,6.14655590
ACCESS-CM2,ssp126,2061,4.37614679
ACCESS-CM2,ssp126,2062,4.15582895
ACCESS-CM2,ssp126,2063,5.46139717
ACCESS-CM2,ssp126,2064,5.30692530
ACCESS-CM2,ssp126,2065,5.35866165
ACCESS-CM2,ssp126,2066,5.51175690
ACCESS-CM2,ssp126,2067,4.85811090
ACCESS-CM2,ssp126,2068,5.37558317
ACCESS-CM2,ssp126,2069,5.20298100
ACCESS-CM2,ssp126,2070,5.39334822
ACCESS-CM2,ssp126,2071,5.11966801
ACCESS-CM2,ssp126,2072,4.90732479
ACCESS-CM2,ssp126,2073,4.88317251
ACCESS-CM2,ssp126,2074,4.03227377
ACCESS-CM2,ssp126,2075,5.42833996
ACCESS-CM2,ssp126,2076,5.12118292
ACCESS-CM2,ssp126,2077,4.71005678
ACCESS-CM2,ssp126,2078,4.53444099
ACCESS-CM2,ssp126,2079,6.37303829
ACCESS-CM2,ssp126,2080,5.45147371
ACCESS-CM2,ssp126,2081,3.89629555
ACCESS-CM2,ssp126,2082,5.77303219
ACCESS-CM2,ssp126,2083,6.00087881
ACCESS-CM2,ssp126,2084,5.42608643
ACCESS-CM2,ssp126,2085,4.82781363
ACCESS-CM2,ssp126,2086,5.17258549
ACCESS-CM2,ssp126,2087,6.81161404
ACCESS-CM2,ssp126,2088,5.58581972
ACCESS-CM2,ssp126,2089,6.38258123
ACCESS-CM2,ssp126,2090,5.11575937
ACCESS-CM2,ssp126,2091,6.18279409
ACCESS-CM2,ssp126,2092,4.31152153
ACCESS-CM2,ssp126,2093,5.73581648
ACCESS-CM2,ssp126,2094,4.91251040
ACCESS-CM2,ssp126,2095,4.63902140
ACCESS-CM2,ssp126,2096,6.02476168
ACCESS-CM2,ssp126,2097,5.14563704
ACCESS-CM2,ssp126,2098,4.16727400
ACCESS-CM2,ssp126,2099,6.19049168
ACCESS-CM2,ssp126,2100,5.22992373
ACCESS-CM2,ssp245,2015,4.20012379
ACCESS-CM2,ssp245,2016,6.66803694
ACCESS-CM2,ssp245,2017,4.06304359
ACCESS-CM2,ssp245,2018,5.05804396
ACCESS-CM2,ssp245,2019,6.52793264
ACCESS-CM2,ssp245,2020,5.42203951
ACCESS-CM2,ssp245,2021,6.94245338
ACCESS-CM2,ssp245,2022,4.91357327
ACCESS-CM2,ssp245,2023,6.21191406
ACCESS-CM2,ssp245,2024,4.73615885
ACCESS-CM2,ssp245,2025,6.29766273
ACCESS-CM2,ssp245,2026,4.75762653
ACCESS-CM2,ssp245,2027,5.65608931
ACCESS-CM2,ssp245,2028,5.20125961
ACCESS-CM2,ssp245,2029,6.52004576
ACCESS-CM2,ssp245,2030,4.92600441
ACCESS-CM2,ssp245,2031,7.14098549
ACCESS-CM2,ssp245,2032,4.35078859
ACCESS-CM2,ssp245,2033,4.48287916
ACCESS-CM2,ssp245,2034,5.17589569
ACCESS-CM2,ssp245,2035,5.01634312
ACCESS-CM2,ssp245,2036,4.58553648
ACCESS-CM2,ssp245,2037,5.06778288
ACCESS-CM2,ssp245,2038,5.51281261
ACCESS-CM2,ssp245,2039,4.42381620
ACCESS-CM2,ssp245,2040,5.52504206
ACCESS-CM2,ssp245,2041,5.33787155
ACCESS-CM2,ssp245,2042,6.32766914
ACCESS-CM2,ssp245,2043,5.32999229
ACCESS-CM2,ssp245,2044,4.60375071
ACCESS-CM2,ssp245,2045,6.29310656
ACCESS-CM2,ssp245,2046,4.86993885
ACCESS-CM2,ssp245,2047,4.71711397
ACCESS-CM2,ssp245,2048,4.76700783
ACCESS-CM2,ssp245,2049,6.36992264
ACCESS-CM2,ssp245,2050,4.16162491
ACCESS-CM2,ssp245,2051,6.28531075
ACCESS-CM2,ssp245,2052,5.02059698
ACCESS-CM2,ssp245,2053,4.97753906
ACCESS-CM2,ssp245,2054,6.87032652
ACCESS-CM2,ssp245,2055,4.83253574
ACCESS-CM2,ssp245,2056,5.04451752
ACCESS-CM2,ssp245,2057,5.28151989
ACCESS-CM2,ssp245,2058,5.73250198
ACCESS-CM2,ssp245,2059,5.19097710
ACCESS-CM2,ssp245,2060,5.30172443
ACCESS-CM2,ssp245,2061,4.63556767
ACCESS-CM2,ssp245,2062,5.26651239
ACCESS-CM2,ssp245,2063,4.87864780
ACCESS-CM2,ssp245,2064,4.70850849
ACCESS-CM2,ssp245,2065,4.71161127
ACCESS-CM2,ssp245,2066,4.95490408
ACCESS-CM2,ssp245,2067,4.43359756
ACCESS-CM2,ssp245,2068,4.44144344
ACCESS-CM2,ssp245,2069,4.45498896
ACCESS-CM2,ssp245,2070,5.13653469
ACCESS-CM2,ssp245,2071,5.48434114
ACCESS-CM2,ssp245,2072,4.94758415
ACCESS-CM2,ssp245,2073,4.95652199
ACCESS-CM2,ssp245,2074,4.67502975
ACCESS-CM2,ssp245,2075,5.47781086
ACCESS-CM2,ssp245,2076,5.43246555
ACCESS-CM2,ssp245,2077,6.45103073
ACCESS-CM2,ssp245,2078,3.99472094
ACCESS-CM2,ssp245,2079,5.02417946
ACCESS-CM2,ssp245,2080,4.20136929
ACCESS-CM2,ssp245,2081,6.26920176
ACCESS-CM2,ssp245,2082,5.17507839
ACCESS-CM2,ssp245,2083,5.49329138
ACCESS-CM2,ssp245,2084,5.18149137
ACCESS-CM2,ssp245,2085,7.02158594
ACCESS-CM2,ssp245,2086,4.60633802
ACCESS-CM2,ssp245,2087,5.45853710
ACCESS-CM2,ssp245,2088,6.03006887
ACCESS-CM2,ssp245,2089,4.94526672
ACCESS-CM2,ssp245,2090,6.01752472
ACCESS-CM2,ssp245,2091,5.04346704
ACCESS-CM2,ssp245,2092,5.76619816
ACCESS-CM2,ssp245,2093,5.42933130
ACCESS-CM2,ssp245,2094,5.31672335
ACCESS-CM2,ssp245,2095,6.33682919
ACCESS-CM2,ssp245,2096,4.50360203
ACCESS-CM2,ssp245,2097,5.38419294
ACCESS-CM2,ssp245,2098,4.61084175
ACCESS-CM2,ssp245,2099,5.98961401
ACCESS-CM2,ssp245,2100,4.99808741
ACCESS-CM2,ssp370,2015,5.15553093
ACCESS-CM2,ssp370,2016,4.83042240
ACCESS-CM2,ssp370,2017,6.43622017
ACCESS-CM2,ssp370,2018,5.92380762
ACCESS-CM2,ssp370,2019,4.46216726
ACCESS-CM2,ssp370,2020,3.74441051
ACCESS-CM2,ssp370,2021,4.69249058
ACCESS-CM2,ssp370,2022,3.98251677
ACCESS-CM2,ssp370,2023,4.07513285
ACCESS-CM2,ssp370,2024,4.68344688
ACCESS-CM2,ssp370,2025,5.15797043
ACCESS-CM2,ssp370,2026,5.12984276
ACCESS-CM2,ssp370,2027,4.55594683
ACCESS-CM2,ssp370,2028,5.57621145
ACCESS-CM2,ssp370,2029,4.95570326
ACCESS-CM2,ssp370,2030,5.88429356
ACCESS-CM2,ssp370,2031,5.81480742
ACCESS-CM2,ssp370,2032,7.00418901
ACCESS-CM2,ssp370,2033,4.23466349
ACCESS-CM2,ssp370,2034,4.27551079
ACCESS-CM2,ssp370,2035,5.82291555
ACCESS-CM2,ssp370,2036,4.79063940
ACCESS-CM2,ssp370,2037,4.17056656
ACCESS-CM2,ssp370,2038,5.29483080
ACCESS-CM2,ssp370,2039,5.67994213
ACCESS-CM2,ssp370,2040,6.15960550
ACCESS-CM2,ssp370,2041,4.96701956
ACCESS-CM2,ssp370,2042,4.36195707
ACCESS-CM2,ssp370,2043,5.09409142
ACCESS-CM2,ssp370,2044,6.59047699
ACCESS-CM2,ssp370,2045,4.08161402
ACCESS-CM2,ssp370,2046,5.35231876
ACCESS-CM2,ssp370,2047,5.53835058
ACCESS-CM2,ssp370,2048,4.90907860
ACCESS-CM2,ssp370,2049,6.10982895
ACCESS-CM2,ssp370,2050,4.31651688
ACCESS-CM2,ssp370,2051,5.63806152
ACCESS-CM2,ssp370,2052,4.86237907
ACCESS-CM2,ssp370,2053,4.93378162
ACCESS-CM2,ssp370,2054,4.20213556
ACCESS-CM2,ssp370,2055,5.14899302
ACCESS-CM2,ssp370,2056,5.80758810
ACCESS-CM2,ssp370,2057,5.97160816
ACCESS-CM2,ssp370,2058,2.84443426
ACCESS-CM2,ssp370,2059,4.36198282
ACCESS-CM2,ssp370,2060,4.99746847
ACCESS-CM2,ssp370,2061,4.23004627
ACCESS-CM2,ssp370,2062,5.51616001
ACCESS-CM2,ssp370,2063,5.40044594
ACCESS-CM2,ssp370,2064,5.25277901
ACCESS-CM2,ssp370,2065,3.81432867
ACCESS-CM2,ssp370,2066,6.18369961
ACCESS-CM2,ssp370,2067,5.28211403
ACCESS-CM2,ssp370,2068,4.32148361
ACCESS-CM2,ssp370,2069,5.07831669
ACCESS-CM2,ssp370,2070,5.78230333
ACCESS-CM2,ssp370,2071,4.26602221
ACCESS-CM2,ssp370,2072,4.74854517
ACCESS-CM2,ssp370,2073,4.71006346
ACCESS-CM2,ssp370,2074,5.02333403
ACCESS-CM2,ssp370,2075,4.84261513
ACCESS-CM2,ssp370,2076,6.46576738
ACCESS-CM2,ssp370,2077,4.78587055
ACCESS-CM2,ssp370,2078,5.50842905
ACCESS-CM2,ssp370,2079,5.78641939
ACCESS-CM2,ssp370,2080,4.59502697
ACCESS-CM2,ssp370,2081,5.29040718
ACCESS-CM2,ssp370,2082,4.10363293
ACCESS-CM2,ssp370,2083,5.74815655
ACCESS-CM2,ssp370,2084,5.48282576
ACCESS-CM2,ssp370,2085,5.84028006
ACCESS-CM2,ssp370,2086,5.11777258
ACCESS-CM2,ssp370,2087,4.64646530
ACCESS-CM2,ssp370,2088,4.07305431
ACCESS-CM2,ssp370,2089,5.31786966
ACCESS-CM2,ssp370,2090,4.74357843
ACCESS-CM2,ssp370,2091,3.74215388
ACCESS-CM2,ssp370,2092,4.48776150
ACCESS-CM2,ssp370,2093,5.32545900
ACCESS-CM2,ssp370,2094,5.99775124
ACCESS-CM2,ssp370,2095,3.84694719
ACCESS-CM2,ssp370,2096,5.68681383
ACCESS-CM2,ssp370,2097,4.52911854
ACCESS-CM2,ssp370,2098,4.98611879
ACCESS-CM2,ssp370,2099,6.38307619
ACCESS-CM2,ssp370,2100,
ACCESS-CM2,ssp585,2015,4.66896296
ACCESS-CM2,ssp585,2016,5.06100178
ACCESS-CM2,ssp585,2017,5.21691608
ACCESS-CM2,ssp585,2018,6.64776707
ACCESS-CM2,ssp585,2019,4.10805321
