model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.69831181
ACCESS-CM2,historical,1961,5.13274717
ACCESS-CM2,historical,1962,7.38610506
ACCESS-CM2,historical,1963,6.27191401
ACCESS-CM2,historical,1964,5.75793123
ACCESS-CM2,historical,1965,5.50978947
ACCESS-CM2,historical,1966,6.83916903
ACCESS-CM2,historical,1967,5.92777205
ACCESS-CM2,historical,1968,4.79664898
ACCESS-CM2,historical,1969,4.81078959
ACCESS-CM2,historical,1970,6.12085485
ACCESS-CM2,historical,1971,4.61572552
ACCESS-CM2,historical,1972,5.14318323
ACCESS-CM2,historical,1973,7.02314806
ACCESS-CM2,historical,1974,5.29526615
ACCESS-CM2,historical,1975,7.68233442
ACCESS-CM2,historical,1976,4.79532766
ACCESS-CM2,historical,1977,6.52736902
ACCESS-CM2,historical,1978,4.82107639
ACCESS-CM2,historical,1979,5.90255594
ACCESS-CM2,historical,1980,5.18254852
ACCESS-CM2,historical,1981,4.08654213
ACCESS-CM2,historical,1982,5.37226105
ACCESS-CM2,historical,1983,5.79350090
ACCESS-CM2,historical,1984,6.37078428
ACCESS-CM2,historical,1985,5.90117836
ACCESS-CM2,historical,1986,4.28860855
ACCESS-CM2,historical,1987,4.45471859
ACCESS-CM2,historical,1988,5.47881126
ACCESS-CM2,historical,1989,4.73196507
ACCESS-CM2,historical,1990,4.84623337
ACCESS-CM2,historical,1991,6.56551123
ACCESS-CM2,historical,1992,4.70922518
ACCESS-CM2,historical,1993,6.34252405
ACCESS-CM2,historical,1994,5.66264582
ACCESS-CM2,historical,1995,5.25339413
ACCESS-CM2,historical,1996,3.61457825
ACCESS-CM2,historical,1997,4.39788961
ACCESS-CM2,historical,1998,6.25613165
ACCESS-CM2,historical,1999,5.91717386
ACCESS-CM2,historical,2000,6.40149736
ACCESS-CM2,historical,2001,5.21008873
ACCESS-CM2,historical,2002,6.88295794
ACCESS-CM2,historical,2003,5.28697348
ACCESS-CM2,historical,2004,6.21357346
ACCESS-CM2,historical,2005,5.08830023
ACCESS-CM2,historical,2006,5.57281542
ACCESS-CM2,historical,2007,5.46619177
ACCESS-CM2,historical,2008,6.08368969
ACCESS-CM2,historical,2009,5.72987413
ACCESS-CM2,historical,2010,5.18803883
ACCESS-CM2,historical,2011,5.23041964
ACCESS-CM2,historical,2012,5.30679893
ACCESS-CM2,historical,2013,4.93149567
ACCESS-CM2,historical,2014,6.37420368
ACCESS-CM2,ssp126,2015,6.19522095
ACCESS-CM2,ssp126,2016,4.71706724
ACCESS-CM2,ssp126,2017,6.85324287
ACCESS-CM2,ssp126,2018,5.95294619
ACCESS-CM2,ssp126,2019,5.84233379
ACCESS-CM2,ssp126,2020,6.26805592
ACCESS-CM2,ssp126,2021,5.94308949
ACCESS-CM2,ssp126,2022,5.51051378
ACCESS-CM2,ssp126,2023,5.68221760
ACCESS-CM2,ssp126,2024,4.95887089
ACCESS-CM2,ssp126,2025,6.81697226
ACCESS-CM2,ssp126,2026,4.99895191
ACCESS-CM2,ssp126,2027,4.32420921
ACCESS-CM2,ssp126,2028,4.65169287
ACCESS-CM2,ssp126,2029,5.91424131
ACCESS-CM2,ssp126,2030,4.96955109
ACCESS-CM2,ssp126,2031,6.52435875
ACCESS-CM2,ssp126,2032,4.61048794
ACCESS-CM2,ssp126,2033,5.45113373
ACCESS-CM2,ssp126,2034,6.15129375
ACCESS-CM2,ssp126,2035,4.51575565
ACCESS-CM2,ssp126,2036,5.42070770
ACCESS-CM2,ssp126,2037,5.43947840
ACCESS-CM2,ssp126,2038,4.48676300
ACCESS-CM2,ssp126,2039,6.33077288
ACCESS-CM2,ssp126,2040,5.26555681
ACCESS-CM2,ssp126,2041,4.67330408
ACCESS-CM2,ssp126,2042,4.96805906
ACCESS-CM2,ssp126,2043,4.87350941
ACCESS-CM2,ssp126,2044,5.00592279
ACCESS-CM2,ssp126,2045,6.06281424
ACCESS-CM2,ssp126,2046,5.47338200
ACCESS-CM2,ssp126,2047,6.58443880
ACCESS-CM2,ssp126,2048,6.01782084
ACCESS-CM2,ssp126,2049,4.86614132
ACCESS-CM2,ssp126,2050,3.78481507
ACCESS-CM2,ssp126,2051,5.27026939
ACCESS-CM2,ssp126,2052,5.68992519
ACCESS-CM2,ssp126,2053,4.65197086
ACCESS-CM2,ssp126,2054,5.61915302
ACCESS-CM2,ssp126,2055,4.48631859
ACCESS-CM2,ssp126,2056,5.10840797
ACCESS-CM2,ssp126,2057,6.88588619
ACCESS-CM2,ssp126,2058,4.70765543
ACCESS-CM2,ssp126,2059,4.05887079
ACCESS-CM2,ssp126,2060,6.11193419
ACCESS-CM2,ssp126,2061,4.17241049
ACCESS-CM2,ssp126,2062,4.12696028
ACCESS-CM2,ssp126,2063,5.43327284
ACCESS-CM2,ssp126,2064,4.98989439
ACCESS-CM2,ssp126,2065,5.89100266
ACCESS-CM2,ssp126,2066,5.75263548
ACCESS-CM2,ssp126,2067,4.85956097
ACCESS-CM2,ssp126,2068,5.54254484
ACCESS-CM2,ssp126,2069,5.30082750
ACCESS-CM2,ssp126,2070,5.11548042
ACCESS-CM2,ssp126,2071,5.01632595
ACCESS-CM2,ssp126,2072,4.92083979
ACCESS-CM2,ssp126,2073,4.85772610
ACCESS-CM2,ssp126,2074,4.04278994
ACCESS-CM2,ssp126,2075,5.39246941
ACCESS-CM2,ssp126,2076,5.37631464
ACCESS-CM2,ssp126,2077,5.02345705
ACCESS-CM2,ssp126,2078,4.45589352
ACCESS-CM2,ssp126,2079,6.01793242
ACCESS-CM2,ssp126,2080,5.24719143
ACCESS-CM2,ssp126,2081,3.61745048
