model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,3.70226121
ACCESS-CM2,historical,1961,3.26543427
ACCESS-CM2,historical,1962,4.13493681
ACCESS-CM2,historical,1963,3.86677527
ACCESS-CM2,historical,1964,3.47550106
ACCESS-CM2,historical,1965,3.59430790
ACCESS-CM2,historical,1966,3.82955813
ACCESS-CM2,historical,1967,3.45170259
ACCESS-CM2,historical,1968,2.63065362
ACCESS-CM2,historical,1969,2.98091722
ACCESS-CM2,historical,1970,3.21297979
ACCESS-CM2,historical,1971,2.86881924
ACCESS-CM2,historical,1972,3.12931919
ACCESS-CM2,historical,1973,4.23415136
ACCESS-CM2,historical,1974,3.54104352
ACCESS-CM2,historical,1975,4.22745657
ACCESS-CM2,historical,1976,3.03451991
ACCESS-CM2,historical,1977,3.62971830
ACCESS-CM2,historical,1978,3.56994319
ACCESS-CM2,historical,1979,2.82619929
ACCESS-CM2,historical,1980,3.12805772
ACCESS-CM2,historical,1981,2.71453333
ACCESS-CM2,historical,1982,3.14902806
ACCESS-CM2,historical,1983,3.44753575
ACCESS-CM2,historical,1984,3.82148838
ACCESS-CM2,historical,1985,3.64784288
ACCESS-CM2,historical,1986,2.45967627
ACCESS-CM2,historical,1987,3.33106780
ACCESS-CM2,historical,1988,3.06610990
ACCESS-CM2,historical,1989,2.66272783
ACCESS-CM2,historical,1990,3.17814207
ACCESS-CM2,historical,1991,3.66560388
ACCESS-CM2,historical,1992,2.84163356
ACCESS-CM2,historical,1993,3.89421940
ACCESS-CM2,historical,1994,3.86616254
ACCESS-CM2,historical,1995,3.11144900
ACCESS-CM2,historical,1996,2.62194085
ACCESS-CM2,historical,1997,2.98110628
ACCESS-CM2,historical,1998,3.95197582
ACCESS-CM2,historical,1999,3.43749070
ACCESS-CM2,historical,2000,3.30694723
ACCESS-CM2,historical,2001,3.13070893
ACCESS-CM2,historical,2002,3.75313759
ACCESS-CM2,historical,2003,3.26841569
ACCESS-CM2,historical,2004,3.55670786
ACCESS-CM2,historical,2005,2.84378910
ACCESS-CM2,historical,2006,3.28149462
ACCESS-CM2,historical,2007,3.49025798
ACCESS-CM2,historical,2008,3.42905474
ACCESS-CM2,historical,2009,3.32929945
ACCESS-CM2,historical,2010,3.55087233
ACCESS-CM2,historical,2011,3.24290323
ACCESS-CM2,historical,2012,3.04566360
ACCESS-CM2,historical,2013,2.73003411
ACCESS-CM2,historical,2014,3.81909180
ACCESS-CM2,ssp126,2015,3.55536747
ACCESS-CM2,ssp126,2016,3.00557613
ACCESS-CM2,ssp126,2017,4.12168598
ACCESS-CM2,ssp126,2018,3.49801278
ACCESS-CM2,ssp126,2019,3.74757099
ACCESS-CM2,ssp126,2020,3.60972047
ACCESS-CM2,ssp126,2021,3.57549429
ACCESS-CM2,ssp126,2022,3.22038841
ACCESS-CM2,ssp126,2023,3.53698802
ACCESS-CM2,ssp126,2024,2.98863268
ACCESS-CM2,ssp126,2025,4.27052116
ACCESS-CM2,ssp126,2026,2.78410792
ACCESS-CM2,ssp126,2027,3.13593268
ACCESS-CM2,ssp126,2028,2.92942262
ACCESS-CM2,ssp126,2029,3.49518895
ACCESS-CM2,ssp126,2030,2.87774897
ACCESS-CM2,ssp126,2031,3.52832413
ACCESS-CM2,ssp126,2032,3.26860881
ACCESS-CM2,ssp126,2033,3.41009140
ACCESS-CM2,ssp126,2034,3.79777622
ACCESS-CM2,ssp126,2035,3.06081748
ACCESS-CM2,ssp126,2036,3.25637364
ACCESS-CM2,ssp126,2037,3.14767194
ACCESS-CM2,ssp126,2038,2.52166867
ACCESS-CM2,ssp126,2039,3.81068373
ACCESS-CM2,ssp126,2040,3.26954365
ACCESS-CM2,ssp126,2041,2.94892120
ACCESS-CM2,ssp126,2042,2.62392116
ACCESS-CM2,ssp126,2043,2.75328255
ACCESS-CM2,ssp126,2044,3.36952615
ACCESS-CM2,ssp126,2045,3.84159088
ACCESS-CM2,ssp126,2046,2.93945432
ACCESS-CM2,ssp126,2047,3.87212205
ACCESS-CM2,ssp126,2048,3.46897173
ACCESS-CM2,ssp126,2049,3.22412133
ACCESS-CM2,ssp126,2050,2.61055541
ACCESS-CM2,ssp126,2051,2.94345951
ACCESS-CM2,ssp126,2052,3.68719530
ACCESS-CM2,ssp126,2053,2.87970018
ACCESS-CM2,ssp126,2054,3.20516300
ACCESS-CM2,ssp126,2055,2.99893785
ACCESS-CM2,ssp126,2056,3.37282014
ACCESS-CM2,ssp126,2057,3.95154190
ACCESS-CM2,ssp126,2058,3.28064346
ACCESS-CM2,ssp126,2059,3.04809976
ACCESS-CM2,ssp126,2060,3.77745581
ACCESS-CM2,ssp126,2061,2.91725993
ACCESS-CM2,ssp126,2062,2.47714686
ACCESS-CM2,ssp126,2063,3.36155987
ACCESS-CM2,ssp126,2064,3.24341393
ACCESS-CM2,ssp126,2065,3.25881410
ACCESS-CM2,ssp126,2066,3.14285874
ACCESS-CM2,ssp126,2067,2.98347402
ACCESS-CM2,ssp126,2068,3.43567038
ACCESS-CM2,ssp126,2069,3.42020321
ACCESS-CM2,ssp126,2070,3.19102216
ACCESS-CM2,ssp126,2071,3.35376048
ACCESS-CM2,ssp126,2072,2.93313789
ACCESS-CM2,ssp126,2073,3.15499663
ACCESS-CM2,ssp126,2074,2.69649911
ACCESS-CM2,ssp126,2075,3.25228763
ACCESS-CM2,ssp126,2076,3.35681224
ACCESS-CM2,ssp126,2077,2.82452059
ACCESS-CM2,ssp126,2078,3.07972860
ACCESS-CM2,ssp126,2079,3.90286303
ACCESS-CM2,ssp126,2080,3.43947387
ACCESS-CM2,ssp126,2081,2.85720038
ACCESS-CM2,ssp126,2082,3.66434336
ACCESS-CM2,ssp126,2083,3.50347638
ACCESS-CM2,ssp126,2084,3.21696758
ACCESS-CM2,ssp126,2085,3.05770135
ACCESS-CM2,ssp126,2086,3.29440355
ACCESS-CM2,ssp126,2087,4.14284563
ACCESS-CM2,ssp126,2088,3.58695626
ACCESS-CM2,ssp126,2089,3.64271498
ACCESS-CM2,ssp126,2090,3.09745765
ACCESS-CM2,ssp126,2091,3.69131207
ACCESS-CM2,ssp126,2092,2.92664051
ACCESS-CM2,ssp126,2093,3.27295732
ACCESS-CM2,ssp126,2094,3.37163997
ACCESS-CM2,ssp126,2095,2.85620546
ACCESS-CM2,ssp126,2096,3.51456428
ACCESS-CM2,ssp126,2097,3.23451591
ACCESS-CM2,ssp126,2098,2.38965893
ACCESS-CM2,ssp126,2099,3.82257843
ACCESS-CM2,ssp126,2100,3.24872518
ACCESS-CM2,ssp245,2015,3.03427577
ACCESS-CM2,ssp245,2016,4.14611864
ACCESS-CM2,ssp245,2017,2.56910157
ACCESS-CM2,ssp245,2018,3.30802631
ACCESS-CM2,ssp245,2019,3.73700452
ACCESS-CM2,ssp245,2020,3.47755289
ACCESS-CM2,ssp245,2021,3.81826925
ACCESS-CM2,ssp245,2022,3.14358997
ACCESS-CM2,ssp245,2023,3.54251671
ACCESS-CM2,ssp245,2024,3.02346039
ACCESS-CM2,ssp245,2025,3.67892408
ACCESS-CM2,ssp245,2026,2.88224983
ACCESS-CM2,ssp245,2027,3.57770228
ACCESS-CM2,ssp245,2028,3.17679763
ACCESS-CM2,ssp245,2029,3.76899981
ACCESS-CM2,ssp245,2030,2.95953393
ACCESS-CM2,ssp245,2031,4.30592871
ACCESS-CM2,ssp245,2032,2.83554935
ACCESS-CM2,ssp245,2033,2.86925483
ACCESS-CM2,ssp245,2034,3.01746440
ACCESS-CM2,ssp245,2035,3.05572557
ACCESS-CM2,ssp245,2036,2.69565129
ACCESS-CM2,ssp245,2037,3.10694742
ACCESS-CM2,ssp245,2038,3.32644153
ACCESS-CM2,ssp245,2039,2.67247987
ACCESS-CM2,ssp245,2040,3.28786969
ACCESS-CM2,ssp245,2041,3.23799634
ACCESS-CM2,ssp245,2042,3.57625461
ACCESS-CM2,ssp245,2043,3.26381254
ACCESS-CM2,ssp245,2044,2.91557932
ACCESS-CM2,ssp245,2045,3.58692145
ACCESS-CM2,ssp245,2046,2.87368178
ACCESS-CM2,ssp245,2047,2.77002788
ACCESS-CM2,ssp245,2048,3.09859490
ACCESS-CM2,ssp245,2049,3.96453619
ACCESS-CM2,ssp245,2050,2.46699047
ACCESS-CM2,ssp245,2051,3.84274173
ACCESS-CM2,ssp245,2052,2.97994494
ACCESS-CM2,ssp245,2053,3.03253555
ACCESS-CM2,ssp245,2054,4.13510227
ACCESS-CM2,ssp245,2055,2.98274326
ACCESS-CM2,ssp245,2056,3.09756923
ACCESS-CM2,ssp245,2057,3.10440755
ACCESS-CM2,ssp245,2058,3.20572686
ACCESS-CM2,ssp245,2059,3.31809020
ACCESS-CM2,ssp245,2060,3.57235146
ACCESS-CM2,ssp245,2061,2.87928843
ACCESS-CM2,ssp245,2062,3.28702402
ACCESS-CM2,ssp245,2063,3.18594265
ACCESS-CM2,ssp245,2064,3.10537791
ACCESS-CM2,ssp245,2065,2.91986060
ACCESS-CM2,ssp245,2066,3.14381671
ACCESS-CM2,ssp245,2067,2.89280844
ACCESS-CM2,ssp245,2068,2.77458811
ACCESS-CM2,ssp245,2069,2.75721407
ACCESS-CM2,ssp245,2070,3.35813260
ACCESS-CM2,ssp245,2071,3.21191764
ACCESS-CM2,ssp245,2072,2.93443656
ACCESS-CM2,ssp245,2073,2.86633348
ACCESS-CM2,ssp245,2074,3.02445984
ACCESS-CM2,ssp245,2075,3.30218363
ACCESS-CM2,ssp245,2076,3.21204877
ACCESS-CM2,ssp245,2077,3.96677065
ACCESS-CM2,ssp245,2078,2.53721976
ACCESS-CM2,ssp245,2079,3.13073587
ACCESS-CM2,ssp245,2080,2.60492635
ACCESS-CM2,ssp245,2081,3.55678701
ACCESS-CM2,ssp245,2082,2.99027061
ACCESS-CM2,ssp245,2083,3.31208849
ACCESS-CM2,ssp245,2084,3.13705993
ACCESS-CM2,ssp245,2085,4.11708355
ACCESS-CM2,ssp245,2086,3.23437834
ACCESS-CM2,ssp245,2087,3.07615757
ACCESS-CM2,ssp245,2088,3.61807013
ACCESS-CM2,ssp245,2089,2.91299701
ACCESS-CM2,ssp245,2090,3.39462733
ACCESS-CM2,ssp245,2091,3.47821617
ACCESS-CM2,ssp245,2092,3.43761039
ACCESS-CM2,ssp245,2093,3.21896529
ACCESS-CM2,ssp245,2094,3.11283994
ACCESS-CM2,ssp245,2095,3.49129987
ACCESS-CM2,ssp245,2096,2.91869855
ACCESS-CM2,ssp245,2097,3.20510125
ACCESS-CM2,ssp245,2098,2.81822348
ACCESS-CM2,ssp245,2099,3.48879123
ACCESS-CM2,ssp245,2100,3.20115519
ACCESS-CM2,ssp370,2015,3.39495087
ACCESS-CM2,ssp370,2016,2.98266029
ACCESS-CM2,ssp370,2017,3.74974346
ACCESS-CM2,ssp370,2018,3.50148344
ACCESS-CM2,ssp370,2019,2.98646188
ACCESS-CM2,ssp370,2020,2.60020304
ACCESS-CM2,ssp370,2021,2.93608618
ACCESS-CM2,ssp370,2022,2.35428119
ACCESS-CM2,ssp370,2023,2.66293502
ACCESS-CM2,ssp370,2024,2.93777561
ACCESS-CM2,ssp370,2025,3.13922739
ACCESS-CM2,ssp370,2026,3.13525438
ACCESS-CM2,ssp370,2027,2.91933227
ACCESS-CM2,ssp370,2028,3.30108690
ACCESS-CM2,ssp370,2029,2.75285506
ACCESS-CM2,ssp370,2030,3.50767469
ACCESS-CM2,ssp370,2031,3.46329737
ACCESS-CM2,ssp370,2032,4.14418125
ACCESS-CM2,ssp370,2033,2.99506664
ACCESS-CM2,ssp370,2034,2.78247738
ACCESS-CM2,ssp370,2035,3.50941420
ACCESS-CM2,ssp370,2036,3.00971055
ACCESS-CM2,ssp370,2037,2.59276032
ACCESS-CM2,ssp370,2038,3.08246827
ACCESS-CM2,ssp370,2039,3.73645782
ACCESS-CM2,ssp370,2040,3.52432323
ACCESS-CM2,ssp370,2041,3.03759432
ACCESS-CM2,ssp370,2042,2.63401651
ACCESS-CM2,ssp370,2043,3.08022308
ACCESS-CM2,ssp370,2044,3.77471352
ACCESS-CM2,ssp370,2045,2.45332742
ACCESS-CM2,ssp370,2046,3.33004498
ACCESS-CM2,ssp370,2047,3.52302289
ACCESS-CM2,ssp370,2048,3.32263064
ACCESS-CM2,ssp370,2049,3.41542268
ACCESS-CM2,ssp370,2050,2.88849759
ACCESS-CM2,ssp370,2051,3.56456852
ACCESS-CM2,ssp370,2052,2.87338924
ACCESS-CM2,ssp370,2053,3.12902570
ACCESS-CM2,ssp370,2054,2.67229414
ACCESS-CM2,ssp370,2055,3.20477438
ACCESS-CM2,ssp370,2056,3.26580620
ACCESS-CM2,ssp370,2057,3.91544008
ACCESS-CM2,ssp370,2058,2.03115344
ACCESS-CM2,ssp370,2059,2.64583158
ACCESS-CM2,ssp370,2060,3.01344514
ACCESS-CM2,ssp370,2061,2.47614527
ACCESS-CM2,ssp370,2062,3.35957789
ACCESS-CM2,ssp370,2063,3.20633984
ACCESS-CM2,ssp370,2064,3.03367472
ACCESS-CM2,ssp370,2065,2.66052985
ACCESS-CM2,ssp370,2066,3.52260494
ACCESS-CM2,ssp370,2067,3.29468632
ACCESS-CM2,ssp370,2068,2.70114994
ACCESS-CM2,ssp370,2069,3.18402767
ACCESS-CM2,ssp370,2070,3.41847944
