model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.20075083
ACCESS-CM2,historical,1961,5.91081285
ACCESS-CM2,historical,1962,4.55445576
ACCESS-CM2,historical,1963,5.40618563
ACCESS-CM2,historical,1964,6.77670383
ACCESS-CM2,historical,1965,5.90365458
ACCESS-CM2,historical,1966,5.20923615
ACCESS-CM2,historical,1967,6.20375061
ACCESS-CM2,historical,1968,6.68372679
ACCESS-CM2,historical,1969,5.14654875
ACCESS-CM2,historical,1970,4.23069572
ACCESS-CM2,historical,1971,6.58069372
ACCESS-CM2,historical,1972,5.49940014
ACCESS-CM2,historical,1973,5.62714481
ACCESS-CM2,historical,1974,5.72331429
ACCESS-CM2,historical,1975,6.87505913
ACCESS-CM2,historical,1976,5.29193544
ACCESS-CM2,historical,1977,6.16187811
ACCESS-CM2,historical,1978,5.88554287
ACCESS-CM2,historical,1979,5.41187620
ACCESS-CM2,historical,1980,6.37821388
ACCESS-CM2,historical,1981,5.25628710
ACCESS-CM2,historical,1982,5.83281231
ACCESS-CM2,historical,1983,5.19663715
ACCESS-CM2,historical,1984,5.88121605
ACCESS-CM2,historical,1985,6.10734558
ACCESS-CM2,historical,1986,6.36860943
ACCESS-CM2,historical,1987,5.13005686
ACCESS-CM2,historical,1988,6.23525286
ACCESS-CM2,historical,1989,5.93199015
ACCESS-CM2,historical,1990,6.95602512
ACCESS-CM2,historical,1991,6.17856073
ACCESS-CM2,historical,1992,6.10333824
ACCESS-CM2,historical,1993,5.63599396
ACCESS-CM2,historical,1994,6.12354660
ACCESS-CM2,historical,1995,6.15118074
ACCESS-CM2,historical,1996,5.61610794
ACCESS-CM2,historical,1997,5.21783972
ACCESS-CM2,historical,1998,6.43504953
ACCESS-CM2,historical,1999,5.47264481
ACCESS-CM2,historical,2000,5.52775240
ACCESS-CM2,historical,2001,6.31471205
ACCESS-CM2,historical,2002,7.04612350
ACCESS-CM2,historical,2003,5.83696938
ACCESS-CM2,historical,2004,4.79994678
ACCESS-CM2,historical,2005,6.46319389
ACCESS-CM2,historical,2006,6.65259695
ACCESS-CM2,historical,2007,5.90264320
ACCESS-CM2,historical,2008,6.83560705
ACCESS-CM2,historical,2009,6.03195524
ACCESS-CM2,historical,2010,5.50774431
ACCESS-CM2,historical,2011,5.84086323
ACCESS-CM2,historical,2012,6.44202757
ACCESS-CM2,historical,2013,5.04180956
ACCESS-CM2,historical,2014,6.04547691
ACCESS-CM2,ssp126,2015,5.55372190
ACCESS-CM2,ssp126,2016,6.59757519
ACCESS-CM2,ssp126,2017,5.39019251
ACCESS-CM2,ssp126,2018,6.05809784
ACCESS-CM2,ssp126,2019,6.07719231
ACCESS-CM2,ssp126,2020,5.58681011
ACCESS-CM2,ssp126,2021,6.51732111
ACCESS-CM2,ssp126,2022,5.20313740
ACCESS-CM2,ssp126,2023,6.30658817
ACCESS-CM2,ssp126,2024,5.45254374
ACCESS-CM2,ssp126,2025,5.74711323
ACCESS-CM2,ssp126,2026,5.52119970
ACCESS-CM2,ssp126,2027,6.14657545
ACCESS-CM2,ssp126,2028,6.57515621
ACCESS-CM2,ssp126,2029,6.21602345
ACCESS-CM2,ssp126,2030,5.43408728
ACCESS-CM2,ssp126,2031,5.84295082
ACCESS-CM2,ssp126,2032,6.10472393
ACCESS-CM2,ssp126,2033,5.78972340
ACCESS-CM2,ssp126,2034,6.57087612
ACCESS-CM2,ssp126,2035,4.36739492
ACCESS-CM2,ssp126,2036,5.94452810
ACCESS-CM2,ssp126,2037,6.68638659
ACCESS-CM2,ssp126,2038,6.51619673
ACCESS-CM2,ssp126,2039,6.33995438
ACCESS-CM2,ssp126,2040,5.40328312
ACCESS-CM2,ssp126,2041,5.96445847
ACCESS-CM2,ssp126,2042,5.67386818
ACCESS-CM2,ssp126,2043,6.16644049
ACCESS-CM2,ssp126,2044,6.57693005
ACCESS-CM2,ssp126,2045,5.84976435
ACCESS-CM2,ssp126,2046,5.49638796
ACCESS-CM2,ssp126,2047,6.12771702
ACCESS-CM2,ssp126,2048,7.02303743
ACCESS-CM2,ssp126,2049,5.38161755
ACCESS-CM2,ssp126,2050,5.83884525
ACCESS-CM2,ssp126,2051,5.97527313
ACCESS-CM2,ssp126,2052,5.56054831
ACCESS-CM2,ssp126,2053,6.83440256
ACCESS-CM2,ssp126,2054,4.82750940
ACCESS-CM2,ssp126,2055,5.31703472
ACCESS-CM2,ssp126,2056,5.80663681
ACCESS-CM2,ssp126,2057,4.59264708
ACCESS-CM2,ssp126,2058,7.37195587
ACCESS-CM2,ssp126,2059,5.05530119
ACCESS-CM2,ssp126,2060,5.91530132
ACCESS-CM2,ssp126,2061,5.69378996
ACCESS-CM2,ssp126,2062,6.33192825
ACCESS-CM2,ssp126,2063,6.04325533
ACCESS-CM2,ssp126,2064,5.09421825
ACCESS-CM2,ssp126,2065,6.04223394
ACCESS-CM2,ssp126,2066,6.59910297
ACCESS-CM2,ssp126,2067,5.42884541
ACCESS-CM2,ssp126,2068,5.27254391
ACCESS-CM2,ssp126,2069,6.21618891
ACCESS-CM2,ssp126,2070,6.60218573
ACCESS-CM2,ssp126,2071,5.29750347
ACCESS-CM2,ssp126,2072,6.59605026
ACCESS-CM2,ssp126,2073,6.75253773
ACCESS-CM2,ssp126,2074,6.63327265
ACCESS-CM2,ssp126,2075,6.01750374
