model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,8.78082657
ACCESS-CM2,historical,1961,7.55452156
ACCESS-CM2,historical,1962,8.05195045
ACCESS-CM2,historical,1963,8.44864273
ACCESS-CM2,historical,1964,8.65118885
ACCESS-CM2,historical,1965,7.85617781
ACCESS-CM2,historical,1966,7.28708839
ACCESS-CM2,historical,1967,8.14714432
ACCESS-CM2,historical,1968,8.15986156
ACCESS-CM2,historical,1969,7.50764132
ACCESS-CM2,historical,1970,8.01067352
ACCESS-CM2,historical,1971,8.03704643
ACCESS-CM2,historical,1972,8.43483829
ACCESS-CM2,historical,1973,8.01823902
ACCESS-CM2,historical,1974,7.86321449
ACCESS-CM2,historical,1975,8.77061272
ACCESS-CM2,historical,1976,7.39014673
ACCESS-CM2,historical,1977,8.17404079
ACCESS-CM2,historical,1978,7.73652363
ACCESS-CM2,historical,1979,7.59552526
ACCESS-CM2,historical,1980,8.27680779
ACCESS-CM2,historical,1981,7.20922327
ACCESS-CM2,historical,1982,8.78325844
ACCESS-CM2,historical,1983,7.72493458
ACCESS-CM2,historical,1984,8.45518017
ACCESS-CM2,historical,1985,8.27105141
ACCESS-CM2,historical,1986,8.19765949
ACCESS-CM2,historical,1987,7.61570883
ACCESS-CM2,historical,1988,8.86362171
ACCESS-CM2,historical,1989,8.00459766
ACCESS-CM2,historical,1990,8.65921688
ACCESS-CM2,historical,1991,7.80529594
ACCESS-CM2,historical,1992,8.57043934
ACCESS-CM2,historical,1993,8.37243271
ACCESS-CM2,historical,1994,8.12603760
ACCESS-CM2,historical,1995,8.19972324
ACCESS-CM2,historical,1996,8.04605198
ACCESS-CM2,historical,1997,7.70700741
ACCESS-CM2,historical,1998,8.64064980
ACCESS-CM2,historical,1999,7.23529100
ACCESS-CM2,historical,2000,7.86379147
ACCESS-CM2,historical,2001,7.92657280
ACCESS-CM2,historical,2002,8.79280376
ACCESS-CM2,historical,2003,7.44167662
ACCESS-CM2,historical,2004,7.36490774
ACCESS-CM2,historical,2005,8.56626892
ACCESS-CM2,historical,2006,8.00698566
ACCESS-CM2,historical,2007,8.26412487
ACCESS-CM2,historical,2008,8.78354073
ACCESS-CM2,historical,2009,8.40804863
ACCESS-CM2,historical,2010,8.09235001
ACCESS-CM2,historical,2011,8.31004143
ACCESS-CM2,historical,2012,8.20557690
ACCESS-CM2,historical,2013,7.31295776
ACCESS-CM2,historical,2014,7.71893454
ACCESS-CM2,ssp126,2015,7.80755568
ACCESS-CM2,ssp126,2016,8.41896629
ACCESS-CM2,ssp126,2017,8.24710560
ACCESS-CM2,ssp126,2018,8.46509171
ACCESS-CM2,ssp126,2019,9.00749588
ACCESS-CM2,ssp126,2020,7.65733337
ACCESS-CM2,ssp126,2021,8.48624134
ACCESS-CM2,ssp126,2022,8.11448002
ACCESS-CM2,ssp126,2023,8.63843536
ACCESS-CM2,ssp126,2024,7.90520716
ACCESS-CM2,ssp126,2025,7.87444973
ACCESS-CM2,ssp126,2026,7.62791538
ACCESS-CM2,ssp126,2027,8.09087086
ACCESS-CM2,ssp126,2028,8.43709946
ACCESS-CM2,ssp126,2029,8.02425671
ACCESS-CM2,ssp126,2030,8.09331512
ACCESS-CM2,ssp126,2031,7.72259092
ACCESS-CM2,ssp126,2032,8.37840366
ACCESS-CM2,ssp126,2033,8.98526478
ACCESS-CM2,ssp126,2034,9.28361797
ACCESS-CM2,ssp126,2035,8.13912296
ACCESS-CM2,ssp126,2036,8.63803291
ACCESS-CM2,ssp126,2037,7.86554337
ACCESS-CM2,ssp126,2038,9.32089996
ACCESS-CM2,ssp126,2039,8.82137299
ACCESS-CM2,ssp126,2040,7.77015638
ACCESS-CM2,ssp126,2041,8.41328239
ACCESS-CM2,ssp126,2042,8.94642067
ACCESS-CM2,ssp126,2043,8.35888577
ACCESS-CM2,ssp126,2044,8.59758949
ACCESS-CM2,ssp126,2045,8.84837437
ACCESS-CM2,ssp126,2046,6.87942362
ACCESS-CM2,ssp126,2047,8.02007294
ACCESS-CM2,ssp126,2048,8.21924400
ACCESS-CM2,ssp126,2049,8.18486691
ACCESS-CM2,ssp126,2050,8.74845314
ACCESS-CM2,ssp126,2051,8.36510372
ACCESS-CM2,ssp126,2052,7.57702827
ACCESS-CM2,ssp126,2053,8.90354633
ACCESS-CM2,ssp126,2054,7.82014227
ACCESS-CM2,ssp126,2055,8.08135128
ACCESS-CM2,ssp126,2056,8.60816002
ACCESS-CM2,ssp126,2057,7.61799765
ACCESS-CM2,ssp126,2058,8.81469250
ACCESS-CM2,ssp126,2059,8.03170204
ACCESS-CM2,ssp126,2060,8.52374744
ACCESS-CM2,ssp126,2061,8.39095974
ACCESS-CM2,ssp126,2062,7.58690166
ACCESS-CM2,ssp126,2063,7.74199390
ACCESS-CM2,ssp126,2064,8.15129757
ACCESS-CM2,ssp126,2065,8.74582291
ACCESS-CM2,ssp126,2066,8.19296455
ACCESS-CM2,ssp126,2067,8.47737980
ACCESS-CM2,ssp126,2068,7.49602032
ACCESS-CM2,ssp126,2069,8.35951233
ACCESS-CM2,ssp126,2070,8.15342140
ACCESS-CM2,ssp126,2071,7.76003933
ACCESS-CM2,ssp126,2072,9.31379890
ACCESS-CM2,ssp126,2073,8.06634998
ACCESS-CM2,ssp126,2074,8.95845318
ACCESS-CM2,ssp126,2075,9.37907410
ACCESS-CM2,ssp126,2076,8.37367058
ACCESS-CM2,ssp126,2077,7.81067991
ACCESS-CM2,ssp126,2078,7.28084803
ACCESS-CM2,ssp126,2079,8.44036770
ACCESS-CM2,ssp126,2080,8.73209858
ACCESS-CM2,ssp126,2081,7.78755951
ACCESS-CM2,ssp126,2082,8.15846062
ACCESS-CM2,ssp126,2083,8.75433636
ACCESS-CM2,ssp126,2084,7.46650982
ACCESS-CM2,ssp126,2085,9.08956909
ACCESS-CM2,ssp126,2086,7.74246025
ACCESS-CM2,ssp126,2087,7.95708227
ACCESS-CM2,ssp126,2088,8.41576862
ACCESS-CM2,ssp126,2089,8.45162201
ACCESS-CM2,ssp126,2090,8.43813133
ACCESS-CM2,ssp126,2091,8.62020111
ACCESS-CM2,ssp126,2092,8.25991249
ACCESS-CM2,ssp126,2093,8.09156322
ACCESS-CM2,ssp126,2094,8.06966305
ACCESS-CM2,ssp126,2095,8.37619972
ACCESS-CM2,ssp126,2096,8.32695770
ACCESS-CM2,ssp126,2097,8.88376522
ACCESS-CM2,ssp126,2098,7.85024214
ACCESS-CM2,ssp126,2099,7.95561981
ACCESS-CM2,ssp126,2100,7.73968029
ACCESS-CM2,ssp245,2015,8.27919960
