model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.62235212
ACCESS-CM2,historical,1961,3.41079855
ACCESS-CM2,historical,1962,5.86283922
ACCESS-CM2,historical,1963,6.03922701
ACCESS-CM2,historical,1964,5.17838478
ACCESS-CM2,historical,1965,5.85163403
ACCESS-CM2,historical,1966,3.95513535
ACCESS-CM2,historical,1967,5.20395374
ACCESS-CM2,historical,1968,4.42915916
ACCESS-CM2,historical,1969,4.90281725
ACCESS-CM2,historical,1970,5.89599371
ACCESS-CM2,historical,1971,4.84513187
ACCESS-CM2,historical,1972,5.49706841
ACCESS-CM2,historical,1973,4.30783558
ACCESS-CM2,historical,1974,4.93035555
ACCESS-CM2,historical,1975,5.28682947
ACCESS-CM2,historical,1976,5.18081284
ACCESS-CM2,historical,1977,5.04792929
ACCESS-CM2,historical,1978,4.28730965
ACCESS-CM2,historical,1979,4.66754580
ACCESS-CM2,historical,1980,4.77740049
ACCESS-CM2,historical,1981,3.65103102
ACCESS-CM2,historical,1982,5.99463511
ACCESS-CM2,historical,1983,4.37307930
ACCESS-CM2,historical,1984,4.69043827
ACCESS-CM2,historical,1985,5.66801262
ACCESS-CM2,historical,1986,4.28178596
ACCESS-CM2,historical,1987,4.63423347
ACCESS-CM2,historical,1988,5.91078329
ACCESS-CM2,historical,1989,4.62226677
ACCESS-CM2,historical,1990,5.17017126
ACCESS-CM2,historical,1991,4.34452820
ACCESS-CM2,historical,1992,6.04872179
ACCESS-CM2,historical,1993,6.53116369
ACCESS-CM2,historical,1994,4.49318886
ACCESS-CM2,historical,1995,4.50726366
ACCESS-CM2,historical,1996,5.55228376
ACCESS-CM2,historical,1997,5.42908382
ACCESS-CM2,historical,1998,5.45321465
ACCESS-CM2,historical,1999,3.89069366
ACCESS-CM2,historical,2000,4.70781755
ACCESS-CM2,historical,2001,3.55616546
ACCESS-CM2,historical,2002,5.24602890
ACCESS-CM2,historical,2003,3.56008863
ACCESS-CM2,historical,2004,4.30016279
ACCESS-CM2,historical,2005,5.89199018
ACCESS-CM2,historical,2006,4.58490753
ACCESS-CM2,historical,2007,5.08064699
ACCESS-CM2,historical,2008,6.17490625
ACCESS-CM2,historical,2009,6.70363474
ACCESS-CM2,historical,2010,5.08364105
ACCESS-CM2,historical,2011,5.23808384
ACCESS-CM2,historical,2012,5.12937307
ACCESS-CM2,historical,2013,4.29430914
ACCESS-CM2,historical,2014,3.72270036
ACCESS-CM2,ssp126,2015,3.75231862
ACCESS-CM2,ssp126,2016,5.27831888
ACCESS-CM2,ssp126,2017,5.57701206
ACCESS-CM2,ssp126,2018,5.93958473
ACCESS-CM2,ssp126,2019,6.44456863
ACCESS-CM2,ssp126,2020,5.51704597
ACCESS-CM2,ssp126,2021,5.62839937
ACCESS-CM2,ssp126,2022,5.35383415
ACCESS-CM2,ssp126,2023,5.85785770
