model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,7.62239647
ACCESS-CM2,historical,1961.00000000,5.81695747
ACCESS-CM2,historical,1962.00000000,6.72406626
ACCESS-CM2,historical,1963.00000000,5.59961939
ACCESS-CM2,historical,1964.00000000,6.58579016
ACCESS-CM2,historical,1965.00000000,5.85977697
ACCESS-CM2,historical,1966.00000000,6.25052500
ACCESS-CM2,historical,1967.00000000,5.54002762
ACCESS-CM2,historical,1968.00000000,6.03832674
ACCESS-CM2,historical,1969.00000000,6.58629942
ACCESS-CM2,historical,1970.00000000,5.70457983
ACCESS-CM2,historical,1971.00000000,6.19243860
ACCESS-CM2,historical,1972.00000000,6.37507105
ACCESS-CM2,historical,1973.00000000,5.93101692
ACCESS-CM2,historical,1974.00000000,5.91044235
ACCESS-CM2,historical,1975.00000000,6.38967323
ACCESS-CM2,historical,1976.00000000,6.10189962
ACCESS-CM2,historical,1977.00000000,6.01096487
ACCESS-CM2,historical,1978.00000000,6.23221731
ACCESS-CM2,historical,1979.00000000,6.13204813
ACCESS-CM2,historical,1980.00000000,5.58698273
ACCESS-CM2,historical,1981.00000000,6.37975550
ACCESS-CM2,historical,1982.00000000,6.53012323
ACCESS-CM2,historical,1983.00000000,6.59514380
ACCESS-CM2,historical,1984.00000000,5.70876074
ACCESS-CM2,historical,1985.00000000,5.55130720
ACCESS-CM2,historical,1986.00000000,6.25123835
ACCESS-CM2,historical,1987.00000000,5.30399895
ACCESS-CM2,historical,1988.00000000,5.73946762
ACCESS-CM2,historical,1989.00000000,6.23471689
ACCESS-CM2,historical,1990.00000000,5.30912399
ACCESS-CM2,historical,1991.00000000,5.52833176
ACCESS-CM2,historical,1992.00000000,6.00658607
ACCESS-CM2,historical,1993.00000000,4.89498758
ACCESS-CM2,historical,1994.00000000,5.56400156
ACCESS-CM2,historical,1995.00000000,5.78434515
ACCESS-CM2,historical,1996.00000000,5.72605276
ACCESS-CM2,historical,1997.00000000,5.74666548
ACCESS-CM2,historical,1998.00000000,4.98778868
ACCESS-CM2,historical,1999.00000000,6.60246801
ACCESS-CM2,historical,2000.00000000,7.11538696
ACCESS-CM2,historical,2001.00000000,5.79030180
ACCESS-CM2,historical,2002.00000000,7.04993677
ACCESS-CM2,historical,2003.00000000,5.63875437
ACCESS-CM2,historical,2004.00000000,6.55158234
ACCESS-CM2,historical,2005.00000000,5.00168085
ACCESS-CM2,historical,2006.00000000,6.24178171
ACCESS-CM2,historical,2007.00000000,5.96221495
ACCESS-CM2,historical,2008.00000000,7.11499023
ACCESS-CM2,historical,2009.00000000,7.18837786
ACCESS-CM2,historical,2010.00000000,6.17568445
ACCESS-CM2,historical,2011.00000000,5.20707560
ACCESS-CM2,historical,2012.00000000,6.16453886
ACCESS-CM2,historical,2013.00000000,5.42874861
ACCESS-CM2,historical,2014.00000000,6.86097670
ACCESS-CM2,historical,2015.00000000,6.32077169
ACCESS-CM2,ssp126,2015.00000000,6.23515892
ACCESS-CM2,ssp126,2016.00000000,5.31741762
ACCESS-CM2,ssp126,2017.00000000,6.24716616
ACCESS-CM2,ssp126,2018.00000000,5.79026556
ACCESS-CM2,ssp126,2019.00000000,5.68562746
ACCESS-CM2,ssp126,2020.00000000,5.17340136
ACCESS-CM2,ssp126,2021.00000000,5.74955893
ACCESS-CM2,ssp126,2022.00000000,5.77612543
ACCESS-CM2,ssp126,2023.00000000,5.39155436
ACCESS-CM2,ssp126,2024.00000000,6.35582399
ACCESS-CM2,ssp126,2025.00000000,6.31089735
ACCESS-CM2,ssp126,2026.00000000,6.56985140
ACCESS-CM2,ssp126,2027.00000000,7.31351471
ACCESS-CM2,ssp126,2028.00000000,4.80128384
ACCESS-CM2,ssp126,2029.00000000,6.65304136
ACCESS-CM2,ssp126,2030.00000000,5.60605001
ACCESS-CM2,ssp126,2031.00000000,6.66420984
ACCESS-CM2,ssp126,2032.00000000,6.38176298
ACCESS-CM2,ssp126,2033.00000000,5.35579109
ACCESS-CM2,ssp126,2034.00000000,6.52447367
ACCESS-CM2,ssp126,2035.00000000,5.89337158
ACCESS-CM2,ssp126,2036.00000000,5.79349470
ACCESS-CM2,ssp126,2037.00000000,5.17322922
ACCESS-CM2,ssp126,2038.00000000,6.06879282
ACCESS-CM2,ssp126,2039.00000000,5.38750648
ACCESS-CM2,ssp126,2040.00000000,5.91720963
ACCESS-CM2,ssp126,2041.00000000,6.10831881
ACCESS-CM2,ssp126,2042.00000000,6.33015013
ACCESS-CM2,ssp126,2043.00000000,5.41076040
ACCESS-CM2,ssp126,2044.00000000,5.71843576
ACCESS-CM2,ssp126,2045.00000000,5.32457829
ACCESS-CM2,ssp126,2046.00000000,6.00011778
ACCESS-CM2,ssp126,2047.00000000,5.36792946
ACCESS-CM2,ssp126,2048.00000000,6.23960114
ACCESS-CM2,ssp126,2049.00000000,6.35645437
ACCESS-CM2,ssp126,2050.00000000,6.08578157
ACCESS-CM2,ssp126,2051.00000000,6.82488632
ACCESS-CM2,ssp126,2052.00000000,4.75007629
ACCESS-CM2,ssp126,2053.00000000,5.96127510
ACCESS-CM2,ssp126,2054.00000000,5.26715136
ACCESS-CM2,ssp126,2055.00000000,5.63943434
ACCESS-CM2,ssp126,2056.00000000,5.05405760
ACCESS-CM2,ssp126,2057.00000000,5.63277292
ACCESS-CM2,ssp126,2058.00000000,6.66007233
ACCESS-CM2,ssp126,2059.00000000,5.51622152
ACCESS-CM2,ssp126,2060.00000000,7.23148918
ACCESS-CM2,ssp126,2061.00000000,6.13221312
ACCESS-CM2,ssp126,2062.00000000,6.56494188
ACCESS-CM2,ssp126,2063.00000000,5.86324930
ACCESS-CM2,ssp126,2064.00000000,6.30572557
ACCESS-CM2,ssp126,2065.00000000,5.42610216
ACCESS-CM2,ssp126,2066.00000000,5.68727827
ACCESS-CM2,ssp126,2067.00000000,5.64671469
ACCESS-CM2,ssp126,2068.00000000,5.27754402
