model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,8.09799099
ACCESS-CM2,historical,1961.00000000,7.44152498
ACCESS-CM2,historical,1962.00000000,7.74121141
ACCESS-CM2,historical,1963.00000000,7.19240522
ACCESS-CM2,historical,1964.00000000,7.94836283
ACCESS-CM2,historical,1965.00000000,7.09495163
ACCESS-CM2,historical,1966.00000000,7.74866486
ACCESS-CM2,historical,1967.00000000,7.65583992
ACCESS-CM2,historical,1968.00000000,7.47687006
ACCESS-CM2,historical,1969.00000000,7.70427370
ACCESS-CM2,historical,1970.00000000,6.99392271
ACCESS-CM2,historical,1971.00000000,7.65787697
ACCESS-CM2,historical,1972.00000000,7.73892069
ACCESS-CM2,historical,1973.00000000,7.15743399
ACCESS-CM2,historical,1974.00000000,7.45000315
ACCESS-CM2,historical,1975.00000000,7.47475433
ACCESS-CM2,historical,1976.00000000,7.35627174
ACCESS-CM2,historical,1977.00000000,7.36732054
ACCESS-CM2,historical,1978.00000000,7.38753939
ACCESS-CM2,historical,1979.00000000,7.55824661
ACCESS-CM2,historical,1980.00000000,7.23426867
ACCESS-CM2,historical,1981.00000000,7.89102125
ACCESS-CM2,historical,1982.00000000,7.73709106
ACCESS-CM2,historical,1983.00000000,7.81364202
ACCESS-CM2,historical,1984.00000000,7.34376001
ACCESS-CM2,historical,1985.00000000,7.13083220
ACCESS-CM2,historical,1986.00000000,7.60627174
ACCESS-CM2,historical,1987.00000000,7.11584616
ACCESS-CM2,historical,1988.00000000,7.21344614
ACCESS-CM2,historical,1989.00000000,7.63985825
ACCESS-CM2,historical,1990.00000000,6.68571520
ACCESS-CM2,historical,1991.00000000,7.06028891
ACCESS-CM2,historical,1992.00000000,7.60558891
ACCESS-CM2,historical,1993.00000000,6.83665323
ACCESS-CM2,historical,1994.00000000,6.99364805
ACCESS-CM2,historical,1995.00000000,7.40812826
ACCESS-CM2,historical,1996.00000000,7.06881332
ACCESS-CM2,historical,1997.00000000,7.00360870
ACCESS-CM2,historical,1998.00000000,7.04272461
ACCESS-CM2,historical,1999.00000000,7.46383047
ACCESS-CM2,historical,2000.00000000,8.11397743
ACCESS-CM2,historical,2001.00000000,7.18163157
ACCESS-CM2,historical,2002.00000000,7.83434296
ACCESS-CM2,historical,2003.00000000,7.25316381
ACCESS-CM2,historical,2004.00000000,7.47439718
