model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,3.98313260
ACCESS-CM2,historical,1961.00000000,3.05963421
ACCESS-CM2,historical,1962.00000000,3.50893569
ACCESS-CM2,historical,1963.00000000,3.09918141
ACCESS-CM2,historical,1964.00000000,3.72425270
ACCESS-CM2,historical,1965.00000000,3.02277732
ACCESS-CM2,historical,1966.00000000,3.63665581
ACCESS-CM2,historical,1967.00000000,3.23369884
ACCESS-CM2,historical,1968.00000000,3.44043851
ACCESS-CM2,historical,1969.00000000,3.48424888
ACCESS-CM2,historical,1970.00000000,3.01611614
ACCESS-CM2,historical,1971.00000000,3.31577778
ACCESS-CM2,historical,1972.00000000,3.38739014
ACCESS-CM2,historical,1973.00000000,3.13747597
ACCESS-CM2,historical,1974.00000000,3.06945443
ACCESS-CM2,historical,1975.00000000,3.44408107
ACCESS-CM2,historical,1976.00000000,3.31790614
ACCESS-CM2,historical,1977.00000000,3.17798829
ACCESS-CM2,historical,1978.00000000,3.16973186
ACCESS-CM2,historical,1979.00000000,3.40789008
ACCESS-CM2,historical,1980.00000000,3.05073071
ACCESS-CM2,historical,1981.00000000,3.58521485
ACCESS-CM2,historical,1982.00000000,3.31726527
ACCESS-CM2,historical,1983.00000000,3.62339711
ACCESS-CM2,historical,1984.00000000,3.04473495
ACCESS-CM2,historical,1985.00000000,2.97914028
ACCESS-CM2,historical,1986.00000000,3.45341754
ACCESS-CM2,historical,1987.00000000,2.88021016
ACCESS-CM2,historical,1988.00000000,3.13468361
ACCESS-CM2,historical,1989.00000000,3.36543441
ACCESS-CM2,historical,1990.00000000,2.71407700
ACCESS-CM2,historical,1991.00000000,2.89523959
ACCESS-CM2,historical,1992.00000000,3.38752437
ACCESS-CM2,historical,1993.00000000,2.74893832
ACCESS-CM2,historical,1994.00000000,2.99164581
ACCESS-CM2,historical,1995.00000000,3.02850509
ACCESS-CM2,historical,1996.00000000,2.99740028
ACCESS-CM2,historical,1997.00000000,2.93534279
ACCESS-CM2,historical,1998.00000000,2.73517203
ACCESS-CM2,historical,1999.00000000,3.48409200
ACCESS-CM2,historical,2000.00000000,3.97842383
ACCESS-CM2,historical,2001.00000000,2.89094234
ACCESS-CM2,historical,2002.00000000,3.77841640
ACCESS-CM2,historical,2003.00000000,2.94066787
ACCESS-CM2,historical,2004.00000000,3.33232117
ACCESS-CM2,historical,2005.00000000,2.66469550
ACCESS-CM2,historical,2006.00000000,3.35290527
ACCESS-CM2,historical,2007.00000000,3.09149194
ACCESS-CM2,historical,2008.00000000,3.55138183
ACCESS-CM2,historical,2009.00000000,3.64308238
ACCESS-CM2,historical,2010.00000000,3.17593861
ACCESS-CM2,historical,2011.00000000,2.88241863
ACCESS-CM2,historical,2012.00000000,3.32185245
ACCESS-CM2,historical,2013.00000000,3.00578523
ACCESS-CM2,historical,2014.00000000,3.57519937
ACCESS-CM2,historical,2015.00000000,3.12406707
ACCESS-CM2,ssp126,2015.00000000,3.52964544
ACCESS-CM2,ssp126,2016.00000000,2.80684185
ACCESS-CM2,ssp126,2017.00000000,3.23367620
ACCESS-CM2,ssp126,2018.00000000,3.07664680
ACCESS-CM2,ssp126,2019.00000000,3.04237270
ACCESS-CM2,ssp126,2020.00000000,2.85528111
ACCESS-CM2,ssp126,2021.00000000,3.19648933
ACCESS-CM2,ssp126,2022.00000000,2.99439335
ACCESS-CM2,ssp126,2023.00000000,2.78167558
ACCESS-CM2,ssp126,2024.00000000,3.52920723
ACCESS-CM2,ssp126,2025.00000000,3.23801541
ACCESS-CM2,ssp126,2026.00000000,3.61085773
ACCESS-CM2,ssp126,2027.00000000,3.80819821
ACCESS-CM2,ssp126,2028.00000000,2.70056415
ACCESS-CM2,ssp126,2029.00000000,3.34748340
ACCESS-CM2,ssp126,2030.00000000,2.84819007
ACCESS-CM2,ssp126,2031.00000000,3.56354809
ACCESS-CM2,ssp126,2032.00000000,3.39416623
ACCESS-CM2,ssp126,2033.00000000,2.99258518
ACCESS-CM2,ssp126,2034.00000000,3.53019428
ACCESS-CM2,ssp126,2035.00000000,3.07800460
ACCESS-CM2,ssp126,2036.00000000,2.98098087
ACCESS-CM2,ssp126,2037.00000000,2.85929751
ACCESS-CM2,ssp126,2038.00000000,3.05431151
ACCESS-CM2,ssp126,2039.00000000,2.98283315
ACCESS-CM2,ssp126,2040.00000000,3.10743809
ACCESS-CM2,ssp126,2041.00000000,3.30752540
ACCESS-CM2,ssp126,2042.00000000,3.13921738
ACCESS-CM2,ssp126,2043.00000000,2.73522592
ACCESS-CM2,ssp126,2044.00000000,2.84300017
ACCESS-CM2,ssp126,2045.00000000,2.84979796
ACCESS-CM2,ssp126,2046.00000000,3.25191879
ACCESS-CM2,ssp126,2047.00000000,2.69287133
ACCESS-CM2,ssp126,2048.00000000,3.39204431
ACCESS-CM2,ssp126,2049.00000000,3.25511670
ACCESS-CM2,ssp126,2050.00000000,2.92252469
ACCESS-CM2,ssp126,2051.00000000,3.58630276
ACCESS-CM2,ssp126,2052.00000000,2.44440222
ACCESS-CM2,ssp126,2053.00000000,3.24707675
ACCESS-CM2,ssp126,2054.00000000,2.87514329
ACCESS-CM2,ssp126,2055.00000000,2.88176227
ACCESS-CM2,ssp126,2056.00000000,2.83511376
ACCESS-CM2,ssp126,2057.00000000,3.08570743
ACCESS-CM2,ssp126,2058.00000000,3.54407787
ACCESS-CM2,ssp126,2059.00000000,2.87521553
ACCESS-CM2,ssp126,2060.00000000,3.51954341
ACCESS-CM2,ssp126,2061.00000000,3.35864377
ACCESS-CM2,ssp126,2062.00000000,3.53958154
ACCESS-CM2,ssp126,2063.00000000,3.11994362
ACCESS-CM2,ssp126,2064.00000000,3.20452094
ACCESS-CM2,ssp126,2065.00000000,3.04626155
ACCESS-CM2,ssp126,2066.00000000,3.05967593
ACCESS-CM2,ssp126,2067.00000000,3.11023426
ACCESS-CM2,ssp126,2068.00000000,2.90047002
ACCESS-CM2,ssp126,2069.00000000,3.04094124
ACCESS-CM2,ssp126,2070.00000000,3.15701795
ACCESS-CM2,ssp126,2071.00000000,3.27530098
ACCESS-CM2,ssp126,2072.00000000,2.92594719
ACCESS-CM2,ssp126,2073.00000000,3.48160815
ACCESS-CM2,ssp126,2074.00000000,2.74919963
ACCESS-CM2,ssp126,2075.00000000,3.78371716
ACCESS-CM2,ssp126,2076.00000000,2.61671662
ACCESS-CM2,ssp126,2077.00000000,3.27187467
ACCESS-CM2,ssp126,2078.00000000,2.85440707
ACCESS-CM2,ssp126,2079.00000000,3.14348125
ACCESS-CM2,ssp126,2080.00000000,3.02100945
ACCESS-CM2,ssp126,2081.00000000,3.43786240
ACCESS-CM2,ssp126,2082.00000000,2.88449764
ACCESS-CM2,ssp126,2083.00000000,3.28466344
ACCESS-CM2,ssp126,2084.00000000,3.05222893
ACCESS-CM2,ssp126,2085.00000000,3.17200160
ACCESS-CM2,ssp126,2086.00000000,2.67650867
ACCESS-CM2,ssp126,2087.00000000,3.15488744
ACCESS-CM2,ssp126,2088.00000000,3.03447533
ACCESS-CM2,ssp126,2089.00000000,3.05742908
ACCESS-CM2,ssp126,2090.00000000,2.53564811
ACCESS-CM2,ssp126,2091.00000000,3.49965739
ACCESS-CM2,ssp126,2092.00000000,2.88165355
ACCESS-CM2,ssp126,2093.00000000,2.87094426
ACCESS-CM2,ssp126,2094.00000000,3.02274513
ACCESS-CM2,ssp126,2095.00000000,3.27261806
ACCESS-CM2,ssp126,2096.00000000,3.89773250
ACCESS-CM2,ssp126,2097.00000000,2.86923289
ACCESS-CM2,ssp126,2098.00000000,2.78217149
ACCESS-CM2,ssp126,2099.00000000,3.18432641
ACCESS-CM2,ssp126,2100.00000000,3.19120622
ACCESS-CM2,ssp245,2015.00000000,3.62842035
ACCESS-CM2,ssp245,2016.00000000,3.41908240
ACCESS-CM2,ssp245,2017.00000000,3.26452827
ACCESS-CM2,ssp245,2018.00000000,3.11212635
ACCESS-CM2,ssp245,2019.00000000,3.32834888
ACCESS-CM2,ssp245,2020.00000000,2.82871699
ACCESS-CM2,ssp245,2021.00000000,3.03512573
ACCESS-CM2,ssp245,2022.00000000,2.90273309
ACCESS-CM2,ssp245,2023.00000000,3.28783202
ACCESS-CM2,ssp245,2024.00000000,2.96939731
