model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,7.63647127
ACCESS-CM2,historical,1961.00000000,5.79819441
ACCESS-CM2,historical,1962.00000000,7.15784836
ACCESS-CM2,historical,1963.00000000,5.46655846
ACCESS-CM2,historical,1964.00000000,7.03701401
ACCESS-CM2,historical,1965.00000000,5.89319658
ACCESS-CM2,historical,1966.00000000,7.07065582
ACCESS-CM2,historical,1967.00000000,6.10670328
ACCESS-CM2,historical,1968.00000000,6.43186426
ACCESS-CM2,historical,1969.00000000,6.53961897
ACCESS-CM2,historical,1970.00000000,6.03458548
ACCESS-CM2,historical,1971.00000000,6.38318396
ACCESS-CM2,historical,1972.00000000,6.42322922
ACCESS-CM2,historical,1973.00000000,6.12413740
ACCESS-CM2,historical,1974.00000000,5.71842527
ACCESS-CM2,historical,1975.00000000,6.62552595
ACCESS-CM2,historical,1976.00000000,6.01653671
ACCESS-CM2,historical,1977.00000000,6.14470625
ACCESS-CM2,historical,1978.00000000,6.15239000
ACCESS-CM2,historical,1979.00000000,6.54069138
ACCESS-CM2,historical,1980.00000000,5.84424210
ACCESS-CM2,historical,1981.00000000,6.32588005
ACCESS-CM2,historical,1982.00000000,6.20902491
ACCESS-CM2,historical,1983.00000000,6.66075373
ACCESS-CM2,historical,1984.00000000,5.72117186
ACCESS-CM2,historical,1985.00000000,5.34114408
ACCESS-CM2,historical,1986.00000000,6.66075754
ACCESS-CM2,historical,1987.00000000,5.26294184
ACCESS-CM2,historical,1988.00000000,5.82595444
ACCESS-CM2,historical,1989.00000000,6.49660873
ACCESS-CM2,historical,1990.00000000,5.33809662
ACCESS-CM2,historical,1991.00000000,5.54486656
ACCESS-CM2,historical,1992.00000000,6.25230455
ACCESS-CM2,historical,1993.00000000,5.36149073
ACCESS-CM2,historical,1994.00000000,5.67787552
ACCESS-CM2,historical,1995.00000000,5.62128973
ACCESS-CM2,historical,1996.00000000,5.59836626
ACCESS-CM2,historical,1997.00000000,5.88819075
ACCESS-CM2,historical,1998.00000000,5.25503922
ACCESS-CM2,historical,1999.00000000,6.49069405
ACCESS-CM2,historical,2000.00000000,7.33524179
ACCESS-CM2,historical,2001.00000000,5.11344194
ACCESS-CM2,historical,2002.00000000,7.21612024
ACCESS-CM2,historical,2003.00000000,5.60610533
ACCESS-CM2,historical,2004.00000000,6.31049347
ACCESS-CM2,historical,2005.00000000,5.33574438
ACCESS-CM2,historical,2006.00000000,6.45448446
ACCESS-CM2,historical,2007.00000000,6.08038521
ACCESS-CM2,historical,2008.00000000,7.24985170
ACCESS-CM2,historical,2009.00000000,7.18879080
ACCESS-CM2,historical,2010.00000000,6.28784895
ACCESS-CM2,historical,2011.00000000,5.37464905
ACCESS-CM2,historical,2012.00000000,6.70368814
ACCESS-CM2,historical,2013.00000000,5.56621408
ACCESS-CM2,historical,2014.00000000,6.62890053
ACCESS-CM2,historical,2015.00000000,5.85823488
ACCESS-CM2,ssp126,2015.00000000,6.79298115
ACCESS-CM2,ssp126,2016.00000000,5.54747248
ACCESS-CM2,ssp126,2017.00000000,6.48536491
ACCESS-CM2,ssp126,2018.00000000,5.94836378
ACCESS-CM2,ssp126,2019.00000000,5.74908686
ACCESS-CM2,ssp126,2020.00000000,5.53021002
ACCESS-CM2,ssp126,2021.00000000,6.36737490
ACCESS-CM2,ssp126,2022.00000000,5.72763109
ACCESS-CM2,ssp126,2023.00000000,5.22877741
ACCESS-CM2,ssp126,2024.00000000,6.51774931
ACCESS-CM2,ssp126,2025.00000000,6.06579161
ACCESS-CM2,ssp126,2026.00000000,6.71593094
ACCESS-CM2,ssp126,2027.00000000,7.38967180
ACCESS-CM2,ssp126,2028.00000000,5.08584929
ACCESS-CM2,ssp126,2029.00000000,6.59120607
ACCESS-CM2,ssp126,2030.00000000,5.14734030
ACCESS-CM2,ssp126,2031.00000000,6.87013960
ACCESS-CM2,ssp126,2032.00000000,6.65138435
ACCESS-CM2,ssp126,2033.00000000,5.94351006
ACCESS-CM2,ssp126,2034.00000000,6.81441879
ACCESS-CM2,ssp126,2035.00000000,6.33340454
ACCESS-CM2,ssp126,2036.00000000,5.94821167
ACCESS-CM2,ssp126,2037.00000000,5.62429571
ACCESS-CM2,ssp126,2038.00000000,5.89467669
ACCESS-CM2,ssp126,2039.00000000,5.53038931
ACCESS-CM2,ssp126,2040.00000000,5.82509089
ACCESS-CM2,ssp126,2041.00000000,6.35748434
ACCESS-CM2,ssp126,2042.00000000,6.29703474
ACCESS-CM2,ssp126,2043.00000000,5.35963678
ACCESS-CM2,ssp126,2044.00000000,5.80641317
ACCESS-CM2,ssp126,2045.00000000,5.49689102
ACCESS-CM2,ssp126,2046.00000000,6.25095892
ACCESS-CM2,ssp126,2047.00000000,5.38664770
ACCESS-CM2,ssp126,2048.00000000,6.57870340
ACCESS-CM2,ssp126,2049.00000000,6.20938158
ACCESS-CM2,ssp126,2050.00000000,5.98578453
ACCESS-CM2,ssp126,2051.00000000,7.14301825
ACCESS-CM2,ssp126,2052.00000000,4.53474522
ACCESS-CM2,ssp126,2053.00000000,6.13981819
ACCESS-CM2,ssp126,2054.00000000,5.52936554
ACCESS-CM2,ssp126,2055.00000000,5.68393373
ACCESS-CM2,ssp126,2056.00000000,5.18844461
ACCESS-CM2,ssp126,2057.00000000,5.90666056
ACCESS-CM2,ssp126,2058.00000000,6.70793867
ACCESS-CM2,ssp126,2059.00000000,5.54965258
ACCESS-CM2,ssp126,2060.00000000,7.13383627
ACCESS-CM2,ssp126,2061.00000000,6.48987913
ACCESS-CM2,ssp126,2062.00000000,6.91720438
ACCESS-CM2,ssp126,2063.00000000,5.74509287
ACCESS-CM2,ssp126,2064.00000000,6.26382875
ACCESS-CM2,ssp126,2065.00000000,5.64592743
